,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Oslo  –,Oslo  –,"['*..., nel dialetto di Oslo  – conosciuta anche come Christiania dal 1624 al 1878 e come Kristiania dal 1878 al 1924) è la capitale della Norvegia....']","Radisson Blu Scandinavia Hotel, Oslo, Holbergs gate, Tullin, Sentrum, Oslo, 0166, Norvegia","{""coordinates"": [10.734108, 59.918446], ""type"": ""Point""}","Radisson Blu Scandinavia Hotel, Oslo, Holbergs gate, Tullin, Sentrum, Oslo, 0166, Norvegia",tourism,hotel
1,Christiania,Christiania,"['*..., nel dialetto di Oslo  – conosciuta anche come Christiania dal 1624 al 1878 e come Kristiania dal 1878 al 1924) è la capitale della Norvegia....', '*...Christiania (in un secondo momento 1878-1924 la città fu chiamata Kristiania)....', '*...Ma molto prima di questo, Christiania cominciò a riacquistare la sua importanza come centro commerciale e culturale in Norvegia....', ""*...Nel 1814 Christiania divenne la capitale effettiva, quando l'unione con la Danimarca fu sciolta....""]","Hotel Christiania Teater, Stortingsgata, Vika, Sentrum, Oslo, 0162, Norvegia","{""coordinates"": [10.735917, 59.913542], ""type"": ""Point""}","Hotel Christiania Teater, Stortingsgata, Vika, Sentrum, Oslo, 0162, Norvegia",tourism,hotel
2,Kristiania,Kristiania,"['*..., nel dialetto di Oslo  – conosciuta anche come Christiania dal 1624 al 1878 e come Kristiania dal 1878 al 1924) è la capitale della Norvegia....', '*...Christiania (in un secondo momento 1878-1924 la città fu chiamata Kristiania)....']","Høyskolen Kristiania - Campus Urtegata, Norbygata, Grønland, Gamle Oslo, Oslo, 0187, Norvegia","{""coordinates"": [10.763147, 59.914796], ""type"": ""Point""}","Høyskolen Kristiania - Campus Urtegata, Norbygata, Grønland, Gamle Oslo, Oslo, 0187, Norvegia",building,office
4,Oslofjord,Oslofjord,"[""*...Oslo è situata in fondo allo Oslofjord, un fiordo all'interno del bacino dello Skagerrak...."", ""*...Tali temperature hanno favorito la nascita di diverse strutture ricreative particolarmente rinomate lungo l'Oslofjord, con picchi di affluenza nel corso dei mesi estivi quando la popolazione è sospinta verso il mare invitata anche dalle temperature dell'acqua che vanno dai 20 ai 24\xa0°C....""]","Indre Oslofjord, Sars' gate, Tøyen, Grünerløkka, Oslo, 0562, Norvegia","{""coordinates"": [10.771616, 59.919103], ""type"": ""Point""}","Indre Oslofjord, Sars' gate, Tøyen, Grünerløkka, Oslo, 0562, Norvegia",leisure,garden
7,Malmøya,Malmøya,"[""*...All'interno dei confini della città ci sono 40 isole, la più grande delle quali è Malmøya che misura 0,56\xa0km², e 343 laghi il più grande dei quali è il Maridalsvannet, che misura 3,91\xa0km², questo lago rappresenta anche la maggior fonte di approvvigionamento d'acqua potabile per una vasta parte della zona occidentale di Oslo, principalmente Vestre Aker e Nordre Aker....""]","Malmøya, Sundveien, Godheim, Nordstrand, Oslo, 0198, Norvegia","{""coordinates"": [10.758115, 59.87333], ""type"": ""Point""}","Malmøya, Sundveien, Godheim, Nordstrand, Oslo, 0198, Norvegia",highway,bus_stop
8,Vestre Aker,Vestre Aker,"[""*...All'interno dei confini della città ci sono 40 isole, la più grande delle quali è Malmøya che misura 0,56\xa0km², e 343 laghi il più grande dei quali è il Maridalsvannet, che misura 3,91\xa0km², questo lago rappresenta anche la maggior fonte di approvvigionamento d'acqua potabile per una vasta parte della zona occidentale di Oslo, principalmente Vestre Aker e Nordre Aker....""]","Pilotveien, Vestre Aker, Pilotveien, Snippen, Vestre Aker, Oslo, 0770, Norvegia","{""coordinates"": [10.658577, 59.95029], ""type"": ""Point""}","Pilotveien, Vestre Aker, Pilotveien, Snippen, Vestre Aker, Oslo, 0770, Norvegia",amenity,charging_station
9,Nordre Aker,Nordre Aker,"[""*...All'interno dei confini della città ci sono 40 isole, la più grande delle quali è Malmøya che misura 0,56\xa0km², e 343 laghi il più grande dei quali è il Maridalsvannet, che misura 3,91\xa0km², questo lago rappresenta anche la maggior fonte di approvvigionamento d'acqua potabile per una vasta parte della zona occidentale di Oslo, principalmente Vestre Aker e Nordre Aker....""]","NAV Nordre Aker, Gullhaugveien, Gullhaug, Nordre Aker, Oslo, 0484, Norvegia","{""coordinates"": [10.767097, 59.951045], ""type"": ""Point""}","NAV Nordre Aker, Gullhaugveien, Gullhaug, Nordre Aker, Oslo, 0484, Norvegia",office,government
10,Akerselva,Akerselva,"[""*...Il fiume più importante e l'Akerselva....""]","Akerselva Trebåtforening, Brugata, Vaterland, Sentrum, Oslo, 0185, Norvegia","{""coordinates"": [10.75823, 59.91334], ""type"": ""Point""}","Akerselva Trebåtforening, Brugata, Vaterland, Sentrum, Oslo, 0185, Norvegia",tourism,information
21,Oslo II,Oslo II,"[""*...Nel maggio 1993 vi furono firmati gli accordi detti di Oslo II tra Israele e Palestina, sotto l'egida degli Stati Uniti....""]","Corridor to Oslo Bussterminal, Vaterland, Sentrum, Oslo, 0050, Norvegia","{""coordinates"": [10.753644, 59.911687], ""type"": ""Point""}","Corridor to Oslo Bussterminal, Vaterland, Sentrum, Oslo, 0050, Norvegia",highway,footway
26,Holmenkollen,Holmenkollen,"[""*...Due delle principali attrazioni turistiche di Oslo sono il Parco di Vigeland, un'esposizione di sculture e altre opere d'arte, e la collina di Holmenkollen, famosa per gli sport invernali...."", '*...Nel territorio di Oslo sorge la collina di Holmenkollen, stazione sciistica attrezzata con varie strutture per la pratica degli sport invernali;...']","Holmenkollen, Kongeveien, Holmenkollen, Vestre Aker, Oslo, 0784, Norvegia","{""coordinates"": [10.667032, 59.961805], ""type"": ""Point""}","Holmenkollen, Kongeveien, Holmenkollen, Vestre Aker, Oslo, 0784, Norvegia",amenity,taxi
