,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Russia,Russia,"[""*...Successivamente la città appartenne agli svedesi dal 1621 al 1710, quindi fu conquistata dalla Russia in seguito a un'aspra guerra...."", ""*...L'importanza di Riga per l'impero zarista crebbe col tempo, fino a diventare uno dei principali porti della Russia....""]","Consular Section of the Embassy of Russia, 3, Smilšu iela, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia","{""coordinates"": [24.107858, 56.950605], ""type"": ""Point""}","Consular Section of the Embassy of Russia, 3, Smilšu iela, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia",office,diplomatic
8,Rumbula,Rumbula,"[""*...Nel periodo della seconda guerra mondiale l'intera popolazione ebraica della città di oltre 30.000 persone fu rinchiusa nel ghetto di Riga e progressivamente annientata già nel 1941 in eccidi nella vicina foresta di Rumbula...."", '*...57. Rumbula ;...']","Rumbula, Mašīnu iela, Rumbula, Riga, Vidzeme, LV-1063, Lettonia","{""coordinates"": [24.244926, 56.881604], ""type"": ""Point""}","Rumbula, Mašīnu iela, Rumbula, Riga, Vidzeme, LV-1063, Lettonia",highway,bus_stop
33,Alberta,Alberta,"[""*...Edifici Art Nouveau.La città di Riga vanta una notevole quantità di edifici in stile Art Nouveau, che furono eretti nel periodo tra la fine del XIX secolo e il 1914 principalmente per opera del celebre architetto Michail Ėjzenštejn (1867-1921) padre del regista Sergej Ėjzenštejn. Tali edifici, che sono concentrati in un quartiere ben definito della città moderna, sono stati dichiarati nel 1997 - unitamente al centro storico di Riga - Patrimonio Mondiale dell'Umanità da parte dell'UNESCO. L'Art Nouveau s'impose in Lettonia (allora parte dell'Impero russo) con un certo ritardo rispetto alle grandi città europee, ma non per questo con meno vigore. In seguito all'abbattimento della cinta di mura medioevale e dei prospicienti sobborghi costituiti da case di legno, l'intera area a nordest del centro storico divenne il gigantesco cantiere della nuova Riga, in cui dozzine di architetti locali contribuirono a creare un armonioso quanto variato susseguirsi di elaborate facciate. L'Art Nouveau righese presenta i tratti comuni a tutti i movimenti contemporanei dell'epoca, ma in particolare dello Jugendstil tedesco, della Secessione austriaca e dell'architettura finno-baltica, fondendoli armoniosamente con le chiare tonalità cromatiche locali. In particolare domina la combinazione di azzurro e bianco, che è anche quella preferita dal principale esponente dell'Art Nouveau righese, l'architetto Ejzenštejn. Se i primi edifici righesi Art Nouveau risalgono solamente al 1899, già nel 1901, in seguito a una grande fiera modellata sull'Esposizione Universale di Parigi dell'anno precedente, il nuovo stile si era imposto definitivamente in città. La via principale lungo la quale si snodano gli edifici dell'Art Nouveau lettone è Alberta iela (in tedesco Albertstraße), situata al centro di una tranquilla ed elegante zona residenziale creata dal nulla al principio del secolo XX e che oggi ospita molte ambasciate. Tra gli edifici di maggior spicco, il palazzo di Alberta iela 2a è un'efficace fusione di neoclassicismo, Art Nouveau e richiami all'Antico Egitto. Notevoli sono la facciata traforata in cima e le due grosse sfingi che vigilano di fronte all'ingresso. Il palazzo fu realizzato nel 1906 su progetto di Ejzenštejn. Elizabetes iela (in tedesco Elisabethstraße) fiancheggia invece in parte un vasto Parco ed è la via in cui si trova, al numero 10b, il più celebre palazzo Art Nouveau di tutta Riga. Costruito nel 1903 su disegno dell'immancabile Ejzenštejn, raggruppa tutte le caratteristiche del particolare Jugendstil eclettico righese, a cominciare dall'accostamento di colori azzurro-bianco, dalle figure mitologiche (mascheroni con teste di Medusa) e dalla profusione di aquile, ghirlande ed elmi....""]","Alberta pīpes, 1, Alberta iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia","{""coordinates"": [24.111326, 56.958557], ""type"": ""Point""}","Alberta pīpes, 1, Alberta iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia",shop,tobacco
35,Elizabetes,Elizabetes,"[""*...Edifici Art Nouveau.La città di Riga vanta una notevole quantità di edifici in stile Art Nouveau, che furono eretti nel periodo tra la fine del XIX secolo e il 1914 principalmente per opera del celebre architetto Michail Ėjzenštejn (1867-1921) padre del regista Sergej Ėjzenštejn. Tali edifici, che sono concentrati in un quartiere ben definito della città moderna, sono stati dichiarati nel 1997 - unitamente al centro storico di Riga - Patrimonio Mondiale dell'Umanità da parte dell'UNESCO. L'Art Nouveau s'impose in Lettonia (allora parte dell'Impero russo) con un certo ritardo rispetto alle grandi città europee, ma non per questo con meno vigore. In seguito all'abbattimento della cinta di mura medioevale e dei prospicienti sobborghi costituiti da case di legno, l'intera area a nordest del centro storico divenne il gigantesco cantiere della nuova Riga, in cui dozzine di architetti locali contribuirono a creare un armonioso quanto variato susseguirsi di elaborate facciate. L'Art Nouveau righese presenta i tratti comuni a tutti i movimenti contemporanei dell'epoca, ma in particolare dello Jugendstil tedesco, della Secessione austriaca e dell'architettura finno-baltica, fondendoli armoniosamente con le chiare tonalità cromatiche locali. In particolare domina la combinazione di azzurro e bianco, che è anche quella preferita dal principale esponente dell'Art Nouveau righese, l'architetto Ejzenštejn. Se i primi edifici righesi Art Nouveau risalgono solamente al 1899, già nel 1901, in seguito a una grande fiera modellata sull'Esposizione Universale di Parigi dell'anno precedente, il nuovo stile si era imposto definitivamente in città. La via principale lungo la quale si snodano gli edifici dell'Art Nouveau lettone è Alberta iela (in tedesco Albertstraße), situata al centro di una tranquilla ed elegante zona residenziale creata dal nulla al principio del secolo XX e che oggi ospita molte ambasciate. Tra gli edifici di maggior spicco, il palazzo di Alberta iela 2a è un'efficace fusione di neoclassicismo, Art Nouveau e richiami all'Antico Egitto. Notevoli sono la facciata traforata in cima e le due grosse sfingi che vigilano di fronte all'ingresso. Il palazzo fu realizzato nel 1906 su progetto di Ejzenštejn. Elizabetes iela (in tedesco Elisabethstraße) fiancheggia invece in parte un vasto Parco ed è la via in cui si trova, al numero 10b, il più celebre palazzo Art Nouveau di tutta Riga. Costruito nel 1903 su disegno dell'immancabile Ejzenštejn, raggruppa tutte le caratteristiche del particolare Jugendstil eclettico righese, a cominciare dall'accostamento di colori azzurro-bianco, dalle figure mitologiche (mascheroni con teste di Medusa) e dalla profusione di aquile, ghirlande ed elmi....""]","Elizabetes iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia","{""coordinates"": [24.113855, 56.956406], ""type"": ""Point""}","Elizabetes iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia",highway,residential
39,Kurzeme,Kurzeme,"[""*...Il Monumento alla Libertà di Riga venne eretto nel 1935 su progetto di Karlis Zale.Il Monumento è formato da un piedistallo che sorregge una colonna che a sua volta sostiene la statua di una donna. Sul basamento sono collocate diverse statue che raffigurano il Popolo Lettone, il suo lavoro e il suo amore per la Libertà; la donna che innalza le mani al cielo, chiamata affettuosamente Milda dai lettoni, simboleggia la Libertà mentre le tre stelle che regge tra le mani rappresentano le tre regioni storiche della Lettonia, Kurzeme, Vidzeme e Latgale. Durante il periodo dell'Occupazione sovietica portare dei fiori a questo monumento, divenuto simbolo del desiderio di libertà e di indipendenza del popolo lettone, poteva portare all'arresto e alla prigionia nelle prigioni siberiane. Si può assistere al cambio della guardia ogni ora nel corso della giornata...."", '*...Kurzeme (79\xa0km²) ;...']","Kurzeme, 130, Slokas iela, Imanta-3, Imanta, Riga, Vidzeme, LV-1067, Lettonia","{""coordinates"": [24.019587, 56.963622], ""type"": ""Point""}","Kurzeme, 130, Slokas iela, Imanta-3, Imanta, Riga, Vidzeme, LV-1067, Lettonia",amenity,kindergarten
40,Vidzeme,Vidzeme,"[""*...Il Monumento alla Libertà di Riga venne eretto nel 1935 su progetto di Karlis Zale.Il Monumento è formato da un piedistallo che sorregge una colonna che a sua volta sostiene la statua di una donna. Sul basamento sono collocate diverse statue che raffigurano il Popolo Lettone, il suo lavoro e il suo amore per la Libertà; la donna che innalza le mani al cielo, chiamata affettuosamente Milda dai lettoni, simboleggia la Libertà mentre le tre stelle che regge tra le mani rappresentano le tre regioni storiche della Lettonia, Kurzeme, Vidzeme e Latgale. Durante il periodo dell'Occupazione sovietica portare dei fiori a questo monumento, divenuto simbolo del desiderio di libertà e di indipendenza del popolo lettone, poteva portare all'arresto e alla prigionia nelle prigioni siberiane. Si può assistere al cambio della guardia ogni ora nel corso della giornata...."", '...Vidzeme (57\xa0km²) ;...']","Vidzeme, Rīga — Sigulda — Igaunijas robeža (Veclaicene), Garkalne, Garkalnes pagasts, Ropažu novads, Vidzeme, LV-2137, Lettonia","{""coordinates"": [24.404016, 57.039195], ""type"": ""Point""}","Vidzeme, Rīga — Sigulda — Igaunijas robeža (Veclaicene), Garkalne, Garkalnes pagasts, Ropažu novads, Vidzeme, LV-2137, Lettonia",tourism,information
42,Agenskalns,Agenskalns,"['*...Kalnciema iela.La via si trova nel quartiere Agenskalns, la via principale che connette Aeroporto con il centro storico della città. Le costruzioni in legno che risalgano al XIX secolo è un patrimonio architettonico unico in tutta Europa....']","Āgenskalns, 29, Mazā Nometņu iela, Āgenskalns, Riga, Vidzeme, LV-1002, Lettonia","{""coordinates"": [24.069704, 56.936013], ""type"": ""Point""}","Āgenskalns, 29, Mazā Nometņu iela, Āgenskalns, Riga, Vidzeme, LV-1002, Lettonia",shop,mall
43,Europa,Europa,"['*...Kalnciema iela.La via si trova nel quartiere Agenskalns, la via principale che connette Aeroporto con il centro storico della città. Le costruzioni in legno che risalgano al XIX secolo è un patrimonio architettonico unico in tutta Europa....']","Europa Royale Hotel Riga, 12, Krišjāņa Barona iela, Centrs, Riga, Vidzeme, LV-1050, Lettonia","{""coordinates"": [24.120198, 56.950447], ""type"": ""Point""}","Europa Royale Hotel Riga, 12, Krišjāņa Barona iela, Centrs, Riga, Vidzeme, LV-1050, Lettonia",tourism,hotel
48,Saeima,Saeima,"['*...Il Parlamento lettone, detto Saeima, ha sede a Riga, mentre il Castello di Riga è la residenza del Presidente della Lettonia....']","Saeima, 6/8, Jēkaba iela, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia","{""coordinates"": [24.1056, 56.950642], ""type"": ""Point""}","Saeima, 6/8, Jēkaba iela, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia",office,government
51,Università tecnica di Riga,Università tecnica di Riga,"[""*...Riga ospita numerosi istituti di istruzione superiore, tra cui l'Università di Lettonia, l'Università tecnica di Riga, l'Università Stradiņš di Riga (già Accademia di Medicina della Lettonia), l'Accademia lettone delle Scienze, la Scuola di Economia di Stoccolma e la biblioteca nazionale della Lettonia....""]","Università tecnica di Riga, Āzenes iela, Ķīpsala, Riga, Vidzeme, LV-1048, Lettonia","{""coordinates"": [24.08068, 56.952642], ""type"": ""Point""}","Università tecnica di Riga, Āzenes iela, Ķīpsala, Riga, Vidzeme, LV-1048, Lettonia",amenity,university
