,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Estonia,Estonia,"[""*...È situata vicino al confine con la Finlandia e l'Estonia, sulla riva più orientale del golfo di Finlandia, equidistante da Helsinki e Tallinn....""]","Генеральное консульство Эстонской Республики, 14, Большая Монетная улица, Петроградская сторона, Посадский округ, San Pietroburgo, Северо-Западный федеральный округ, 197101, Russia","{""coordinates"": [30.317092, 59.961733], ""type"": ""Point""}","Генеральное консульство Эстонской Республики, 14, Большая Монетная улица, Петроградская сторона, Посадский округ, San Pietroburgo, Северо-Западный федеральный округ, 197101, Russia",office,diplomatic
5,Kolpino,Kolpino,"[""*...L'area del soggetto federale è di , che comprende San Pietroburgo (con gli ottantuno circondari comunali), nove città comunali (Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck, Zelenogorsk) e ventuno insediamenti comunali...."", ""*...La città si estende per un territorio di , mentre l'intero soggetto federale cittadino conta  nel quale, oltre alla città propria, si trovano le 9 cittadine suburbane di Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck e Zelenogorsk....""]","Kolpino, Stazione, Октябрьская улица, Балканы, Kolpino, San Pietroburgo, Северо-Западный федеральный округ, 196655, Russia","{""coordinates"": [30.611967, 59.749777], ""type"": ""Point""}","Kolpino, Stazione, Октябрьская улица, Балканы, Kolpino, San Pietroburgo, Северо-Западный федеральный округ, 196655, Russia",highway,bus_stop
6,Krasnoe Selo,Krasnoe Selo,"[""*...L'area del soggetto federale è di , che comprende San Pietroburgo (con gli ottantuno circondari comunali), nove città comunali (Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck, Zelenogorsk) e ventuno insediamenti comunali...."", ""*...La città si estende per un territorio di , mentre l'intero soggetto federale cittadino conta  nel quale, oltre alla città propria, si trovano le 9 cittadine suburbane di Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck e Zelenogorsk....""]","Красное Село, улица Первого Мая, Фабричный посёлок, Красное Село, San Pietroburgo, Северо-Западный федеральный округ, 198320, Russia","{""coordinates"": [30.103424, 59.732337], ""type"": ""Point""}","Красное Село, улица Первого Мая, Фабричный посёлок, Красное Село, San Pietroburgo, Северо-Западный федеральный округ, 198320, Russia",railway,stop
7,Kronštadt,Kronštadt,"[""*...L'area del soggetto federale è di , che comprende San Pietroburgo (con gli ottantuno circondari comunali), nove città comunali (Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck, Zelenogorsk) e ventuno insediamenti comunali...."", ""*...Nello storico primo viaggio di uno zar nel mar Baltico, a bordo della fregata Standard, Pietro trovò adatta ad un'installazione militare a protezione del porto l'isola posta quindici miglia al largo della foce che presto diventerà Kronštadt...."", ""*...Un altro sobborgo notevole è Kronštadt con le sue fortificazioni del XIX secolo e monumenti navali, che occupa l'isola Kotlin nel golfo di Finlandia...."", ""*...La città si estende per un territorio di , mentre l'intero soggetto federale cittadino conta  nel quale, oltre alla città propria, si trovano le 9 cittadine suburbane di Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck e Zelenogorsk...."", '*...Il porto di Bolshoi, il porto di Kronštadt e di Lomonosov....']","Съезд на КАД A118, Кронштадт, Сергиево, округ Константиновское, San Pietroburgo, Северо-Западный федеральный округ, 188507, Russia","{""coordinates"": [30.075588, 59.817368], ""type"": ""Point""}","Съезд на КАД A118, Кронштадт, Сергиево, округ Константиновское, San Pietroburgo, Северо-Западный федеральный округ, 188507, Russia",highway,secondary_link
8,Lomonosov,Lomonosov,"[""*...L'area del soggetto federale è di , che comprende San Pietroburgo (con gli ottantuno circondari comunali), nove città comunali (Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck, Zelenogorsk) e ventuno insediamenti comunali...."", ""*...La città si estende per un territorio di , mentre l'intero soggetto federale cittadino conta  nel quale, oltre alla città propria, si trovano le 9 cittadine suburbane di Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck e Zelenogorsk...."", '*...Il porto di Bolshoi, il porto di Kronštadt e di Lomonosov....', ""*...Le principali industrie locali sono il cantiere navale del Baltico, la Lomo, le Officine Kirov e l'Ėlektrosila....""]","Ломоносов, 1/28, улица Ломоносова, Апраксин двор, округ № 78, San Pietroburgo, Северо-Западный федеральный округ, 191023, Russia","{""coordinates"": [30.327679, 59.932056], ""type"": ""Point""}","Ломоносов, 1/28, улица Ломоносова, Апраксин двор, округ № 78, San Pietroburgo, Северо-Западный федеральный округ, 191023, Russia",amenity,bar
9,Pavlovsk,Pavlovsk,"[""*...L'area del soggetto federale è di , che comprende San Pietroburgo (con gli ottantuno circondari comunali), nove città comunali (Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck, Zelenogorsk) e ventuno insediamenti comunali...."", ""*...Pavlovsk, con la reggia, caratterizzata da un palazzo a cupola voluta da Paolo I e da uno dei più grandi parchi in stile inglese d'Europa...."", ""*...La città si estende per un territorio di , mentre l'intero soggetto federale cittadino conta  nel quale, oltre alla città propria, si trovano le 9 cittadine suburbane di Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck e Zelenogorsk....""]","Павловск, Садовая улица, Садовая улица, Павловск, San Pietroburgo, Северо-Западный федеральный округ, 196620, Russia","{""coordinates"": [30.441616, 59.698031], ""type"": ""Point""}","Павловск, Садовая улица, Садовая улица, Павловск, San Pietroburgo, Северо-Западный федеральный округ, 196620, Russia",highway,bus_stop
10,Petergof,Petergof,"[""*...L'area del soggetto federale è di , che comprende San Pietroburgo (con gli ottantuno circondari comunali), nove città comunali (Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck, Zelenogorsk) e ventuno insediamenti comunali...."", ""*...La città si estende per un territorio di , mentre l'intero soggetto federale cittadino conta  nel quale, oltre alla città propria, si trovano le 9 cittadine suburbane di Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck e Zelenogorsk....""]","Петергоф, Аллея фонтанов, Петергоф, San Pietroburgo, Северо-Западный федеральный округ, 198516, Russia","{""coordinates"": [29.914173, 59.89173], ""type"": ""Point""}","Петергоф, Аллея фонтанов, Петергоф, San Pietroburgo, Северо-Западный федеральный округ, 198516, Russia",amenity,ferry_terminal
11,Puškin,Puškin,"[""*...L'area del soggetto federale è di , che comprende San Pietroburgo (con gli ottantuno circondari comunali), nove città comunali (Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck, Zelenogorsk) e ventuno insediamenti comunali...."", '...Gli appartamenti di alcuni pietroburghesi famosi sono stati trasformati in musei, tra cui quelli di Aleksandr Puškin, Fëdor Dostoevskij (Museo letterario memoriale Fëdor Michajlovič Dostoevskij), Nikolaj Rimskij-Korsakov, Fëdor Šaljapin, Aleksandr Blok, Vladimir Nabokov (Museo letterario Vladimir Nabokov), Anna Achmatova,\nMichail Michajlovič Zoščenko, Iosif Aleksandrovič Brodskij, così come alcuni del palazzi e parchi dei sobborghi meridionali (il Palazzo di Alessandro, il Palazzo di Caterina e il Palazzo di Marmo)....', ""*...La città si estende per un territorio di , mentre l'intero soggetto federale cittadino conta  nel quale, oltre alla città propria, si trovano le 9 cittadine suburbane di Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck e Zelenogorsk....""]","Пушкин, площадь Искусств, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191011, Russia","{""coordinates"": [30.331622, 59.937258], ""type"": ""Point""}","Пушкин, площадь Искусств, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191011, Russia",historic,memorial
12,Zelenogorsk,Zelenogorsk,"[""*...L'area del soggetto federale è di , che comprende San Pietroburgo (con gli ottantuno circondari comunali), nove città comunali (Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck, Zelenogorsk) e ventuno insediamenti comunali...."", ""*...La città si estende per un territorio di , mentre l'intero soggetto federale cittadino conta  nel quale, oltre alla città propria, si trovano le 9 cittadine suburbane di Kolpino, Krasnoe Selo, Kronštadt, Lomonosov, Pavlovsk, Petergof, Puškin, Sestroreck e Zelenogorsk....""]","Зеленогорск, 10, улица Чайковского, Литейный округ, San Pietroburgo, Северо-Западный федеральный округ, 191028, Russia","{""coordinates"": [30.345495, 59.946822], ""type"": ""Point""}","Зеленогорск, 10, улица Чайковского, Литейный округ, San Pietroburgo, Северо-Западный федеральный округ, 191028, Russia",shop,florist
16,Sestra,Sestra,"[""*...Oltre alla Neva e ai suoi affluenti, altri importanti fiumi del soggetto federale di San Pietroburgo sono il Sestra, l'Ochta e l'Ižora....""]","Сестрорецкая рыббаза ООО ""Сестра"", улица Инструментальщиков, Разлив, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia","{""coordinates"": [29.945157, 60.087308], ""type"": ""Point""}","Сестрорецкая рыббаза ООО ""Сестра"", улица Инструментальщиков, Разлив, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia",shop,seafood
