,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Guadalquivir,Guadalquivir,"[""*...Situata nella parte sud-occidentale della penisola iberica, nell'Andalusia di cui è capoluogo, la città sorge sulle rive del fiume Guadalquivir...."", '*...Siviglia sorge nelle fertili pianure del fiume Guadalquivir a circa  s.l.m....', ""*...Con la scoperta dell'America Siviglia raggiunse l'apice della sua storia dato che vi si stabilì la Casa de Contratación, l'organismo commerciale che deteneva il monopolio delle merci delle colonie americane Giunte a bordo di poderosi bastimenti alla foce del Guadalquivir dopo la traversata atlantica, le navi risalivano il fiume raggiungendo l'immenso scalo della città...."", ""*...Tre fatti importanti segnarono il XVII secolo quali la Grande peste del 1649, che ridusse di metà la popolazione cittadina, l'illuminazione delle zone più importanti della città con lampade ad olio e l'impantanamento del Guadalquivir che dal 1680 non fu più navigabile, determinando il trasferimento della flotta delle Indie e della Casa de Contratación nel porto di Cadice agli inizi del XVIII secolo...."", ""*...Si tratta di un'antica torre di sorveglianza sulle sponde del Guadalquivir...."", ""*...I lavori subirono ritardi per varie ragioni tra cui il rinvenimento di alcuni reperti archeologici e le difficoltà tecniche dovute al passaggio del fiume Guadalquivir a profondità sufficiente per evitare infiltrazioni d'acqua....""]","Guadalquivir Inmobiliaria, 45, Calle San Jacinto, Triana Casco Antiguo, Triana, Siviglia, Sevilla, Andalusia, 41010, Spagna","{""coordinates"": [-6.00494, 37.383717], ""type"": ""Point""}","Guadalquivir Inmobiliaria, 45, Calle San Jacinto, Triana Casco Antiguo, Triana, Siviglia, Sevilla, Andalusia, 41010, Spagna",office,estate_agent
5,Europa,Europa,"[""*...Quindi la città è una delle più calde d'Europa...."", '*...In questo periodo Siviglia divenne la città più ricca e cosmopolita della Spagna, monarchia che nel 1519, essendo stato incoronato Carlo V a imperatore del Sacro Romano Impero, divenne di fatto la più potente di tutta Europa....', ""*...La Cattedrale di Siviglia, per ampiezza dell'aula, è la più grande della Spagna e la terza del mondo cristiano dopo San Pietro a Roma e Saint Paul a Londra e ciò rispecchia bene l'ambizione e l'entusiasmo di coloro che ne seguirono la costruzione verso la fine del XIV secolo quando la città era una delle più importanti d'Europa....""]","Europa, 35, Calle Siete Revueltas, Alfalfa, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna","{""coordinates"": [-5.992079, 37.390422], ""type"": ""Point""}","Europa, 35, Calle Siete Revueltas, Alfalfa, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna",amenity,bar
7,Hispalis,Hispalis,"['*...Dopo la conquista, i Romani latinizzarono il nome in Hispalis, che in epoca andalusa variò in Ishbiliya (dall\'arabo أشبيليّة), dovuto alla sostituzione della ""p"" (fonema inesistente in arabo) con ""b"" e della ""a"" tonica con ""i"" (fenomeno caratteristico dell\'arabo ispanico conosciuto come Imāla), da cui deriva la forma attuale Sevilla....', '*...Il vincitore Scipione decise allora di fondare una città in cui tenere le truppe e la chiamò Italica, che si trovava a pochi chilometri da Ispal, che sotto dominio romano venne chiamata Hispalis....', '*...Questi due nuclei conobbero epoche di grande splendore e nel 45 a.C. Giulio Cesare concesse a Hispalis il rango di colonia romana, facendone una delle città più importanti della Spagna....', ""*...Nonostante l'importanza di Hispalis in epoca romana oggi a Siviglia ci sono pochissime testimonianze di questo periodo, fatta eccezione per dei resti di un antico acquedotto, a differenza di Italica di cui rimangono tuttora grandi resti del passato romano...."", ""*...Lo stesso Gunderico morì in città due anni più tardi e il suo successore, il figlio Genserico, decise di abbandonare la Spagna per dirigersi alla conquista dell'Africa lasciando Hispalis in mano ai visigoti...."", '*...Il nome della città proviene dal nome indigeno tartessiano Spal o Ispal, dal significato di ""terra pianeggiante""....', ""*...Furono i Tartessi i primi a fondare un insediamento nella zona dell'odierna Siviglia, intorno all'VIII secolo a.C., chiamandolo Ispal....""]","Hispalis, 3, Calle Cefiro, La Calzada, Nervión, Siviglia, Sevilla, Andalusia, 41018, Spagna","{""coordinates"": [-5.975252, 37.387515], ""type"": ""Point""}","Hispalis, 3, Calle Cefiro, La Calzada, Nervión, Siviglia, Sevilla, Andalusia, 41018, Spagna",leisure,sauna
8,Ishbiliya,Ishbiliya,"['*...Dopo la conquista, i Romani latinizzarono il nome in Hispalis, che in epoca andalusa variò in Ishbiliya (dall\'arabo أشبيليّة), dovuto alla sostituzione della ""p"" (fonema inesistente in arabo) con ""b"" e della ""a"" tonica con ""i"" (fenomeno caratteristico dell\'arabo ispanico conosciuto come Imāla), da cui deriva la forma attuale Sevilla....']","Ishbiliya Doner Kebab, Avenida de la Reina Mercedes, Sector Sur-La Palmera-Reina Mercedes, Distrito Bellavista-La Palmera, Siviglia, Sevilla, Andalusia, 41012, Spagna","{""coordinates"": [-5.985921, 37.361225], ""type"": ""Point""}","Ishbiliya Doner Kebab, Avenida de la Reina Mercedes, Sector Sur-La Palmera-Reina Mercedes, Distrito Bellavista-La Palmera, Siviglia, Sevilla, Andalusia, 41012, Spagna",amenity,fast_food
11,Italica,Italica,"['*...Il vincitore Scipione decise allora di fondare una città in cui tenere le truppe e la chiamò Italica, che si trovava a pochi chilometri da Ispal, che sotto dominio romano venne chiamata Hispalis....', ""*...Nonostante l'importanza di Hispalis in epoca romana oggi a Siviglia ci sono pochissime testimonianze di questo periodo, fatta eccezione per dei resti di un antico acquedotto, a differenza di Italica di cui rimangono tuttora grandi resti del passato romano...."", ""*...All'interno del Parco di Maria Luisa, uno dei padiglioni ospita il Museo de Artes y Costumbres Populares. Di fronte a questo, il padiglione delle belle arti ospita attualmente il Museo archeologico di Siviglia, che ospita una collezione di oggetti d'oro dall'età del rame alla romanizzazione, numerose statue provenienti dagli scavi di Italica e alcune leggi romane incise su lastre di bronzo....""]","Calle Itálica, Alfalfa, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41001, Spagna","{""coordinates"": [-5.996467, 37.391138], ""type"": ""Point""}","Calle Itálica, Alfalfa, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41001, Spagna",highway,pedestrian
13,Africa,Africa,"[""*...Lo stesso Gunderico morì in città due anni più tardi e il suo successore, il figlio Genserico, decise di abbandonare la Spagna per dirigersi alla conquista dell'Africa lasciando Hispalis in mano ai visigoti....""]","África de Vicente, 23, Calle Virgen de Regla, Los Remedios, Siviglia, Sevilla, Andalusia, 41011, Spagna","{""coordinates"": [-5.99903, 37.377348], ""type"": ""Point""}","África de Vicente, 23, Calle Virgen de Regla, Los Remedios, Siviglia, Sevilla, Andalusia, 41011, Spagna",craft,dressmaker
14,Occidente,Occidente,"[""*...Sotto il dominio di questi ultimi, nel VI e VII secolo Siviglia tornò ad essere un importante centro culturale dell'Occidente....""]","Parking Catalana Occidente, Calle Camilo José Cela, La Buhaira, Nervión, Siviglia, Sevilla, Andalusia, 41018, Spagna","{""coordinates"": [-5.974871, 37.379893], ""type"": ""Point""}","Parking Catalana Occidente, Calle Camilo José Cela, La Buhaira, Nervión, Siviglia, Sevilla, Andalusia, 41018, Spagna",amenity,parking
16,Toledo,Toledo,"[""*...Nel 712 Musa ibn Nusayr con un esercito di 18\xa0000 uomini attraversò lo stretto di Gibilterra conquistando la città e tutta l'Andalusia giungendo fino a Toledo....""]","Toledo, Calle Juan de Vera, San Roque, Nervión, Siviglia, Sevilla, Andalusia, 41003, Spagna","{""coordinates"": [-5.983947, 37.390744], ""type"": ""Point""}","Toledo, Calle Juan de Vera, San Roque, Nervión, Siviglia, Sevilla, Andalusia, 41003, Spagna",shop,furniture
17,Ishbīliya,Ishbīliya,"['*...Sotto il dominio arabo la città venne chiamata Ishbīliya (in arabo:...', '*...\u200e, Ishbīliya)...']","Ishbiliya Doner Kebab, Avenida de la Reina Mercedes, Sector Sur-La Palmera-Reina Mercedes, Distrito Bellavista-La Palmera, Siviglia, Sevilla, Andalusia, 41012, Spagna","{""coordinates"": [-5.985921, 37.361225], ""type"": ""Point""}","Ishbiliya Doner Kebab, Avenida de la Reina Mercedes, Sector Sur-La Palmera-Reina Mercedes, Distrito Bellavista-La Palmera, Siviglia, Sevilla, Andalusia, 41012, Spagna",amenity,fast_food
24,Alcazar,Alcazar,"[""*...A quest'ultimo periodo del dominio islamico si devono la costruzione di monumenti come la Giralda, la Torre dell'Oro, l'Alcazar e le mura della Macarena...."", ""*...Ferdinando III decise inoltre di spostare la corte del Regno di Castiglia nell'Alcazar, la fortezza araba, che divenne così la prima residenza reale....""]","Casa Fabiola, 5, Calle Fabiola, San Bartolomé, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna","{""coordinates"": [-5.989281, 37.387204], ""type"": ""Point""}","Casa Fabiola, 5, Calle Fabiola, San Bartolomé, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna",tourism,museum
