,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Serdica,Serdica,"[""*...Affonda le sue radici all'epoca dei Traci, che la chiamarono Serdica...."", '*...La Chiesa di San Giorgio (in bulgaro: Ротонда „Свети Георги""?, traslitterato: Rotonda ""Sveti Georgi"") è una Chiesa a pianta circolare di epoca paleocristiana. Costruita in laterizio rosso, è considerata il più antico edificio della capitale bulgara. Fu costruita nel IV secolo e venne decorata con affreschi nel X secolo e poi ancora nel XII secolo. Durante il periodo ottomano fu convertita in moschea. Oggi è un Museo, e si trova circondata dai resti dell\'antica Serdica e da un albergo. Degli affreschi di 22 profeti, risalenti al XII-XIV secolo, ricoprono la cupola....']","Антична Сердика, пл. Независимост, Оборище, Sofia, Столична, София-град, 1000, Bulgaria","{""coordinates"": [23.322257, 42.69809], ""type"": ""Point""}","Антична Сердика, пл. Независимост, Оборище, Sofia, Столична, София-град, 1000, Bulgaria",railway,subway_entrance
4,Bojana,Bojana,"[""*...Tra le principali attrazioni troviamo la Chiesa di Bojana (inserita tra i Patrimoni dell'Umanità dell'UNESCO nel 1979), la Chiesa di San Giorgio, la Chiesa di Santa Sofia e la cattedrale di Aleksandăr Nevski...."", ""...La Chiesa di Bojana, situata nel quartiere omonimo a sud del centro, è dal 1979 patrimonio dell'umanità....""]","Национален исторически музей, 16, Витошко лале, ж.к. Манастирски ливади - запад, Sofia, Столична, София-град, 1618, Bulgaria","{""coordinates"": [23.270931, 42.655024], ""type"": ""Point""}","Национален исторически музей, 16, Витошко лале, ж.к. Манастирски ливади - запад, Sofia, Столична, София-град, 1618, Bulgaria",tourism,museum
11,Vladajski,Vladajski,"['*...Cinque passi montani portano alla città, il Vladajski, il Dragomanski, il Petrohanski, il Botevgradski e Vitinya....']","Владайски манастир, 1;6, м. Св. Петка, Владая, Витоша, Столична, София-град, 1641, Bulgaria","{""coordinates"": [23.186299, 42.624836], ""type"": ""Point""}","Владайски манастир, 1;6, м. Св. Петка, Владая, Витоша, Столична, София-град, 1641, Bulgaria",amenity,place_of_worship
16,Iskăr,Iskăr,"['*...Attraverso i quartieri orientali scorre il fiume Iskăr, ma in questo suo tratto non ha ancora una grande portata....', '*...Iskăr (Искър) (Busmanci)\n10. Kremikovci (Кремиковци) (Buhovo, Željava, Jana, Gorni Borgov, Dolni Borgov)\n16....']","Искър, Оборище, Sofia, Столична, София-град, 1377, Bulgaria","{""coordinates"": [23.324458, 42.699649], ""type"": ""Point""}","Искър, Оборище, Sofia, Столична, София-град, 1377, Bulgaria",highway,residential
26,Rotonda,Rotonda,"['*...La Chiesa di San Giorgio (in bulgaro: Ротонда „Свети Георги""?, traslitterato: Rotonda ""Sveti Georgi"") è una Chiesa a pianta circolare di epoca paleocristiana. Costruita in laterizio rosso, è considerata il più antico edificio della capitale bulgara. Fu costruita nel IV secolo e venne decorata con affreschi nel X secolo e poi ancora nel XII secolo. Durante il periodo ottomano fu convertita in moschea. Oggi è un Museo, e si trova circondata dai resti dell\'antica Serdica e da un albergo. Degli affreschi di 22 profeti, risalenti al XII-XIV secolo, ricoprono la cupola....']","Ротонда, пл. Света Неделя, Център, Средец, Sofia, Столична, София-град, 1301, Bulgaria","{""coordinates"": [23.322755, 42.696668], ""type"": ""Point""}","Ротонда, пл. Света Неделя, Център, Средец, Sofia, Столична, София-град, 1301, Bulgaria",amenity,cafe
27,Sveti Georgi,Sveti Georgi,"['*...La Chiesa di San Giorgio (in bulgaro: Ротонда „Свети Георги""?, traslitterato: Rotonda ""Sveti Georgi"") è una Chiesa a pianta circolare di epoca paleocristiana. Costruita in laterizio rosso, è considerata il più antico edificio della capitale bulgara. Fu costruita nel IV secolo e venne decorata con affreschi nel X secolo e poi ancora nel XII secolo. Durante il periodo ottomano fu convertita in moschea. Oggi è un Museo, e si trova circondata dai resti dell\'antica Serdica e da un albergo. Degli affreschi di 22 profeti, risalenti al XII-XIV secolo, ricoprono la cupola....']","Свети Георги, Искърско дефиле, в.з. Ласка, Владо Тричков, Своге, Софийска, 2299, Bulgaria","{""coordinates"": [23.357723, 42.859006], ""type"": ""Point""}","Свети Георги, Искърско дефиле, в.з. Ласка, Владо Тричков, Своге, Софийска, 2299, Bulgaria",amenity,restaurant
29,Banja Baši,Banja Baši,"['*...La moschea Banja Baši, costruita dal celebre architetto ottomano Sinān nel XVI secolo, è la principale testimonianza della dominazione turca sulla città....']","Баня баши джамия, бул. Княгиня Мария Луиза, Оборище, Sofia, Столична, София-град, 1000, Bulgaria","{""coordinates"": [23.322572, 42.6995], ""type"": ""Point""}","Баня баши джамия, бул. Княгиня Мария Луиза, Оборище, Sofia, Столична, София-град, 1000, Bulgaria",amenity,place_of_worship
35,Largo,Largo,"['*...La Presidenza della Repubblica, così come il Consiglio dei Ministri, è situata in piazza Indipendenza, popolarmente conosciuto come Largo o il Triangolo del Potere....']","Ларгото, Оборище, Sofia, Столична, София-град, Bulgaria","{""coordinates"": [23.322918, 42.697786], ""type"": ""Point""}","Ларгото, Оборище, Sofia, Столична, София-град, Bulgaria",highway,pedestrian
37,Bălgarska,Bălgarska,"[""*...Ci sono inoltre altre istituzioni nazionali (l'Istituto statistico nazionale, l'amministrazione centrale della viabilità e altre), varie istituzioni economiche (Българска стопанска камара, Bălgarska stopanska kamara, la Camera dell'Economia Bulgara) ed altri organi, il cui compito principale è l'attuazione del processo di riforma del Paese (Agenzia per la privatizzazione, Agenzia per la privatizzazione di massa, Agenzia per gli investimenti stranieri)....""]","Първа българска армия, НПЗ Хаджи Димитър, кв. Орландовци, Сердика, Sofia, Столична, София-град, 1510, Bulgaria","{""coordinates"": [23.346236, 42.711327], ""type"": ""Point""}","Първа българска армия, НПЗ Хаджи Димитър, кв. Орландовци, Сердика, Sofia, Столична, София-град, 1510, Bulgaria",highway,tertiary
41,Възраждане,Възраждане,['*...Văzraždane (Възраждане)\n5....'],"Възраждане, кв. Кремиковци, район Кремиковци, Столична, София-град, 1849, Bulgaria","{""coordinates"": [23.493854, 42.777602], ""type"": ""Point""}","Възраждане, кв. Кремиковци, район Кремиковци, Столична, София-град, 1849, Bulgaria",highway,residential
