,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Scandinavia,Scandinavia,"['*...Con 984\xa0748 abitanti è la principale città della Svezia e della Scandinavia, nonché il centro di riferimento economico e culturale della nazione....']","Oriental Pacific Scandinavia AB, Rådmansgatan, Sabbatsberg, Vasastaden, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 24, Svezia","{""coordinates"": [18.05104, 59.338507], ""type"": ""Point""}","Oriental Pacific Scandinavia AB, Rådmansgatan, Sabbatsberg, Vasastaden, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 24, Svezia",office,travel_agent
3,Riddarfjärden,Riddarfjärden,"[""*...Il centro della città è situato potenzialmente nell'acqua, nella baia di Riddarfjärden, ed il centro storico è rappresentato da Gamla stan....""]","m/s Riddarfjärden, Evert Taubes Terrass, Riddarholmen, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 101 23, Svezia","{""coordinates"": [18.061114, 59.325614], ""type"": ""Point""}","m/s Riddarfjärden, Evert Taubes Terrass, Riddarholmen, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 101 23, Svezia",amenity,boat_rental
4,Gamla stan,Gamla stan,"[""*...Il centro della città è situato potenzialmente nell'acqua, nella baia di Riddarfjärden, ed il centro storico è rappresentato da Gamla stan...."", '*...In quel periodo la città era compresa nelle zone di Helgeandsholmen, Staden e Riddarholmen, che oggi formano la cosiddetta Gamla stan, o città vecchia, insieme a quella di Sigtuna, situata sulle rive del lago Mälaren, e successivamente si estese lentamente sulla terraferma verso nord e verso sud....']","Gamla stan, Stortorget, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 29, Svezia","{""coordinates"": [18.070643, 59.324953], ""type"": ""Point""}","Gamla stan, Stortorget, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 29, Svezia",tourism,attraction
7,Italia,Italia,['*...Ne deriva quindi una parabola apparente nettamente meno accentuata che in Italia:...'],"Deli Italia, Åsögatan, Danvikstull, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 116 32, Svezia","{""coordinates"": [18.089947, 59.314719], ""type"": ""Point""}","Deli Italia, Åsögatan, Danvikstull, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 116 32, Svezia",amenity,fast_food
16,Sigtuna,Sigtuna,"['*...In quel periodo la città era compresa nelle zone di Helgeandsholmen, Staden e Riddarholmen, che oggi formano la cosiddetta Gamla stan, o città vecchia, insieme a quella di Sigtuna, situata sulle rive del lago Mälaren, e successivamente si estese lentamente sulla terraferma verso nord e verso sud....']","Sigtunagatan, Sabbatsberg, Vasastaden, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 113 22, Svezia","{""coordinates"": [18.040811, 59.342445], ""type"": ""Point""}","Sigtunagatan, Sabbatsberg, Vasastaden, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 113 22, Svezia",highway,footway
24,Sankt Jacobs,Sankt Jacobs,"['*...Sankt Jacobs kyrka, la Chiesa di San Giacomo, che unisce stili diversi, dal gotico baltico, al rinascimentale, al barocco....']","Jakobs kyrka, Jakobs Torg, Klara, Norrmalm, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 47, Svezia","{""coordinates"": [18.070489, 59.330435], ""type"": ""Point""}","Jakobs kyrka, Jakobs Torg, Klara, Norrmalm, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 47, Svezia",amenity,place_of_worship
26,Sofia,Sofia,"['*...Chiesa di Sofia, Sofia kyrka, in onore della regina Sofia di Nassau....']","Sofia, Tjärhovsgatan, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 116 30, Svezia","{""coordinates"": [18.086468, 59.315981], ""type"": ""Point""}","Sofia, Tjärhovsgatan, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 116 30, Svezia",railway,proposed
34,Skogskyrkogården,Skogskyrkogården,['*...Il Castello di Drottningholm e il Cimitero sud chiamato Skogskyrkogården....'],"Skogskyrkogården, Nynäsvägen, Enskede, Enskede-Årsta-Vantörs stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 122 34, Svezia","{""coordinates"": [18.090972, 59.28054], ""type"": ""Point""}","Skogskyrkogården, Nynäsvägen, Enskede, Enskede-Årsta-Vantörs stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 122 34, Svezia",highway,bus_stop
37,Kungliga Dramatiska Teatern,Kungliga Dramatiska Teatern,"[""*...Il Teatro Reale Drammatico (Kungliga Dramatiska Teatern) è tra i teatri fondatori dell'Unione dei Teatri d'Europa...."", ""*...Fra i teatri di Stoccolma spiccano per la prosa il Regio Teatro di Arte Drammatica (Kungliga Dramatiska Teatern) risalente alla fine del XIX secolo ed uno dei più rinomati in Europa, il Vasateatern e per la lirica l'Opera reale svedese (Kungliga Operan), inaugurata nel 1773...."", '*...La Biblioteca reale (Kungliga biblioteket) di Stoccolma è la biblioteca nazionale della Svezia....', ""...Dedicati ai patrimoni della famiglia reale, vi sono il Museo Tre Kronor presso le fondamenta del palazzo reale, lo Skattkammaren ossia la tesoreria Reale, il Gustav III antikmuseum con i tesori dell'antico monarca, il Livrustkammaren, ossia l'Armeria Reale, e il Kungliga Myntkabinettet la Zecca Reale con le sue monete...."", ""...La Sala da concerto (Konserthus) è la principale sala per la musica orchestrale nonché la sede dell'Orchestra Filarmonica Reale di Stoccolma (Kungliga Filharmonikerna)....""]","Dramaten, Sibyllegatan, Östermalm, Östermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 102 41, Svezia","{""coordinates"": [18.077012, 59.33329], ""type"": ""Point""}","Dramaten, Sibyllegatan, Östermalm, Östermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 102 41, Svezia",amenity,theatre
49,Södertörns,Södertörns,"[""*...Scuola superiore di Södertörns. Fondato nella parte Sud dell'area metropolitana di Stoccolma per bilanciare la maggior presenza di Istituti universitari nella parte Nord....""]","Farsta strand, Magelungsvägen, Farsta strand, Farsta stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 123 50, Svezia","{""coordinates"": [18.103286, 59.236638], ""type"": ""Point""}","Farsta strand, Magelungsvägen, Farsta strand, Farsta stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 123 50, Svezia",railway,station
