,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Madrid,Madrid,"['*...Valencia è la terza città del paese per numero di abitanti dopo Madrid e Barcellona;...', ""*...Dopo lo sconvolgimento della Rivoluzione francese, e l'insurrezione popolare di Madrid del 2 maggio 1808, anche i valenciani presero le armi e si sollevarono il 23 maggio 1808...."", '*...Nel novembre 1936, dopo la caduta di Madrid nella guerra civile spagnola, la capitale della Repubblica venne spostata a Valencia....', ""*...La città è collegata con l'Alta Velocità AVE di Renfe a Barcellona e Madrid direttamente dalla nuova stazione Joaquin Sorolla inaugurata recentemente...."", ""*...Valencia è collegata a Madrid tramite l'autovía A-3 e a Barcellona attraverso l'autopista AP-7, che collega tutte le maggiori città della costa mediterranea spagnola...."", ""*...Quest'ultima è una stazione provvisoria per la nuova linea ad alta velocità che collega la città con Madrid, Cuenca e Albacete, che si trova in Calle San Vicente, non distante dalla stazione nord...."", '*...Quattro di esse comunicano con altrettante tratte a media e lunga distanza che collegano Valencia con Madrid, Barcellona, Albacete e Saragozza....', ""*...Aperto nel marzo del 1933, l'anno successivo fu incluso nell'area doganale e il 1º settembre divenne operativa la prima tratta regolare di collegamento fra Madrid e Valencia...."", '*...La metro di Valencia è stata la terza rete metropolitana costruita in Spagna, dopo quelle di Madrid e Barcellona ed è seconda per numero di chilometri soltanto a quella della capitale iberica....']","Madrid, Carrer del Cabanyal, Sant Antoni, Cullera, la Ribera Baixa, Valencia, Comunità Valenzana, 46400, Spagna","{""coordinates"": [-0.244883, 39.164236], ""type"": ""Point""}","Madrid, Carrer del Cabanyal, Sant Antoni, Cullera, la Ribera Baixa, Valencia, Comunità Valenzana, 46400, Spagna",amenity,cafe
3,Spagna,Spagna,"['*...Sorge sul golfo che reca il suo nome, lungo la costa centro-orientale della Spagna e alla foce del fiume Turia....', '*...Il re Ferdinando VII rientrò in Spagna nel 1814 proprio da Valencia, e ripristinò la monarchia assoluta....', '*...Seguì un periodo di forti conflitti tra opposte fazioni in tutta la Spagna....', ""*...Si aprì così un'epoca di grandi cambiamenti per tutta la Spagna, quindi anche a Valencia, con la riforma delle cariche pubbliche e dell'amministrazione statale e locale...."", '*...Questo piatto, che internazionalmente viene associato alla cucina spagnola, è originario proprio di Valencia, e si è diffuso nel resto della Spagna solo a partire dalla fine del XIX secolo....', ""...Il Palazzo dei Congressi, progettato dall'architetto inglese Norman Foster, fu inaugurato dai re di Spagna nel 1998 e si estende su una superficie di 15.581 m², dotata di tre auditorium e sale conferenze, nove sale commissioni e una sala espositiva di 1.077 m²...."", '*...La Feria Muestrario Internacional de Valencia è il più antico soggetto organizzatore di eventi fieristici di tutta la Spagna....', ""*...Mentre la Logistics Activities Zone (ZAL) di Valencia è un centro logistico multimodale di stoccaggio della merce marittima, che ospita le sedi operative e amministrative di varie che traggono profitto dalle sinergie con l'ampia rete stradale e ferroviaria, collegate al resto della Spagna...."", ""*...L'Aeroporto ospita voli per tutta la Spagna, l'Europa e le città del Nord Africa...."", '*...La metro di Valencia è stata la terza rete metropolitana costruita in Spagna, dopo quelle di Madrid e Barcellona ed è seconda per numero di chilometri soltanto a quella della capitale iberica....', '...Ha in bacheca il titolo di Campione di Spagna stagione 2016-2017 (Liga ACB), una Coppa del Re e una Coppa ULEB, 4 titoli Eurocup....', '*...Les Abelles che gioca nella División de Honor, la serie A del rugby in Spagna;...']","Piazza di Spagna, 1-E, Partida Colari, La Merced, Calp, la Marina Alta, Alacant / Alicante, Comunità Valenzana, 03710, Spagna","{""coordinates"": [0.068693, 38.652772], ""type"": ""Point""}","Piazza di Spagna, 1-E, Partida Colari, La Merced, Calp, la Marina Alta, Alacant / Alicante, Comunità Valenzana, 03710, Spagna",amenity,restaurant
5,València/Valencia,València/Valencia,"['*...Attualmente viene ufficialmente riconosciuta la denominazione bilingue València/Valencia, che vale anche per la provincia omonima....']","Valencia - Estació del Nord, 24, Carrer de Xàtiva, Russafa, l'Eixample, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46007, Spagna","{""coordinates"": [-0.377374, 39.466316], ""type"": ""Point""}","Valencia - Estació del Nord, 24, Carrer de Xàtiva, Russafa, l'Eixample, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46007, Spagna",building,train_station
8,Sertorio,Sertorio,"[""*...Nel corso della guerra tra Pompeo e Sertorio (75 a.C.), la città fu distrutta e successivamente abbandonata per più di cinquant'anni....""]","Calle de Sertorio, Llíria, el Camp de Túria, Valencia, Comunità Valenzana, 46160, Spagna","{""coordinates"": [-0.592578, 39.624713], ""type"": ""Point""}","Calle de Sertorio, Llíria, el Camp de Túria, Valencia, Comunità Valenzana, 46160, Spagna",highway,residential
10,Hispania,Hispania,"[""*...Queste ultime erano riuscite infatti a portare la frontiera dell'Hispania bizantina fino a una ventina di chilometri a sud della città, a ridosso del fiume Xúquer (Júcar)....""]","Hispania, escuela de español, 11, Carrer de Bernat i Baldoví, Jaume Roig, el Pla del Real, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46010, Spagna","{""coordinates"": [-0.364916, 39.4801], ""type"": ""Point""}","Hispania, escuela de español, 11, Carrer de Bernat i Baldoví, Jaume Roig, el Pla del Real, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46010, Spagna",amenity,school
11,Xúquer,Xúquer,"[""*...Queste ultime erano riuscite infatti a portare la frontiera dell'Hispania bizantina fino a una ventina di chilometri a sud della città, a ridosso del fiume Xúquer (Júcar)....""]","Carrer d'Alcàntera de Xúquer, Tres Forques, l'Olivereta, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46014, Spagna","{""coordinates"": [-0.401327, 39.467854], ""type"": ""Point""}","Carrer d'Alcàntera de Xúquer, Tres Forques, l'Olivereta, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46014, Spagna",highway,residential
12,Júcar,Júcar,"[""*...Queste ultime erano riuscite infatti a portare la frontiera dell'Hispania bizantina fino a una ventina di chilometri a sud della città, a ridosso del fiume Xúquer (Júcar)....""]","Carrer d'Alcàntera de Xúquer, Tres Forques, l'Olivereta, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46014, Spagna","{""coordinates"": [-0.401327, 39.467854], ""type"": ""Point""}","Carrer d'Alcàntera de Xúquer, Tres Forques, l'Olivereta, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46014, Spagna",highway,residential
13,Balansiya,Balansiya,"['*...Sotto i Mori fu nota come Balansiya....', '*...Valencia, ovvero Balansiya (la denominazione in uso presso i musulmani) progressivamente assorbì gli usi, la lingua, la cultura e la religione dei suoi nuovi abitanti....', ""...Cattedrale di Valencia; consacrata nel 1238 dopo la Reconquista, è dedicata all'Assunzione di Maria e venne costruita sull'antica moschea di Balansiya....""]","Reataurante Balansiya, Passeig de les Facultats, la Carrasca, Algirós, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46021, Spagna","{""coordinates"": [-0.34784, 39.477881], ""type"": ""Point""}","Reataurante Balansiya, Passeig de les Facultats, la Carrasca, Algirós, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46021, Spagna",amenity,restaurant
15,Damasco,Damasco,"[""*...Fu costruito il palazzo della Rusàfa (che diede il nome a uno dei quartieri della città, riprendendo il nome d'una residenza califfale a Damasco), venne creata una prima cerniera di coltivazioni al di fuori della città (in corrispondenza dell'attuale barrio del Carmen) e l'antica sede episcopale visigota fu convertita nella piazza della residenza del governatore (wālī), nominato dal califfo di Cordova nel periodo del califfato di Cordova....""]","Calle Damasco, el Baladrar - Punta Estrella, Teulada, la Marina Alta, Alacant / Alicante, Comunità Valenzana, 03724, Spagna","{""coordinates"": [0.107449, 38.679388], ""type"": ""Point""}","Calle Damasco, el Baladrar - Punta Estrella, Teulada, la Marina Alta, Alacant / Alicante, Comunità Valenzana, 03724, Spagna",highway,residential
16,Cordova,Cordova,"[""*...Fu costruito il palazzo della Rusàfa (che diede il nome a uno dei quartieri della città, riprendendo il nome d'una residenza califfale a Damasco), venne creata una prima cerniera di coltivazioni al di fuori della città (in corrispondenza dell'attuale barrio del Carmen) e l'antica sede episcopale visigota fu convertita nella piazza della residenza del governatore (wālī), nominato dal califfo di Cordova nel periodo del califfato di Cordova...."", ""*...Valencia tornò in auge dopo la caduta degli Omayyadi di Cordova nel 1010, con la creazione di una propria taifa o regno indipendente che si organizzò grazie a due liberti di Almanzor (al-Mansūr Ibn Abī 'Āmir), il grande Reggente dell'ultimo periodo califfale....""]","Carrer de Còrdova, Beniferri, Pobles de l'Oest, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46035, Spagna","{""coordinates"": [-0.405177, 39.49512], ""type"": ""Point""}","Carrer de Còrdova, Beniferri, Pobles de l'Oest, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46035, Spagna",highway,residential
