,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Verona,Verona,"[""*...Secondo comune della regione per popolazione dopo Verona e primo in Veneto per superficie, comprende sia territori insulari sia di terraferma ed è articolato attorno ai due principali centri di Venezia (al centro dell'omonima laguna) e di Mestre (nella terraferma)...."", ""*...La loggetta in marmo rosso di Verona è un'opera di Jacopo Sansovino, e su di essa si trovano i bassorilievi che raffigurano allegorie con le imprese della Repubblica del Leone...."", ""*...Milano-Venezia: collega il capoluogo lagunare all'Italia nord-occidentale, passando per Vicenza, Verona e Brescia. Alcuni treni proseguono poi per Torino. Anche i treni diretti verso l'Italia centro-meridionale (Bologna, Firenze, Roma, Napoli, Salerno, Bari, Lecce) percorrono questa linea fino a Padova, da dove proseguono sulla linea Padova-Bologna....""]","Verona, Via Fiumicello, Borgo Venezia, Est, Verona, Veneto, 37131, Italia","{""coordinates"": [11.019728, 45.439346], ""type"": ""Point""}","Verona, Via Fiumicello, Borgo Venezia, Est, Verona, Veneto, 37131, Italia",tourism,hotel
8,Berlino,Berlino,"[""*...Insieme a Cannes e Berlino, è considerata una delle capitali del Cinema europeo, grazie alla Mostra internazionale d'arte cinematografica....""]","Via Berlino, Lido di Jesolo, Jesolo, Venezia, Veneto, 30017, Italia","{""coordinates"": [12.64145, 45.507286], ""type"": ""Point""}","Via Berlino, Lido di Jesolo, Jesolo, Venezia, Veneto, 30017, Italia",highway,residential
9,Garbìn,Garbìn,"['*...I venti principali sono la bora (NE), dominante nei mesi invernali, lo scirocco (SE) in estate e, meno frequente, il libeccio (SW, detto localmente Garbìn)....']","Parrucchieri Linea Uno Luca e Vito Garbin, Via Giacomo Matteotti, Orgnano, Fornase, Spinea, Venezia, Veneto, 30038, Italia","{""coordinates"": [12.167638, 45.489275], ""type"": ""Point""}","Parrucchieri Linea Uno Luca e Vito Garbin, Via Giacomo Matteotti, Orgnano, Fornase, Spinea, Venezia, Veneto, 30038, Italia",shop,hairdresser
10,Sole,Sole,"[""*...La marea astronomica, correlata al moto dei corpi celesti, principalmente Luna e Sole, e il contributo meteorologico dovuto allo stato dell'atmosfera...."", '...Complessivamente, vivevano sole 57\xa0204 persone (nel 2000 non erano nemmeno 42\xa0000)....']","Sole, Viale Mediterraneo, Chioggia, Venezia, Veneto, 30015, Italia","{""coordinates"": [12.30005, 45.198473], ""type"": ""Point""}","Sole, Viale Mediterraneo, Chioggia, Venezia, Veneto, 30015, Italia",tourism,hotel
12,mare Adriatico,mare Adriatico,"[""*...Il rialzo dell'acqua oltre il livello di marea è un fenomeno normale in un bacino chiuso come il mare Adriatico e il vento che lo favorisce non è tanto la bora, comune a Venezia, ma lo scirocco che agisce in senso longitudinale su tutta la massa d'acqua dell'Adriatico...."", ""...La città è stata per 1\xa0100 anni la capitale della Serenissima Repubblica di Venezia ed è conosciuta a questo riguardo come la Serenissima, la Dominante e la Regina dell'Adriatico:..."", ""*...Snodo di intensi traffici commerciali che collegavano l'Adriatico con il centro e il nord Europa, in questo periodo si svilupparono nella zona alcuni insediamenti, fra i quali spiccava, ormai con una fisionomia protourbana, il centro di Altino...."", ""*...All'apice della sua potenza, nel XIII secolo, Venezia dominava gran parte delle coste dell'Adriatico, regioni quali la Dalmazia, l'Istria, molte delle isole dell'Egeo, Creta, Cipro, Corfù, ed era la più importante potenza militare e fra le principali forze mercantili nel Medio Oriente...."", ""*...I prodotti degli orti delle isole, il riso della terraferma, la cacciagione, la pesca nell'alto Adriatico, la polenta....""]","Via Mare Adriatico, Mira Porte, Mira, Venezia, Veneto, 30034, Italia","{""coordinates"": [12.138679, 45.431168], ""type"": ""Point""}","Via Mare Adriatico, Mira Porte, Mira, Venezia, Veneto, 30034, Italia",highway,residential
13,Venédia,Venédia,"['*...Il toponimo ""Venezia"" (e le sue antiche varianti: Venédia, Venétia, Venésia, Venéxia, Vinegia) era utilizzato inizialmente per indicare tutta la terra delle popolazioni venete preromane....']","Venedia Fattorie. Caseficio Km Zero Azienda Agricola, 96, Via Giannino Ancillotto, Stretti, Eraclea, Venezia, Veneto, 30020, Italia","{""coordinates"": [12.743358, 45.635516], ""type"": ""Point""}","Venedia Fattorie. Caseficio Km Zero Azienda Agricola, 96, Via Giannino Ancillotto, Stretti, Eraclea, Venezia, Veneto, 30020, Italia",shop,dairy
14,Venétia,Venétia,"['*...Il toponimo ""Venezia"" (e le sue antiche varianti: Venédia, Venétia, Venésia, Venéxia, Vinegia) era utilizzato inizialmente per indicare tutta la terra delle popolazioni venete preromane....']","Torre dell'orologio, Calle del Pellegrin, San Marco, Venezia-Murano-Burano, Lido, Venezia, Veneto, 30124, Italia","{""coordinates"": [12.338946, 45.434743], ""type"": ""Point""}","Torre dell'orologio, Calle del Pellegrin, San Marco, Venezia-Murano-Burano, Lido, Venezia, Veneto, 30124, Italia",tourism,attraction
15,X Regio,X Regio,"[""*...Venetia compare così nella suddivisione amministrativa augustea dell'Italia (6 d.C.) e, accanto all'antica Istria, faceva parte della X Regio....""]","Via X Regio, San Giusto, Concordia Sagittaria, Venezia, Veneto, 30026, Italia","{""coordinates"": [12.824515, 45.760118], ""type"": ""Point""}","Via X Regio, San Giusto, Concordia Sagittaria, Venezia, Veneto, 30026, Italia",highway,residential
21,Europa,Europa,"[""*...Snodo di intensi traffici commerciali che collegavano l'Adriatico con il centro e il nord Europa, in questo periodo si svilupparono nella zona alcuni insediamenti, fra i quali spiccava, ormai con una fisionomia protourbana, il centro di Altino...."", ""*...Nel XVIII secolo Venezia era tra le città più importanti d'Europa, con una forte influenza sull'arte, sull'architettura e sulla letteratura del tempo...."", ""*...Dal 1991 Venezia è sede dell'Arcidiocesi ortodossa d'Italia e Malta ed esarcato per l'Europa meridionale, di lingua greca e rito bizantino, con relativo metropolita nell'autorità del Patriarcato ecumenico di Costantinopoli...."", ""*...Nata nel 1868 come prima Business School d'Italia e seconda in Europa, dopo quella di Anversa, ha la sede principale presso Ca' Foscari, palazzo gotico affacciato sul Canal Grande...."", ""*...La storia artistica veneziana si è sviluppata nei secoli in modo singolare e anacronistico, rispetto al resto dell'Europa, seguendo un percorso di originalità e di lenta elaborazione degli influssi esterni...."", '*...Tra di loro troviamo Giovanni Battista Pittoni (1687–1767) e Giovanni Battista Tiepolo (1696–1770) che dipinge in Italia e in Europa....', ""*...Tra i veneziani più conosciuti vi è Marco Polo (1254–1324) autore de Il Milione, divenuta l'opera più famosa per la conoscenza del mondo asiatico e della Cina nell'Europa del Medioevo...."", ""*...L'estensione totale del centro storico, escluse le acque interne e le isole maggiori, è pari a 797,96 ettari, il che ne fa uno dei centri storici più grandi d'Italia e d'Europa...."", ""*...Venezia-Trieste: è il collegamento con la Slovenia e l'Europa orientale e balcanica...."", ""*...Venezia-Udine: permette collegamenti con il Veneto settentrionale (a Conegliano si collega con la linea per Ponte nelle Alpi) e con l'Austria e l'Europa centrale e settentrionale....""]","Europa, 361, Via Andrea Bafile, Lido di Jesolo, Jesolo, Venezia, Veneto, 30016, Italia","{""coordinates"": [12.624444, 45.498055], ""type"": ""Point""}","Europa, 361, Via Andrea Bafile, Lido di Jesolo, Jesolo, Venezia, Veneto, 30016, Italia",tourism,hotel
22,Altino,Altino,"[""*...Snodo di intensi traffici commerciali che collegavano l'Adriatico con il centro e il nord Europa, in questo periodo si svilupparono nella zona alcuni insediamenti, fra i quali spiccava, ormai con una fisionomia protourbana, il centro di Altino...."", '*...Parallelamente, si trasferirono in laguna le maggiori istituzioni religiose, come il vescovo di Altino a Torcello....']","Altino, Via Sant'Eliodoro, Altino, Quarto d'Altino, Venezia, Veneto, Italia","{""coordinates"": [12.399359, 45.546251], ""type"": ""Point""}","Altino, Via Sant'Eliodoro, Altino, Quarto d'Altino, Venezia, Veneto, Italia",historic,archaeological_site
