,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Amstel,Amstel,"['...Amsterdam ( AM-stər-dam,  AM-stər-DAM, Dutch:\xa0 ; lit. ""The Dam on the River Amstel"") is the capital and most populous city of the Netherlands, with The Hague being the seat of government....', ""*...Amsterdam was founded at the mouth of the Amstel River that was dammed to control flooding; the city's name derives from the Amstel dam...."", '*...They lived along the prehistoric IJ river and upstream of its tributary Amstel....', ""*...Neolithic and Roman artefacts have also been found in the prehistoric Amstel bedding under Amsterdam's Damrak and Rokin, such as shards of Bell Beaker culture pottery (2200-2000 BC) and a granite grinding stone (2700-2750 BC), but the location of these artefacts around the river banks of the Amstel probably point to a presence of a modest semi-permanent or seasonal settlement...."", '*...Until water issues were controlled, a permanent settlement would not have been possible, since the river mouth and the banks of the Amstel in this period in time were too wet for permanent habitation....', '*...This side arm took the name from the eponymous land: Amstel....', '...These farmers were starting the reclamation around upstream Ouderkerk aan de Amstel, and later at the other side of the river at Amstelveen....', '...The Van Amstel family, known in documents by this name since 1019, held the stewardship in this northwestern nook of the ecclesiastical district of the bishop of Utrecht....', ""*...A major turning point in the development of the Amstel river mouth was the All Saint's Flood of 1170...."", '*...In an extremely short period of time, the shallow river IJ turned into a wide estuary, which from then on offered the Amstel an open connection to the Zuiderzee, IJssel and waterways further afield....', '*...This made the water flow of the Amstel more active, so excess water could be drained better....', '*...With drier banks, the downstream Amstel mouth became attractive for permanent habitation....', '*...The construction of a dam at the mouth of the Amstel, eponymously named Dam, is historically estimated to have occurred between 1264 and 1275....', ""...The settlement first appeared in a document from 1275, concerning a road toll granted by the count of Holland Floris V to the residents apud Amestelledamme 'at the dam in the Amstel' or 'at the dam of Amstelland'...."", '*...This was a move in a years-long struggle for power in the area between the count of Holland and the Amstel family who governed the area on behalf of the bishop of Utrecht....', '*...The river Amstel ends in the city centre and connects to a large number of canals that eventually terminate in the IJ....', '...The eastern part of the concentric canal plan, covering the area between the Amstel river and the IJ bay, has never been implemented....', ""*...Around the Amstel railway station in the Amsterdam-Oost district to the east of the historical city. Amsterdam's tallest building, the Rembrandt Tower, is located here. As are the headquarters of Philips, the Dutch multinational conglomerate. Amsterdam has been a leading city to reduce the use of raw materials and has created a plan to become a circular city by 2050...."", '*...This huge modern complex, opened in 1986, lies in the former Jewish neighbourhood at Waterlooplein next to the river Amstel....', '...The ice hockey team Amstel Tijgers play in the Jaap Eden ice rink....', ""...These St Andrew's crosses can also be found on the city shields of neighbours Amstelveen and Ouder-Amstel...."", '...International coach services are provided by Eurolines from Amsterdam Amstel railway station, IDBUS from Amsterdam Sloterdijk railway station, and Megabus from the Zuiderzeeweg in the east of the city....', '*...Five are intercity stops: Sloterdijk, Zuid, Amstel, Bijlmer ArenA and Amsterdam Centraal....']","Amstel, Grachtengordel, Centrum, Amsterdam, North Holland, Netherlands, 1017 AA, Netherlands","{""coordinates"": [4.895004, 52.367017], ""type"": ""Point""}","Amstel, Grachtengordel, Centrum, Amsterdam, North Holland, Netherlands, 1017 AA, Netherlands",highway,secondary
4,Dam Square,Dam Square,"[""...Amsterdam's main attractions include its historic canals; the Rijksmuseum, the state museum with a vast collection of Dutch Golden Age art; the Van Gogh Museum; the Dam Square, where the Royal Palace of Amsterdam and former city hall (stadhuis) are located; the Amsterdam Museum; Stedelijk Museum, with modern art; Hermitage Amsterdam, the Concertgebouw concert hall; the Anne Frank House; the Het Scheepvaartmuseum, the Heineken Experience, the Natura Artis Magistra; Hortus Botanicus, NEMO, the red-light district and many cannabis coffee shops...."", '*...A famous building in baroque style in Amsterdam is the Royal Palace on Dam Square....', '*...The namesake of the city as the site of the original dam, Dam Square, is the main city square and has the Royal Palace and National Monument....', '*...It is near Dam Square in the city centre....', '*...The ceremony traditionally takes place at the Nieuwe Kerk on Dam Square, immediately after the former monarch has signed the act of abdication at the nearby Royal Palace of Amsterdam....']","Dam Square, Centrum, Amsterdam, North Holland, Netherlands, 1012 NP, Netherlands","{""coordinates"": [4.892515, 52.373243], ""type"": ""Point""}","Dam Square, Centrum, Amsterdam, North Holland, Netherlands, 1012 NP, Netherlands",highway,pedestrian
5,Concertgebouw,Concertgebouw,"[""*...Amsterdam's main attractions include its historic canals; the Rijksmuseum, the state museum with a vast collection of Dutch Golden Age art; the Van Gogh Museum; the Dam Square, where the Royal Palace of Amsterdam and former city hall (stadhuis) are located; the Amsterdam Museum; Stedelijk Museum, with modern art; Hermitage Amsterdam, the Concertgebouw concert hall; the Anne Frank House; the Het Scheepvaartmuseum, the Heineken Experience, the Natura Artis Magistra; Hortus Botanicus, NEMO, the red-light district and many cannabis coffee shops...."", '*...New museums, a railway station, and the Concertgebouw were built; in this same time, the Industrial Revolution reached the city....', '*...The Concertgebouw is located across this street from the square....', '...Amsterdam has a world-class symphony orchestra, the Royal Concertgebouw Orchestra....', '*...Their home is the Concertgebouw, which is across the Van Baerlestraat from the Museum Square....', '*...Some nine hundred concerts and other events per year take place in the Concertgebouw, for a public of over 700,000, making it one of the most-visited concert halls in the world....']","Concertgebouw, Van Baerlestraat, Museumkwartier, Zuid, Amsterdam, North Holland, Netherlands, 1071 BB, Netherlands","{""coordinates"": [4.879671, 52.356701], ""type"": ""Point""}","Concertgebouw, Van Baerlestraat, Museumkwartier, Zuid, Amsterdam, North Holland, Netherlands, 1071 BB, Netherlands",railway,platform
6,Hortus Botanicus,Hortus Botanicus,"[""*...Amsterdam's main attractions include its historic canals; the Rijksmuseum, the state museum with a vast collection of Dutch Golden Age art; the Van Gogh Museum; the Dam Square, where the Royal Palace of Amsterdam and former city hall (stadhuis) are located; the Amsterdam Museum; Stedelijk Museum, with modern art; Hermitage Amsterdam, the Concertgebouw concert hall; the Anne Frank House; the Het Scheepvaartmuseum, the Heineken Experience, the Natura Artis Magistra; Hortus Botanicus, NEMO, the red-light district and many cannabis coffee shops...."", ""*...Amsterdam's Hortus Botanicus, founded in the early 17th century, is one of the oldest botanical gardens in the world, with many old and rare specimens, among them the coffee plant that served as the parent for the entire coffee culture in Central and South America....""]","Hortus Botanicus, 2a, Plantage Middenlaan, Plantage, Centrum, Amsterdam, North Holland, Netherlands, 1018 DD, Netherlands","{""coordinates"": [4.90778, 52.366806], ""type"": ""Point""}","Hortus Botanicus, 2a, Plantage Middenlaan, Plantage, Centrum, Amsterdam, North Holland, Netherlands, 1018 DD, Netherlands",tourism,attraction
7,Melkweg,Melkweg,"[""*...The city is also well known for its nightlife and festival activity; with several of its nightclubs (Melkweg, Paradiso) among the world's most famous...."", '*...Two other notable venues, Paradiso and the Melkweg are located near the Leidseplein....', '*...Another popular dance festival is 5daysoff, which takes place in the venues Paradiso and Melkweg....', '*...In 2009, the new hall of the Stadsschouwburg Amsterdam, Toneelgroep Amsterdam and Melkweg opened, and the renovation of the front end of the theatre was ready....', '*...The Paradiso, Melkweg and Sugar Factory are cultural centres, which turn into discothèques on some nights....']","The Milky Way, Lijnbaansgracht, Centrum, Amsterdam, North Holland, Netherlands, 1017 PH, Netherlands","{""coordinates"": [4.881073, 52.364778], ""type"": ""Point""}","The Milky Way, Lijnbaansgracht, Centrum, Amsterdam, North Holland, Netherlands, 1017 PH, Netherlands",amenity,theatre
8,Paradiso,Paradiso,"[""*...The city is also well known for its nightlife and festival activity; with several of its nightclubs (Melkweg, Paradiso) among the world's most famous...."", '*...Two other notable venues, Paradiso and the Melkweg are located near the Leidseplein....', '*...Another popular dance festival is 5daysoff, which takes place in the venues Paradiso and Melkweg....', '*...The Paradiso, Melkweg and Sugar Factory are cultural centres, which turn into discothèques on some nights....', '*...A number of these squats have legalised and become well known, such as OCCII, OT301, Paradiso and Vrankrijk....']","Paradiso, 6, Weteringschans, Centrum, Amsterdam, North Holland, Netherlands, 1017 SG, Netherlands","{""coordinates"": [4.883782, 52.362155], ""type"": ""Point""}","Paradiso, 6, Weteringschans, Centrum, Amsterdam, North Holland, Netherlands, 1017 SG, Netherlands",amenity,concert_hall
9,Europe,Europe,"['*...As the commercial capital of the Netherlands and one of the top financial centres in Europe, Amsterdam is considered an alpha world city by the Globalization and World Cities Research Network....', '*...The city was ranked 4th place globally as top tech hub in the Savills Tech Cities 2019 report (2nd in Europe), and 3rd in innovation by Australian innovation agency 2thinknow in their Innovation Cities Index 2009....', '*...The Port of Amsterdam is the fifth largest in Europe....', ""*...The KLM hub and Amsterdam's main airport, Schiphol, is the busiest airport in the Netherlands, the third busiest in Europe, and the 11th busiest airport in the world...."", '*...The city became the staple market of Europe for bulk cargo....', '*...Herring had demand in markets all around Europe....', ""*...Amsterdam was Europe's most important hub for the shipment of goods and was the leading financial center of the western world...."", '*...Both projects dramatically improved commerce with the rest of Europe and the world....', '...Jews from Spain, Portugal and Eastern Europe similarly settled in Amsterdam, as did Germans and Scandinavians....', '...In 1750, Amsterdam was the fourth largest city in Western Europe, behind London (676,000), Paris (560,000) and Naples (324,000)....', '*...Other immigrants, including refugees asylum seekers and undocumented immigrants, came from Europe, the Americas, Asia and Africa....', '...In the second half of the 17th century, Amsterdam experienced an influx of Ashkenazim, Jews from Central and Eastern Europe....', ""...The first Ashkenazis who arrived in Amsterdam were refugees from the Khmelnytsky Uprising occurring in Ukraine and the Thirty Years' War, which devastated much of Central Europe...."", '*...In the 17th century baroque architecture became very popular, as it was elsewhere in Europe....', ""*...According to the 2007 European Cities Monitor (ECM) – an annual location survey of Europe's leading companies carried out by global real estate consultant Cushman & Wakefield – Amsterdam is one of the top European cities in which to locate an international business, ranking fifth in the survey...."", ""*...The Amsterdam Stock Exchange (AEX), now part of Euronext, is the world's oldest stock exchange and, due to Brexit, has overtaken LSE as the largest bourse in Europe...."", '*...The Port of Amsterdam is the fourth-largest port in Europe, the 38th largest port in the world and the second-largest port in the Netherlands by metric tons of cargo....', '*...Amsterdam is one of the most popular tourist destinations in Europe, receiving more than 5.34\xa0million international visitors annually; this is excluding the 16\xa0million day-trippers visiting the city every year....', '*...The majority of tourists (74%) originate from Europe....', '*...The yearly Holland Festival attracts international artists and visitors from all over Europe....', '*...Schiphol is the largest airport in the Netherlands, the third-largest in Europe, and the 14th-largest in the world in terms of passengers....']","Hotel de l'Europe, Nieuwe Doelenstraat, Burgwallen-Oude Zijde, Centrum, Amsterdam, North Holland, Netherlands, 1012 CP, Netherlands","{""coordinates"": [4.894466, 52.367644], ""type"": ""Point""}","Hotel de l'Europe, Nieuwe Doelenstraat, Burgwallen-Oude Zijde, Centrum, Amsterdam, North Holland, Netherlands, 1012 CP, Netherlands",tourism,hotel
11,Schiphol,Schiphol,"[""*...The KLM hub and Amsterdam's main airport, Schiphol, is the busiest airport in the Netherlands, the third busiest in Europe, and the 11th busiest airport in the world...."", '*...Amsterdam Airport Schiphol is less than 20 minutes by train from Amsterdam Centraal station and is served by domestic and international intercity trains, such as Thalys, Eurostar and Intercity Brussel....', '*...Schiphol is the largest airport in the Netherlands, the third-largest in Europe, and the 14th-largest in the world in terms of passengers....', '*...As of 2014[update], Schiphol was the fifth busiest airport in the world measured by international passenger numbers....', '*...Although Schiphol is internationally known as Amsterdam Schiphol Airport it actually lies in the neighbouring municipality of Haarlemmermeer, southwest of the city....']","World Trade Center Schiphol Airport, Parking WTC, Schiphol, Haarlemmermeer, North Holland, Netherlands, 1118 BH, Netherlands","{""coordinates"": [4.757841, 52.308186], ""type"": ""Point""}","World Trade Center Schiphol Airport, Parking WTC, Schiphol, Haarlemmermeer, North Holland, Netherlands, 1118 BH, Netherlands",amenity,parking
12,IJ,IJ,"['*...They lived along the prehistoric IJ river and upstream of its tributary Amstel....', '*...The prehistoric IJ was a shallow and quiet stream in peatland behind beach ridges....', '*...Amestelle was located along a side arm of the IJ....', '*...In an extremely short period of time, the shallow river IJ turned into a wide estuary, which from then on offered the Amstel an open connection to the Zuiderzee, IJssel and waterways further afield....', '*...Construction of a new metro line connecting the part of the city north of the IJ to its southern part was started in 2003....', '*...The river Amstel ends in the city centre and connects to a large number of canals that eventually terminate in the IJ....', '...In the early 17th century, when immigration was at a peak, a comprehensive plan was developed that was based on four concentric half-circles of canals with their ends emerging at the IJ bay....', '...The eastern part of the concentric canal plan, covering the area between the Amstel river and the IJ bay, has never been implemented....', ""*...Muziekgebouw aan 't IJ is a concert hall, which is located in the IJ near the central station...."", '...In 1920, Amsterdam assisted in hosting some of the sailing events for the Summer Olympics held in neighbouring Antwerp, Belgium by hosting events at Buiten IJ....', '...In May 2010, under a major reform, the number of Amsterdam boroughs was reduced to eight: Amsterdam-Centrum covering the city centre including the canal belt, Amsterdam-Noord consisting of the neighbourhoods north of the IJ lake, Amsterdam-Oost in the east, Amsterdam-Zuid in the south, Amsterdam-West in the west, Amsterdam Nieuw-West in the far west, Amsterdam Zuidoost in the southeast, and Westpoort covering the Port of Amsterdam area....', '...Four fare-free GVB ferries carry pedestrians and cyclists across the IJ lake to the borough of Amsterdam-Noord, and two fare-charging ferries run east and west along the harbour....']","IJ-tunnel, Rapenburg, Nieuwmarkt/Lastage, Centrum, Amsterdam, North Holland, Netherlands, 1011 MP, Netherlands","{""coordinates"": [4.909084, 52.370458], ""type"": ""Point""}","IJ-tunnel, Rapenburg, Nieuwmarkt/Lastage, Centrum, Amsterdam, North Holland, Netherlands, 1011 MP, Netherlands",highway,primary
13,Damrak,Damrak,"[""*...Neolithic and Roman artefacts have also been found in the prehistoric Amstel bedding under Amsterdam's Damrak and Rokin, such as shards of Bell Beaker culture pottery (2200-2000 BC) and a granite grinding stone (2700-2750 BC), but the location of these artefacts around the river banks of the Amstel probably point to a presence of a modest semi-permanent or seasonal settlement...."", '*...Amsterdam fans out south from the Amsterdam Centraal station and Damrak, the main street off the station....', ""*...It lies to the east of Damrak and contains the city's famous red-light district....""]","Damrak, Centrum, Amsterdam, North Holland, Netherlands, 1012 LP, Netherlands","{""coordinates"": [4.893273, 52.373308], ""type"": ""Point""}","Damrak, Centrum, Amsterdam, North Holland, Netherlands, 1012 LP, Netherlands",highway,cycleway
