,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Spree,Spree,"['*...Berlin straddles the banks of the Spree, which flows into the Havel (a tributary of the Elbe) in the western borough of Spandau....', ""*...Among the city's main topographical features are the many lakes in the western and southeastern boroughs formed by the Spree, Havel and Dahme, the largest of which is Lake Müggelsee...."", '*...Cölln on the Fischerinsel is first mentioned in a 1237 document, and Berlin, across the Spree in what is now called the Nikolaiviertel, is referenced in a document from 1244....', '*...The Spree follows this valley now....', '*...In Spandau, a borough in the west of Berlin, the Spree empties into the river Havel, which flows from north to south through western Berlin....', '*...A series of lakes also feeds into the upper Spree, which flows through the Großer Müggelsee in eastern Berlin....', '...Substantial parts of present-day Berlin extend onto the low plateaus on both sides of the Spree Valley....', '...The Museum Island in the River Spree houses five museums built from 1830 to 1930 and is a UNESCO World Heritage site....', ""...The Oberbaumbrücke over the Spree river is Berlin's most iconic bridge, connecting the now-combined boroughs of Friedrichshain and Kreuzberg...."", '*...Berlin is connected to the Elbe and Oder rivers via the Spree and the Havel rivers....', '...The expanding cultural performance of the city was underscored by the relocation of the Universal Music Group who decided to move their headquarters to the banks of the River Spree....', '*...The ensemble on the Museum Island is a UNESCO World Heritage Site and is in the northern part of the Spree Island between the Spree and the Kupfergraben....', '...The leftover stretch along the Spree river in Friedrichshain remains as the East Side Gallery....', '*...Treptower Park, beside the Spree in Treptow, features a large Soviet War Memorial....', '...Berlin is also well known for its numerous cafés, street musicians, beach bars along the Spree River, flea markets, boutique shops and pop-up stores, which are a source for recreation and leisure.\nBerlin has established a high-profile as a host city of major international sporting events....']","Am Kupfergraben, Friedrichswerder, Mitte, Berlin, 10117, Germany","{""coordinates"": [13.396068, 52.519846], ""type"": ""Point""}","Am Kupfergraben, Friedrichswerder, Mitte, Berlin, 10117, Germany",highway,residential
3,Havel,Havel,"['*...Berlin straddles the banks of the Spree, which flows into the Havel (a tributary of the Elbe) in the western borough of Spandau....', ""*...Among the city's main topographical features are the many lakes in the western and southeastern boroughs formed by the Spree, Havel and Dahme, the largest of which is Lake Müggelsee...."", '*...In Spandau, a borough in the west of Berlin, the Spree empties into the river Havel, which flows from north to south through western Berlin....', '*...The course of the Havel is more like a chain of lakes, the largest being the Tegeler See and the Großer Wannsee....', '*...Berlin is connected to the Elbe and Oder rivers via the Spree and the Havel rivers....']","Wasserstraßen- und Schifffahrtsamt Spree-Havel, 129, Mehringdamm, Tempelhof, Friedrichshain-Kreuzberg, Berlin, 10965, Germany","{""coordinates"": [13.386451, 52.48534], ""type"": ""Point""}","Wasserstraßen- und Schifffahrtsamt Spree-Havel, 129, Mehringdamm, Tempelhof, Friedrichshain-Kreuzberg, Berlin, 10965, Germany",office,government
4,Elbe,Elbe,"['*...Berlin straddles the banks of the Spree, which flows into the Havel (a tributary of the Elbe) in the western borough of Spandau....', '...East Germany 1949–1990\n 1990–present\nBerlin lies in northeastern Germany, east of the River Elbe, that once constituted, together with the River (Saxon or Thuringian) Saale (from their confluence at Barby onwards), the eastern border of the Frankish Realm....', '*...Berlin is connected to the Elbe and Oder rivers via the Spree and the Havel rivers....']","Die Elbe, John-Foster-Dulles-Allee, Tiergarten, Mitte, Berlin, 10557, Germany","{""coordinates"": [13.359215, 52.516933], ""type"": ""Point""}","Die Elbe, John-Foster-Dulles-Allee, Tiergarten, Mitte, Berlin, 10557, Germany",tourism,artwork
5,Dahme,Dahme,"[""*...Among the city's main topographical features are the many lakes in the western and southeastern boroughs formed by the Spree, Havel and Dahme, the largest of which is Lake Müggelsee....""]","Zum Dahmeufer, Kietzer Feld, Köpenick, Treptow-Köpenick, Berlin, 12557, Germany","{""coordinates"": [13.577973, 52.432863], ""type"": ""Point""}","Zum Dahmeufer, Kietzer Feld, Köpenick, Treptow-Köpenick, Berlin, 12557, Germany",highway,residential
8,Berlin Wall,Berlin Wall,"['...After World War II and its subsequent occupation by the victorious countries, the devastated city was divided; West Berlin became a de facto exclave of West Germany, surrounded by the Berlin Wall (from August 1961 to November 1989) and East German territory....', '...Other landmarks include the Brandenburg Gate, Reichstag building, Potsdamer Platz, Memorial to the Murdered Jews of Europe, Berlin Wall Memorial, East Side Gallery, Berlin Victory Column, Berlin Cathedral, and Berlin Television Tower, the tallest structure in Germany....', '...In 1961, East Germany began to build the Berlin Wall around West Berlin, and events escalated to a tank standoff at Checkpoint Charlie....', '...In 1989, with the end of the Cold War and pressure from the East German population, the Berlin Wall fell on 9 November and was subsequently mostly demolished....', ""...Clusters of towers rise at various locations: Potsdamer Platz, the City West, and Alexanderplatz, the latter two delineating the former centers of East and West Berlin, with the first representing a new Berlin of the 21st century, risen from the wastes of no-man's land of the Berlin Wall...."", '...The East Side Gallery is an open-air exhibition of art painted directly on the last existing portions of the Berlin Wall....', '...In the mid-1950s, it was closed to vehicles, and after the construction of the Berlin Wall in 1961, pedestrian traffic was heavily restricted....', '...Some of the most visited places in Berlin include: Potsdamer Platz, Brandenburger Tor, the Berlin wall, Alexanderplatz, Museumsinsel, Fernsehturm, the East-Side Gallery, Schloss-Charlottenburg, Zoologischer Garten, Siegessäule, Gedenkstätte Berliner Mauer, Mauerpark, Botanical Garden, Französischer Dom, Deutscher Dom and Holocaust-Mahnmal....', '...The site of Checkpoint Charlie, one of the most renowned crossing points of the Berlin Wall, is still preserved....', '...The Berlin Wall itself has become one of the largest open-air canvasses in the world....', '...After the fall of the Berlin Wall in 1989, many historic buildings in Mitte, the former city center of East Berlin, were illegally occupied and re-built by young squatters and became a fertile ground for underground and counterculture gatherings....']","asisi Panorama - The Wall, 205, Friedrichstraße, Friedrichswerder, Mitte, Berlin, 10117, Germany","{""coordinates"": [13.389433, 52.507885], ""type"": ""Point""}","asisi Panorama - The Wall, 205, Friedrichstraße, Friedrichswerder, Mitte, Berlin, 10117, Germany",tourism,museum
9,Zoological Garden,Zoological Garden,['*...Its Zoological Garden is the most visited zoo in Europe and one of the most popular worldwide....'],"Berlin Zoological Garden, 8, Hardenbergplatz, Tiergarten, Charlottenburg-Wilmersdorf, Berlin, 10787, Germany","{""coordinates"": [13.339231, 52.508449], ""type"": ""Point""}","Berlin Zoological Garden, 8, Hardenbergplatz, Tiergarten, Charlottenburg-Wilmersdorf, Berlin, 10787, Germany",tourism,zoo
10,Europe,Europe,"['*...Its Zoological Garden is the most visited zoo in Europe and one of the most popular worldwide....', '...Other landmarks include the Brandenburg Gate, Reichstag building, Potsdamer Platz, Memorial to the Murdered Jews of Europe, Berlin Wall Memorial, East Side Gallery, Berlin Victory Column, Berlin Cathedral, and Berlin Television Tower, the tallest structure in Germany....', '*...After the end of the war in Europe in May 1945, Berlin received large numbers of refugees from the Eastern provinces....', '...The Memorial to the Murdered Jews of Europe, a Holocaust memorial, is to the north....', ""...Nearby on Tauentzienstraße is KaDeWe, claimed to be continental Europe's largest department store...."", '...Furthermore, Berlin is the seat of many Orthodox cathedrals, such as the Cathedral of St. Boris the Baptist, one of the two seats of the Bulgarian Orthodox Diocese of Western and Central Europe, and the Resurrection of Christ Cathedral of the Diocese of Berlin (Patriarchate of Moscow)....', '*...In 2015, Berlin generated the most venture capital for young startup companies in Europe....', ""*...The national railway operator Deutsche Bahn, Europe's largest digital publisher Axel Springer as well as the MDAX-listed firms Zalando and HelloFresh and also have their main headquarters in the city...."", '...Among the largest international corporations who have their German or European headquarters in Berlin are Bombardier Transportation, Securing Energy for Europe, Coca-Cola, Pfizer, Sony and TotalEnergies....', '*...Tourism figures have more than doubled within the last ten years and Berlin has become the third-most-visited city destination in Europe....', '...The public broadcaster RBB has its headquarters in Berlin as well as the commercial broadcasters MTV Europe and Welt....', '*...The Berlin Hauptbahnhof is the largest grade-separated railway station in Europe....', '*...The city has more than 10 stations that run buses to destinations throughout Germany and Europe, Zentraler Omnibusbahnhof Berlin being the biggest station....', '*...The Charité complex (Universitätsklinik Charité) is the largest university hospital in Europe, tracing back its origins to the year 1710....', '*...The Berlin-Brandenburg capital region is one of the most prolific centers of higher education and research in Germany and Europe....', ""*...One of Europe's successful research, business and technology clusters is based at WISTA in Berlin-Adlershof, with more than 1,000 affiliated firms, university departments and scientific institutions...."", ""...Throughout the 1990s, people in their 20s from all over the world, particularly those in Western and Central Europe, made Berlin's club scene a premier nightlife venue...."", '*...With a seating capacity of 1,895 and a stage floor of 2,854 square meters (30,720\xa0sq\xa0ft), the Friedrichstadt-Palast in Berlin Mitte is the largest show palace in Europe....', ""*...One of Europe's largest delicatessen markets is found at the KaDeWe, and among the world's largest chocolate stores is Fassbender & Rausch...."", '*...It is the most visited zoo in Europe and presents the most diverse range of species in the world....', '*...The Mellowpark in Köpenick is one of the biggest skate and BMX parks in Europe....']","Dentons Europe LLP, 33, Markgrafenstraße, Friedrichswerder, Mitte, Berlin, 10117, Germany","{""coordinates"": [13.393728, 52.512173], ""type"": ""Point""}","Dentons Europe LLP, 33, Markgrafenstraße, Friedrichswerder, Mitte, Berlin, 10117, Germany",office,lawyer
11,Museum Island,Museum Island,"['*...Berlin is also home to three World Heritage Sites: Museum Island; the Palaces and Parks of Potsdam and Berlin; and the Modernism Housing Estates....', '*...Berlin has numerous museums, galleries, libraries, orchestras, and sporting events including Museum Island, the German Historical Museum, Jewish Museum, Natural History Museum, State Library, State Opera, Philharmonic, and the Berlin Marathon....', '...The Museum Island in the River Spree houses five museums built from 1830 to 1930 and is a UNESCO World Heritage site....', '...The ensemble on the Museum Island is a UNESCO World Heritage Site and is in the northern part of the Spree Island between the Spree and the Kupfergraben....', '...Apart from the Museum Island, there are many additional museums in the city....']","Museum Island, Am Kupfergraben, Friedrichswerder, Mitte, Berlin, 10117, Germany","{""coordinates"": [13.397815, 52.520033], ""type"": ""Point""}","Museum Island, Am Kupfergraben, Friedrichswerder, Mitte, Berlin, 10117, Germany",tourism,attraction
13,Modernism Housing Estates,Modernism Housing Estates,['...Berlin is also home to three World Heritage Sites: Museum Island; the Palaces and Parks of Potsdam and Berlin; and the Modernism Housing Estates....'],"Berlin Modernism Housing Estates, Grellstraße, Prenzlauer Berg, Pankow, Berlin, 10409, Germany","{""coordinates"": [13.43225, 52.546263], ""type"": ""Point""}","Berlin Modernism Housing Estates, Grellstraße, Prenzlauer Berg, Pankow, Berlin, 10409, Germany",historic,unesco_world_heritage
14,Brandenburg Gate,Brandenburg Gate,"['...Other landmarks include the Brandenburg Gate, Reichstag building, Potsdamer Platz, Memorial to the Murdered Jews of Europe, Berlin Wall Memorial, East Side Gallery, Berlin Victory Column, Berlin Cathedral, and Berlin Television Tower, the tallest structure in Germany....', '...It covers an area of 210 hectares and stretches from Bahnhof Zoo in the City West to the Brandenburg Gate in the east....', '...The Brandenburg Gate is an iconic landmark of Berlin and Germany; it stands as a symbol of eventful European history and of unity and peace....', ""...Unter den Linden is a tree-lined east–west avenue from the Brandenburg Gate to the site of the former Berliner Stadtschloss, and was once Berlin's premier promenade...."", '...The Straße des 17. Juni, connecting the Brandenburg Gate and Ernst-Reuter-Platz, serves as the central east–west axis....', '...Approximately halfway from the Brandenburg Gate is the Großer Stern, a circular traffic island on which the Siegessäule (Victory Column) is situated....', '...The focal point is the Brandenburg Gate, where midnight fireworks are centered, but various private fireworks displays take place throughout the entire city....', '*...A Fan Fest at Brandenburg Gate, which attracts several hundred-thousand spectators, has become popular during international football competitions, like the UEFA European Championship....']","Brandenburg Gate, 1, Pariser Platz, Dorotheenstadt, Mitte, Berlin, 10117, Germany","{""coordinates"": [13.377703, 52.51627], ""type"": ""Point""}","Brandenburg Gate, 1, Pariser Platz, Dorotheenstadt, Mitte, Berlin, 10117, Germany",tourism,attraction
