,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Grand-Place/Grote Markt,Grand-Place/Grote Markt,"['*...Principal attractions include its historic Grand-Place/Grote Markt (main square), Manneken Pis, the Atomium, and cultural institutions such as La Monnaie/De Munt and the Museums of Art and History....', '...Traces of human settlement go back to the Stone Age, with vestiges and place-names related to the civilisation of megaliths, dolmens and standing stones (Plattesteen near the Grand-Place/Grote Markt and Tomberg in Woluwe-Saint-Lambert, for example)....', '...The Grand-Place was destroyed, along with 4,000 buildings—a third of all the buildings in the city....', '...The architecture in Brussels is diverse, and spans from the clashing combination of Gothic, Baroque, and Louis XIV styles on the Grand-Place to the postmodern buildings of the EU institutions....', '...The Grand-Place is the main attraction in the city centre and has been a UNESCO World Heritage Site since 1998....', '...The Ommegang, a folkloric costumed procession, commemorating the Joyous Entry of Emperor Charles V and his son Philip II in the city in 1549, takes place every year in July. The colourful parade includes floats, traditional processional giants, such as Saint Michael and Saint Gudula, and scores of folkloric groups, either on foot or on horseback, dressed in medieval garb. The parade ends in a pageant on the Grand-Place. Since 2019, it is recognised as a Masterpiece of the Oral and Intangible Heritage of Humanity by UNESCO....', ""...Another good introduction to the Brusseleir local dialect and way of life can be obtained at the Royal Theatre Toone, a folkloric theatre of marionettes, located a stone's throw away from the Grand-Place...."", '...Other biennial events are the Zinneke Parade, a colourful, multicultural parade through the city, which has been held since 2000 in May, as well as the popular Flower Carpet at the Grand-Place in August....', '...The ancient pattern of streets, radiating from the Grand-Place, in large part remains, but has been overlaid by boulevards built over the river Senne, over the city walls and over the railway connection between the North and South Stations....']","Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.352418, 50.846811], ""type"": ""Point""}","Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium",amenity,marketplace
3,Manneken Pis,Manneken Pis,"['*...Principal attractions include its historic Grand-Place/Grote Markt (main square), Manneken Pis, the Atomium, and cultural institutions such as La Monnaie/De Munt and the Museums of Art and History....', '*...Manneken Pis, a fountain containing a small bronze sculpture of a urinating youth, is a tourist attraction and symbol of the city....']","Manneken-Pis, Rue du Midi - Zuidstraat, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.349329, 50.845812], ""type"": ""Point""}","Manneken-Pis, Rue du Midi - Zuidstraat, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium",highway,bus_stop
4,Atomium,Atomium,"['*...Principal attractions include its historic Grand-Place/Grote Markt (main square), Manneken Pis, the Atomium, and cultural institutions such as La Monnaie/De Munt and the Museums of Art and History....', ""*...The Atomium is a symbolic 103\xa0m-tall (338\xa0ft) modernist structure, located on the Heysel Plateau, which was originally built for the 1958 World's Fair (Expo '58)...."", '*...Next to the Atomium, is Mini-Europe miniature park, with 1:25 scale maquettes of famous buildings from across Europe....']","Atomium, 16, Rue Reper-Vreven - Reper-Vrevenstraat, Heysel - Heizel, Laeken - Laken, Brussels, Brussels-Capital, 1020, Belgium","{""coordinates"": [4.34238, 50.890472], ""type"": ""Point""}","Atomium, 16, Rue Reper-Vreven - Reper-Vrevenstraat, Heysel - Heizel, Laeken - Laken, Brussels, Brussels-Capital, 1020, Belgium",amenity,pharmacy
5,La Monnaie/De Munt,La Monnaie/De Munt,"['*...Principal attractions include its historic Grand-Place/Grote Markt (main square), Manneken Pis, the Atomium, and cultural institutions such as La Monnaie/De Munt and the Museums of Art and History....']","La Monnaie - De Munt, 1, Place de la Monnaie - Munt, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.354241, 50.8496], ""type"": ""Point""}","La Monnaie - De Munt, 1, Place de la Monnaie - Munt, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagon, Brussels, Brussels-Capital, 1000, Belgium",amenity,theatre
6,Tour & Taxis,Tour & Taxis,"[""*...During late antiquity, the region was home to Roman occupation, as attested by archaeological evidence discovered on the current site of Tour & Taxis, north-west of the Pentagon (Brussels' city centre)....""]","Tour & Taxis, 86C, Avenue du Port - Havenlaan, Tour and Taxis, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.349342, 50.864122], ""type"": ""Point""}","Tour & Taxis, 86C, Avenue du Port - Havenlaan, Tour and Taxis, Brussels, Brussels-Capital, 1000, Belgium",amenity,car_sharing
11,Dyle,Dyle,"['*...It remained with Austria until 1795, when the Southern Netherlands were captured and annexed by France, and the city became the capital of the department of the Dyle....', '*...The former Dyle department became the province of South Brabant, with Brussels as its capital....']","Rue de la Dyle - Dijlestraat, Tour and Taxis, Brussels, Brussels-Capital, 1000, Belgium","{""coordinates"": [4.351806, 50.862414], ""type"": ""Point""}","Rue de la Dyle - Dijlestraat, Tour and Taxis, Brussels, Brussels-Capital, 1000, Belgium",highway,residential
16,Maalbeek/Maelbeek,Maalbeek/Maelbeek,"['*...On 22 March 2016, three coordinated nail bombings were detonated by ISIL in Brussels—two at Brussels Airport in Zaventem and one at Maalbeek/Maelbeek metro station—resulting in 32 victims and three suicide bombers killed, and 330 people were injured....', '*...In addition to the Senne, tributary streams such as the Maalbeek and the Woluwe, to the east of the region, account for significant elevation differences....']","Maelbeek - Maalbeek, Rue de la Loi - Wetstraat, Quartier des Squares - Wijk van de Squares, Brussels, Brussels-Capital, 1040, Belgium","{""coordinates"": [4.376335, 50.843987], ""type"": ""Point""}","Maelbeek - Maalbeek, Rue de la Loi - Wetstraat, Quartier des Squares - Wijk van de Squares, Brussels, Brussels-Capital, 1040, Belgium",railway,stop
18,Sonian Forest,Sonian Forest,"['...Its average elevation is 57\xa0m (187\xa0ft) above sea level, varying from a low point in the valley of the almost completely covered Senne, which cuts the Brussels-Capital Region from east to west, up to high points in the Sonian Forest, on its southeastern side....', ""...Contrary to popular belief, the highest point (at 127.5\xa0m (418\xa0ft)) is not near the Place de l'Altitude Cent/Hoogte Honderdplein in Forest, but at the Drève des Deux Montages/Tweebergendreef in the Sonian Forest...."", '...In addition to this, the Sonian Forest is located in its southern part and stretches out over the three Belgian regions....']","Sonian Forest - Grippensdelle A, Chaussée de la Hulpe - Terhulpsesteenweg, Coin du Balai - Bezemhoek, Boitsfort - Bosvoorde, Watermael-Boitsfort - Watermaal-Bosvoorde, Brussels-Capital, 1170, Belgium","{""coordinates"": [4.426801, 50.781348], ""type"": ""Point""}","Sonian Forest - Grippensdelle A, Chaussée de la Hulpe - Terhulpsesteenweg, Coin du Balai - Bezemhoek, Boitsfort - Bosvoorde, Watermael-Boitsfort - Watermaal-Bosvoorde, Brussels-Capital, 1170, Belgium",leisure,nature_reserve
19,Place de l'Altitude Cent/Hoogte Honderdplein,Place de l'Altitude Cent/Hoogte Honderdplein,"[""...Contrary to popular belief, the highest point (at 127.5\xa0m (418\xa0ft)) is not near the Place de l'Altitude Cent/Hoogte Honderdplein in Forest, but at the Drève des Deux Montages/Tweebergendreef in the Sonian Forest....""]","Place de l'Altitude Cent - Hoogte Honderdplein, Altitude Cent - Hoogte Honderd, Forest - Vorst, Brussels-Capital, 1190, Belgium","{""coordinates"": [4.336377, 50.81628], ""type"": ""Point""}","Place de l'Altitude Cent - Hoogte Honderdplein, Altitude Cent - Hoogte Honderd, Forest - Vorst, Brussels-Capital, 1190, Belgium",highway,tertiary
22,Royal Palace of Laeken,Royal Palace of Laeken,"[""...The Royal Palace of Brussels, where the King of the Belgians exercises his prerogatives as head of state, is situated alongside Brussels' Park (not to be confused with the Royal Palace of Laeken, the official home of the Belgian Royal Family)...."", '...Located outside the historical centre, in a greener environment bordering the European Quarter, are the Parc du Cinquantenaire/Jubelpark with its memorial arcade and nearby museums, and in Laeken, the Royal Palace of Laeken and the Royal Domain with its large greenhouses, as well as the Museums of the Far East....', '...Examples include the Royal Palace, the Church of St. James on Coudenberg, the Palace of the Nation (Parliament building), the Academy Palace, the Palace of Charles of Lorraine, the Palace of the Count of Flanders and the Egmont Palace....']","Royal Palace of Laeken, Avenue du Parc Royal - Koninklijk Parklaan, Laeken - Laken, Brussels, Brussels-Capital, 1020, Belgium","{""coordinates"": [4.359966, 50.886298], ""type"": ""Point""}","Royal Palace of Laeken, Avenue du Parc Royal - Koninklijk Parklaan, Laeken - Laken, Brussels, Brussels-Capital, 1020, Belgium",historic,castle
