,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Buda Castle,Buda Castle,"['...The central area of Budapest along the Danube River is classified as a UNESCO World Heritage Site and has several notable monuments of classical architecture, including the Hungarian Parliament and the Buda Castle....', ""...And the first king of Scythia was Magog, son of Japhet, and his people were called Magyars [Hungarians] after their King Magog, from whose royal line the most renowned and mighty King Attila descended, who, in the 451st year of Our Lord's birth, coming down from Scythia, entered Pannonia with a mighty force and, putting the Romans to flight, took the realm and made a royal residence for himself beside the Danube above the hot springs, and he ordered all the old buildings that he found there to be restored and he built them in a circular and very strong wall that in the Hungarian language is now called Budavár [Buda Castle] and by the Germans Etzelburg [Attila Castle]—\u2009Anonymus: Gesta Hungarorum\nThere are several theories about Pest...."", '...The new Communist government considered the buildings like the Buda Castle symbols of the former regime, and during the 1950s the palace was gutted and all the interiors were destroyed (also see Stalin era)....', '*...In 1987, Buda Castle and the banks of the Danube were included in the UNESCO list of World Heritage Sites....', '*...District I is a small area in central Buda, including the historic Buda Castle....', '...The President of Hungary resides at the Sándor Palace in the District I (Buda Castle District), while the office of the Hungarian Prime Minister is in the Carmelite Monastery in the Castle District....', ""*...There are a couple of less common vehicles in Budapest, like the trolleybus on several lines in Pest, the Castle Hill Funicular between the Chain Bridge and Buda Castle, the cyclecar for rent in Margaret Island, the chairlift, the Budapest Cog-wheel Railway and children's railway....""]","Buda Castle, Szent György tér, Castle District, 1st district, Budapest, Central Hungary, 1013, Hungary","{""coordinates"": [19.039801, 47.495991], ""type"": ""Point""}","Buda Castle, Szent György tér, Castle District, 1st district, Budapest, Central Hungary, 1013, Hungary",tourism,attraction
5,Europe,Europe,"['*...Budapest attracts around 12 million international tourists per year, making it a highly popular destination in Europe....', ""*...His library, the Bibliotheca Corviniana, was Europe's greatest collection of historical chronicles and philosophic and scientific works in the 15th century, and second in size only to the Vatican Library...."", '*...Budapest is the fourth most ""dynamically growing city"" by population in Europe, and the Euromonitor predicts a population increase of almost 10% between 2005 and 2030....', '...Budapest is home to one of the most populous Christian communities in Central Europe, numbering 698,521 people (40.4%) in 2011....', '*...The city is also home to one of the largest Jewish communities in Europe....', '*...Budapest is a significant economic hub, classified as a Beta + world city in the study by the Globalization and World Cities Research Network and it is the second fastest-developing urban economy in Europe as GDP per capita in the city increased by 2.4 per cent and employment by 4.7 per cent compared to the previous year in 2014....', '...The retail market of the city (and the country) is also concentrated in the downtown, among others through the two largest shopping centres in Central and Eastern Europe, the 186,000 sqm WestEnd City Center and the 180,000 sqm Arena Plaza....', ""...A good indicator of the city's potential for innovation and research also, is that the European Institute of Innovation and Technology chose Budapest for its headquarters, along with the UN, which Regional Representation for Central Europe office is in the city, responsible for UN operations in seven countries...."", ""...The city ranked as the most liveable city in Central and Eastern Europe on EIU's quality of life index in 2010...."", ""...Budapest Stock Exchange, key institution of the publicly offered securities in Hungary and Central and Eastern Europe is situated in Budapest's CBD at Liberty Square...."", '...Budapest hosts the main and regional headquarters of many international organizations as well, including United Nations High Commissioner for Refugees, Food and Agriculture Organization of the United Nations, European Institute of Innovation and Technology, European Police Academy, International Centre for Democratic Transition, Institute of International Education, International Labour Organization, International Organization for Migration, International Red Cross, Regional Environmental Center for Central and Eastern Europe, Danube Commission and even others....', '...Institutions such as the Regional Environmental Center for Central and Eastern Europe, located in Budapest, are very important assets....', '*...To decrease the use of cars and greenhouse gas emissions, the city has worked to improve public transportation, and nowadays the city has one of the highest mass transit usage in Europe....', '*...Budapest has one of the best public transport systems in Europe with an efficient network of buses, trolleys, trams and subway....', ""*...Under the whole runs continental Europe's oldest Underground railway, most of whose stations retain their original appearance...."", '*...The Dohány Street Synagogue is the largest synagogue in Europe, and the second largest active synagogue in the world....', '*...The city is also home to the largest medicinal bath in Europe (Széchenyi Medicinal Bath) and the third largest Parliament building in the world, once the largest in the world....', '*...Hajógyári Island (Hungarian: Hajógyári-sziget ), also known as Óbuda Island (Hungarian: Óbudai-sziget), is a man-made island located in the third district. This island hosts many activities such as: wake-boarding, jet-skiing during the day, and dance clubs during the night. This is the island where the famous Sziget Festival takes place, hosting hundreds of performances per year. Around 400,000 visitors attended the last festival. Many building projects are taking place to make this island into one of the biggest entertainment centres of Europe. The plan is to build apartment buildings, hotels, casinos and a marina....', '*...The Széchenyi Baths are one of the largest bathing complexes in all Europe, and the only ""old"" medicinal baths to be found in the Pest side of the city....', '*...There is an atmosphere of grandeur about the whole place with the bright, largest pools resembling aspects associated with Roman baths, the smaller bath tubs reminding one of the bathing culture of the Greeks, and the saunas and diving pools borrowed from traditions emanating in northern Europe....', '...Budapest is served by Budapest Ferenc Liszt International Airport (BUD) (named after Franz Liszt, the notable Hungarian composer), one of the busiest airports in Central and Eastern Europe, located 16 kilometres (9.9\xa0mi) east-southeast of the centre of Budapest, in the District XVIII....', '*...Passenger safety checks were moved here along with new baggage classifiers and the new Malév and SkyTeam business lounges, as well as the first MasterCard lounge in Europe....', '*...Public transit in Budapest is provided by the Centre for Budapest Transport (BKK, Budapesti Közlekedési Központ), one of the largest transportation authorities in Europe....', '*...BKK operates 4 metro lines (including the historic Line 1, the oldest underground railway in continental Europe), 5 suburban railway lines, 33 tram lines, 15 trolleybus lines, 264 bus lines (including 40 night routes), 4 boat services, and BuBi, a smart bicycle sharing network....', '*...The Sziget Festival is one of the largest outdoor music festival in Europe....', '*...The Budapest Jewish Summer Festival, in late August, is one of the largest in Europe....', '...Budapest also has one of the more active jazz scenes in Central Europe....', '...The dance tradition of the Carpathian Basin is a unique area of the European dance culture, which is also a special transition between the Balkans and Western Europe regions....', '*...These include many shops, such as Café Gerbeaud, one of the greatest and most traditional coffeehouses in Europe, or the Gundel restaurant and gastro shop in the City Park....', '*...Under the Bologna Process, many offered qualifications are recognised in countries across Europe....']","Productions Graphics Central Europe Kft, 12/B, Maglódi út, Téglagyárdűlő, 10th district, Budapest, Central Hungary, 1106, Hungary","{""coordinates"": [19.159611, 47.48506], ""type"": ""Point""}","Productions Graphics Central Europe Kft, 12/B, Maglódi út, Téglagyárdűlő, 10th district, Budapest, Central Hungary, 1106, Hungary",shop,trade
6,Castle Hill,Castle Hill,"['...Probably the name of the first constable of the fortress built on the Castle Hill in the 11th century ;...', ""*...Pest's terrain rises with a slight eastward gradient, so the easternmost parts of the city lie at the same altitude as Buda's smallest hills, notably Gellért Hill and Castle Hill...."", '...The Castle Hill, the River Danube embankments and the whole of Andrássy út have been officially recognized as UNESCO World Heritage Sites....', '*...Castle Hill and the Castle District; there are three churches here, six museums, and a host of interesting buildings, streets and squares....', ""...There are a couple of less common vehicles in Budapest, like the trolleybus on several lines in Pest, the Castle Hill Funicular between the Chain Bridge and Buda Castle, the cyclecar for rent in Margaret Island, the chairlift, the Budapest Cog-wheel Railway and children's railway....""]","Budapest Castle Hill Funicular, Szent György tér, Castle District, 1st district, Budapest, Central Hungary, 1013, Hungary","{""coordinates"": [19.038559, 47.497667], ""type"": ""Point""}","Budapest Castle Hill Funicular, Szent György tér, Castle District, 1st district, Budapest, Central Hungary, 1013, Hungary",railway,funicular
7,Danube,Danube,"['...It is the ninth-largest city in the European Union by population within city limits and the second-largest city on the Danube river; the city has an estimated population of 1,752,286 over a land area of about 525 square kilometres (203 square miles)....', '...The central area of Budapest along the Danube River is classified as a UNESCO World Heritage Site and has several notable monuments of classical architecture, including the Hungarian Parliament and the Buda Castle....', '*...Attila went in the city of Sicambria in Pannonia, where he killed Buda, his brother, and he threw his corpse into the Danube....', ""...And the first king of Scythia was Magog, son of Japhet, and his people were called Magyars [Hungarians] after their King Magog, from whose royal line the most renowned and mighty King Attila descended, who, in the 451st year of Our Lord's birth, coming down from Scythia, entered Pannonia with a mighty force and, putting the Romans to flight, took the realm and made a royal residence for himself beside the Danube above the hot springs, and he ordered all the old buildings that he found there to be restored and he built them in a circular and very strong wall that in the Hungarian language is now called Budavár [Buda Castle] and by the Germans Etzelburg [Attila Castle]—\u2009Anonymus: Gesta Hungarorum\nThere are several theories about Pest...."", '*...In 1849 the Chain Bridge linking Buda with Pest was opened as the first permanent bridge across the Danube and in 1873 Buda and Pest were officially merged with the third part, Óbuda (Old Buda), thus creating the new metropolis of Budapest....', '*...In 1987, Buda Castle and the banks of the Danube were included in the UNESCO list of World Heritage Sites....', '*...The Danube enters the city from the north; later it encircles two islands, Óbuda Island and Margaret Island....', '*...The third island Csepel Island is the largest of the Budapest Danube islands, however only its northernmost tip is within city limits....', '*...The wide Danube was always fordable at this point because of a small number of islands in the middle of the river....', '*...The lowest point is the line of the Danube which is 96 metres (315 feet) above sea level....', '*...The Danube was and is still an important water-way and this region in the centre of the Carpathian Basin lies at the cross-roads of trade routes....', ""...Budapest's two most beautiful Romantic architecture buildings are the Great Synagogue in Dohány Street and the Vigadó Concert Hall on the Danube Promenade, both designed by architect Frigyes Feszl (1821–1884)...."", '*...To reach District IV, one must cross the Danube to find it in Pest (the eastern side), also at north....', '*...District XXI is the extension of the above route over a branch of the Danube, the northern tip of a long island south from Budapest....', '...Budapest hosts the main and regional headquarters of many international organizations as well, including United Nations High Commissioner for Refugees, Food and Agriculture Organization of the United Nations, European Institute of Innovation and Technology, European Police Academy, International Centre for Democratic Transition, Institute of International Education, International Labour Organization, International Organization for Migration, International Red Cross, Regional Environmental Center for Central and Eastern Europe, Danube Commission and even others....', '...The Castle Hill, the River Danube embankments and the whole of Andrássy út have been officially recognized as UNESCO World Heritage Sites....', '*...Seven bridges provide crossings over the Danube, and from north to south are: the Árpád Bridge (built in 1950 at the north of Margaret Island); the Margaret Bridge (built in 1901, destroyed during the war by an explosion and then rebuilt in 1948); the Chain Bridge (built in 1849, destroyed during World War II and then rebuilt in 1949); the Elisabeth Bridge (completed in 1903 and dedicated to the murdered Queen Elisabeth, it was destroyed by the Germans during the war and replaced with a new bridge in 1964); the Liberty Bridge (opened in 1896 and rebuilt in 1989 in Art Nouveau style); the Petőfi Bridge (completed in 1937, destroyed during the war and rebuilt in 1952); the Rákóczi Bridge (completed in 1995)....', ""*...The most notable and popular parks in Budapest are the City Park which was established in 1751 (302 acres) along with Andrássy Avenue, the Margaret Island in the Danube (238 acres or 96 hectares), the People's Park, the Római Part, and the Kopaszi Dam...."", '*...A number of islands can be found on the Danube in Budapest:...', '...Csepel Island (Hungarian: Csepel-sziget ) is the largest island of the River Danube in Hungary. It is 48\xa0km (30\xa0mi) long; its width is 6 to 8\xa0km (4 to 5\xa0mi) and its area comprises 257\xa0km2 (99\xa0sq\xa0mi). However, only the northern tip of the island is inside the city limits....', '*...Molnár Island (Hungarian: Molnár-sziget) is an island in the channel of the Danube that separates Csepel Island from the east bank of the river....', '*...The Ínség Rock (Hungarian: Ínség-szikla) is a reef in the Danube close to the shore under the Gellért Hill....', '...One of the reasons the Romans first colonised the area immediately to the west of the River Danube and established their regional capital at Aquincum (now part of Óbuda, in northern Budapest) is so that they could use and enjoy the thermal springs....', '...The Rudas Baths are centrally placed – in the narrow strip of land between Gellért Hill and the River Danube – and also an outstanding example of architecture dating from the Turkish period....', '*...The Danube was and is still today an important water-way and this region in the centre of the Carpathian Basin lies at the cross-roads of trade routes....', '*...The river Danube flows through Budapest on its way from (Germany) to the Black Sea....', '*...In the summer months, a scheduled hydrofoil service operates on the Danube connecting the city to Vienna....', '*...Budapesters regularly kayak, canoe, jet-ski and sail on the Danube, which has continuously become a major recreational site for the city....']","Duna Bizottság, 25, Benczúr utca, Terézváros, 6th district, Budapest, Central Hungary, 1068, Hungary","{""coordinates"": [19.074969, 47.510606], ""type"": ""Point""}","Duna Bizottság, 25, Benczúr utca, Terézváros, 6th district, Budapest, Central Hungary, 1068, Hungary",office,international_organization
8,Óbuda,Óbuda,"[""*...After the reconquest of Buda in 1686, the region entered a new age of prosperity, with Pest-Buda becoming a global city after the unification of Buda, Óbuda and Pest on 17 November 1873, with the name 'Budapest' given to the new capital...."", '*...The previously separate towns of Buda, Óbuda, and Pest were officially unified in 1873 and given the new name Budapest....', '..., however, the Hungarians did not care about the ban and call it Óbuda [Old Buda] and call it to this day.—\u2009Mark of Kalt: Chronicon Pictum\nThe Scythians are certainly an ancient people and the strength of Scythia lies in the east, as we said above....', '*...Today this area corresponds to the Óbuda district within Budapest....', '*...After the foundation of the first Hungarian university in Pécs in 1367 (University of Pécs), the second one was established in Óbuda in 1395 (University of Óbuda)....', '*...In 1849 the Chain Bridge linking Buda with Pest was opened as the first permanent bridge across the Danube and in 1873 Buda and Pest were officially merged with the third part, Óbuda (Old Buda), thus creating the new metropolis of Budapest....', '...The Danube enters the city from the north; later it encircles two islands, Óbuda Island and Margaret Island....', '*...Budapest has architecturally noteworthy buildings in a wide range of styles and from distinct time periods, from the ancient times as Roman City of Aquincum in Óbuda (District III), which dates to around 89 AD, to the most modern Palace of Arts, the contemporary arts museum and concert hall....', '*...An interesting part of Budapest is the less touristy Óbuda, the main square of which also has some beautiful preserved historic buildings with Baroque façades....', '...Hajógyári Island (Hungarian: Hajógyári-sziget ), also known as Óbuda Island (Hungarian: Óbudai-sziget), is a man-made island located in the third district. This island hosts many activities such as: wake-boarding, jet-skiing during the day, and dance clubs during the night. This is the island where the famous Sziget Festival takes place, hosting hundreds of performances per year. Around 400,000 visitors attended the last festival. Many building projects are taking place to make this island into one of the biggest entertainment centres of Europe. The plan is to build apartment buildings, hotels, casinos and a marina....', '*...One of the reasons the Romans first colonised the area immediately to the west of the River Danube and established their regional capital at Aquincum (now part of Óbuda, in northern Budapest) is so that they could use and enjoy the thermal springs....', '...Two routes, marked D11 and D12, connect the two banks with Margaret Island and Óbuda Island, from Rómaifürdő (Buda side, north to Óbuda Island) or Árpád Bridge (Pest side) to Rákóczi Bridge, with a total of 18 stops, while route D2 circulates in the downtown....']","Óbuda, Kórház utca, Óbuda-Óváros, Óbuda, Budapest, 3rd district, Central Hungary, 1033, Hungary","{""coordinates"": [19.044141, 47.541646], ""type"": ""Point""}","Óbuda, Kórház utca, Óbuda-Óváros, Óbuda, Budapest, 3rd district, Central Hungary, 1033, Hungary",tourism,artwork
9,Rudas Baths,Rudas Baths,"['*...Some of the baths that the Turks erected during their rule are still in use 500 years later (Rudas Baths and Király Baths)....', '*...Budapest is in fact one of the few places in the world with functioning original Turkish bathhouses dating back to the 16th century, like Rudas Baths or Király Baths....', '...The Rudas Baths are centrally placed – in the narrow strip of land between Gellért Hill and the River Danube – and also an outstanding example of architecture dating from the Turkish period....']","Rudas Baths, 9, Döbrentei tér, Tabán, 1st district, Budapest, Central Hungary, 1013, Hungary","{""coordinates"": [19.0478, 47.489066], ""type"": ""Point""}","Rudas Baths, 9, Döbrentei tér, Tabán, 1st district, Budapest, Central Hungary, 1013, Hungary",tourism,attraction
11,Chain Bridge,Chain Bridge,"['...In 1849 the Chain Bridge linking Buda with Pest was opened as the first permanent bridge across the Danube and in 1873 Buda and Pest were officially merged with the third part, Óbuda (Old Buda), thus creating the new metropolis of Budapest....', '...The stone lions that have decorated the Chain Bridge since 1852 survived the devastation of the war....', '...The most iconic and widely known Classicist-style attraction in Budapest is the Széchenyi Chain Bridge....', '...Another examples for Art Nouveau in Budapest is the Gresham Palace in front of the Chain Bridge, the Hotel Gellért, the Franz Liszt Academy of Music or Budapest Zoo and Botanical Garden....', '...Seven bridges provide crossings over the Danube, and from north to south are: the Árpád Bridge (built in 1950 at the north of Margaret Island); the Margaret Bridge (built in 1901, destroyed during the war by an explosion and then rebuilt in 1948); the Chain Bridge (built in 1849, destroyed during World War II and then rebuilt in 1949); the Elisabeth Bridge (completed in 1903 and dedicated to the murdered Queen Elisabeth, it was destroyed by the Germans during the war and replaced with a new bridge in 1964); the Liberty Bridge (opened in 1896 and rebuilt in 1989 in Art Nouveau style); the Petőfi Bridge (completed in 1937, destroyed during the war and rebuilt in 1952); the Rákóczi Bridge (completed in 1995)....', '...Most remarkable for their beauty are the Margaret Bridge, the Chain Bridge and the Liberty Bridge....', ""...In the St. Stephen's Square is the St. Stephen's Basilica, the square is connected by a walking street, the Zrínyi Street, to the Széchenyi István Square at the foot of The Chain Bridge...."", ""...There are a couple of less common vehicles in Budapest, like the trolleybus on several lines in Pest, the Castle Hill Funicular between the Chain Bridge and Buda Castle, the cyclecar for rent in Margaret Island, the chairlift, the Budapest Cog-wheel Railway and children's railway....""]","Sofitel Budapest Chain Bridge, 2, Széchenyi István tér, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary","{""coordinates"": [19.048223, 47.498069], ""type"": ""Point""}","Sofitel Budapest Chain Bridge, 2, Széchenyi István tér, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary",building,construction
17,Erzsébet Bridge,Erzsébet Bridge,"['*...Work on Erzsébet Bridge, the last to be rebuilt, was finished in 1964....']","Elisabeth Bridge, Március 15. tér, Pest, Belváros, 5th district, Budapest, Central Hungary, 1056, Hungary","{""coordinates"": [19.049154, 47.490854], ""type"": ""Point""}","Elisabeth Bridge, Március 15. tér, Pest, Belváros, 5th district, Budapest, Central Hungary, 1056, Hungary",man_made,bridge
18,M2,M2,"[""*...In the early 1970s, Budapest Metro's east–west M2 line was first opened, followed by the M3 line in 1976...."", '*...Budapest is the media centre of Hungary, and the location of the main headquarters of Hungarian Television and other local and national TV and radio stations, such as M1, M2, Duna TV, Duna World, RTL Klub, TV2 (Hungary), Euronews, Comedy Central, MTV Hungary, VIVA Hungary, Viasat 3, Cool TV, and Pro4, and politics and news channels such as Hír TV, ATV, and Echo TV....']","M2, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary","{""coordinates"": [19.053912, 47.497453], ""type"": ""Point""}","M2, Lipótváros, 5th district, Budapest, Central Hungary, 1051, Hungary",highway,steps
19,M3,M3,"[""*...In the early 1970s, Budapest Metro's east–west M2 line was first opened, followed by the M3 line in 1976....""]","Kacsóh Pongrác út, Herminamező, Budapest, 14th district, Central Hungary, 1142, Hungary","{""coordinates"": [19.092512, 47.521689], ""type"": ""Point""}","Kacsóh Pongrác út, Herminamező, Budapest, 14th district, Central Hungary, 1142, Hungary",highway,primary
