,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Lake Michigan,Lake Michigan,"['*...On the shore of Lake Michigan, Chicago was incorporated as a city in 1837 near a portage between the Great Lakes and the Mississippi River watershed....', ""*...While elevating Chicago, and at first improving the city's health, the untreated sewage and industrial waste now flowed into the Chicago River, and subsequently into Lake Michigan, polluting the city's primary freshwater source...."", '*...The city responded by tunneling two miles (3.2\xa0km) out into Lake Michigan to newly built water cribs....', '*...It reversed the flow of the Chicago River so that the water flowed away from Lake Michigan rather than into it....', '*...Chicago is located in northeastern Illinois on the southwestern shores of freshwater Lake Michigan....', '*...In addition to it lying beside Lake Michigan, two rivers—the Chicago River in downtown and the Calumet River in the industrial far South Side—flow either entirely or partially through the city....', ""*...Chicago's history and economy are closely tied to its proximity to Lake Michigan...."", ""*...Chicago's streets were laid out in a street grid that grew from the city's original townsite plot, which was bounded by Lake Michigan on the east, North Avenue on the north, Wood Street on the west, and 22nd Street on the south...."", '*...The proximity to Lake Michigan tends to keep the Chicago lakefront somewhat cooler in summer and less brutally cold in winter than inland parts of the city and suburbs away from the lake....', '*...The Willis Tower has an observation deck open to tourists year round with high up views overlooking Chicago and Lake Michigan....', '*...Iroquois Landing Lakefront Terminal: at the mouth of the Calumet River, it includes 100 acres (0.40\xa0km2) of warehouses and facilities on Lake Michigan with over 780,000 square meters (8,400,000 square feet) of storage....', '*...Lake Calumet terminal: located at the union of the Grand Calumet River and Little Calumet River 6 miles (9.7\xa0km) inland from Lake Michigan. Includes three transit sheds totaling over 29,000 square meters (310,000 square feet) adjacent to over 900 linear meters (3,000 linear feet) of ship and barge berthing....']","Michigan & Lake/Randolph, North Michigan Avenue, Loop, Chicago, Cook County, Illinois, 60602, United States","{""coordinates"": [-87.624662, 41.885102], ""type"": ""Point""}","Michigan & Lake/Randolph, North Michigan Avenue, Loop, Chicago, Cook County, Illinois, 60602, United States",highway,bus_stop
1,Great Lakes,Great Lakes,"['...On the shore of Lake Michigan, Chicago was incorporated as a city in 1837 near a portage between the Great Lakes and the Mississippi River watershed....', '...The canal allowed steamboats and sailing ships on the Great Lakes to connect to the Mississippi River....', '*...It is the principal city in the Chicago metropolitan area, situated in both the Midwestern United States and the Great Lakes region....', '...The city rests on a continental divide at the site of the Chicago Portage, connecting the Mississippi River and the Great Lakes watersheds....', '...Moreover, the construction of the Illinois and Michigan Canal, which helped move goods from the Great Lakes south on the Mississippi River, and of the railroads in the 19th century made the city a major transportation center in the United States....', '...This dialect can also be found in other cities bordering the Great Lakes such as Cleveland, Milwaukee, Detroit, and Rochester, New York, and most prominently features a rearrangement of certain vowel sounds, such as the short \'a\' sound as in ""cat"", which can sound more like ""kyet"" to outsiders....']","Great Lakes, Robert McClory Bike Path, Great Lakes, North Chicago, Lake County, Illinois, 60088, United States","{""coordinates"": [-87.846611, 42.306281], ""type"": ""Point""}","Great Lakes, Robert McClory Bike Path, Great Lakes, North Chicago, Lake County, Illinois, 60088, United States",railway,stop
3,O'Hare International Airport,O'Hare International Airport,"[""*...O'Hare International Airport is routinely ranked among the world's top six busiest airports according to tracked data by the Airports Council International...."", ""*...Major construction projects, including the Sears Tower (now known as the Willis Tower, which in 1974 became the world's tallest building), University of Illinois at Chicago, McCormick Place, and O'Hare International Airport, were undertaken during Richard J. Daley's tenure...."", ""*...Chicago is served by O'Hare International Airport, the world's busiest airport measured by airline operations, on the far Northwest Side, and Midway International Airport on the Southwest Side....""]","O'Hare International Airport, 10000, Express Center Drive, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60666, United States","{""coordinates"": [-87.909209, 41.977957], ""type"": ""Point""}","O'Hare International Airport, 10000, Express Center Drive, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60666, United States",aeroway,aerodrome
4,Millennium Park,Millennium Park,"['*...Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo....', '*...In the summer, many outdoor concerts are given in Grant Park and Millennium Park....', '*...The Joffrey Ballet and Chicago Festival Ballet perform in various venues, including the Harris Theater in Millennium Park....', '*...Grant Park holds Millennium Park, Buckingham Fountain (1927), and the Art Institute of Chicago....', '*...In Millennium Park, the reflective Cloud Gate public sculpture by artist Anish Kapoor is the centerpiece of the AT&T Plaza in Millennium Park....', ""*...In addition to ongoing beautification and renewal projects for the existing parks, a number of new parks have been added in recent years, such as the Ping Tom Memorial Park in Chinatown, DuSable Park on the Near North Side, and most notably, Millennium Park, which is in the northwestern corner of one of Chicago's oldest parks, Grant Park in the Chicago Loop.[citation needed]...""]","Millennium Park, South Michigan Avenue, Loop, Chicago, Cook County, Illinois, 60603, United States","{""coordinates"": [-87.62409, 41.881222], ""type"": ""Point""}","Millennium Park, South Michigan Avenue, Loop, Chicago, Cook County, Illinois, 60603, United States",amenity,bicycle_rental
5,Navy Pier,Navy Pier,"['*...Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo....', '*...Landfill extends into portions of the lake providing space for Navy Pier, Northerly Island, the Museum Campus, and large portions of the McCormick Place Convention Center....', '*...Renowned Chicago theater companies include the Goodman Theatre in the Loop; the Steppenwolf Theatre Company and Victory Gardens Theater in Lincoln Park; and the Chicago Shakespeare Theater at Navy Pier....', '*...Navy Pier, located just east of Streeterville, is 3,000\xa0ft (910\xa0m) long and houses retail stores, restaurants, museums, exhibition halls and auditoriums....', '*...In the summer of 2016, Navy Pier constructed a DW60 Ferris wheel....']","Navy Pier, 600, East Grand Avenue, Near North Side, Chicago, Cook County, Illinois, 60611, United States","{""coordinates"": [-87.604145, 41.8918], ""type"": ""Point""}","Navy Pier, 600, East Grand Avenue, Near North Side, Chicago, Cook County, Illinois, 60611, United States",tourism,attraction
6,Magnificent Mile,Magnificent Mile,"['...Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo....', ""...Upscale shopping along the Magnificent Mile and State Street, thousands of restaurants, as well as Chicago's eminent architecture, continue to draw tourists....""]","Embassy Suites by Hilton Chicago Downtown Magnificent Mile, 511, North Columbus Drive, Streeterville, Near North Side, Chicago, Cook County, Illinois, 60611, United States","{""coordinates"": [-87.619667, 41.891417], ""type"": ""Point""}","Embassy Suites by Hilton Chicago Downtown Magnificent Mile, 511, North Columbus Drive, Streeterville, Near North Side, Chicago, Cook County, Illinois, 60611, United States",tourism,hotel
7,Willis (Sears) Tower,Willis (Sears) Tower,"['*...Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo....']","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, United States","{""coordinates"": [-87.635908, 41.878872], ""type"": ""Point""}","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, United States",building,commercial
8,Lincoln Park Zoo,Lincoln Park Zoo,"['*...Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, Art Institute of Chicago, Museum Campus, Willis (Sears) Tower, Grant Park, Museum of Science and Industry, and Lincoln Park Zoo....', '...Lincoln Park contains the Lincoln Park Zoo and the Lincoln Park Conservatory....', '*...He created Lincoln Park by closing a cemetery filled with shallow graves, and in 1867, in response to an outbreak of cholera he helped establish a new Chicago Board of Health....', '*...Some of the parks along the waterfront include Lincoln Park, Grant Park, Burnham Park, and Jackson Park....', '*...Lincoln Park contains the Lincoln Park Zoo and the Lincoln Park Conservatory....', '*...Renowned Chicago theater companies include the Goodman Theatre in the Loop; the Steppenwolf Theatre Company and Victory Gardens Theater in Lincoln Park; and the Chicago Shakespeare Theater at Navy Pier....', ""*...Lincoln Park, the largest of the city's parks, covers 1,200 acres (490\xa0ha) and has over 20\xa0million visitors each year, making it third in the number of visitors after Central Park in New York City, and the National Mall and Memorial Parks in Washington, D.C...."", '*...Several private schools are completely secular, such as the Latin School of Chicago in the Near North Side neighborhood, the University of Chicago Laboratory Schools in Hyde Park, the British School of Chicago and the Francis W. Parker School in Lincoln Park, the Lycée Français de Chicago in Uptown, the Feltre School in River North and the Morgan Park Academy.[citation needed]...', '...These issues also helped propel another Illinoisan, Abraham Lincoln, to the national stage....', '*...Lincoln was nominated in Chicago for US president at the 1860 Republican National Convention, which was held in a purpose-built auditorium called, the Wigwam....', '*...A scattering of diagonal streets, many of them originally Native American trails, also cross the city (Elston, Milwaukee, Ogden, Lincoln, etc.)....', ""...More representational and portrait statuary includes a number of works by Lorado Taft (Fountain of Time, The Crusader, Eternal Silence, and the Heald Square Monument completed by Crunelle), French's Statue of the Republic, Edward Kemys's Lions, Saint-Gaudens's Abraham Lincoln: The Man (a.k.a. Standing Lincoln) and Abraham Lincoln: The Head of State (a.k.a. Seated Lincoln), Brioschi's Christopher Columbus, Meštrović's The Bowman and The Spearman, Dallin's Signal of Peace, Fairbanks's The Chicago Lincoln, Boyle's The Alarm, Polasek's memorial to Masaryk, memorials along Solidarity Promenade to Kościuszko, Havliček and Copernicus by Chodzinski, Strachovský, and Thorvaldsen, a memorial to General Logan by Saint-Gaudens, and Kearney's Moose (W-02-03)....""]","Lincoln Park Zoo, 2001, North Clark Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States","{""coordinates"": [-87.63377, 41.921265], ""type"": ""Point""}","Lincoln Park Zoo, 2001, North Clark Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",tourism,zoo
10,Hyde Park,Hyde Park,"[""*...Chicago is also home to the Barack Obama Presidential Center being built in Hyde Park on the city's South Side...."", ""...The city grew significantly in size and population by incorporating many neighboring townships between 1851 and 1920, with the largest annexation happening in 1889, with five townships joining the city, including the Hyde Park Township, which now comprises most of the South Side of Chicago and the far southeast of Chicago, and the Jefferson Township, which now makes up most of Chicago's Northwest Side...."", '*...The South Side neighborhood of Hyde Park is the home of former US President Barack Obama....', '*...With an estimated completion date of 2020, the Barack Obama Presidential Center will be housed at the University of Chicago in Hyde Park and include both the Obama presidential library and offices of the Obama Foundation....', '*...Several private schools are completely secular, such as the Latin School of Chicago in the Near North Side neighborhood, the University of Chicago Laboratory Schools in Hyde Park, the British School of Chicago and the Francis W. Parker School in Lincoln Park, the Lycée Français de Chicago in Uptown, the Feltre School in River North and the Morgan Park Academy.[citation needed]...']","East Hyde Park Boulevard, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States","{""coordinates"": [-87.6042, 41.802288], ""type"": ""Point""}","East Hyde Park Boulevard, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",highway,secondary
11,Fort Dearborn,Fort Dearborn,"['*...In 1803, the U.S. Army constructed Fort Dearborn, which was destroyed during the War of 1812 in the Battle of Fort Dearborn by the Potawatomi before being later rebuilt....']","Site of Fort Dearborn, East Upper Wacker Drive, Loop, Chicago, Cook County, Illinois, 60602, United States","{""coordinates"": [-87.624867, 41.888436], ""type"": ""Point""}","Site of Fort Dearborn, East Upper Wacker Drive, Loop, Chicago, Cook County, Illinois, 60602, United States",historic,memorial
