,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Europe,Europe,"['*...During this time, Florence rose to a position of enormous influence in Italy, Europe, and beyond....', '*...It was politically, economically, and culturally one of the most important cities in Europe and the world from the 14th to 16th centuries....', '*...Starting from the late Middle Ages, Florentine money—in the form of the gold florin—financed the development of industry all over Europe, from Britain to Bruges, to Lyon and Hungary....', '*...The Florentine merchant banking skills became recognised in Europe after they brought decisive financial innovation (e.g. bills of exchange, double-entry bookkeeping system) to medieval fairs....', '*...In the 15th century, Florence was among the largest cities in Europe, with a population of 60,000, and was considered rich and economically successful....', '*...In 2015, Condé Nast Travel readers voted Florence as the best city in Europe....', '*...Studies by Euromonitor International have concluded that cultural and history-oriented tourism is generating significantly increased spending throughout Europe....', '*...The project proposed by Brunelleschi in the 14th century was the largest ever built at the time, and the first major dome built in Europe since the two great domes of Roman times – the Pantheon in Rome, and Hagia Sophia in Constantinople....', '*...After the year 1600, Italian trends prevailed across Europe, by 1750 it was the primary musical language....', '*...Opera spread from Florence throughout Italy and eventually Europe....', '...The Stile Antico was more prevalent in Northern Europe and Stile Moderno was practiced more by the Italian Composers of the time....', '*...By the year 1300 Florence had become a centre of textile production in Europe....', '*...Trenitalia runs trains between the railway stations within the city, and to other destinations around Italy and Europe....']","Biblioteca dell'Associazione Robert F. Kennedy of Europe Onlus, Via Ghibellina, San Niccolò, Quartiere 1, Florence, Tuscany, 50122, Italy","{""coordinates"": [11.264664, 43.769658], ""type"": ""Point""}","Biblioteca dell'Associazione Robert F. Kennedy of Europe Onlus, Via Ghibellina, San Niccolò, Quartiere 1, Florence, Tuscany, 50122, Italy",amenity,library
3,Via Cassia,Via Cassia,"['...Situated along the Via Cassia, the main route between Rome and the north, and within the fertile valley of the Arno, the settlement quickly became an important commercial centre and in AD 285 became the capital of the Tuscia region....']","Via Cassia, Le Rose, Tavarnuzze, Impruneta, Florence, Tuscany, 50023, Italy","{""coordinates"": [11.222856, 43.719764], ""type"": ""Point""}","Via Cassia, Le Rose, Tavarnuzze, Impruneta, Florence, Tuscany, 50023, Italy",highway,primary
4,Arno,Arno,"['*...Situated along the Via Cassia, the main route between Rome and the north, and within the fertile valley of the Arno, the settlement quickly became an important commercial centre and in AD 285 became the capital of the Tuscia region....', ""...The city's primary resource was the Arno river, providing power and access for the industry (mainly textile industry), and access to the Mediterranean sea for international trade, helping the growth of an industrious merchant community...."", '...His ashes were dispersed in the Arno river....', '*...Florence was the prefecture of the French département of Arno from 1808 to the fall of Napoleon in 1814....', '*...In early August, the retreating Germans decided to demolish all the bridges along the Arno linking the district of Oltrarno to the rest of the city, making it difficult for troops of the 8th Army to cross....', '*...The Allied soldiers who died driving the Germans from Tuscany are buried in cemeteries outside the city (Americans about nine kilometres or  miles south of the city, British and Commonwealth soldiers a few kilometres east of the centre on the right bank of the Arno)....', '*...In November 1966, the Arno flooded parts of the centre, damaging many art treasures....', '*...The Arno river, three other minor rivers (Mugnone, Ema and Greve) and some streams flow through it....', '*...The river Arno, which cuts through the old part of the city, is as much a character in Florentine history as many of the people who lived there....', '*...Historically, the locals have had a love-hate relationship with the Arno – which alternated between nourishing the city with commerce, and destroying it by flood....', ""*...The building acquired its current name when the Medici duke's residence was moved across the Arno to the Palazzo Pitti...."", ""*...Furthermore, there is the Piazza Santa Trinita, a square near the Arno that mark the end of the Via de' Tornabuoni street....""]","Arno, Via Arno, Ponte a Giogoli, Sesto Fiorentino, Florence, Tuscany, 50145, Italy","{""coordinates"": [11.174141, 43.812928], ""type"": ""Point""}","Arno, Via Arno, Ponte a Giogoli, Sesto Fiorentino, Florence, Tuscany, 50145, Italy",highway,bus_stop
7,Piazza della Signoria,Piazza della Signoria,"['...He was convicted as a heretic, hanged  and burned at the stake on the Piazza della Signoria on 23 May 1498....', ""*...At the heart of the city, in Piazza della Signoria, is Bartolomeo Ammannati's Fountain of Neptune (1563–1565), which is a masterpiece of marble sculpture at the terminus of a still functioning Roman aqueduct...."", ""*...The Uffizi is located at the corner of Piazza della Signoria, a site important for being the centre of Florence's civil life and government for centuries...."", '*...The Loggia dei Lanzi in Piazza della Signoria is the location of a number of statues by other sculptors such as Donatello, Giambologna, Ammannati and Cellini, although some have been replaced with copies to preserve the originals....', ""...This large Romanesque crenellated fortress-palace overlooks the Piazza della Signoria with its copy of Michelangelo's David statue as well as the gallery of statues in the adjacent Loggia dei Lanzi...."", ""*...Such include the Via Camillo Cavour, one of the main roads of the northern area of the historic centre; the Via Ghibellina, one of central Florence's longest streets; the Via dei Calzaiuoli, one of the most central streets of the historic centre which links Piazza del Duomo to Piazza della Signoria, winding parallel to via Roma and Piazza della Repubblica; the Via de' Tornabuoni, a luxurious street in the city centre that goes from Antinori square to ponte Santa Trinita, across Piazza Santa Trinita, characterised by the presence of fashion boutiques; the Viali di Circonvallazione, 6-lane boulevards surrounding the northern part of the historic centre; as well as others, such as Via Roma, Via degli Speziali, Via de' Cerretani, and the Viale dei Colli....""]","Piazza della Signoria, Oltrarno, Quartiere 1, Florence, Tuscany, 50122, Italy","{""coordinates"": [11.255451, 43.769882], ""type"": ""Point""}","Piazza della Signoria, Oltrarno, Quartiere 1, Florence, Tuscany, 50122, Italy",highway,pedestrian
9,Piazza Vittorio Emanuele II,Piazza Vittorio Emanuele II,"['*...The Piazza (first renamed Piazza Vittorio Emanuele\xa0II, then Piazza della Repubblica, the present name) was significantly widened and a large triumphal arch was constructed at the west end....']","Piazza Vittorio Emanuele II, Pontassieve, Florence, Tuscany, 50065, Italy","{""coordinates"": [11.439921, 43.775297], ""type"": ""Point""}","Piazza Vittorio Emanuele II, Pontassieve, Florence, Tuscany, 50065, Italy",highway,footway
10,Piazza della Repubblica,Piazza della Repubblica,"['*...The Piazza (first renamed Piazza Vittorio Emanuele\xa0II, then Piazza della Repubblica, the present name) was significantly widened and a large triumphal arch was constructed at the west end....', '...The Piazza della Repubblica is a square in the city centre, location of the cultural cafés and bourgeois palaces....', ""*...Such include the Via Camillo Cavour, one of the main roads of the northern area of the historic centre; the Via Ghibellina, one of central Florence's longest streets; the Via dei Calzaiuoli, one of the most central streets of the historic centre which links Piazza del Duomo to Piazza della Signoria, winding parallel to via Roma and Piazza della Repubblica; the Via de' Tornabuoni, a luxurious street in the city centre that goes from Antinori square to ponte Santa Trinita, across Piazza Santa Trinita, characterised by the presence of fashion boutiques; the Viali di Circonvallazione, 6-lane boulevards surrounding the northern part of the historic centre; as well as others, such as Via Roma, Via degli Speziali, Via de' Cerretani, and the Viale dei Colli....""]","Piazza della Repubblica, Oltrarno, Quartiere 1, Florence, Tuscany, 50123, Italy","{""coordinates"": [11.25444, 43.771509], ""type"": ""Point""}","Piazza della Repubblica, Oltrarno, Quartiere 1, Florence, Tuscany, 50123, Italy",highway,pedestrian
11,Ponte Vecchio,Ponte Vecchio,"['...However, at the last moment Charles Steinhauslin, at the time consul of 26 countries in Florence, convinced the German general in Italy that the Ponte Vecchio was not to be destroyed due to its historical value.[citation needed]...', '...Since then the bridges have been restored to their original forms using as many of the remaining materials as possible, but the buildings surrounding the Ponte Vecchio have been rebuilt in a style combining the old with modern design....', '...The Ponte Vecchio, The San Lorenzo Market and Santa Maria Novella are plagued by pickpockets....', '...One of the bridges in particular stands out – the Ponte Vecchio (Old Bridge), whose most striking feature is the multitude of shops built upon its edges, held up by stilts....', '...The Vasari Corridor is another gallery, built connecting the Palazzo Vecchio with the Pitti Palace passing by the Uffizi and over the Ponte Vecchio....']","Ponte Vecchio, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy","{""coordinates"": [11.253444, 43.76842], ""type"": ""Point""}","Ponte Vecchio, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy",highway,pedestrian
12,Corridoio Vasariano,Corridoio Vasariano,"['...Instead, an equally historic area of streets directly to the south of the bridge, including part of the Corridoio Vasariano, was destroyed using mines....', '...It is linked to the Uffizi and the Palazzo Pitti through the Corridoio Vasariano....']","Corridoio Vasariano, Piazza del Pesce, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy","{""coordinates"": [11.253903, 43.768268], ""type"": ""Point""}","Corridoio Vasariano, Piazza del Pesce, Oltrarno, Quartiere 1, Florence, Tuscany, 50125, Italy",tourism,museum
14,Poggio Imperiale,Poggio Imperiale,"['*...Florence lies in a basin formed by the hills of Careggi, Fiesole, Settignano, Arcetri, Poggio Imperiale and Bellosguardo (Florence)....']","Viale del Poggio Imperiale, Oltrarno, Quartiere 1, Florence, Tuscany, 50124, Italy","{""coordinates"": [11.242874, 43.75857], ""type"": ""Point""}","Viale del Poggio Imperiale, Oltrarno, Quartiere 1, Florence, Tuscany, 50124, Italy",highway,service
15,Mugnone,Mugnone,"['*...The Arno river, three other minor rivers (Mugnone, Ema and Greve) and some streams flow through it....']","Porta Mugnone, Viale Filippo Strozzi, San Iacopino, Quartiere 1, Florence, Tuscany, 50129, Italy","{""coordinates"": [11.248659, 43.783181], ""type"": ""Point""}","Porta Mugnone, Viale Filippo Strozzi, San Iacopino, Quartiere 1, Florence, Tuscany, 50129, Italy",historic,city_gate
