,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Europe,Europe,"[""*...Hamburg is Europe's third largest port, after Rotterdam and Antwerp...."", '*...Hamburg hosts specialists in world economics and international law, including consular and diplomatic missions as the International Tribunal for the Law of the Sea, the EU-LAC Foundation, and the UNESCO Institute for Lifelong Learning, multipartite international political conferences and summits such as Europe and China and the G20....', ""*...Hamburg's rivers and canals are crossed by around 2,500 bridges, making it the city with the highest number of bridges in Europe...."", ""...This charter, along with Hamburg's proximity to the main trade routes of the North Sea and Baltic Sea, quickly made it a major port in Northern Europe...."", ""*...The city experienced its fastest growth during the second half of the 19th century when its population more than quadrupled to 800,000 as the growth of the city's Atlantic trade helped make it Europe's second-largest port...."", '*...These were all directed to ghettos in Nazi-occupied Europe or to concentration camps....', '...Hamburg is at a sheltered natural harbour on the southern fanning-out of the Jutland Peninsula, between Continental Europe to the south and Scandinavia to the north, with the North Sea to the west and the Baltic Sea to the northeast....', '...The neighborhoods of Neuenfelde, Cranz, Francop and Finkenwerder are part of the Altes Land (old land) region, the largest contiguous fruit-producing region in Central Europe....', ""*...Europe's largest urban development since 2008, the HafenCity, will house about 15,000 inhabitants and 45,000 workers...."", '*...The Stadtpark, Hamburg\'s ""Central Park"", has a great lawn and a huge water tower, which houses one of Europe\'s biggest planetaria....', ""*...As Europe's largest club festival, it offers several hundred program points around the Reeperbahn in Hamburg over four days and is one of the most important meeting places for the music industry worldwide...."", '...Hamburg has for centuries been a commercial centre of Northern Europe, and is the most important banking city of Northern Germany....', '*...The most significant economic unit is the Port of Hamburg, which ranks third to Rotterdam and Antwerpen in Europe and 17th-largest worldwide with transshipments of 8.9 million\xa0twenty-foot equivalent units\xa0(TEU) of cargo and 138.2\xa0million tons of goods in 2016....', ""*...The HafenCity is Europe's largest urban development project and is located in the Hamburg-Mitte district...."", ""*...The area of Reeperbahn in the quarter St. Pauli is Europe's largest red light district and home of strip clubs, brothels, bars and nightclubs...."", '*...The largest group from outside Europe comes from the United States (206,614 overnight stays)....', '...Electricity for Hamburg and Northern Germany is largely provided by Vattenfall Europe, formerly the state-owned Hamburgische Electricitäts-Werke....', '...Vattenfall Europe used to operate the Brunsbüttel Nuclear Power Plant and Krümmel Nuclear Power Plant, both taken out of service as part of the nuclear power phase-out....', '*...Hamburg Sea Devils is a team of European League of Football (ELF) which is a planned professional league, that is set to become the first fully professional league in Europe since the demise of NFL Europe....']","Sharp Devices Europe GmbH, 33-35, Nagelsweg, Hammerbrook, Hamburg-Mitte, Hamburg, 20097, Germany","{""coordinates"": [10.019856, 53.547666], ""type"": ""Point""}","Sharp Devices Europe GmbH, 33-35, Nagelsweg, Hammerbrook, Hamburg-Mitte, Hamburg, 20097, Germany",office,company
6,Reeperbahn,Reeperbahn,"[""*...St. Pauli's Reeperbahn is among the best-known European entertainment districts...."", '*...For example, the Reeperbahn alone has between 25 - 30 million visitors every year....', '...This is followed at the end of September by the Reeperbahn Festival\xa0[de], which has been running since 2006....', ""*...As Europe's largest club festival, it offers several hundred program points around the Reeperbahn in Hamburg over four days and is one of the most important meeting places for the music industry worldwide...."", ""*...The area of Reeperbahn in the quarter St. Pauli is Europe's largest red light district and home of strip clubs, brothels, bars and nightclubs...."", '...The singer and actor Hans Albers is strongly associated with St. Pauli, and wrote the neighbourhood\'s unofficial anthem, ""Auf der Reeperbahn Nachts um Halb Eins"" (""On the Reeperbahn at Half Past Midnight"") in the 1940s....', '*...The Beatles had stints on the Reeperbahn early in their careers....', '*...The Reeperbahn has been the location for many scenes, including the 1994 Beatles film Backbeat....']","Reeperbahn, St. Pauli, Hamburg-Mitte, Hamburg, 20359, Germany","{""coordinates"": [9.961621, 53.549429], ""type"": ""Point""}","Reeperbahn, St. Pauli, Hamburg-Mitte, Hamburg, 20359, Germany",highway,secondary
7,North,North,"[""...One of Germany's 16 federated states, Hamburg is surrounded by Schleswig-Holstein to the north and Lower Saxony to the south...."", '...Beset by disasters such as the Great Fire of Hamburg, North Sea flood of 1962 and military conflicts including World War II bombing raids, the city has managed to recover and emerge wealthier after each catastrophe....', '*...The first bishop, Ansgar, became known as the Apostle of the North....', '...In 1189, by imperial charter, Frederick I ""Barbarossa"" granted Hamburg the status of a Free Imperial City and tax-free access (or free-trade zone) up the Lower Elbe into the North Sea....', ""...This charter, along with Hamburg's proximity to the main trade routes of the North Sea and Baltic Sea, quickly made it a major port in Northern Europe...."", '...Hamburg became a member of the North German Confederation (1866–1871) and of the German Empire (1871–1918), and maintained its self-ruling status during the Weimar Republic (1919–1933)....', '...The Hamburg Commonwealth War Graves Commission Cemetery is in the greater Ohlsdorf Cemetery in the north of Hamburg....', '...On 16 February 1962, a North Sea flood caused the Elbe to rise to an all-time high, inundating one-fifth of Hamburg and killing more than 300 people....', '...Hamburg is at a sheltered natural harbour on the southern fanning-out of the Jutland Peninsula, between Continental Europe to the south and Scandinavia to the north, with the North Sea to the west and the Baltic Sea to the northeast....', '...The location in the north of Germany provides extremes greater than typical marine climates, but definitely in the category due to the prevailing westerlies....', '...In 2018, 24.9% of the population belonged to the North Elbian Evangelical Lutheran Church, the largest religious body, and 9.9% to the Roman Catholic Church....', '...BallinStadt, a memorial park and former emigration station, is dedicated to the millions of Europeans who emigrated to North and South America between 1850 and 1939....', ""...It is bordered to the north, separated by the customs channel to Hamburg's city center, west and south by the Elbe and to the east, bounded by the upper harbor, Rothenburgsort...."", '...HafenCity has 155 hectares in the area formerly belonging to the free port north of the Great Grasbrook....']","The North Face, 1, Gerhofstraße, Neustadt, Hamburg-Mitte, Hamburg, 20354, Germany","{""coordinates"": [9.989134, 53.554177], ""type"": ""Point""}","The North Face, 1, Gerhofstraße, Neustadt, Hamburg-Mitte, Hamburg, 20354, Germany",shop,clothes
10,Northern Europe,Northern Europe,"[""*...This charter, along with Hamburg's proximity to the main trade routes of the North Sea and Baltic Sea, quickly made it a major port in Northern Europe...."", '*...Hamburg has for centuries been a commercial centre of Northern Europe, and is the most important banking city of Northern Germany....']","SECO Northern Europe GmbH, 20, Schlachthofstraße, Phoenix-Viertel, Harburg, Hamburg, 21079, Germany","{""coordinates"": [9.995533, 53.460102], ""type"": ""Point""}","SECO Northern Europe GmbH, 20, Schlachthofstraße, Phoenix-Viertel, Harburg, Hamburg, 21079, Germany",building,office
15,Hauptbahnhof,Hauptbahnhof,"['*...On 23 July 1943, the Royal Air Force and United States Army Air Force firebombing created a firestorm which spread from the Hauptbahnhof (main railway station) and quickly moved south-east, completely destroying entire boroughs such as Hammerbrook, Billbrook and Hamm South....', '*...Except at the four bigger stations of the city, Hauptbahnhof, Dammtor, Altona and Harburg regional trains do not stop inside the city....']","Hauptbahnhof, Hachmannplatz, St. Georg, Hamburg-Mitte, Hamburg, 20099, Germany","{""coordinates"": [10.008388, 53.552415], ""type"": ""Point""}","Hauptbahnhof, Hachmannplatz, St. Georg, Hamburg-Mitte, Hamburg, 20099, Germany",railway,subway_entrance
18,Neuengamme,Neuengamme,"['*...At least 42,900 people are thought to have perished in the Neuengamme concentration camp (about 25\xa0km (16\xa0mi) outside the city in the marshlands), mostly from epidemics and in the bombing of Kriegsmarine evacuation vessels by the RAF at the end of the war[citation needed].\nSystematic deportations of Jewish Germans and Gentile Germans of Jewish descent started on 18 October 1941....', '*...Bergedorf consists of the quarters Allermöhe, Altengamme, Bergedorf—the centre of the former independent town, Billwerder, Curslack, Kirchwerder, Lohbrügge, Moorfleet, Neuengamme, Neuallermöhe, Ochsenwerder, Reitbrook, Spadenland and Tatenberg....']","Schule Curslack-Neuengamme, Neuengammer Hausdeich, Neuengamme, Bergedorf, Hamburg, 21039, Germany","{""coordinates"": [10.218807, 53.448242], ""type"": ""Point""}","Schule Curslack-Neuengamme, Neuengammer Hausdeich, Neuengamme, Bergedorf, Hamburg, 21039, Germany",amenity,school
19,Elbe,Elbe,"['...The city lies on the River Elbe and two of its tributaries, the River Alster and the River Bille....', '...It rose on rocky terrain in a marsh between the River Alster and the River Elbe as a defence against Slavic incursion, and acquired the name Hammaburg, burg meaning castle or fort....', '...In 845, 600 Viking ships sailed up the River Elbe and destroyed Hamburg, at that time a town of around 500 inhabitants....', '...In 1189, by imperial charter, Frederick I ""Barbarossa"" granted Hamburg the status of a Free Imperial City and tax-free access (or free-trade zone) up the Lower Elbe into the North Sea....', '*...On 16 February 1962, a North Sea flood caused the Elbe to rise to an all-time high, inundating one-fifth of Hamburg and killing more than 300 people....', '...It is on the River Elbe at its confluence with the Alster and Bille....', '...Altona is the westernmost urban borough, on the right bank of the Elbe river....', '*...Harburg lies on the southern shores of the river Elbe and covers parts of the port of Hamburg, residential and rural areas, and some research institutes....', '...The Elbphilharmonie (Elbe Philharmonic Hall), opened in January 2017, houses concerts in a sail-shaped building on top of an old warehouse, designed by architects Herzog & de Meuron....', '*...Although situated 110 kilometres (70\xa0mi) up the Elbe, it is considered a sea port due to its ability to handle large ocean-going vessels....', '*...It consists of the area of the Great Grasbrook, the northern part of the former Elbe island Grasbrook, and the warehouse district on the former Elbe island Kehrwieder and Wandrahm....', ""*...It is bordered to the north, separated by the customs channel to Hamburg's city center, west and south by the Elbe and to the east, bounded by the upper harbor, Rothenburgsort...."", '*...Others prefer the laid-back neighbourhood Schanze with its street cafés, or a barbecue on one of the beaches along the river Elbe....', '...Bridges and tunnels connect the northern and southern parts of the city, such as the old Elbe Tunnel (Alter Elbtunnel) or St. Pauli Elbtunnel (official name) which opened in 1911, now is major tourist sight, and the Elbe Tunnel (Elbtunnel) the crossing of a motorway....', '...There are eight ferry lines along the River Elbe, operated by HADAG, that fall under the aegis of the HVV....']","Elbe Philharmonic Hall, 1, Platz der Deutschen Einheit, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Hamburg, 20457, Germany","{""coordinates"": [9.984206, 53.541292], ""type"": ""Point""}","Elbe Philharmonic Hall, 1, Platz der Deutschen Einheit, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Hamburg, 20457, Germany",tourism,attraction
24,Alster,Alster,"['...The city lies on the River Elbe and two of its tributaries, the River Alster and the River Bille....', '...It rose on rocky terrain in a marsh between the River Alster and the River Elbe as a defence against Slavic incursion, and acquired the name Hammaburg, burg meaning castle or fort....', '*...It is on the River Elbe at its confluence with the Alster and Bille....', '...The city centre is around the Binnenalster (""Inner Alster"") and Außenalster (""Outer Alster""), both formed by damming the River Alster to create lakes....', '...Hamburg is the birthplace of Johannes Brahms, who spent his formative early years in the city, and the birthplace and home of the famous waltz composer Oscar Fetrás, who wrote the well-known ""Mondnacht auf der Alster"" waltz....', '*...Some of them are street festivals, such as the gay pride Hamburg Pride festival or the Alster fair (German: Alstervergnügen), held at the Binnenalster....', ""*...Alsterwasser (in reference to the city's river, the Alster) is the local name for a type of shandy, a concoction of equal parts of beer and carbonated lemonade (Zitronenlimonade), the lemonade being added to the beer...."", '...Hamburg hosts many top teams such as Uhlenhorster Hockey Club, Harvesterhuder Hockey Club and Club An Der Alster....']","Alster Fountains, Ballindamm, Altstadt, Hamburg-Mitte, Hamburg, 20095, Germany","{""coordinates"": [9.995782, 53.555069], ""type"": ""Point""}","Alster Fountains, Ballindamm, Altstadt, Hamburg-Mitte, Hamburg, 20095, Germany",tourism,attraction
25,Bille,Bille,"['...The city lies on the River Elbe and two of its tributaries, the River Alster and the River Bille....', '*...It is on the River Elbe at its confluence with the Alster and Bille....']","Segler-Vereinigung Bille, Strandweg-West, Gartenkolonie Billerhude, Rothenburgsort, Hamburg-Mitte, Hamburg, 20537, Germany","{""coordinates"": [10.057209, 53.544987], ""type"": ""Point""}","Segler-Vereinigung Bille, Strandweg-West, Gartenkolonie Billerhude, Rothenburgsort, Hamburg-Mitte, Hamburg, 20537, Germany",club,sailing
28,Außenalster,Außenalster,"['*...The city centre is around the Binnenalster (""Inner Alster"") and Außenalster (""Outer Alster""), both formed by damming the River Alster to create lakes....']","Wasserrettungszentrum Außenalster, Harvestehuder Weg, Rotherbaum, Eimsbüttel, Hamburg, 20148, Germany","{""coordinates"": [10.001415, 53.567641], ""type"": ""Point""}","Wasserrettungszentrum Außenalster, Harvestehuder Weg, Rotherbaum, Eimsbüttel, Hamburg, 20148, Germany",emergency,lifeguard
