,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Helsinki Airport,Helsinki Airport,"['*...The city is served by the international Helsinki Airport, located in the neighboring city of Vantaa, with frequent service to many destinations in Europe, North America and Asia....', '*...Helsinki Airport (in Vantaa, 17 kilometres (11\xa0mi) north of the Helsinki city centre) recorded a temperature of 33.7\xa0°C (92.7\xa0°F), on 29 July 2010, and a low of −35.9\xa0°C (−33\xa0°F), on 9 January 1987....', ""*...Air traffic is handled primarily from Helsinki Airport, located approximately 17 kilometres (11\xa0mi) north of Helsinki's downtown area, in the neighbouring city of Vantaa...."", '...The commuter rail system includes purpose-built double track for local services in two rail corridors along intercity railways, and the Ring Rail Line, an urban double-track railway with a station at the Helsinki Airport in Vantaa....']","Helsinki Airport, 1, Lentoasemantie, Lentokenttä, Aviapoliksen suuralue, Vantaa, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 01530, Finland","{""coordinates"": [24.968296, 60.318933], ""type"": ""Point""}","Helsinki Airport, 1, Lentoasemantie, Lentokenttä, Aviapoliksen suuralue, Vantaa, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 01530, Finland",place,house
3,Asia,Asia,"['*...The city is served by the international Helsinki Airport, located in the neighboring city of Vantaa, with frequent service to many destinations in Europe, North America and Asia....']","Finland Asia International Multiservices, 42, Mannerheimintie, Taka-Töölö, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00260, Finland","{""coordinates"": [24.928979, 60.178081], ""type"": ""Point""}","Finland Asia International Multiservices, 42, Mannerheimintie, Taka-Töölö, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00260, Finland",office,yes
4,Lapland,Lapland,"[""*...Also, together with Rovaniemi in the Lapland region, Helsinki is one of Finland's most significant tourist cities in terms of foreign tourism....""]","Lapland hotels bulevardi, 28, Bulevardi, Kamppi, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00120, Finland","{""coordinates"": [24.935607, 60.163699], ""type"": ""Point""}","Lapland hotels bulevardi, 28, Bulevardi, Kamppi, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00120, Finland",tourism,hotel
7,Vanhankaupunginkoski,Vanhankaupunginkoski,['*...The name refers to the Vanhankaupunginkoski rapids at the mouth of the river....'],"Vanhankaupunginkoski, Katariina Saksilaisen katu, Viikinranta, Viikki, Northeastern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00650, Finland","{""coordinates"": [24.984211, 60.216187], ""type"": ""Point""}","Vanhankaupunginkoski, Katariina Saksilaisen katu, Viikinranta, Viikki, Northeastern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00650, Finland",tourism,attraction
10,Senate Square,Senate Square,"['...In 1640, Count Per Brahe the Younger moved the city center with few descendants of the original settlers to the Vironniemi peninsula by the sea, currently Kruununhaka neighborhood, where the Senate Square and Helsinki Cathedral are now located....', ""...The focal point of Engel's city plan was the Senate Square...."", ""*...Most of Helsinki's older buildings were built after the 1808 fire; before that time, the oldest surviving building in the center of Helsinki is the Sederholm House (1757) at the intersection of Senate Square and the Katariinankatu street...."", ""...At the Senate Square in fall 2010, Finland's largest open-air art exhibition to date took place: About 1.4\xa0million people saw the international exhibition of United Buddy Bears....""]","Senate Square, Aleksanterinkatu, Torikorttelit, Kruununhaka, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00170, Finland","{""coordinates"": [24.95266, 60.169118], ""type"": ""Point""}","Senate Square, Aleksanterinkatu, Torikorttelit, Kruununhaka, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00170, Finland",amenity,bicycle_rental
11,Helsinki Cathedral,Helsinki Cathedral,"['*...In 1640, Count Per Brahe the Younger moved the city center with few descendants of the original settlers to the Vironniemi peninsula by the sea, currently Kruununhaka neighborhood, where the Senate Square and Helsinki Cathedral are now located....', ""*...It is surrounded by the Government Palace (to the east), the main building of Helsinki University (to the west), and (to the north) the large Helsinki Cathedral, which was finished in 1852, twelve years after Engel's death...."", '...The Cathedral of the Diocese of Helsinki is the Helsinki Cathedral, completed in 1852....']","Helsinki Cathedral, 29, Unioninkatu, Kaisaniemi, Kluuvi, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00170, Finland","{""coordinates"": [24.952173, 60.170417], ""type"": ""Point""}","Helsinki Cathedral, 29, Unioninkatu, Kaisaniemi, Kluuvi, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00170, Finland",amenity,place_of_worship
12,Sveaborg,Sveaborg,"[""*...The construction of the naval fortress Sveaborg (in Finnish Viapori, today also Suomenlinna) in the 18th century helped improve Helsinki's status, but it was not until Russia defeated Sweden in the Finnish War and annexed Finland as the autonomous Grand Duchy of Finland in 1809 that the town began to develop into a substantial city...."", '*...Russians besieged the Sveaborg fortress during the war, and about one quarter of the town was destroyed in an 1808 fire....', '*...Other noteworthy islands are the fortress island of Suomenlinna (Sveaborg), the military island of Santahamina, and Isosaari....']","Suomenlinna, päälaituri, Pikku mustasaaren silta, Suomenlinna, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00190, Finland","{""coordinates"": [24.984079, 60.149232], ""type"": ""Point""}","Suomenlinna, päälaituri, Pikku mustasaaren silta, Suomenlinna, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00190, Finland",amenity,ferry_terminal
13,Helsinki Metro,Helsinki Metro,"[""*...Finland's rapid urbanization in the 1970s, occurring late relative to the rest of Europe, tripled the population in the metropolitan area, and the Helsinki Metro subway system was built....""]","University of Helsinki, Yliopistonkatu, Kaisaniemi, Kluuvi, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00100, Finland","{""coordinates"": [24.947724, 60.169924], ""type"": ""Point""}","University of Helsinki, Yliopistonkatu, Kaisaniemi, Kluuvi, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00100, Finland",railway,subway_entrance
14,Daughter of the Baltic,Daughter of the Baltic,"['...Called the ""Daughter of the Baltic"" or the ""Pearl of the Baltic Sea"", Helsinki is on the tip of a peninsula and on 315 islands....']","Daughter of the Baltic Sea / Maila Talvio Memorial, Seurasaarentie, Meilahti, Western major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00270, Finland","{""coordinates"": [24.894911, 60.186993], ""type"": ""Point""}","Daughter of the Baltic Sea / Maila Talvio Memorial, Seurasaarentie, Meilahti, Western major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00270, Finland",tourism,artwork
15,Baltic Sea,Baltic Sea,"['...Called the ""Daughter of the Baltic"" or the ""Pearl of the Baltic Sea"", Helsinki is on the tip of a peninsula and on 315 islands....', '*...Owing to the mitigating influence of the Baltic Sea and North Atlantic Current (see also Extratropical cyclone), temperatures during the winter are higher than the northern location might suggest, with the average in January and February around −4\xa0°C (25\xa0°F).\nWinters in Helsinki are notably warmer than in the north of Finland, and the snow season is much shorter in the capital, due to it being in extreme Southern Finland and the urban heat island effect....', '...As an important port city on the Baltic Sea, Helsinki has long been known for its fish food, and it has recently started to become one of the leading fish food capitals in Northern Europe....']","Discussion about the Baltic Sea, Juutinraumankatu, Jätkäsaari, Länsisatama, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00220, Finland","{""coordinates"": [24.919691, 60.159147], ""type"": ""Point""}","Discussion about the Baltic Sea, Juutinraumankatu, Jätkäsaari, Länsisatama, Southern major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00220, Finland",tourism,artwork
