,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Golden Horn,Golden Horn,"[""...The settlers built an acropolis adjacent to the Golden Horn on the site of the early Thracian settlements, fueling the nascent city's economy...."", '...Bridges across the Golden Horn were constructed during this period, and Constantinople was connected to the rest of the European railway network in the 1880s....', '...Historically, the city has been ideally situated for trade and defense: The confluence of the Sea of Marmara, the Bosporus, and the Golden Horn provide both ideal defense against enemy attack and a natural toll-gate....', '...The Fatih district, which was named after Sultan Mehmed II (Turkish: Fatih Sultan Mehmed), corresponds to what was, until the Ottoman conquest in 1453, the whole of the city of Constantinople (today is the capital district and called the historic peninsula of Istanbul) on the southern shore of the Golden Horn, across the medieval Genoese citadel of Galata on the northern shore....', '...The Cağaloğlu street on which the newspaper was printed, Bâb-ı Âli Street, rapidly became the center of Turkish print media, alongside Beyoğlu across the Golden Horn....', ""...The Silahtarağa Power Station, a coal-fired power plant along the Golden Horn, was the sole source of Istanbul's electricity between 1914, when its first engine room was completed, and 1952...."", '*...Algal blooms and red tides were reported in Sea of Marmara and Bosporus (especially in Golden Horn), and regularly happen in urban lakes such as Lake Büyükçekmece and Küçükçekmece....']","Golden Horn Hotel, Saffeti Paşa Sokağı, Hocapaşa Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34110, Turkey","{""coordinates"": [28.976592, 41.012971], ""type"": ""Point""}","Golden Horn Hotel, Saffeti Paşa Sokağı, Hocapaşa Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34110, Turkey",tourism,hotel
3,Hagia Sophia,Hagia Sophia,"[""*...Numerous churches were built across the city, including Hagia Sophia which was built during the reign of Justinian the Great and remained the world's largest cathedral for a thousand years...."", '*...Hagia Sophia was converted to a Catholic church in 1204....', ""*...After the reconquest of 1261, however, some of the city's monuments were restored, and some, like the two Deesis mosaics in Hagia Sophia and Kariye, were created...."", ""...Hours later, the sultan rode to the Hagia Sophia and summoned an imam to proclaim the Islamic creed, converting the grand cathedral into an imperial mosque due to the city's refusal to surrender peacefully...."", '...However, it is the Hagia Sophia that fully conveys the period of Constantinople as a city without parallel in Christendom....', '...The Hagia Sophia, topped by a dome 31 meters (102\xa0ft) in diameter over a square space defined by four arches, is the pinnacle of Byzantine architecture....', ""...The Hagia Sophia stood as the world's largest cathedral in the world until it was converted into a mosque in the 15th century...."", ""...The Sultan Ahmed Mosque (Blue Mosque), another landmark of the city, faces the Hagia Sophia at Sultanahmet Square (Hippodrome of Constantinople). The Süleymaniye Mosque, built by Suleiman the Magnificent, was designed by his chief architect Mimar Sinan, the most illustrious of all Ottoman architects, who designed many of the city's renowned mosques and other types of public buildings and monuments....""]","Hagia Sophia (Holy Wisdom), Soğukçeşme Sokağı, Cankurtaran Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34122, Turkey","{""coordinates"": [28.98001, 41.008509], ""type"": ""Point""}","Hagia Sophia (Holy Wisdom), Soğukçeşme Sokağı, Cankurtaran Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34122, Turkey",amenity,place_of_worship
5,Kariye,Kariye,"[""*...After the reconquest of 1261, however, some of the city's monuments were restored, and some, like the two Deesis mosaics in Hagia Sophia and Kariye, were created....""]","Kariye Hanı Sokağı, Ayvansaray Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34087, Turkey","{""coordinates"": [28.940934, 41.030541], ""type"": ""Point""}","Kariye Hanı Sokağı, Ayvansaray Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34087, Turkey",highway,residential
6,Grand Bazaar,Grand Bazaar,"['...There was a huge new palace to rival, if not overshadow, the old one, a new covered market (still standing as the Grand Bazaar), porticoes, pavilions, walkways, as well as more than a dozen new mosques....', ""...The Grand Bazaar, in operation since 1461, is among the world's oldest and largest covered markets...."", ""...Mahmutpasha Bazaar is an open-air market extending between the Grand Bazaar and the Spice Bazaar, which has been Istanbul's major spice market since 1660....""]","Grand Bazaar, Tarakçilar Hanı Sokağı, Taya Hatun Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34120, Turkey","{""coordinates"": [28.968176, 41.010988], ""type"": ""Point""}","Grand Bazaar, Tarakçilar Hanı Sokağı, Taya Hatun Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34120, Turkey",tourism,attraction
10,Büyükada,Büyükada,"['*...Several picturesque islands—Büyükada, Heybeliada, Burgazada, Kınalıada, and five smaller islands—are part of the city....']","Büyükada, Dock Square, Nizam Mahallesi, Prince Islands, Istanbul, Marmara Region, 34970, Turkey","{""coordinates"": [29.125528, 40.874719], ""type"": ""Point""}","Büyükada, Dock Square, Nizam Mahallesi, Prince Islands, Istanbul, Marmara Region, 34970, Turkey",man_made,beacon
11,Heybeliada,Heybeliada,"['*...Several picturesque islands—Büyükada, Heybeliada, Burgazada, Kınalıada, and five smaller islands—are part of the city....']","Heybeliada, Rıhtım Caddesı, Heybeliada Mahallesi, Prince Islands, Istanbul, Marmara Region, 34973, Turkey","{""coordinates"": [29.10066, 40.878023], ""type"": ""Point""}","Heybeliada, Rıhtım Caddesı, Heybeliada Mahallesi, Prince Islands, Istanbul, Marmara Region, 34973, Turkey",amenity,ferry_terminal
12,Burgazada,Burgazada,"['*...Several picturesque islands—Büyükada, Heybeliada, Burgazada, Kınalıada, and five smaller islands—are part of the city....']","Burgazada Sait Faik Abasıyanık İlkokulu, Mehtap Sokağı, Burgazada Mahallesi, Prince Islands, Istanbul, Marmara Region, 34975, Turkey","{""coordinates"": [29.063701, 40.883923], ""type"": ""Point""}","Burgazada Sait Faik Abasıyanık İlkokulu, Mehtap Sokağı, Burgazada Mahallesi, Prince Islands, Istanbul, Marmara Region, 34975, Turkey",amenity,school
13,Kınalıada,Kınalıada,"['*...Several picturesque islands—Büyükada, Heybeliada, Burgazada, Kınalıada, and five smaller islands—are part of the city....']","Kınalıada, Alsancak Sokağı, Kınalıada Mahallesi, Prince Islands, Istanbul, Marmara Region, 34977, Turkey","{""coordinates"": [29.055527, 40.909145], ""type"": ""Point""}","Kınalıada, Alsancak Sokağı, Kınalıada Mahallesi, Prince Islands, Istanbul, Marmara Region, 34977, Turkey",amenity,ferry_terminal
14,Caddebostan,Caddebostan,"['*...Large sections of Caddebostan sit on areas of landfill, increasing the total area of the city to 5,343 square kilometers (2,063\xa0sq\xa0mi)....']","Caddebostan, Bağdat Caddesi, Caddebostan Mahallesi, Kadıköy, Istanbul, Marmara Region, 34728, Turkey","{""coordinates"": [29.065453, 40.968523], ""type"": ""Point""}","Caddebostan, Bağdat Caddesi, Caddebostan Mahallesi, Kadıköy, Istanbul, Marmara Region, 34728, Turkey",highway,bus_stop
15,Aydos,Aydos,"[""*...Istanbul's tallest hill, Aydos, is 537 meters (1,762\xa0ft) high....""]","Aydos (Aetos) Kalesi, Şalgamlı Devlet Ormanı Mah., Mehmet Akif Mahallesi, Sultanbeyli, Istanbul, Marmara Region, 34920, Turkey","{""coordinates"": [29.258427, 40.949809], ""type"": ""Point""}","Aydos (Aetos) Kalesi, Şalgamlı Devlet Ormanı Mah., Mehmet Akif Mahallesi, Sultanbeyli, Istanbul, Marmara Region, 34920, Turkey",historic,archaeological_site
17,Galata Tower,Galata Tower,"['...The Genoese fortifications in Galata were largely demolished in the 19th century, leaving only the Galata Tower, to make way for the northward expansion of the city....']","Galata Tower, Büyük Hendek Caddesi, Kuledibi, Bereketzade, Bereketzade Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34420, Turkey","{""coordinates"": [28.974213, 41.025641], ""type"": ""Point""}","Galata Tower, Büyük Hendek Caddesi, Kuledibi, Bereketzade, Bereketzade Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34420, Turkey",tourism,attraction
18,İstiklal Avenue,İstiklal Avenue,"[""*...Galata (Karaköy) is today a quarter within the Beyoğlu (Pera) district, which forms Istanbul's commercial and entertainment center and includes İstiklal Avenue and Taksim Square...."", '*...Areas around İstiklal Avenue were filled with grand European embassies and rows of buildings in Neoclassical, Renaissance Revival and Art Nouveau styles, which went on to influence the architecture of a variety of structures in Beyoğlu—including churches, stores, and theaters—and official buildings such as Dolmabahçe Palace....', '*...Movie theaters rapidly cropped up in Beyoğlu, with the greatest concentration of theaters being along the street now known as İstiklal Avenue....', '*...Along İstiklal Avenue is the Çiçek Pasajı (Flower Passage), a 19th-century shopping gallery which is today home to winehouses (known as meyhanes), pubs and restaurants....', '*...İstiklal Avenue, originally known for its taverns, has shifted toward shopping, but the nearby Nevizade Street is still lined with winehouses and pubs....', ""*...Some other neighborhoods around İstiklal Avenue have been revamped to cater to Beyoğlu's nightlife, with formerly commercial streets now lined with pubs, cafes, and restaurants playing live music...."", '*...Since 2015, all types of parades at Taksim Square and İstiklal Avenue (where, in 2013, the Gezi Park protests took place) have been denied permission by the AKP government, citing security concerns, but hundreds of people have defied the ban each year....', '*...It still carries passengers between Karaköy and İstiklal Avenue along a steep 573-meter (1,880\xa0ft) track; a more modern funicular between Taksim Square and Kabataş began running in 2006....']","Independence Avenue, Kuloğlu, Kuloğlu Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34435, Turkey","{""coordinates"": [28.978248, 41.033893], ""type"": ""Point""}","Independence Avenue, Kuloğlu, Kuloğlu Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34435, Turkey",highway,pedestrian
19,Taksim Square,Taksim Square,"[""*...Galata (Karaköy) is today a quarter within the Beyoğlu (Pera) district, which forms Istanbul's commercial and entertainment center and includes İstiklal Avenue and Taksim Square...."", '*...Inland, north of Taksim Square is the Istanbul Central Business District, a set of corridors lined with office buildings, residential towers, shopping centers, and university campuses, and over 2,000,000\xa0m2 (22,000,000\xa0sq\xa0ft) of class-A office space in total....', '*...Since 2015, all types of parades at Taksim Square and İstiklal Avenue (where, in 2013, the Gezi Park protests took place) have been denied permission by the AKP government, citing security concerns, but hundreds of people have defied the ban each year....', '*...It still carries passengers between Karaköy and İstiklal Avenue along a steep 573-meter (1,880\xa0ft) track; a more modern funicular between Taksim Square and Kabataş began running in 2006....']","Taksim square hostel, Eski Çiçekçi Sokağı, Tomtom, Tomtom Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34433, Turkey","{""coordinates"": [28.977754, 41.032075], ""type"": ""Point""}","Taksim square hostel, Eski Çiçekçi Sokağı, Tomtom, Tomtom Mahallesi, Beyoğlu, Istanbul, Marmara Region, 34433, Turkey",tourism,hostel
20,Dolmabahçe Palace,Dolmabahçe Palace,"['*...Dolmabahçe Palace, the seat of government during the late Ottoman period, is in the Beşiktaş district on the European shore of the Bosporus strait, to the north of Beyoğlu....', '*...After several hundred years of royal residence, it was abandoned in 1853 in favor of the baroque Dolmabahçe Palace....', '*...Areas around İstiklal Avenue were filled with grand European embassies and rows of buildings in Neoclassical, Renaissance Revival and Art Nouveau styles, which went on to influence the architecture of a variety of structures in Beyoğlu—including churches, stores, and theaters—and official buildings such as Dolmabahçe Palace....']","Dolmabahce Palace, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, Istanbul, Marmara Region, 34357, Turkey","{""coordinates"": [28.999527, 41.038779], ""type"": ""Point""}","Dolmabahce Palace, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, Istanbul, Marmara Region, 34357, Turkey",tourism,museum
21,Ortaköy Mosque,Ortaköy Mosque,"['...The former village of Ortaköy is within Beşiktaş and gives its name to the Ortaköy Mosque on the Bosporus, near the Bosporus Bridge....']","Ortaköy Mosque, İskele Sokağı, Mecidiye Mahallesi, Beşiktaş, Istanbul, Marmara Region, 34347, Turkey","{""coordinates"": [29.026827, 41.047294], ""type"": ""Point""}","Ortaköy Mosque, İskele Sokağı, Mecidiye Mahallesi, Beşiktaş, Istanbul, Marmara Region, 34347, Turkey",amenity,place_of_worship
