,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Europe,Europe,"['*...As of 1 January 2022, its population was 2,952,301, making Kyiv the seventh-most populous city in Europe....', '...Kyiv is an important industrial, scientific, educational, and cultural center in Eastern Europe....', '...During its history, Kyiv, one of the oldest cities in Eastern Europe, passed through several stages of prominence and obscurity....', '...In English, Kiev appeared in print as early as 1804 in John Cary\'s ""New map of Europe, from the latest authorities"", and in Mary Holderness\'s 1823 travelogue New Russia: Journey from Riga to the Crimea by way of Kiev....', '...Kyiv is a middle-income city, with prices comparable to many mid-size American cities (i.e., considerably lower than Western Europe)....', '*...Average prices of apartments are the highest in the country and among the highest in eastern Europe....', '*...The historic  tram system was the first electric tramway in the former Russian Empire and the third one in Europe after the Berlin Straßembahn and the Budapest tramway....', '...Ticket prices are regulated by the city government, and the cost of one ride is far lower than in Western Europe....']","European Square, Го́род Володимира, Центр, Shevchenkivskyi district, Kyiv, 01008, Ukraine","{""coordinates"": [30.527402, 50.4521], ""type"": ""Point""}","European Square, Го́род Володимира, Центр, Shevchenkivskyi district, Kyiv, 01008, Ukraine",highway,secondary
8,Dnieper,Dnieper,"['...It is in north-central Ukraine along the Dnieper River....', '*...In De Administrando Imperio, Constantine Porphyrogenitus mentions a caravan of small cargo boats which assembled annually, and writes, ""They come down the river Dnieper and assemble at the strong-point of Kyiv (Kioava), also called Sambatas""....', '...During the Russian industrial revolution in the late 19th century, Kyiv became an important trade and transportation centre of the Russian Empire, specialising in sugar and grain export by railway and on the Dnieper river....', '*...Originally on the west bank, today Kyiv is on both sides of the Dnieper, which flows southwards through the city towards the Black Sea....', ""*...Kyiv is a part of the larger Dnieper Upland adjoining the western bank of the Dnieper in its mid-flow, and which contributes to the city's elevation change...."", '...Kyiv expanded into the Dnieper Lowland on the left bank (to the east) as late as the 20th century....', '*...The whole portion of Kyiv on the left bank of the Dnieper is generally referred to as the Left Bank (Лівий берег, Livyi bereh)....', '...Significant areas of the left bank Dnieper valley were artificially sand-deposited, and are protected by dams....', '...Within the city the Dnieper River forms a branching system of tributaries, isles, and harbors within the city limits....', '*...Both the Dnieper and Desna rivers are navigable at Kyiv, although regulated by the reservoir shipping locks and limited by winter freeze-over....', '*...In total, there are 448 bodies of open water within the boundaries of Kyiv, which include the Dnieper itself, its reservoirs, and several small rivers, dozens of lakes and artificially created ponds....', '...The Dnieper River naturally divides Kyiv into the Right Bank and the Left Bank areas....', '*...It is also prestigious to own a property in newly constructed buildings in the Kharkivskyi Raion or Obolon along the Dnieper....', ""*...One of Kyiv's widely recognized modern landmarks is the highly visible giant Mother Motherland statue made of titanium standing at the National Museum of the History of Ukraine in the Second World War on the Right bank of the Dnieper...."", ""*...Among Kyiv's best-known monuments are Mikhail Mikeshin's statue of Bohdan Khmelnytsky astride his horse near St. Sophia Cathedral, the venerated Vladimir the Great (St. Vladimir), the baptizer of Rus', overlooking the river above Podil from Saint Vladimir Hill, the monument to Kyi, Shchek and Khoryv and Lybid, the legendary founders of the city at the Dnieper embankment...."", '...The National Museum of the History of Ukraine in the Second World War is here, which offers both indoor and outdoor displays of military history and equipment surrounded by verdant hills overlooking the Dnieper river....', '*...The National Museum of the History of Ukraine in the Second World War is a memorial complex commemorating the Eastern Front of World War II in the hills on the right-bank of the Dnieper in Pechersk....', '...It connects the historic Uppertown, and the lower commercial neighborhood of Podil through the steep Saint Vladimir Hill overseeing the Dnieper River....', '*...There are eight Dnieper bridges and dozens of grade-separated intersections in the city....', ""...Bridges over the Dnieper River are another problem restricting the development of city's railway system....""]","Dnieper Riviera, 58, Лютнева вулиця, Holosiivskyi District, Kyiv, 03131, Ukraine","{""coordinates"": [30.603649, 50.337702], ""type"": ""Point""}","Dnieper Riviera, 58, Лютнева вулиця, Holosiivskyi District, Kyiv, 03131, Ukraine",amenity,restaurant
10,Khreshchatyk,Khreshchatyk,"['*...Shortly after the Wehrmacht occupied the city, a team of NKVD officers who had remained hidden dynamited most of the buildings on the Khreshchatyk, the main street of the city, where German military and civil authorities had occupied most of the buildings; the buildings burned for days and 25,000 people were left homeless....', '...The city state administration and council is in the Kyiv City council building on Khreshchatyk Street....', '*...In the discussions that centered on how to create a showcase city center, the current city center of Khreshchatyk and Maidan Nezalezhnosti (Independence Square) were not the obvious choices....', '*...The most expensive properties are in the Pechersk and Khreshchatyk areas....', '*...The centre of Kyiv has been cleaned up and buildings have been restored and redecorated, especially Khreshchatyk and Maidan Nezalezhnosti....']","Khreshchatyk, Arkhitektora Horodetskoho Street, Урядовий квартал, Садиба Мерінга, Клов, Pecherskyi district, Kyiv, 01024, Ukraine","{""coordinates"": [30.527054, 50.447146], ""type"": ""Point""}","Khreshchatyk, Arkhitektora Horodetskoho Street, Урядовий квартал, Садиба Мерінга, Клов, Pecherskyi district, Kyiv, 01024, Ukraine",railway,subway_entrance
11,Babi Yar,Babi Yar,"['*...Allegedly in response to the actions of the NKVD, the Germans rounded up all the local Jews they could find, nearly 34,000, and massacred them at Babi Yar in Kyiv on 29 and 30 September 1941....', '*...In the months that followed, thousands more were taken to Babi Yar where they were shot....', '*...It is estimated that the Germans murdered more than 100,000 people of various ethnic groups, mostly civilians, at Babi Yar during World War II....', '*...On 29 and 30 September 1941, nearly 34,000 Kyivan Jews were massacred at Babi Yar by the Wehrmacht, SS, Ukrainian Auxiliary Police, and local collaborators....']","Menorah, Дорога скорботи, Lukyanivka, Shevchenkivskyi district, Kyiv, 04086, Ukraine","{""coordinates"": [30.45756, 50.475742], ""type"": ""Point""}","Menorah, Дорога скорботи, Lukyanivka, Shevchenkivskyi district, Kyiv, 04086, Ukraine",historic,memorial
12,Chernobyl Nuclear Power Plant,Chernobyl Nuclear Power Plant,['...The catastrophic accident at the Chernobyl Nuclear Power Plant in 1986 occurred only 100\xa0km (62\xa0mi) north of the city....'],"Chernobyl Nuclear Power Plant Zone of Alienation, Vyshhorod Raion, Kyiv Oblast, Ukraine","{""coordinates"": [29.89998, 51.307844], ""type"": ""Point""}","Chernobyl Nuclear Power Plant Zone of Alienation, Vyshhorod Raion, Kyiv Oblast, Ukraine",military,danger_area
21,Desna,Desna,"['...The city is close to the mouth of the Desna River and the Kyiv Reservoir in the north, and the Kaniv Reservoir in the south....', '*...Both the Dnieper and Desna rivers are navigable at Kyiv, although regulated by the reservoir shipping locks and limited by winter freeze-over....']","Десна, Гагаріна вулиця, Khotianivka, Pirnove Rural Hromada, Vyshhorod Raion, Kyiv Oblast, 07363, Ukraine","{""coordinates"": [30.591103, 50.592045], ""type"": ""Point""}","Десна, Гагаріна вулиця, Khotianivka, Pirnove Rural Hromada, Vyshhorod Raion, Kyiv Oblast, 07363, Ukraine",leisure,resort
22,Hrushevskoho Street,Hrushevskoho Street,"['*...Most key buildings of the national government are along Hrushevskoho Street (vulytsia Mykhaila Hrushevskoho) and Institute Street (vulytsia Instytutska)....', '*...Hrushevskoho Street is named after the Ukrainian academician, politician, historian, and statesman Mykhailo Hrushevskyi, who wrote an academic book titled: ""Bar Starostvo: Historical Notes: XV-XVIII"" about the history of Bar, Ukraine....']","Hrushevskoho Street, 10-й мікрорайон, Pereizd, Brovary, Броварська міська громада, Brovary Raion, Kyiv Oblast, 07400, Ukraine","{""coordinates"": [30.786113, 50.504877], ""type"": ""Point""}","Hrushevskoho Street, 10-й мікрорайон, Pereizd, Brovary, Броварська міська громада, Brovary Raion, Kyiv Oblast, 07400, Ukraine",highway,residential
23,Institute Street,Institute Street,['*...Most key buildings of the national government are along Hrushevskoho Street (vulytsia Mykhaila Hrushevskoho) and Institute Street (vulytsia Instytutska)....'],"Bridge over Institute Street, Центр, Shevchenkivskyi district, Kyiv, 01204, Ukraine","{""coordinates"": [30.526486, 50.449485], ""type"": ""Point""}","Bridge over Institute Street, Центр, Shevchenkivskyi district, Kyiv, 01204, Ukraine",highway,footway
24,Khreshchatyk Street,Khreshchatyk Street,['*...The city state administration and council is in the Kyiv City council building on Khreshchatyk Street....'],"Khreshchatyk Street, Урядовий квартал, Бегічевська Гора, Клов, Pecherskyi district, Kyiv, 01028, Ukraine","{""coordinates"": [30.524607, 50.450358], ""type"": ""Point""}","Khreshchatyk Street, Урядовий квартал, Бегічевська Гора, Клов, Pecherskyi district, Kyiv, 01028, Ukraine",highway,primary
30,Left Bank,Left Bank,"['...Kyiv expanded into the Dnieper Lowland on the left bank (to the east) as late as the 20th century....', '...The whole portion of Kyiv on the left bank of the Dnieper is generally referred to as the Left Bank (Лівий берег, Livyi bereh)....', '...Significant areas of the left bank Dnieper valley were artificially sand-deposited, and are protected by dams....', '...The Dnieper River naturally divides Kyiv into the Right Bank and the Left Bank areas....', '...Historically  on the western right bank of the river, the city expanded into the left bank only in the 20th century....', '*...The eastern ""Left Bank"" is predominantly residential....', '...There are large industrial and green areas in both the Right Bank and the Left Bank....']","Left-bank Spiritual Center, 20-А, Ivana Mykytenka Street, Куликове, Voskresenka, Dniprovskyi district, Kyiv, 02139, Ukraine","{""coordinates"": [30.601639, 50.485602], ""type"": ""Point""}","Left-bank Spiritual Center, 20-А, Ivana Mykytenka Street, Куликове, Voskresenka, Dniprovskyi district, Kyiv, 02139, Ukraine",amenity,place_of_worship
32,Maidan Nezalezhnosti,Maidan Nezalezhnosti,"['*...In the discussions that centered on how to create a showcase city center, the current city center of Khreshchatyk and Maidan Nezalezhnosti (Independence Square) were not the obvious choices....', '*...The centre of Kyiv has been cleaned up and buildings have been restored and redecorated, especially Khreshchatyk and Maidan Nezalezhnosti....']","Maidan Nezalezhnosti, Arkhitektora Horodetskoho Street, Урядовий квартал, Садиба Мерінга, Клов, Pecherskyi district, Kyiv, 01024, Ukraine","{""coordinates"": [30.524515, 50.448286], ""type"": ""Point""}","Maidan Nezalezhnosti, Arkhitektora Horodetskoho Street, Урядовий квартал, Садиба Мерінга, Клов, Pecherskyi district, Kyiv, 01024, Ukraine",railway,stop
33,Independence Square,Independence Square,"['*...In the discussions that centered on how to create a showcase city center, the current city center of Khreshchatyk and Maidan Nezalezhnosti (Independence Square) were not the obvious choices....', ""*...On Independence Square in the city centre, two monuments elevate two of the city protectors; the historic protector of Kyiv Michael Archangel atop a reconstruction of one of the old city's gates and a modern invention, the goddess-protector Berehynia atop a tall column...."", '*...The centre of Kyiv (Independence Square and Khreschatyk Street) becomes a large outdoor party place at night during summer months, with thousands of people having a good time in nearby restaurants, clubs and outdoor cafes....']","Independence Square, Центр, Shevchenkivskyi district, Kyiv, 01028, Ukraine","{""coordinates"": [30.524607, 50.450358], ""type"": ""Point""}","Independence Square, Центр, Shevchenkivskyi district, Kyiv, 01028, Ukraine",highway,secondary
34,Pechersk,Pechersk,"['...Kyiv\'s geographical relief contributed to its toponyms, such as Podil (""lower""), Pechersk (""caves""), and uzviz (a steep street, ""descent"")....', '*...The first known formal subdivision of Kyiv dates to 1810 when the city was subdivided into 4 parts: Pechersk, Starokyiv, and the first and the second parts of Podil....', '*...Some of the early, ultimately not materialised, ideas included a part of Pechersk, Lypky, European Square, and Mykhailivska Square....', '*...The most expensive properties are in the Pechersk and Khreshchatyk areas....', ""...Kyiv's most famous historical architecture complexes are the St. Sophia Cathedral and the Kyiv Pechersk Lavra (Monastery of the Caves), which are recognized by UNESCO as a World Heritage Site...."", '...Its sacred sites, which include the Kyiv Pechersk Lavra (the Monastery of the Caves) and the Saint Sophia Cathedral are probably the most famous, attracted pilgrims for centuries and now recognized as a UNESCO World Heritage Site remain the primary religious centres as well as the major tourist attraction....', '*...The National Museum of the History of Ukraine in the Second World War is a memorial complex commemorating the Eastern Front of World War II in the hills on the right-bank of the Dnieper in Pechersk....', '*...These structures (once a united complex) were built in the Pechersk and neighbourhoods by the Russian army....']","Theatre on Pechersk, Мала Шияновська вулиця, Собача Тропа, Pechersk, Pecherskyi district, Kyiv, 01011, Ukraine","{""coordinates"": [30.537446, 50.429976], ""type"": ""Point""}","Theatre on Pechersk, Мала Шияновська вулиця, Собача Тропа, Pechersk, Pecherskyi district, Kyiv, 01011, Ukraine",amenity,theatre
36,European Square,European Square,"['*...Some of the early, ultimately not materialised, ideas included a part of Pechersk, Lypky, European Square, and Mykhailivska Square....']","European Square, Го́род Володимира, Центр, Shevchenkivskyi district, Kyiv, 01008, Ukraine","{""coordinates"": [30.527402, 50.4521], ""type"": ""Point""}","European Square, Го́род Володимира, Центр, Shevchenkivskyi district, Kyiv, 01008, Ukraine",highway,secondary
37,Mykhailivska Square,Mykhailivska Square,"['*...Some of the early, ultimately not materialised, ideas included a part of Pechersk, Lypky, European Square, and Mykhailivska Square....']","Mykhailivska Square, Го́род Володимира, Old Kyiv, Центр, Shevchenkivskyi district, Kyiv, 01025, Ukraine","{""coordinates"": [30.520177, 50.455216], ""type"": ""Point""}","Mykhailivska Square, Го́род Володимира, Old Kyiv, Центр, Shevchenkivskyi district, Kyiv, 01025, Ukraine",highway,secondary
38,Obolon,Obolon,"['*...It is also prestigious to own a property in newly constructed buildings in the Kharkivskyi Raion or Obolon along the Dnieper....', '...Kyiv has many professional and amateur football clubs, including Dynamo Kyiv, Arsenal Kyiv and FC Obolon Kyiv but only Dynamo Kyiv play in the Ukrainian Premier League....', '*...Obolon, brewery ;...']","Оболонь, 71-Е, Kostiantynivska Street, Плоське, Podil, Podilskyi district, Kyiv, 03080, Ukraine","{""coordinates"": [30.503047, 50.471845], ""type"": ""Point""}","Оболонь, 71-Е, Kostiantynivska Street, Плоське, Podil, Podilskyi district, Kyiv, 03080, Ukraine",shop,beverages
40,St. Sophia Cathedral,St. Sophia Cathedral,"[""...Kyiv's most famous historical architecture complexes are the St. Sophia Cathedral and the Kyiv Pechersk Lavra (Monastery of the Caves), which are recognized by UNESCO as a World Heritage Site...."", ""*...Among Kyiv's best-known monuments are Mikhail Mikeshin's statue of Bohdan Khmelnytsky astride his horse near St. Sophia Cathedral, the venerated Vladimir the Great (St. Vladimir), the baptizer of Rus', overlooking the river above Podil from Saint Vladimir Hill, the monument to Kyi, Shchek and Khoryv and Lybid, the legendary founders of the city at the Dnieper embankment....""]","Saint Sophia Cathedral, Volodymyrska Street, Го́род Володимира, Old Kyiv, Центр, Shevchenkivskyi district, Kyiv, 01028, Ukraine","{""coordinates"": [30.514249, 50.452912], ""type"": ""Point""}","Saint Sophia Cathedral, Volodymyrska Street, Го́род Володимира, Old Kyiv, Центр, Shevchenkivskyi district, Kyiv, 01028, Ukraine",amenity,place_of_worship
41,Kyiv Pechersk Lavra,Kyiv Pechersk Lavra,"[""...Kyiv's most famous historical architecture complexes are the St. Sophia Cathedral and the Kyiv Pechersk Lavra (Monastery of the Caves), which are recognized by UNESCO as a World Heritage Site...."", '...Its sacred sites, which include the Kyiv Pechersk Lavra (the Monastery of the Caves) and the Saint Sophia Cathedral are probably the most famous, attracted pilgrims for centuries and now recognized as a UNESCO World Heritage Site remain the primary religious centres as well as the major tourist attraction....']","Kyiv-Pechersk Lavra, Lavrska Street, Цитадель, Pechersk, Pecherskyi district, Kyiv, 01015, Ukraine","{""coordinates"": [30.558651, 50.434152], ""type"": ""Point""}","Kyiv-Pechersk Lavra, Lavrska Street, Цитадель, Pechersk, Pecherskyi district, Kyiv, 01015, Ukraine",amenity,monastery
