,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Europe,Europe,"[""*...It is mainland Europe's westernmost capital city and the only one along the Atlantic coast...."", '...The westernmost portions of its metro area, the Portuguese Riviera, form the westernmost point of Continental Europe, culminating at Cabo da Roca....', ""*...It is one of the major economic centres in Europe, with a growing financial sector and one of the largest container ports on Europe's Atlantic coast...."", '*...Additionally, Humberto Delgado Airport served 31 million passengers in 2019, being the busiest airport in Portugal, the third busiest in the Iberian Peninsula and the 20th busiest in Europe....', '...The city is the ninth-most-visited city in Southern Europe, after Istanbul, Rome, Barcelona, Milan, Athens, Venice, Madrid and Florence with 3,539,400 tourists in 2018....', ""*...Many of these ruins were first unearthed during the mid-18th century (when the recent discovery of Pompeii made Roman archaeology fashionable among Europe's upper classes)...."", '*...By 1755, Lisbon was one of the largest cities in Europe; the catastrophic event shocked the whole of Europe and left a deep impression on its collective psyche....', '*...The westernmost part of Lisbon is occupied by the Monsanto Forest Park, a 10\xa0km2 (4\xa0sq\xa0mi) urban park, one of the largest in Europe, and occupying 10% of the municipality....', '*...Before Portugal\'s sovereign debt crisis and an EU-IMF rescue plan, for the decade of 2010 Lisbon was expecting to receive many state-funded investments, including building a new airport, a new bridge, an expansion of the Lisbon Metro 30\xa0km (18.64\xa0mi) underground, the construction of a mega-hospital (or central hospital), the creation of two lines of a TGV to join Madrid, Porto, Vigo and the rest of Europe, the restoration of the main part of the town (between the Marquês de Pombal roundabout and Terreiro do Paço), the creation of a large number of bike lanes, as well as modernization and renovation of various facilities.\nLisbon was the 7th most ""livable city"" in the world in 2021 according to lifestyle magazine Monocle....', '*...The 25 de Abril Bridge, inaugurated (as Ponte Salazar) on 6 August 1966, and later renamed after the date of the Carnation Revolution, was the longest suspension bridge in Europe....', '*...The Vasco da Gama Bridge, inaugurated in May 1998 is, at 17.2\xa0km (10.7\xa0mi), the longest bridge in Europe....', '*...The foundations for a third bridge across the Tagus have already been laid, but the overall project has been postponed due to the economic crisis in Portugal and all of Europe....']","Yamaha Motor Europe, N.V., Sucursal em Portugal, Estrada de Alfragide, Alfragide, Amadora, Lisbon, 2720-016, Portugal","{""coordinates"": [-9.214844, 38.736746], ""type"": ""Point""}","Yamaha Motor Europe, N.V., Sucursal em Portugal, Estrada de Alfragide, Alfragide, Amadora, Lisbon, 2720-016, Portugal",building,yes
2,Atlantic,Atlantic,"[""*...It is mainland Europe's westernmost capital city and the only one along the Atlantic coast...."", '...Lisbon lies in the western Iberian Peninsula on the Atlantic Ocean and the River Tagus....', ""*...It is one of the major economic centres in Europe, with a growing financial sector and one of the largest container ports on Europe's Atlantic coast...."", '...During World War II, Lisbon was one of the very few neutral, open European Atlantic ports, a major gateway for refugees to the U.S. and a haven for spies....']","Atlantic Kebab, 15, Rua do Diário de Notícias, Bairro Alto, Misericórdia, Lisbon, 1200-145, Portugal","{""coordinates"": [-9.144193, 38.711202], ""type"": ""Point""}","Atlantic Kebab, 15, Rua do Diário de Notícias, Bairro Alto, Misericórdia, Lisbon, 1200-145, Portugal",amenity,fast_food
7,Humberto Delgado Airport,Humberto Delgado Airport,"['*...Additionally, Humberto Delgado Airport served 31 million passengers in 2019, being the busiest airport in Portugal, the third busiest in the Iberian Peninsula and the 20th busiest in Europe....', '*...Humberto Delgado Airport is located within the city limits....']","Lisbon Airport, Alameda das Comunidades Portuguesas, Olivais, Lisbon, 1700-111, Portugal","{""coordinates"": [-9.131901, 38.780954], ""type"": ""Point""}","Lisbon Airport, Alameda das Comunidades Portuguesas, Olivais, Lisbon, 1700-111, Portugal",aeroway,aerodrome
12,Castle of São Jorge,Castle of São Jorge,"['...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....', '...The oldest district of Lisbon, it spreads down the southern slope from the Castle of São Jorge to the River Tagus....']","Castle of St. George, Rua do Espírito Santo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-478, Portugal","{""coordinates"": [-9.133565, 38.713987], ""type"": ""Point""}","Castle of St. George, Rua do Espírito Santo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-478, Portugal",historic,castle
13,Castelo de São Jorge,Castelo de São Jorge,"['*...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....']","Núcleo Museológico do Castelo de São Jorge, Rua das Cozinhas, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-245, Portugal","{""coordinates"": [-9.133983, 38.713047], ""type"": ""Point""}","Núcleo Museológico do Castelo de São Jorge, Rua das Cozinhas, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100-245, Portugal",tourism,museum
14,Lisbon Cathedral,Lisbon Cathedral,"['*...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....']","Lisbon Cathedral, Largo da Sé, Sé, Alfama, Santa Maria Maior, Lisbon, 1100-501, Portugal","{""coordinates"": [-9.132801, 38.709839], ""type"": ""Point""}","Lisbon Cathedral, Largo da Sé, Sé, Alfama, Santa Maria Maior, Lisbon, 1100-501, Portugal",amenity,place_of_worship
15,Tagus,Tagus,"['...Lisbon lies in the western Iberian Peninsula on the Atlantic Ocean and the River Tagus....', ""...Lisbon's name may have been derived from Proto-Celtic or Celtic Olisippo, Lissoppo, or a similar name which other visiting peoples like the ancient Phoenicians, Greeks and Romans adapted accordingly, such as the pre-Roman appellation for the Tagus River, Lisso or Lucio...."", '...The sheltered harbour in the Tagus River estuary was an ideal spot for an Iberian settlement and would have provided a secure harbour for unloading and provisioning Phoenician ships....', '*...The Tagus settlement was an important centre of commercial trade with the inland tribes, providing an outlet for the valuable metals, salt and salted-fish they collected, and for the sale of the Lusitanian horses renowned in antiquity....', ""...The first, the central commercial district, is the traditional gathering place of the city and the location of the older cafés, theatres and restaurants; the second became the city's main access to the River Tagus and point of departure and arrival for seagoing vessels, adorned by a triumphal arch (1873) and a monument to King Joseph I...."", '*...The development of industry and commerce determined the growth of the city, seeing the transformation of the Passeio Público, a Pombaline era park, into the Avenida da Liberdade, as the city grew farther from the Tagus....', '*...The inauguration of the bridge over the Tagus allowed a rapid connection between both sides of the river....', ""*...In the 1990s, many of the districts were renovated and projects in the historic quarters were established to modernise those areas, for instance, architectural and patrimonial buildings were renovated, the northern margin of the Tagus was re-purposed for leisure and residential use, the Vasco da Gama Bridge was constructed and the eastern part of the municipality was re-purposed for Expo '98 to commemorate the 500th anniversary of Vasco da Gama's sea voyage to India, a voyage that would bring immense riches to Lisbon and cause many of Lisbon's landmarks to be built...."", '...Lisbon is located at , situated at the mouth of the Tagus River and is the westernmost capital of a mainland European country....', '...The rest of the urbanised area of the Lisbon urban area, known generically as Greater Lisbon (Portuguese: Grande Lisboa) includes several administratively defined cities and municipalities, in the north bank of the Tagus River....', '...The oldest district of Lisbon, it spreads down the southern slope from the Castle of São Jorge to the River Tagus....', '*...It stood on a little island on the right side of the Tagus, surrounded by water....', '...The monument to Christ the King (Cristo-Rei) stands on the southern bank of the Tagus River, in Almada....', '...The Lisbon metropolitan area incorporates two NUTS III (European statistical subdivisions): Grande Lisboa (Greater Lisbon), along the northern bank of the Tagus River, and Península de Setúbal (Setúbal Peninsula), along the southern bank....', '...The Lisbon metropolitan area is heavily industrialized, especially the south bank of the Tagus river (Rio Tejo)....', '*...The lisbonite industry has very large sectors in oil, as refineries are found just across the Tagus, textile mills, shipyards and fishing....', '...There are four commuter train lines departing from Lisbon: the Sintra, Azambuja, Cascais and Sado lines (operated by CP – Comboios de Portugal), as well as a fifth line to Setúbal (operated by Fertagus), which crosses the Tagus river via the 25 de Abril Bridge....', '*...The city is connected to the far side of the Tagus by two important bridges:...', '*...The foundations for a third bridge across the Tagus have already been laid, but the overall project has been postponed due to the economic crisis in Portugal and all of Europe....']","Tagus Palace, Rua Alexandre Herculano, Coração de Jesus, Santo António, Lisbon, 1150-005, Portugal","{""coordinates"": [-9.147174, 38.724118], ""type"": ""Point""}","Tagus Palace, Rua Alexandre Herculano, Coração de Jesus, Santo António, Lisbon, 1150-005, Portugal",tourism,hotel
18,Rua da Prata,Rua da Prata,"[""*...During Augustus' reign, the Romans also built a great theatre; the Cassian Baths (underneath Rua da Prata); temples to Jupiter, Diana, Cybele, Tethys and Idea Phrygiae (an uncommon cult from Asia Minor), in addition to temples to the Emperor; a large necropolis under Praça da Figueira; a large forum and other buildings such as insulae (multi-storied apartment buildings) in the area between Castle Hill and the historic city core....""]","Rua da Prata, Baixa, Santa Maria Maior, Lisbon, 1149-027, Portugal","{""coordinates"": [-9.13614, 38.70894], ""type"": ""Point""}","Rua da Prata, Baixa, Santa Maria Maior, Lisbon, 1149-027, Portugal",highway,secondary
20,Castle Hill,Castle Hill,"['...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....', ""*...During Augustus' reign, the Romans also built a great theatre; the Cassian Baths (underneath Rua da Prata); temples to Jupiter, Diana, Cybele, Tethys and Idea Phrygiae (an uncommon cult from Asia Minor), in addition to temples to the Emperor; a large necropolis under Praça da Figueira; a large forum and other buildings such as insulae (multi-storied apartment buildings) in the area between Castle Hill and the historic city core...."", '*...Archaeological excavations made near the Castle of São Jorge (Castelo de São Jorge) and Lisbon Cathedral indicate a Phoenician presence at this location since 1200 BC, and it can be stated with confidence that a Phoenician trading post stood on a site now the centre of the present city, on the southern slope of Castle hill....']","top of the castle hill, 53 2D, Costa do Castelo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100, Portugal","{""coordinates"": [-9.134598, 38.713997], ""type"": ""Point""}","top of the castle hill, 53 2D, Costa do Castelo, Castelo, Alfama, Santa Maria Maior, Lisbon, 1100, Portugal",tourism,hotel
26,Alfama,Alfama,"['*...The Muslim influence is still visible in the Alfama district, an old quarter of Lisbon that survived the 1755 Lisbon earthquake: many place-names are derived from Arabic and the Alfama (the oldest existing district of Lisbon) was derived from the Arabic ""al-hamma"".\nFor a brief time, Lisbon was an independent Muslim kingdom known as the Taifa of Lisbon (1022–1094), before being conquered by the larger Taifa of Badajoz.\nIn 1108 Lisbon was raided and occupied by Norwegian crusaders led by Sigurd I on their way to the Holy Land as part of the Norwegian Crusade and occupied by crusader forces for three years....', '*...These communities have no clearly defined boundaries and represent distinctive quarters of the city that have in common a historical culture, similar living standards, and identifiable architectural landmarks, as exemplified by the Bairro Alto, Alfama, Chiado, and so forth....', '*...During the Islamic invasion of Iberia, the Alfama constituted the largest part of the city, extending west to the Baixa neighbourhood....', '*...Increasingly, the Alfama became inhabited by fishermen and the poor: its fame as a poor neighbourhood continues to this day....', '*...While the 1755 Lisbon earthquake caused considerable damage throughout the capital, the Alfama survived with little damage, thanks to its compact labyrinth of narrow streets and small squares....']","Memmo Alfama, Travessa das Merceeiras, Sé, Alfama, Santa Maria Maior, Lisbon, 1100-072, Portugal","{""coordinates"": [-9.130463, 38.710276], ""type"": ""Point""}","Memmo Alfama, Travessa das Merceeiras, Sé, Alfama, Santa Maria Maior, Lisbon, 1100-072, Portugal",tourism,hotel
