,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Saône,Saône,"['*...It is located at the confluence of the rivers Rhône and Saône, to the northwest of the French Alps, 391\xa0km (243\xa0mi) southeast of Paris, 278\xa0km (173\xa0mi) north of Marseille, 113\xa0km (70\xa0mi) southwest of Geneva, 50\xa0km (31\xa0mi) northeast of Saint-Étienne.\nThe City of Lyon proper had a population of 522,228 in 2020 within its small municipal territory of 48\xa0km2 (19\xa0sq\xa0mi), but together with its suburbs and exurbs the Lyon metropolitan area had a population of 2,293,180 that same year, the second most populated in France....', '*...Further down, in the current Saint-Vincent district, was the Gallic village of Condate, probably a simple hamlet of sailors or fishermen living on the banks of the Saône....', '*...These refugees had been expelled from Vienne and were now encamped at the confluence of the Saône and Rhône rivers....', '*...The Rhône and Saône converge to the south of the historic city centre, forming a peninsula – the ""Presqu\'île"" – bounded by two large hills to the west and north and a large plain eastward....', ""*...Geographically, Lyon's two main rivers, the Saône and the Rhône, divide the arrondissements into three groups:..."", ""*...To the west of the Saône, the fifth arrondissement covers the old city of Vieux Lyon, Fourvière hill and the plateau beyond. The 9th is immediately to the north, and stretches from Gorge de Loup, through Vaise to the neighbouring suburbs of Écully, Champagne-au-Mont-d'Or, Saint-Didier-au-Mont-d'Or, Saint-Cyr-au-Mont-d'Or and Collonges-au-Mont-d'Or...."", '...The 14 electoral wards are the following (see map for location):\n\xa0Lônes et coteaux \xa0Lyon-Centre (Lyon-Centre) \xa0Lyon-Est (Lyon-East) \xa0Lyon-Nord (Lyon-North) \xa0Lyon-Ouest \xa0Lyon-Sud \xa0Lyon-Sud-Est \xa0Ouest \xa0Plateau Nord-Caluire \xa0Porte des Alpes \xa0Portes du Sud \xa0Rhône Amont \xa0Val de Saône \xa0Villeurbanne\nThe six wards with names starting with ""Lyon"" are all located within the commune of Lyon....', '*...The traboules allowed the inhabitants to get from their homes to the Saône quickly and allowed the canuts on the Croix-Rousse hill to get from their workshops to the textile merchants at the foot of the hill....']","Saône, Allée Jacques Monod, Parc Technologique, Village, Saint-Priest, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69800, France","{""coordinates"": [4.928963, 45.712007], ""type"": ""Point""}","Saône, Allée Jacques Monod, Parc Technologique, Village, Saint-Priest, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69800, France",building,retail
4,Presqu'île,Presqu'île,"[""*...The city is recognised for its cuisine and gastronomy, as well as historical and architectural landmarks; as such, the districts of Old Lyon, the Fourvière hill, the Presqu'île and the slopes of the Croix-Rousse are inscribed on the UNESCO World Heritage List...."", '*...The Rhône and Saône converge to the south of the historic city centre, forming a peninsula – the ""Presqu\'île"" – bounded by two large hills to the west and north and a large plain eastward....', ""*...Place Bellecour is located on the Presqu'île between the two rivers and is the third-largest public square in France...."", ""*...Fourvière, along with portions of the Presqu'île and much of La Croix-Rousse, is designated as a UNESCO World Heritage Site...."", ""*...East of the Rhône from the Presqu'île is a large flat area upon which sits much of modern Lyon and contains most of the city's population...."", ""*...Between the two rivers, on the Presqu'île, are the second, first, and fourth arrondissements. The second includes most of the city centre, Bellecour and Perrache railway station, and reaches as far as the confluence of the two rivers. The first is directly to the north of the second and covers part of the city centre (including the Hôtel de Ville) and the slopes of La Croix-Rousse. To the north of the Boulevard is the fourth arrondissement, which covers the Plateau of La Croix-Rousse, up to its boundary with the commune of Caluire-et-Cuire...."", ""*...The specific regions comprising the historic site include the Roman district and Fourvière, the Renaissance district (Vieux Lyon), the silk district (slopes of Croix-Rousse), and the Presqu'île, which features architecture from the 12th century to modern times....""]","Laverie Presqu'Île, Rue Sainte-Hélène, Ainay, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","{""coordinates"": [4.830468, 45.754587], ""type"": ""Point""}","Laverie Presqu'Île, Rue Sainte-Hélène, Ainay, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France",shop,laundry
6,Franche-Comté,Franche-Comté,"['*...Julius Pokorny associates the first part of the word with the Indo-European radical *lūg (""dark, black, swamp"") and associates it with Ludza in Latvia, Lusatia in Germany (from Sorbian Łužica), Lužice in the Czech Republic; on this basis, it could also be compared to Luze in Franche-Comté and various hydronyms such as Louge....']","Rue de Franche Comté, Sainte-Foy-lès-Lyon, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69110, France","{""coordinates"": [4.802822, 45.748157], ""type"": ""Point""}","Rue de Franche Comté, Sainte-Foy-lès-Lyon, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69110, France",highway,footway
8,Lugdunum,Lugdunum,"['*...The old Lugdun, Lugdunon, Latinized in Lugdunum is composed of two Gallic words: from Lug a Celtic god (in charge of order and law) and dunos (""fortress"", ""hill""), the whole thus designating "" Lug\'s fortress....', '*...Lugdunum therefore originally designates the hill of Fourvière, on which the ancient city of Lyon is founded....', '...The city became increasingly referred to as Lugdunum (and occasionally Lugudunum)....', ""...The Romans recognised that Lugdunum's strategic location at the convergence of two navigable rivers made it a natural communications hub...."", '*...In 443 the Romans established the Kingdom of the Burgundians, and Lugdunum became its capital in 461....', '*...The Gallo-Roman Museum displaying many valuable objects and artworks found on the site of Roman Lyon (Lugdunum) such as Circus Games Mosaic, Coligny calendar and the Taurobolic Altar ;...']","Lugdunum, Place du Général Brosset, Bellecombe, 6th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69006, France","{""coordinates"": [4.858549, 45.766636], ""type"": ""Point""}","Lugdunum, Place du Général Brosset, Bellecombe, 6th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69006, France",building,office
9,Confluence,Confluence,"['...It is located at the confluence of the rivers Rhône and Saône, to the northwest of the French Alps, 391\xa0km (243\xa0mi) southeast of Paris, 278\xa0km (173\xa0mi) north of Marseille, 113\xa0km (70\xa0mi) southwest of Geneva, 50\xa0km (31\xa0mi) northeast of Saint-Étienne.\nThe City of Lyon proper had a population of 522,228 in 2020 within its small municipal territory of 48\xa0km2 (19\xa0sq\xa0mi), but together with its suburbs and exurbs the Lyon metropolitan area had a population of 2,293,180 that same year, the second most populated in France....', '*...Condate is a Gallic word meaning confluence, which gave its name to the Confluence district....', '...These refugees had been expelled from Vienne and were now encamped at the confluence of the Saône and Rhône rivers....', '*...2nd arrondissement: Cordeliers, Bellecour, Ainay, Perrache, Confluence, Sainte-Blandine ;...', ""...Between the two rivers, on the Presqu'île, are the second, first, and fourth arrondissements. The second includes most of the city centre, Bellecour and Perrache railway station, and reaches as far as the confluence of the two rivers. The first is directly to the north of the second and covers part of the city centre (including the Hôtel de Ville) and the slopes of La Croix-Rousse. To the north of the Boulevard is the fourth arrondissement, which covers the Plateau of La Croix-Rousse, up to its boundary with the commune of Caluire-et-Cuire...."", '*...The district of Confluence, in the south of the historic centre, is a new pole of economical and cultural development....']","Confluence, Place Nautique, Confluence, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","{""coordinates"": [4.818915, 45.741596], ""type"": ""Point""}","Confluence, Place Nautique, Confluence, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France",amenity,ferry_terminal
10,Allobroges,Allobroges,"['*...French Fourth Republic, 1944–1958\nFrance, 1958–present\nAccording to the historian Dio Cassius, in 43 BC, the Roman Senate ordered the creation of a settlement for Roman refugees of war with the Allobroges....']","Allobroges, Avenue du 24 Août 1944, Corbas, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69960, France","{""coordinates"": [4.916252, 45.678389], ""type"": ""Point""}","Allobroges, Avenue du 24 Août 1944, Corbas, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69960, France",highway,bus_stop
12,Place Bellecour,Place Bellecour,"[""...Many buildings were destroyed, especially around the Place Bellecour, and Jean-Marie Collot d'Herbois and Joseph Fouché administered the execution of more than 2,000 people...."", ""*...Place Bellecour is located on the Presqu'île between the two rivers and is the third-largest public square in France...."", '*...The broad, pedestrian-only Rue de la République leads north from Place Bellecour....', '*...Place Bellecour, one of the largest town squares in Europe ;...', '*...The Museum of Resistance and Deportation looks at the various individuals prominent in the Resistance movement in World War II. The building is strongly linked to Klaus Barbie. Lyon sees itself as the centre of the French resistance and many members were shot in Place Bellecour in the town centre. The exhibition is largely a series of mini-biographies of those involved....', '*...2nd arrondissement: Cordeliers, Bellecour, Ainay, Perrache, Confluence, Sainte-Blandine ;...', ""*...Between the two rivers, on the Presqu'île, are the second, first, and fourth arrondissements. The second includes most of the city centre, Bellecour and Perrache railway station, and reaches as far as the confluence of the two rivers. The first is directly to the north of the second and covers part of the city centre (including the Hôtel de Ville) and the slopes of La Croix-Rousse. To the north of the Boulevard is the fourth arrondissement, which covers the Plateau of La Croix-Rousse, up to its boundary with the commune of Caluire-et-Cuire...."", ""*...Bellecour, Écoles D'Arts....""]","Place Bellecour, Bellecour, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","{""coordinates"": [4.831995, 45.757516], ""type"": ""Point""}","Place Bellecour, Bellecour, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France",tourism,square
13,Rue de la République,Rue de la République,"['*...The broad, pedestrian-only Rue de la République leads north from Place Bellecour....']","Rue de la République, Bellecour, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","{""coordinates"": [4.835563, 45.760165], ""type"": ""Point""}","Rue de la République, Bellecour, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France",highway,pedestrian
16,La Part-Dieu,La Part-Dieu,"[""*...Situated in this area is La Part-Dieu urban centre, which clusters the landmark structures Tour Incity, Tour Part-Dieu, Tour Oxygène, and Tour Swiss Life, as well as the city's primary railway station, Gare de Lyon-Part-Dieu...."", '*...The specialisation of some sectors of activities has led to the creation of many main business centres:\nLa Part-Dieu, located in the 3rd arrondissement is the second biggest business quarter after La Défense in Paris with over 1,600,000\xa0m2 (17,222,256.67\xa0sq\xa0ft) of office space and services and more than 55,000 jobs....']","Rue de la Part-Dieu, Préfecture, 3rd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69003, France","{""coordinates"": [4.841112, 45.75915], ""type"": ""Point""}","Rue de la Part-Dieu, Préfecture, 3rd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69003, France",highway,cycleway
17,Tour Incity,Tour Incity,"[""*...Situated in this area is La Part-Dieu urban centre, which clusters the landmark structures Tour Incity, Tour Part-Dieu, Tour Oxygène, and Tour Swiss Life, as well as the city's primary railway station, Gare de Lyon-Part-Dieu...."", '...Tour Incity ....']","Tour Incity, Cours Lafayette, Préfecture, 3rd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69003, France","{""coordinates"": [4.851016, 45.763278], ""type"": ""Point""}","Tour Incity, Cours Lafayette, Préfecture, 3rd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69003, France",building,yes
