,entity,to_search,snippet,address,coordinates,name_location,class,type
0,River Manzanares,River Manzanares,"['...Madrid lies on the River Manzanares in the central part of the Iberian Peninsula....', '...At the second half of the 9th century, Cordobese Emir Muhammad I built a fortress on a headland near the river Manzanares, as one of the many fortresses he ordered to be built on the border between Al-Andalus and the kingdoms of León and Castile, with the objective of protecting Toledo from the Christian invasions and also as a starting point for Muslim offensives....', ""...Other notable museums include the National Museum of Natural Sciences (the Spain's national museum of natural history), the Naval Museum, the Convent of Las Descalzas Reales (with many works of Renaissance and Baroque art, and Brussels tapestries inspired by paintings of Rubens), the Museum of Lázaro Galdiano (housing a collection specialising in decorative arts, featuring a collection of weapons that features the sword of Pope Innocent VIII), the National Museum of Decorative Arts, the National Museum of Romanticism (focused on 19th century Romanticism), the Museum Cerralbo, the National Museum of Anthropology (featuring as highlight a Guanche mummy from Tenerife), the Sorolla Museum (focused in the namesake Valencian Impressionist painter, also including sculptures by Auguste Rodin, part of Sorolla's personal effects), or the History Museum of Madrid (housing pieces related to the local history of Madrid), the Wax Museum of Madrid, the Railway Museum (located in the building that was once the Delicias Station).\nMajor cultural centres in the city include the Fine Arts Circle (one of Madrid's oldest arts centres and one of the most important private cultural centres in Europe, hosting exhibitions, shows, film screenings, conferences and workshops), the Conde Duque cultural centre or the Matadero Madrid, a cultural complex (formerly an abattoir) located by the river Manzanares....""]","Manzanares river pool, Calle Río Manzanares, Brezo, Valdemoro, Comarca Sur, Community of Madrid, 28343, Spain","{""coordinates"": [-3.685816, 40.194805], ""type"": ""Point""}","Manzanares river pool, Calle Río Manzanares, Brezo, Valdemoro, Comarca Sur, Community of Madrid, 28343, Spain",leisure,swimming_pool
3,Plaza Mayor,Plaza Mayor,"[""...Its landmarks include the Plaza Mayor, the Royal Palace of Madrid; the Royal Theatre with its restored 1850 Opera House; the Buen Retiro Park, founded in 1631; the 19th-century National Library building (founded in 1712) containing some of Spain's historical archives; many national museums, and the Golden Triangle of Art, located along the Paseo del Prado and comprising three art museums: Prado Museum, the Reina Sofía Museum, a museum of modern art, and the Thyssen-Bornemisza Museum, which complements the holdings of the other two museums...."", '...Stand out architecture in the city dating back to the early 17th century includes several buildings and structures (most of them attributed to Juan Gómez de Mora) such as the Palace of the Duke of Uceda (1610), the Monastery of La Encarnación (1611–1616); the Plaza Mayor (1617–1619) or the Cárcel de Corte (1629–1641), currently known as the Santa Cruz Palace....']","Main Square, Barrio de los Austrias, Sol, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28012, Spain","{""coordinates"": [-3.707374, 40.415392], ""type"": ""Point""}","Main Square, Barrio de los Austrias, Sol, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28012, Spain",highway,pedestrian
4,Royal Palace of Madrid,Royal Palace of Madrid,"[""...Its landmarks include the Plaza Mayor, the Royal Palace of Madrid; the Royal Theatre with its restored 1850 Opera House; the Buen Retiro Park, founded in 1631; the 19th-century National Library building (founded in 1712) containing some of Spain's historical archives; many national museums, and the Golden Triangle of Art, located along the Paseo del Prado and comprising three art museums: Prado Museum, the Reina Sofía Museum, a museum of modern art, and the Thyssen-Bornemisza Museum, which complements the holdings of the other two museums...."", '...The Royal Palace of Madrid, a massive building characterised by its luxurious rooms, houses rich collections of armours and weapons, as well as the most comprehensive collection of Stradivarius in the world....', '...Philip V built the Royal Palace, the Royal Tapestry Factory and the main Royal Academies....', '...On 2 May, a crowd began to gather near the Royal Palace protesting against the French attempt to evict the remaining members of the Bourbon royal family to Bayonne, prompting up an uprising against the French Imperial troops that lasted hours and spread throughout the city, including a famous last stand at the Monteleón barracks....', '...Other urban parks are the Parque de El Capricho, the Parque Juan Carlos I (both in northeast Madrid), Madrid Río, the Enrique Tierno Galván Park, the San Isidro Park as well as gardens such as the Campo del Moro (opened to the public in 1978) and the Sabatini Gardens (opened to the public in 1931) near the Royal Palace....', '...Located next to the Royal Palace and the Almudena, Patrimonio Nacional has tentatively scheduled its opening for 2021....', '...The Teatro Real is the main opera house in Madrid, located just in front of the Royal Palace, and its resident orchestra is the Madrid Symphony Orchestra....']","Royal Palace of Madrid, Plaza de la Armería, Barrio de la Latina, Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28013, Spain","{""coordinates"": [-3.713584, 40.417312], ""type"": ""Point""}","Royal Palace of Madrid, Plaza de la Armería, Barrio de la Latina, Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28013, Spain",tourism,museum
8,Paseo del Prado,Paseo del Prado,"[""...Its landmarks include the Plaza Mayor, the Royal Palace of Madrid; the Royal Theatre with its restored 1850 Opera House; the Buen Retiro Park, founded in 1631; the 19th-century National Library building (founded in 1712) containing some of Spain's historical archives; many national museums, and the Golden Triangle of Art, located along the Paseo del Prado and comprising three art museums: Prado Museum, the Reina Sofía Museum, a museum of modern art, and the Thyssen-Bornemisza Museum, which complements the holdings of the other two museums...."", '...The Paseo del Prado, surrounded by gardens and decorated with neoclassical statues, is an example of urban planning....', '...Best known is the Golden Triangle of Art, located along the Paseo del Prado and comprising three major museums: the Prado Museum, the Reina Sofía Museum, and the Thyssen Bornemisza Museum....']","Paseo del Prado, Barrio de las Letras, Cortes, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28014, Spain","{""coordinates"": [-3.693933, 40.413922], ""type"": ""Point""}","Paseo del Prado, Barrio de las Letras, Cortes, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28014, Spain",highway,primary
9,Cibeles Palace,Cibeles Palace,['*...Cibeles Palace and Fountain has become one of the monument symbols of the city....'],"Palace of Communication, Plaza de Cibeles, Jerónimos, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28014, Spain","{""coordinates"": [-3.691812, 40.418845], ""type"": ""Point""}","Palace of Communication, Plaza de Cibeles, Jerónimos, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28014, Spain",building,public
10,Santa María de la Almudena,Santa María de la Almudena,"['*...The site of modern-day Madrid has been occupied since prehistoric times, and there are archaeological remains of the Celtic Carpetani settlement, Roman villas, a Visigoth basilica near the church of Santa María de la Almudena and three Visigoth necropoleis near Casa de Campo, Tetuán and Vicálvaro....']","S.I. Catedral de Santa María la Real de la Almudena, Plaza de la Armería, Barrio de la Latina, Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28013, Spain","{""coordinates"": [-3.714187, 40.41562], ""type"": ""Point""}","S.I. Catedral de Santa María la Real de la Almudena, Plaza de la Armería, Barrio de la Latina, Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28013, Spain",tourism,information
11,Casa de Campo,Casa de Campo,"['*...The site of modern-day Madrid has been occupied since prehistoric times, and there are archaeological remains of the Celtic Carpetani settlement, Roman villas, a Visigoth basilica near the church of Santa María de la Almudena and three Visigoth necropoleis near Casa de Campo, Tetuán and Vicálvaro....', ""*...A great bulk of the most important parks in Madrid are related to areas originally belonging to the royal assets (including El Pardo, Soto de Viñuelas, Casa de Campo, El Buen Retiro, la Florida and the Príncipe Pío hill, and the Queen's Casino)...."", '...Further west, across the Manzanares, lies the Casa de Campo, a large forested area with more than 1700 hectares (6.6 sq mi) where the Madrid Zoo, and the Parque de Atracciones de Madrid amusement park are located....']","Casa de Campo, Madrid Río, Casa de Campo, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28008, Spain","{""coordinates"": [-3.72421, 40.418735], ""type"": ""Point""}","Casa de Campo, Madrid Río, Casa de Campo, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28008, Spain",tourism,information
12,Tetuán,Tetuán,"['*...The site of modern-day Madrid has been occupied since prehistoric times, and there are archaeological remains of the Celtic Carpetani settlement, Roman villas, a Visigoth basilica near the church of Santa María de la Almudena and three Visigoth necropoleis near Casa de Campo, Tetuán and Vicálvaro....', '*...New suburbs such as Las Ventas, Tetuán and El Carmen became the homes of the influx of workers, while Ensanche became a middle-class neighbourhood of Madrid....', '*...Madrid is administratively divided into 21 districts, which are further subdivided into 131 neighbourhoods (barrios):\nCentro\nArganzuela\nRetiro\nSalamanca\nChamartín\nTetuán\nChamberí\nFuencarral-El Pardo\nMoncloa-Aravaca\nLatina\nCarabanchel\nUsera\nPuente de Vallecas\nMoratalaz\nCiudad Lineal\nHortaleza\nVillaverde\nVilla de Vallecas\nVicálvaro\nSan Blas-Canillejas\nBarajas\nMadrid is the capital of the Community of Madrid....']","Tetuán, Calle de Bravo Murillo, Castillejos, Tetuán, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28020, Spain","{""coordinates"": [-3.6982, 40.460845], ""type"": ""Point""}","Tetuán, Calle de Bravo Murillo, Castillejos, Tetuán, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28020, Spain",railway,stop
16,Monteleón,Monteleón,"['*...On 2 May, a crowd began to gather near the Royal Palace protesting against the French attempt to evict the remaining members of the Bourbon royal family to Bayonne, prompting up an uprising against the French Imperial troops that lasted hours and spread throughout the city, including a famous last stand at the Monteleón barracks....']","Arco de Monteleón, Plaza del Dos de Mayo, Malasaña, Universidad, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28004, Spain","{""coordinates"": [-3.704072, 40.426966], ""type"": ""Point""}","Arco de Monteleón, Plaza del Dos de Mayo, Malasaña, Universidad, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28004, Spain",tourism,attraction
17,Paseo de la Castellana,Paseo de la Castellana,"[""...During this time, major construction projects were undertaken, including the northern extension of the Paseo de la Castellana, one of Madrid's major thoroughfares...."", '...The city grew to the east, reaching the Fuente Castellana Creek (now the Paseo de la Castellana), and further east reaching the Abroñigal Creek (now the M-30)....']","Paseo de la Castellana, Castellana, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","{""coordinates"": [-3.688716, 40.430264], ""type"": ""Point""}","Paseo de la Castellana, Castellana, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain",highway,residential
