,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Northeast,Northeast,"['*...It constitutes the geographical and demographic center of both the Northeast megalopolis and the New York metropolitan area, the largest metropolitan area in the U.S. by both population and urban area....', '...For inter-city rail, New York City is served by Amtrak, whose busiest station by a significant margin is Pennsylvania Station on the West Side of Manhattan, from which Amtrak provides connections to Boston, Philadelphia, and Washington, D.C. along the Northeast Corridor, and long-distance train service to other North American cities....']","Broadway & Houston Street at Northeast Corner, East Houston Street, NoHo Historic District, Manhattan, New York County, New York, 10012, United States","{""coordinates"": [-73.996385, 40.725536], ""type"": ""Point""}","Broadway & Houston Street at Northeast Corner, East Houston Street, NoHo Historic District, Manhattan, New York County, New York, 10012, United States",railway,subway_entrance
2,Manhattan Island,Manhattan Island,"['*...New York City traces its origins to a trading post founded on the southern tip of Manhattan Island by Dutch colonists in approximately 1624....', '*...In 1625, construction was started on a citadel and Fort Amsterdam, later called Nieuw Amsterdam (New Amsterdam), on present-day Manhattan Island....', '*...Most of the borough is situated on Manhattan Island, at the mouth of the Hudson River and the East River, and its southern tip, at the confluence of the two rivers, represents the birthplace of New York City itself....', '*...Manhattan Island is loosely divided into the Lower, Midtown, and Uptown regions....', ""*...Historic sites under federal management on Manhattan Island include Stonewall National Monument; Castle Clinton National Monument; Federal Hall National Memorial; Theodore Roosevelt Birthplace National Historic Site; General Grant National Memorial (Grant's Tomb); African Burial Ground National Monument; and Hamilton Grange National Memorial...."", ""*...Other features of the city's transportation infrastructure encompass 13,587 yellow taxicabs; other vehicle for hire companies; and the Roosevelt Island Tramway, an aerial tramway that transports commuters between Roosevelt Island and Manhattan Island...."", ""*...Manhattan Island is linked to New York City's outer boroughs and to New Jersey....""]","Fairfield Inn Long Island City/Manhattan View, 52-34, Van Dam Street, Blissville, Queens, New York, 11101, United States","{""coordinates"": [-73.936762, 40.736188], ""type"": ""Point""}","Fairfield Inn Long Island City/Manhattan View, 52-34, Van Dam Street, Blissville, Queens, New York, 11101, United States",tourism,hotel
3,Statue of Liberty,Statue of Liberty,"['...The Statue of Liberty greeted millions of immigrants as they came to the U.S. by ship in the late 19th and early 20th centuries, and is a symbol of the U.S. and its ideals of liberty and peace....', '...Staten Island is connected to Brooklyn by the Verrazzano-Narrows Bridge, and to Manhattan by way of the free Staten Island Ferry, a daily commuter ferry that provides unobstructed views of the Statue of Liberty, Ellis Island, and Lower Manhattan....', '...The Statue of Liberty National Monument and Ellis Island Immigration Museum are managed by the National Park Service and are in both New York and New Jersey....', ""...These include Times Square; Broadway theater productions; the Empire State Building; the Statue of Liberty; Ellis Island; the United Nations headquarters; the World Trade Center (including the National September\xa011 Memorial\xa0& Museum and One World Trade Center); the art museums along Museum Mile; green spaces such as Central Park, Washington Square Park, the High Line, and the medieval gardens of The Cloisters; the Stonewall Inn; Rockefeller Center; ethnic enclaves including the Manhattan Chinatown, Koreatown, Curry Hill, Harlem, Spanish Harlem, Little Italy, and Little Australia; luxury shopping along Fifth and Madison Avenues; and events such as the Halloween Parade in Greenwich Village; the Brooklyn Bridge (shared with Brooklyn); the Macy's Thanksgiving Day Parade; the lighting of the Rockefeller Center Christmas Tree; the St. Patrick's Day Parade; seasonal activities such as ice skating in Central Park in the wintertime; the Tribeca Film Festival; and free performances in Central Park at SummerStage.\nPoints of interest have also developed in the city outside Manhattan and have made the outer boroughs tourist destinations in their own right....""]","Statue of Liberty, Flagpole Plaza, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States","{""coordinates"": [-74.044548, 40.689253], ""type"": ""Point""}","Statue of Liberty, Flagpole Plaza, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States",tourism,attraction
4,Times Square,Times Square,"[""*...Times Square is the brightly illuminated hub of the Broadway Theater District, one of the world's busiest pedestrian intersections and a major center of the world's entertainment industry...."", ""*...These include Times Square; Broadway theater productions; the Empire State Building; the Statue of Liberty; Ellis Island; the United Nations headquarters; the World Trade Center (including the National September\xa011 Memorial\xa0& Museum and One World Trade Center); the art museums along Museum Mile; green spaces such as Central Park, Washington Square Park, the High Line, and the medieval gardens of The Cloisters; the Stonewall Inn; Rockefeller Center; ethnic enclaves including the Manhattan Chinatown, Koreatown, Curry Hill, Harlem, Spanish Harlem, Little Italy, and Little Australia; luxury shopping along Fifth and Madison Avenues; and events such as the Halloween Parade in Greenwich Village; the Brooklyn Bridge (shared with Brooklyn); the Macy's Thanksgiving Day Parade; the lighting of the Rockefeller Center Christmas Tree; the St. Patrick's Day Parade; seasonal activities such as ice skating in Central Park in the wintertime; the Tribeca Film Festival; and free performances in Central Park at SummerStage.\nPoints of interest have also developed in the city outside Manhattan and have made the outer boroughs tourist destinations in their own right...."", '*...Broadway theatre is one of the premier forms of English-language theatre in the world, named after Broadway, the major thoroughfare that crosses Times Square, also sometimes referred to as ""The Great White Way""....']","Times Square, West 42nd Street, Theater District, Manhattan, New York County, New York, 10036, United States","{""coordinates"": [-73.985998, 40.755619], ""type"": ""Point""}","Times Square, West 42nd Street, Theater District, Manhattan, New York County, New York, 10036, United States",railway,buffer_stop
6,Empire State Building,Empire State Building,"['...The Empire State Building is a global standard of reference to describe the height and length of other structures....', '*...The Art Deco style of the Chrysler Building (1930) and Empire State Building (1931), with their tapered tops and steel spires, reflected the zoning requirements....', ""...These include Times Square; Broadway theater productions; the Empire State Building; the Statue of Liberty; Ellis Island; the United Nations headquarters; the World Trade Center (including the National September\xa011 Memorial\xa0& Museum and One World Trade Center); the art museums along Museum Mile; green spaces such as Central Park, Washington Square Park, the High Line, and the medieval gardens of The Cloisters; the Stonewall Inn; Rockefeller Center; ethnic enclaves including the Manhattan Chinatown, Koreatown, Curry Hill, Harlem, Spanish Harlem, Little Italy, and Little Australia; luxury shopping along Fifth and Madison Avenues; and events such as the Halloween Parade in Greenwich Village; the Brooklyn Bridge (shared with Brooklyn); the Macy's Thanksgiving Day Parade; the lighting of the Rockefeller Center Christmas Tree; the St. Patrick's Day Parade; seasonal activities such as ice skating in Central Park in the wintertime; the Tribeca Film Festival; and free performances in Central Park at SummerStage.\nPoints of interest have also developed in the city outside Manhattan and have made the outer boroughs tourist destinations in their own right....""]","Empire State Building, 350, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10018, United States","{""coordinates"": [-73.985659, 40.748442], ""type"": ""Point""}","Empire State Building, 350, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10018, United States",tourism,attraction
7,Penn Station,Penn Station,"['*...Providing continuous 24/7 service and contributing to the nickname The City That Never Sleeps, the New York City Subway is the largest single-operator rapid transit system in the world with 472 passenger rail stations, and Penn Station in Midtown Manhattan is the busiest transportation hub in the Western Hemisphere....']","34th Street–Penn Station, 7th Avenue, Chelsea District, Manhattan, New York County, New York, 10001, United States","{""coordinates"": [-73.991203, 40.750347], ""type"": ""Point""}","34th Street–Penn Station, 7th Avenue, Chelsea District, Manhattan, New York County, New York, 10001, United States",railway,stop
8,Midtown Manhattan,Midtown Manhattan,"['*...Providing continuous 24/7 service and contributing to the nickname The City That Never Sleeps, the New York City Subway is the largest single-operator rapid transit system in the world with 472 passenger rail stations, and Penn Station in Midtown Manhattan is the busiest transportation hub in the Western Hemisphere....', ""*...Several thousand people in Midtown Manhattan were evacuated for six days due to a crane collapse at Extell's One57...."", '*...Manhattan contained over 500 million square feet of office space as of 2022; the COVID-19 pandemic and hybrid work model have prompted consideration of commercial-to-residential conversion within Midtown Manhattan....', '*...The fashion industry is based in Midtown Manhattan and is represented by the Council of Fashion Designers of America (CDFA), headquartered in Lower Manhattan....', '*...Manhattan contained over 500\xa0million square feet (46.5\xa0million m2) of office space in 2018, making it the largest office market in the United States, while Midtown Manhattan, with 400\xa0million square feet (37.2\xa0million m2) in 2018, is the largest central business district in the world....', '*...Fifth Avenue in Midtown Manhattan commands the highest retail rents in the world, at $3,000 per square foot ($32,000/m2) in 2017....', ""...Forty-one venues in Midtown Manhattan's Theatre District, each with at least 500 seats, are classified as Broadway theatres...."", '*...The Lincoln Tunnel, which carries 120,000 vehicles a day under the Hudson River between New Jersey and Midtown Manhattan, is the busiest vehicular tunnel in the world....']","Fairfield Inn, 325, West 33rd Street, Manhattan Community Board 4, Manhattan, New York County, New York, 10001, United States","{""coordinates"": [-73.995116, 40.75226], ""type"": ""Point""}","Fairfield Inn, 325, West 33rd Street, Manhattan Community Board 4, Manhattan, New York County, New York, 10001, United States",tourism,hotel
9,Western Hemisphere,Western Hemisphere,"['...Providing continuous 24/7 service and contributing to the nickname The City That Never Sleeps, the New York City Subway is the largest single-operator rapid transit system in the world with 472 passenger rail stations, and Penn Station in Midtown Manhattan is the busiest transportation hub in the Western Hemisphere....', '...The new One World Trade Center is the tallest skyscraper in the Western Hemisphere and the seventh-tallest building in the world by pinnacle height, with its spire reaching a symbolic 1,776 feet (541.3\xa0m) in reference to the year of U.S. independence....', '...In 2022, the LGBT community in New York City became the epicenter of the monkeypox outbreak in the Western Hemisphere, prompting New York Governor Kathy Hochul and New York City Mayor Eric Adams declared corresponding public health emergencies in the state and city, respectively, in July 2022....', ""...Multiple satellites of the original Manhattan's Chinatown—home to the highest concentration of Chinese people in the Western Hemisphere, as well as in Brooklyn, and around Flushing, Queens, are thriving as traditionally urban enclaves—while also expanding rapidly eastward into suburban Nassau County on Long Island, as the New York metropolitan region and New York State have become the top destinations for new Chinese immigrants, respectively, and large-scale Chinese immigration continues into New York City and surrounding areas, with the largest metropolitan Chinese diaspora outside Asia, including an estimated 812,410 individuals in 2015...."", ""...The metropolitan area is also home to 20% of the nation's Indian Americans and at least 20 Little India enclaves, and 15% of all Korean Americans and four Koreatowns; the largest Asian Indian population in the Western Hemisphere; the largest Russian American, Italian American, and African American populations; the largest Dominican American, Puerto Rican American, and South American and second-largest overall Hispanic population in the United States, numbering 4.8\xa0million; and includes multiple established Chinatowns within New York City alone...."", '...Given both the size and scale of the city, as well as its relative proxinity and accessibility by air transportation to the Middle East, North Africa, Central Asia, and South Asia, 22.3% of American Muslims live in New York City, with 1.5 million Muslims in the greater New York metropolitan area, representing the largest metropolitan Muslim population in the Western Hemisphere—and the most ethnically diverse Muslim population of any city in the world....', '...The New York City Subway is also the busiest metropolitan rail transit system in the Western Hemisphere, with 1.76\xa0billion passenger rides in 2015, while Grand Central Terminal, also referred to as ""Grand Central Station"", is the world\'s largest railway station by number of train platforms....']","Independent United Order of Mechanics, 65, Putnam Avenue, Prospect Heights, Brooklyn, Kings County, New York, 11238, United States","{""coordinates"": [-73.959366, 40.683253], ""type"": ""Point""}","Independent United Order of Mechanics, 65, Putnam Avenue, Prospect Heights, Brooklyn, Kings County, New York, 11238, United States",club,fraternal
10,Financial District,Financial District,"[""...Anchored by Wall Street in the Financial District of Lower Manhattan, New York City has been called both the world's leading financial center and the most economically powerful city in the world, and is home to the world's two largest stock exchanges by total market capitalization, the New York Stock Exchange and Nasdaq...."", '...The Occupy Wall Street protests in Zuccotti Park in the Financial District of Lower Manhattan began on September 17, 2011, receiving global attention and popularizing the Occupy movement against social and economic inequality worldwide....', '...The Brooklyn–Battery Tunnel (officially known as the Hugh L. Carey Tunnel) runs underneath Battery Park and connects the Financial District at the southern tip of Manhattan to Red Hook in Brooklyn....']","Hampton Inn Manhattan-Seaport-Financial District, 320, Pearl Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States","{""coordinates"": [-74.002031, 40.708879], ""type"": ""Point""}","Hampton Inn Manhattan-Seaport-Financial District, 320, Pearl Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States",tourism,hotel
11,Lower Manhattan,Lower Manhattan,"[""*...Anchored by Wall Street in the Financial District of Lower Manhattan, New York City has been called both the world's leading financial center and the most economically powerful city in the world, and is home to the world's two largest stock exchanges by total market capitalization, the New York Stock Exchange and Nasdaq...."", '*...The colony of New Amsterdam was centered on what would ultimately be known as Lower Manhattan....', ""*...In 1754, Columbia University was founded under charter by King George II as King's College in Lower Manhattan...."", '*...Shortly after the British occupation began, the Great Fire of New York occurred, a large conflagration on the West Side of Lower Manhattan, which destroyed about a quarter of the buildings in the city, including Trinity Church....', '*...The Stonewall riots were a series of spontaneous, violent protests by members of the gay community against a police raid that took place in the early morning hours of June 28, 1969, at the Stonewall Inn in the Greenwich Village neighborhood of Lower Manhattan....', '...The Occupy Wall Street protests in Zuccotti Park in the Financial District of Lower Manhattan began on September 17, 2011, receiving global attention and popularizing the Occupy movement against social and economic inequality worldwide....', '*...Flooding at 140 West Street and another exchange disrupted voice and data communication in Lower Manhattan....', ""*...The city's land has been altered substantially by human intervention, with considerable land reclamation along the waterfronts since Dutch colonial times; reclamation is most prominent in Lower Manhattan, with developments such as Battery Park City in the 1970s and 1980s...."", '*...Staten Island is connected to Brooklyn by the Verrazzano-Narrows Bridge, and to Manhattan by way of the free Staten Island Ferry, a daily commuter ferry that provides unobstructed views of the Statue of Liberty, Ellis Island, and Lower Manhattan....', '*...New York has architecturally noteworthy buildings in a wide range of styles and from distinct time periods, from the Dutch Colonial Pieter Claesen Wyckoff House in Brooklyn, the oldest section of which dates to 1656, to the modern One World Trade Center, the skyscraper at Ground Zero in Lower Manhattan and the most expensive office tower in the world by construction cost....', '*...Hurricane Sandy brought a destructive storm surge to New York City on the evening of October 29, 2012, flooding numerous streets, tunnels, and subway lines in Lower Manhattan and other areas of the city and cutting off electricity in many parts of the city and its suburbs....', '*...Washington Square Park is a prominent landmark in the Greenwich Village neighborhood of Lower Manhattan. The Washington Square Arch at the northern gateway to the park is an iconic symbol of both New York University and Greenwich Village....', '*...The annual New York City Pride March (or gay pride parade) proceeds southward down Fifth Avenue and ends at Greenwich Village in Lower Manhattan; the parade is the largest pride parade in the world, attracting tens of thousands of participants and millions of sidewalk spectators each June....', '*...The fashion industry is based in Midtown Manhattan and is represented by the Council of Fashion Designers of America (CDFA), headquartered in Lower Manhattan....', ""...Lower Manhattan is home to the New York Stock Exchange, at 11 Wall Street, and the Nasdaq, at 165 Broadway, representing the world's largest and second largest stock exchanges, respectively, when measured both by overall average daily trading volume and by total market capitalization of their listed companies in 2013...."", '*...These include numerous ethnic enclaves; the Unisphere, Flushing Meadows–Corona Park, and Downtown Flushing in Queens; Downtown Brooklyn, Coney Island, Williamsburg, Park Slope, and Prospect Park in Brooklyn; the Bronx Zoo, the New York Botanical Garden, and the Grand Concourse in the Bronx; and the Staten Island Ferry shuttling passengers between Staten Island and the South Ferry Terminal bordering Battery Park in Lower Manhattan, at the historical birthplace of New York City....', '*...Ticker-tape parades celebrating championships won by sports teams as well as other heroic accomplishments march northward along the Canyon of Heroes on Broadway from Bowling Green to City Hall Park in Lower Manhattan....', '*...The Port Authority Trans-Hudson (PATH train) links Midtown and Lower Manhattan to northeastern New Jersey, primarily Hoboken, Jersey City, and Newark....', ""*...The Staten Island Ferry is the world's busiest ferry route, carrying more than 23\xa0million passengers from July 2015 through June 2016 on the 5.2-mile (8.4\xa0km) route between Staten Island and Lower Manhattan and running 24 hours a day...."", ""*...The Holland Tunnel, connecting Lower Manhattan to Jersey City, New Jersey, was the world's first mechanically ventilated vehicular tunnel when it opened in 1927....""]","NewYork-Presbyterian Lower Manhattan Hospital, Beekman Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States","{""coordinates"": [-74.004938, 40.71029], ""type"": ""Point""}","NewYork-Presbyterian Lower Manhattan Hospital, Beekman Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States",amenity,hospital
