,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Prague Castle,Prague Castle,"['*...Main attractions include Prague Castle, Charles Bridge, Old Town Square with the Prague astronomical clock, the Jewish Quarter, Petřín hill and Vyšehrad....', '*...During the thousand years of its existence, Prague grew from a settlement stretching from Prague Castle in the north to the fort of Vyšehrad in the south, to become the capital of a modern European country....', '*...The construction of what came to be known as Prague Castle began near the end of the 9th century, expanding a fortified settlement that had existed on the site since the year 800....', '*...The first masonry under Prague Castle dates from the year 885 at the latest....', '*...The other prominent Prague fort, the Přemyslid fort Vyšehrad, was founded in the 10th century, some 70 years later than Prague Castle....', ""*...Prague Castle is dominated by the cathedral, which began construction in 1344, but wasn't completed until the 20th century...."", '*...In 1257, under King Ottokar II, Malá Strana (""Lesser Quarter"") was founded in Prague on the site of an older village in what would become the Hradčany (Prague Castle) area....', '*...He began construction of the Gothic Saint Vitus Cathedral, within the largest of the Prague Castle courtyards, on the site of the Romanesque rotunda there....', '...Many noteworthy Gothic buildings were erected and Vladislav Hall of the Prague Castle was added....', '...He lived in the Prague Castle, where his court welcomed not only astrologers and magicians but also scientists, musicians, and artists....', '*...Prague was chosen as its capital and Prague Castle as the seat of president Tomáš Garrigue Masaryk....', '*...Hitler ordered the German Army to enter Prague on 15 March 1939, and from Prague Castle proclaimed Bohemia and Moravia a German protectorate....', '*...From 1939, when the country was occupied by Nazi Germany, Hitler took over Prague Castle....', '*...Prague Castle with the St. Vitus Cathedral which stores the Czech Crown Jewels ;...']","Prague Castle, Sněmovní, Lesser Town, Praha 1, Prague, 118 01, Czechia","{""coordinates"": [14.400522, 50.090811], ""type"": ""Point""}","Prague Castle, Sněmovní, Lesser Town, Praha 1, Prague, 118 01, Czechia",historic,castle
2,Old Town Square,Old Town Square,"['*...Main attractions include Prague Castle, Charles Bridge, Old Town Square with the Prague astronomical clock, the Jewish Quarter, Petřín hill and Vyšehrad....', '*...Following this in 1621 was an execution of 27 Czech Protestant leaders (involved in the uprising) in Old Town Square and the exiling of many others....', '*...Old Town Square (Staroměstské náměstí) with gothic and baroque architectural styles ;...']","Old Town Square, Old Town, Praha 1, Prague, 110 00, Czechia","{""coordinates"": [14.421761, 50.087252], ""type"": ""Point""}","Old Town Square, Old Town, Praha 1, Prague, 110 00, Czechia",highway,pedestrian
4,Central Europe,Central Europe,"['...Prague is a political, cultural, and economic hub of central Europe, with a rich history and Romanesque, Gothic, Renaissance and Baroque architectures....', '*...It is home to a wide range of public and private schools, including Charles University in Prague, the oldest university in Central Europe....', '*...In 1347, he founded Charles University, which remains the oldest university in Central Europe....', '*...In 2008, the Allegro restaurant received the first Michelin star in the whole of the post-Communist part of Central Europe....', '*...Charles University (UK) founded in 1348, the oldest university in Central Europe ;...', ""*...Gutovka\xa0– sport area with a large concrete skatepark, the highest outdoor climbing wall in Central Europe, four beach volleyball courts and children's playground, Central European Beach Volleyball Championship 2018 took place here....""]","Toyota Central Europe – Czech s.r.o., Rozvadovská spojka, Britská čtvrť, Stodůlky, Prague, 155 00, Czechia","{""coordinates"": [14.32844, 50.055473], ""type"": ""Point""}","Toyota Central Europe – Czech s.r.o., Rozvadovská spojka, Britská čtvrť, Stodůlky, Prague, 155 00, Czechia",office,company
5,Praga,Praga,"['...Prague ( PRAHG; Czech: Praha  ; German: Prag, pronounced  ; Latin: Praga) is the capital and largest city in the Czech Republic, and the historical capital of Bohemia....', '*...The same etymology is associated with the Praga district of Warsaw....']","Astronomical clock, Staroměstské náměstí, Old Town, Praha 1, Prague, 110 00, Czechia","{""coordinates"": [14.420707, 50.086994], ""type"": ""Point""}","Astronomical clock, Staroměstské náměstí, Old Town, Praha 1, Prague, 110 00, Czechia",tourism,attraction
9,Old New Synagogue,Old New Synagogue,"['...The Old New Synagogue of 1270 still stands in the city....', '*...The vaulted Gothic Old New Synagogue (Staronová Synagoga) of 1270 ;...']","Old New Synagogue, Červená, Jewish quarter, Praha 1, Prague, 115 72, Czechia","{""coordinates"": [14.41859, 50.090039], ""type"": ""Point""}","Old New Synagogue, Červená, Jewish quarter, Praha 1, Prague, 115 72, Czechia",amenity,place_of_worship
10,Judith Bridge,Judith Bridge,"['...At the site of the ford in the Vltava river, King Vladislaus I had the first bridge built in 1170, the Judith Bridge (Juditin most), named in honor of his wife Judith of Thuringia....', '...The Charles Bridge, replacing the Judith Bridge destroyed in the flood just prior to his reign, was erected to connect the east bank districts to the Malá Strana and castle area....']","Judith Bridge, Křižovnické náměstí, Old Town, Praha 1, Prague, 116 93, Czechia","{""coordinates"": [14.413792, 50.086411], ""type"": ""Point""}","Judith Bridge, Křižovnické náměstí, Old Town, Praha 1, Prague, 116 93, Czechia",tourism,attraction
13,New Town,New Town,"['...Charles IV ordered the building of the New Town (Nové Město) adjacent to the Old Town and laid out the design himself....', '...The neo-renaissance National Museum with large scientific and historical collections at the head of Wenceslas Square. It is the largest museum in the Czech Republic, covering disciplines from the natural sciences to specialized areas of the social sciences. The staircase of the building offers a nice view of the New Town....', '*...The large Nusle Bridge, spans the Nusle Valley, linking New Town to Pankrác, with the Metro running underneath the road ;...']","New Town Hall, Vodičkova, New Town, Praha 1, Prague, 111 21, Czechia","{""coordinates"": [14.421343, 50.078356], ""type"": ""Point""}","New Town Hall, Vodičkova, New Town, Praha 1, Prague, 111 21, Czechia",building,yes
14,Malá Strana,Malá Strana,"['*...In 1257, under King Ottokar II, Malá Strana (""Lesser Quarter"") was founded in Prague on the site of an older village in what would become the Hradčany (Prague Castle) area....', '*...The Charles Bridge, replacing the Judith Bridge destroyed in the flood just prior to his reign, was erected to connect the east bank districts to the Malá Strana and castle area....', '*...The Hunger Wall, a substantial fortification wall south of Malá Strana and the castle area, was built during a famine in the 1360s....', '*...In 1784, under Joseph II, the four municipalities of Malá Strana, Nové Město, Staré Město, and Hradčany were merged into a single entity....', '*...In Malá Strana, Staré Město, Žižkov and Nusle there are hundreds of restaurants, bars and pubs, especially with Czech beer....']","Sokol Malá Strana, alej Obětí totality, Lesser Town, Praha 1, Prague, 118 00, Czechia","{""coordinates"": [14.403567, 50.082219], ""type"": ""Point""}","Sokol Malá Strana, alej Obětí totality, Lesser Town, Praha 1, Prague, 118 00, Czechia",leisure,sports_centre
15,Saint Vitus Cathedral,Saint Vitus Cathedral,"['*...He began construction of the Gothic Saint Vitus Cathedral, within the largest of the Prague Castle courtyards, on the site of the Romanesque rotunda there....']","Saint Vitus Cathedral, 3rd Courtyard, Hradčany, Praha 1, Prague, 119 00, Czechia","{""coordinates"": [14.400571, 50.090864], ""type"": ""Point""}","Saint Vitus Cathedral, 3rd Courtyard, Hradčany, Praha 1, Prague, 119 00, Czechia",amenity,place_of_worship
16,Hunger Wall,Hunger Wall,"['...The Hunger Wall, a substantial fortification wall south of Malá Strana and the castle area, was built during a famine in the 1360s....']","Hunger Wall, alej Obětí totality, Lesser Town, Praha 1, Prague, 118 00, Czechia","{""coordinates"": [14.403429, 50.080773], ""type"": ""Point""}","Hunger Wall, alej Obětí totality, Lesser Town, Praha 1, Prague, 118 00, Czechia",building,yes
