,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Tiber,Tiber,"['*...Rome is located in the central-western portion of the Italian Peninsula, within Lazio (Latium), along the shores of the Tiber....', ""*...From Rumon or Rumen, archaic name of the Tiber, which in turn is supposedly related to the Greek verb ῥέω (rhéō) 'to flow, stream' and the Latin verb ruō 'to hurry, rush';..."", ""*...Majestic works, as the new Saint Peter's Basilica, the Sistine Chapel and Ponte Sisto (the first bridge to be built across the Tiber since antiquity, although on Roman foundations) were created...."", '*...A significant portion lived outside the walls in the north and across the Tiber in the Vatican area....', '...Rome is in the Lazio region of central Italy on the Tiber (Italian: Tevere) river....', '...The original settlement developed on hills that faced onto a ford beside the Tiber Island, the only natural ford of the river in this area....', '*...Modern Rome is also crossed by another river, the Aniene, which flows into the Tiber north of the historic centre....', '*...Being separated from the city on the west bank of the Tiber, the area was a suburb that was protected by being included within the walls of Leo IV, later expanded by the current fortification walls of Paul III, Pius IV, and Urban VIII....', ""*...St. Peter's Square is reached through the Via della Conciliazione, which runs from the Tiber to St. Peter's...."", '*...The city of Rome contains numerous famous bridges which cross the Tiber....', ""*...The other surviving – albeit modified – ancient Roman bridges crossing the Tiber are Ponte Cestio, Ponte Sant'Angelo and Ponte Milvio....""]","Tiber, Via Anastasio Secondo, Municipio Roma XIII, Rome, Roma Capitale, Lazio, 00165, Italy","{""coordinates"": [12.440127, 41.896999], ""type"": ""Point""}","Tiber, Via Anastasio Secondo, Municipio Roma XIII, Rome, Roma Capitale, Lazio, 00165, Italy",amenity,fuel
2,Europe,Europe,"['*...While Roman mythology dates the founding of Rome at around 753 BC, the site has been inhabited for much longer, making it a major human settlement for almost three millennia and one of the oldest continuously occupied cities in Europe....', '...In this period, the papacy played a role of secular importance in Western Europe, often acting as arbitrators between Christian monarchs and exercising additional political powers....', ""*...Its first university, La Sapienza (founded in 1303), is one of the largest in the world, with more than 140,000 students attending; in 2005 it ranked as Europe's 33rd best university and in 2013 the Sapienza University of Rome ranked as the 62nd in the world and the top in Italy in its World University Rankings...."", ""*...And has been ranked among Europe's 50 and the world's 150 best colleges...."", ""*...Rome's major libraries include: the Biblioteca Angelica, opened in 1604, making it Italy's first public library; the Biblioteca Vallicelliana, established in 1565; the Biblioteca Casanatense, opened in 1701; the National Central Library, one of the two national libraries in Italy, which contains 4,126,002 volumes; The Biblioteca del Ministero degli Affari Esteri, specialised in diplomacy, foreign affairs and modern history; the Biblioteca dell'Istituto dell'Enciclopedia Italiana; the Biblioteca Don Bosco, one of the largest and most modern of all Salesian libraries; the Biblioteca e Museo teatrale del Burcardo, a museum-library specialised in history of drama and theatre; the Biblioteca della Società Geografica Italiana, which is based in the Villa Celimontana and is the most important geographical library in Italy, and one of Europe's most important; and the Vatican Library, one of the oldest and most important libraries in the world, which was formally established in 1475, though in fact much older and has 75,000 codices, as well as 1.1 million printed books, which include some 8,500 incunabula...."", '...The city also played host to the Eurovision Song Contest in 1991 and the MTV Europe Music Awards in 2004....', ""*...Rome became one of Europe's major centres of Renaissance artwork, second only to Florence, and able to compare to other major cities and cultural centres, such as Paris and Venice...."", ""*...Examples of Roman dishes include saltimbocca alla romana – a veal cutlet, Roman-style, topped with raw ham and sage and simmered with white wine and butter; carciofi alla romana – artichokes Roman-style, outer leaves removed, stuffed with mint, garlic, breadcrumbs and braised; carciofi alla giudia – artichokes fried in olive oil, typical of Roman Jewish cooking, outer leaves removed, stuffed with mint, garlic, breadcrumbs and braised; spaghetti alla carbonara – spaghetti with bacon, eggs and pecorino; and gnocchi di semolino alla romana – semolina dumpling, Roman-style.\nRome hosts the Cinecittà Studios, the largest film and television production facility in continental Europe and the centre of the Italian Cinema, where many of today's biggest box office hits are filmed...."", ""*...Rome's main railway station, Termini, is one of the largest railway stations in Europe and the most heavily used in Italy, with around 400 thousand travellers passing through every day....""]","Europe, Viale Oxford, Consorzio Torre Gaia, Municipio Roma VI, Torre Gaia, Rome, Roma Capitale, Lazio, 00133, Italy","{""coordinates"": [12.631421, 41.858893], ""type"": ""Point""}","Europe, Viale Oxford, Consorzio Torre Gaia, Municipio Roma VI, Torre Gaia, Rome, Roma Capitale, Lazio, 00133, Italy",man_made,flagpole
3,Palazzo della Civiltà Italiana,Palazzo della Civiltà Italiana,"[""...Numerous companies are based within Rome's EUR business district, such as the luxury fashion house Fendi located in the Palazzo della Civiltà Italiana...."", '...The most representative buildings of EUR are the Palazzo della Civiltà Italiana (1938–1943), and the Palazzo dei Congressi, examples of the Rationalist style....']","Palazzo della Civiltà del Lavoro, Quadrato della Concordia, Europa, Municipio Roma IX, Rome, Roma Capitale, Lazio, 00144, Italy","{""coordinates"": [12.465124, 41.836705], ""type"": ""Point""}","Palazzo della Civiltà del Lavoro, Quadrato della Concordia, Europa, Municipio Roma IX, Rome, Roma Capitale, Lazio, 00144, Italy",amenity,arts_centre
5,Palatine Hill,Palatine Hill,"['...Several excavations support the view that Rome grew from pastoral settlements on the Palatine Hill built above the area of the future Roman Forum....', '...Despite recent excavations at the Palatine hill, the view that Rome was founded deliberately in the middle of the eighth century BC, as the legend of Romulus suggests, remains a fringe hypothesis....', '...The Rome of the Kings was built on seven hills: the Aventine Hill, the Caelian Hill, the Capitoline Hill, the Esquiline Hill, the Palatine Hill, the Quirinal Hill, and the Viminal Hill....']","Palatine Hill, Via di San Bonaventura, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.487109, 41.889306], ""type"": ""Point""}","Palatine Hill, Via di San Bonaventura, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",tourism,attraction
6,Roman Forum,Roman Forum,"['*...Several excavations support the view that Rome grew from pastoral settlements on the Palatine Hill built above the area of the future Roman Forum....', ""...Important monuments and sites of ancient Rome include the Roman Forum, the Domus Aurea, the Pantheon, Trajan's Column, Trajan's Market, the Catacombs, the Circus Maximus, the Baths of Caracalla, Castel Sant'Angelo, the Mausoleum of Augustus, the Ara Pacis, the Arch of Constantine, the Pyramid of Cestius, and the Bocca della Verità...."", '...Secular buildings include a number of towers, the largest being the Torre delle Milizie and the Torre dei Conti, both next to the Roman Forum, and the huge outdoor stairway leading up to the basilica of Santa Maria in Aracoeli....', '...Among the most significant resources are the many museums – Musei Capitolini, the Vatican Museums and the Galleria Borghese and others dedicated to modern and contemporary art – aqueducts, fountains, churches, palaces, historical buildings, the monuments and ruins of the Roman Forum, and the Catacombs....']","Roman Forum, Piazza del Colosseo, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.486712, 41.891625], ""type"": ""Point""}","Roman Forum, Piazza del Colosseo, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",tourism,attraction
7,Capitol,Capitol,"['*...Between the end of the Bronze Age and the beginning of the Iron Age, each hill between the sea and the Capitol was topped by a village (on the Capitol Hill, a village is attested since the end of the 14th century BC)....', '*...The medieval popular quarters of the city, situated mainly around the Capitol, were largely demolished between the end of the 19th century and the fascist period, but many notable buildings still remain....', '*...Today Rome is circled, at a distance of about 10\xa0km (6\xa0mi) from the Capitol, by the ring-road (the Grande Raccordo Anulare or GRA)....']","Capitol Square, Piazza del Campidoglio, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.482981, 41.893241], ""type"": ""Point""}","Capitol Square, Piazza del Campidoglio, Campitelli, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",tourism,attraction
9,Latium,Latium,"['*...Rome is located in the central-western portion of the Italian Peninsula, within Lazio (Latium), along the shores of the Tiber....', '*...After becoming master of Latium, Rome led several wars (against the Gauls, Osci-Samnites and the Greek colony of Taranto, allied with Pyrrhus, king of Epirus) whose result was the conquest of the Italian peninsula, from the central area up to Magna Graecia....', '*...In 729, the Lombard king Liutprand donated the north Latium town of Sutri to the Church, starting its temporal power....']","Neurological Center of Latium, 15, Via Patrica, Quadraro, Municipio Roma VII, Rome, Roma Capitale, Lazio, 00179, Italy","{""coordinates"": [12.540776, 41.866219], ""type"": ""Point""}","Neurological Center of Latium, 15, Via Patrica, Quadraro, Municipio Roma VII, Rome, Roma Capitale, Lazio, 00179, Italy",amenity,hospital
11,Africa,Africa,"['*...The first Roman provinces were established at this time: Sicily, Sardinia and Corsica, Hispania, Macedonia, Achaea and Africa....', '...Some regions – Britain, Spain, and North Africa – were hardly affected....', ""...The decline of the city's population was caused by the loss of grain shipments from North Africa, from 440 onward, and the unwillingness of the senatorial class to maintain donations to support a population that was too large for the resources available...."", '...Supplies of grain remained steady until the seizure of the remaining provinces of North Africa in 439 by the Vandals, and may have continued to some degree afterwards for a while....']","Via Capo d'Africa, Celio, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.495118, 41.888802], ""type"": ""Point""}","Via Capo d'Africa, Celio, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",highway,residential
16,Santa Maria Maggiore,Santa Maria Maggiore,"['*...The popes embellished the city with large basilicas, such as Santa Maria Maggiore (with the collaboration of the emperors)....', '...Aside from the cathedral itself, some others of note include the Basilica di Santa Maria Maggiore, the Basilica of Saint Paul Outside the Walls, the Basilica di San Clemente, San Carlo alle Quattro Fontane and the Church of the Gesù....', '*...The seven churches are the four major basilicas (St Peter in the Vatican, St Paul outside the Walls, St John in Lateran and Santa Maria Maggiore), while the other three are San Lorenzo fuori le mura (an Early Christian basilica), Santa Croce in Gerusalemme (a church founded by Helena, the mother of Constantine, which hosts fragments of wood attributed to the holy cross) and San Sebastiano fuori le mura (which lies on the Appian Way and is built above the Catacombs of San Sebastiano)....']","Basilica of Saint Mary Major, Piazza di Santa Maria Maggiore, Monti, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.49847, 41.897627], ""type"": ""Point""}","Basilica of Saint Mary Major, Piazza di Santa Maria Maggiore, Monti, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",amenity,place_of_worship
17,Quirinale,Quirinale,"['*...The large baths of Constantine on the Quirinale were even repaired in 443, and the extent of the damage exaggerated and dramatised....', ""...During this period, the great aristocratic families of Rome used to build opulent dwellings as the Palazzo del Quirinale (now seat of the President of the Italian Republic), the Palazzo Venezia, the Palazzo Farnese, the Palazzo Barberini, the Palazzo Chigi (now seat of the Italian Prime Minister), the Palazzo Spada, the Palazzo della Cancelleria, and the Villa Farnesina.\nMany of the famous city's squares – some huge, majestic and often adorned with obelisks, some small and picturesque – took their present shape during the Renaissance and Baroque periods....""]","Chiesa di San Silvestro al Quirinale, Via Ventiquattro Maggio, Trevi, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy","{""coordinates"": [12.486547, 41.897302], ""type"": ""Point""}","Chiesa di San Silvestro al Quirinale, Via Ventiquattro Maggio, Trevi, Municipio Roma I, Rome, Roma Capitale, Lazio, 00184, Italy",amenity,place_of_worship
