,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Alcázar,Alcázar,"['*...Its old town, with an area of 4 square kilometres (2\xa0sq\xa0mi), contains a UNESCO World Heritage Site comprising three buildings: the Alcázar palace complex, the Cathedral and the General Archive of the Indies....', ""*...Legend states that the title was given by King Alfonso X, who was resident in the city's Alcázar and supported by the citizens when his son, later Sancho IV of Castile, tried to usurp the throne from him...."", '...Archaeological excavations in 1999 found anthropic remains under the north wall of the Real Alcázar dating to the 8th–7th century BC....', ""...The Moors' Palace became the Castilian royal residence, and during Pedro I's rule it was replaced by the Alcázar (the upper levels are still used by the Spanish royal family as the official Seville residence)...."", '*...The Alcázar, the Cathedral, and the Archivo General de Indias (General Archive of the Indies) are UNESCO World Heritage Sites....', '...The Alcázar facing the cathedral was developed from a previous Moorish Palace which was developed from a Visigoth establishment which was itself developed from an existing Roman construction....', '*...Original Moorish buildings are the Patio del Yeso in the Alcázar, the city walls, and the main section of the Giralda, the bell tower of the Seville Cathedral....', '*...The Alcázar Gardens, within the grounds of the Alcázar palace, consist of several sectors developed in different historical styles....', '...The Gardens of Murillo and the Gardens of Catalina de Ribera, both along and outside the South wall of the Alcázar, lie next to the Santa Cruz quarter....', '*...The Alcázar and other sites appear in the television series Game of Thrones, in the cities of Dorne....']","Alcázar of Seville, Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.990184, 37.383211], ""type"": ""Point""}","Alcázar of Seville, Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",tourism,attraction
3,Cathedral,Cathedral,"['*...Its old town, with an area of 4 square kilometres (2\xa0sq\xa0mi), contains a UNESCO World Heritage Site comprising three buildings: the Alcázar palace complex, the Cathedral and the General Archive of the Indies....', ""...The emblem is present on Seville's municipal flag, and features on city property such as manhole covers, and Christopher Columbus's tomb in the cathedral...."", '...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....', '...Public buildings were constructed including churches—many of which were built in the Mudéjar and Gothic styles—such as the Seville Cathedral, built during the 15th century with Gothic architecture....', '*...The Alcázar, the Cathedral, and the Archivo General de Indias (General Archive of the Indies) are UNESCO World Heritage Sites....', ""...The St. Mary of the See Cathedral was built from 1401 to 1519 after the Reconquista on the former site of the city's mosque...."", '*...La Giralda is a tower attached to the Cathedral that dates back to the twelfth century....', '...The Alcázar facing the cathedral was developed from a previous Moorish Palace which was developed from a Visigoth establishment which was itself developed from an existing Roman construction....', '...Original Moorish buildings are the Patio del Yeso in the Alcázar, the city walls, and the main section of the Giralda, the bell tower of the Seville Cathedral....', ""...In the 2016 film Assassin's Creed, Master Assassins Aguilar de Nerha and Maria escape execution and are pursued by Templars through the city, eventually performing Leaps of Faith off of an unfinished Seville Cathedral to escape...."", ""...Kansas City, Missouri (United States), 1969. The relationship between Seville and Kansas City is due to a small replica of the Giralda tower, Sevilla's cathedral belltower, that exists in Kansas City....""]","Great apt super close to the Cathedral and Giralda!, 2, Calle Rodríguez Zapata, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.99333, 37.387264], ""type"": ""Point""}","Great apt super close to the Cathedral and Giralda!, 2, Calle Rodríguez Zapata, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",tourism,apartment
8,Cuesta del Rosario,Cuesta del Rosario,"['*...The original core of the city, in the neighbourhood of the present-day street, Cuesta del Rosario, dates to the 8th century BC, when Seville was on an island in the Guadalquivir....']","Calle Cuesta del Rosario, Alfalfa, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.991189, 37.389812], ""type"": ""Point""}","Calle Cuesta del Rosario, Alfalfa, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",highway,living_street
9,Guadalquivir,Guadalquivir,"['...It is situated on the lower reaches of the River Guadalquivir, in the southwest of the Iberian Peninsula....', ""*...Coinciding with the Baroque period, the 17th century in Seville represented the most brilliant flowering of the city's culture; then began a gradual economic and demographic decline as silting in the Guadalquivir forced the trade monopoly to relocate to the nearby port of Cádiz...."", '*...The original core of the city, in the neighbourhood of the present-day street, Cuesta del Rosario, dates to the 8th century BC, when Seville was on an island in the Guadalquivir....', '...The town was called Hisbaal by the Phoenicians and by the Tartessians, the indigenous pre-Roman Iberian people of Tartessos, who controlled the Guadalquivir Valley at the time....', '...In the wider context of the Castilian–Leonese conquest of the Guadalquivir Valley that ensued in the 13th century, Ferdinand III laid siege on Seville in 1247....', '...Unlike other harbours, reaching the port of Seville required sailing about 80 kilometres (50\xa0mi) up the River Guadalquivir....', '*...The choice of Seville was made in spite of the difficulties for navigation in the Guadalquivir stemming from the increasing tonnage of ships as a result of the relentless drive to make maritime transport cheaper during the late Middle Ages....', ""...Compounded with these tribulations was the silting of the Guadalquivir river in the 1620s, which made Seville's harbors harder to use, and ceased upriver shipping...."", '*...The Great Plague of Seville in 1649, exacerbated by excessive flooding of the Guadalquivir, reduced the population by almost half, and it would not recover until the early 19th century....', '...After the silting up of the harbour by the River Guadalquivir, upriver shipping ceased and the city went into relative economic decline.[citation needed]...', '*...Before the existence of wetlands regulation in the Guadalquivir basin, Seville suffered regular heavy flooding; perhaps worst of all were the floods that occurred in November 1961 when the River Tamarguillo, a tributary of the Guadalquivir, overflowed as a result of a prodigious downpour of rain, and Seville was consequently declared a disaster zone....', '*...The Alamillo Bridge and the Centenario Bridge, both crossing over the Guadalquivir, also were built for the occasion....', '...The city is situated in the fertile valley of the River Guadalquivir....', '...The annual average temperature is 25.4\xa0°C (78\xa0°F) during the day and 13.0\xa0°C (55\xa0°F) at night. Seville is located in the lower part of the Guadalquivir Valley, which is often referred to as ""the frying pan of Spain"", as it features the hottest cities in the country....', '...The neighbourhood of Triana, situated on the west bank of the River Guadalquivir, had an important role in the history of the city and constitutes by itself a folk, monumental and cultural centre....', '...The Naval Museum, housed in the golden Torre del Oro, next to the River Guadalquivir....', ""*...The Parque del Alamillo y San Jerónimo, the largest park in Andalusia, was originally built for Seville Expo '92 to reproduce the Andalusian native flora. It lines both Guadalquivir shores around the San Jerónimo meander. The 32-metres-high bronze sculpture, The Birth of a New Man (popularly known as Columbus's Egg, el Huevo de Colón), by the Georgian sculptor Zurab Tsereteli, is located in its northwestern sector...."", '...Seville has the only inland port in Spain, located 80\xa0km (50\xa0mi) from the mouth of the River Guadalquivir....', ""...Seville's River Guadalquivir is one of only three FISA approved international training centres for rowing and the only one in Spain; the 2002 World Rowing Championships and the 2013 European Rowing Championships were held there....""]","Guadalquivir, Cantarrana, Los Palacios y Villafranca, Sevilla, Andalusia, 41720, Spain","{""coordinates"": [-5.928024, 37.159046], ""type"": ""Point""}","Guadalquivir, Cantarrana, Los Palacios y Villafranca, Sevilla, Andalusia, 41720, Spain",amenity,pub
10,Real Alcázar,Real Alcázar,['...Archaeological excavations in 1999 found anthropic remains under the north wall of the Real Alcázar dating to the 8th–7th century BC....'],"real alcazar, Patio de la Montería, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.991132, 37.384015], ""type"": ""Point""}","real alcazar, Patio de la Montería, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",historic,monument
13,Metropol Parasol,Metropol Parasol,"['*...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....', '*...In 2004 the Metropol Parasol project, commonly known as Las Setas (The Mushrooms), due to the appearance of the structure, was launched to revitalise the Plaza de la Encarnación, for years used as a car park and seen as a dead spot between more popular tourist destinations in the city....', '...The Metropol Parasol was completed in March 2011, costing just over €102\xa0million in total, more than twice as much as originally planned....', ""...The Metropol Parasol, in La Encarnación square, is the world's largest wooden structure...."", '...The Antiquarium in Metropol Parasol, an underground museum which is composed of the most important archaeological site of the ancient Roman stage of Seville and remains preserved....']","Setas de Sevilla, Plaza de la Encarnación, Encarnación-Regina, Casco Antiguo, Seville, Sevilla, Andalusia, 41003, Spain","{""coordinates"": [-5.991853, 37.393119], ""type"": ""Point""}","Setas de Sevilla, Plaza de la Encarnación, Encarnación-Regina, Casco Antiguo, Seville, Sevilla, Andalusia, 41003, Spain",tourism,attraction
15,La Alameda de Hércules,La Alameda de Hércules,"['*...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....']","Asociación de vecinos en defensa de la Alameda de Hércules, 12, Calle Relator, Feria, Casco Antiguo, Seville, Sevilla, Andalusia, 41002, Spain","{""coordinates"": [-5.992168, 37.400255], ""type"": ""Point""}","Asociación de vecinos en defensa de la Alameda de Hércules, 12, Calle Relator, Feria, Casco Antiguo, Seville, Sevilla, Andalusia, 41002, Spain",office,association
16,Patio de Banderas,Patio de Banderas,"['*...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....']","Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, Spain","{""coordinates"": [-5.991303, 37.384831], ""type"": ""Point""}","Patio de Banderas, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, Spain",highway,pedestrian
17,Seville Cathedral,Seville Cathedral,"['...Existing Roman features in Seville itself include the remains exposed in situ in the underground Antiquarium of the Metropol Parasol building, the remnants of an aqueduct, three pillars of a temple in Mármoles Street, the columns of La Alameda de Hércules and the remains in the Patio de Banderas square near the Seville Cathedral....', '...Public buildings were constructed including churches—many of which were built in the Mudéjar and Gothic styles—such as the Seville Cathedral, built during the 15th century with Gothic architecture....', '...Original Moorish buildings are the Patio del Yeso in the Alcázar, the city walls, and the main section of the Giralda, the bell tower of the Seville Cathedral....', ""*...In the 2016 film Assassin's Creed, Master Assassins Aguilar de Nerha and Maria escape execution and are pursued by Templars through the city, eventually performing Leaps of Faith off of an unfinished Seville Cathedral to escape....""]","Cathedral of Seville, Plaza Virgen de los Reyes, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.993141, 37.385915], ""type"": ""Point""}","Cathedral of Seville, Plaza Virgen de los Reyes, Santa Cruz, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",amenity,place_of_worship
19,Santa María la Blanca,Santa María la Blanca,"['*...After the 1391 pogrom, believed to having been instigated by the Archdeacon Ferrant Martínez, all the synagogues in Seville were converted to churches (renamed Santa María la Blanca, San Bartolomé, Santa Cruz, and Convento Madre de Dios)....']","Iglesia Santa María la Blanca, Calle Archeros, San Bartolomé, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain","{""coordinates"": [-5.987296, 37.386541], ""type"": ""Point""}","Iglesia Santa María la Blanca, Calle Archeros, San Bartolomé, Casco Antiguo, Seville, Sevilla, Andalusia, 41004, Spain",amenity,place_of_worship
