,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Europe,Europe,"['*...The medieval indigenous population of what is now Tallinn and northern Estonia was one of the last ""pagan"" civilisations in Europe to adopt Christianity following the Papal-sanctioned Livonian Crusade in the 13th century....', '*...Tallinn Old Town is one of the best-preserved medieval cities in Europe and is listed as a UNESCO World Heritage Site....', '*...Tallinn has the highest number of startup companies per person among all capitals and larger cities in Europe and is the birthplace of many international high-technology companies, including Skype and Wise....', '*...As an important port on a major trade route between Novgorod and western Europe, it became a target for the expansion of the Teutonic Knights and the Kingdom of Denmark during the period of Northern Crusades in the beginning of the 13th century when Christianity was forcibly imposed on the local population....', '...In 1285, Tallinn, then known more widely as Reval, became the northernmost member of the Hanseatic League\xa0– a mercantile and military alliance of German-dominated cities in Northern Europe....', '*...Reval enjoyed a strategic position at the crossroads of trade between the rest of western Europe and Novgorod and Muscovy in the east....', '*...In recent years,[when?] Tallinn has gradually been becoming one of the main IT centres of Europe, with the Cooperative Cyber Defence Centre of Excellence (CCD COE) of NATO, eu-LISA, the EU Digital Agency and the IT development centres of large corporations, such as TeliaSonera and Kuehne + Nagel being based in the city....', '*...Most of the visitors come from Europe, though Tallinn has also become increasingly visited by tourists from the Asia-Pacific region....', '*...Estonia is ranked third in Europe in terms of shopping centre space per inhabitant, ahead of Sweden and being surpassed only by Norway and Luxembourg....', '*...Ericsson has one of its biggest production facilities in Europe located in Tallinn, focusing on the production of 4G communication devices....', '...With over 250 feature films screened each year and over 77500 attendances (2014), PÖFF is one of the largest film events of Northern Europe and cultural events in Estonia in the winter season....', '*...This area is one of the best preserved medieval towns in Europe and the authorities are continuing its rehabilitation....']","Antiikmööblipood Old Europe, 8b, Kiisa, Kitseküla, Kesklinna linnaosa, Tallinn, Harju maakond, 96086, Estonia","{""coordinates"": [24.741313, 59.412413], ""type"": ""Point""}","Antiikmööblipood Old Europe, 8b, Kiisa, Kitseküla, Kesklinna linnaosa, Tallinn, Harju maakond, 96086, Estonia",shop,furniture
3,Castrum Danorum,Castrum Danorum,"['*...It has been widely considered a historical derivation of Taani-linna, meaning ""Danish-castle"" (Latin: Castrum Danorum), conceivably because the Danish invaders built the castle in place of the Estonian stronghold after the 1219 battle of Lyndanisse....']","Toompea Castle, 1a, Lossi plats, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia","{""coordinates"": [24.737375, 59.435744], ""type"": ""Point""}","Toompea Castle, 1a, Lossi plats, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia",historic,castle
5,Toompea,Toompea,"['*...Around 1050 AD, a fortress was built in what is now central Tallinn, on the hill of Toompea....', '*...It can be seen at Toompea, Lasnamäe, and Astangu....', '*...However, Toompea is not a part of the cliff, but a separate hill....', '...What can arguably be considered to be Tallinn\'s main attractions are located in the Tallinn Old Town (divided into a ""lower town"" and Toompea hill) which is easily explored on foot....', ""...The major attractions are the medieval Toompea Castle (today housing the Estonian Parliament, the Riigikogu), the Lutheran St Mary's Cathedral, also known as the Dome Church (Estonian: Toomkirik), and the Russian Orthodox Alexander Nevsky Cathedral....""]","Toompea, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia","{""coordinates"": [24.73886, 59.435483], ""type"": ""Point""}","Toompea, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia",highway,living_street
7,Town Hall,Town Hall,"['*...A weather vane, the figure of an old warrior called Old Thomas, was put on top of the spire of the Tallinn Town Hall in 1530....', ""...Another historical museum that can be found at city's Old Town, just behind the Town Hall, is Tallinn City Museum...."", ""...Tallinn City Museum owns nine more departments and museums around the city, one of which is Tallinn's Museum of Photography, also located just behind the Town Hall...."", '...In 1695, marzipan was mentioned as a medicine, under the designation of Panis Martius, in the price lists of the Tallinn Town Hall Pharmacy....', '*...Major sights include the Town Hall square (Estonian: Raekoja plats), the city wall and towers (notably ""Fat Margaret"" and ""Kiek in de Kök"") as well as a number of medieval churches, including St Olaf\'s, St. Nicholas\' and the Church of the Holy Ghost....', '*...The Lennart Meri Tallinn Airport is about 4 kilometres (2 miles)  from Town Hall square (Raekoja plats)....']","Town Hall, 1, Raekoja plats, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10146, Estonia","{""coordinates"": [24.745312, 59.437007], ""type"": ""Point""}","Town Hall, 1, Raekoja plats, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10146, Estonia",amenity,townhall
8,Tallinn TV Tower,Tallinn TV Tower,"['...Many buildings, such as the Tallinn TV Tower, ""Olümpia"" hotel, the new Main Post Office building, and the Regatta Centre, were built for the Olympics....', '...Two kilometres inland are the Botanic Gardens and the Tallinn TV Tower....']","Tallinn TV Tower, 58а, Kloostrimetsa tee, Kloostrimetsa, Pirita linnaosa, Tallinn, Harju maakond, 15026, Estonia","{""coordinates"": [24.88744, 59.471193], ""type"": ""Point""}","Tallinn TV Tower, 58а, Kloostrimetsa tee, Kloostrimetsa, Pirita linnaosa, Tallinn, Harju maakond, 15026, Estonia",tourism,attraction
10,Old Town,Old Town,"['...Tallinn Old Town is one of the best-preserved medieval cities in Europe and is listed as a UNESCO World Heritage Site....', '...The Old Town became a World Heritage Site in 1997, and the city hosted the 2002 Eurovision Song Contest....', ""...The museum is located in the Old Town, inside one of Tallinn's former defensive structures – Fat Margaret's Tower...."", ""*...Another historical museum that can be found at city's Old Town, just behind the Town Hall, is Tallinn City Museum...."", '*...The city is also home to Estonian Museum of Natural History and the Museum of Health Care, both located in Old Town....', '*...What can arguably be considered to be Tallinn\'s main attractions are located in the Tallinn Old Town (divided into a ""lower town"" and Toompea hill) which is easily explored on foot....']","Old Town Maestro, 10, Suur-Karja, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10140, Estonia","{""coordinates"": [24.74611, 59.435663], ""type"": ""Point""}","Old Town Maestro, 10, Suur-Karja, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10140, Estonia",tourism,hotel
14,Härjapea,Härjapea,"['*...Historically, a smaller river, called Härjapea, flowed from Lake Ülemiste through the town into the sea, but the river was diverted into underground sewerage system in the 1930s and has since completely disappeared from the cityscape....']","Härjapea, Ristiku, Pelgulinn, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10611, Estonia","{""coordinates"": [24.717468, 59.437684], ""type"": ""Point""}","Härjapea, Ristiku, Pelgulinn, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10611, Estonia",highway,bus_stop
15,Jõe,Jõe,"['*...References to it still remain in the street names Jõe (from jõgi, river) and Kivisilla (from kivi sild, stone bridge)....']","Jõe, Sadama, Kesklinna linnaosa, Tallinn, Harju maakond, 10151, Estonia","{""coordinates"": [24.763381, 59.440018], ""type"": ""Point""}","Jõe, Sadama, Kesklinna linnaosa, Tallinn, Harju maakond, 10151, Estonia",highway,secondary
16,Kivisilla,Kivisilla,"['*...References to it still remain in the street names Jõe (from jõgi, river) and Kivisilla (from kivi sild, stone bridge)....']","Kivisilla, Gonsiori, Kompassi, Kesklinna linnaosa, Tallinn, Harju maakond, 10117, Estonia","{""coordinates"": [24.758741, 59.435311], ""type"": ""Point""}","Kivisilla, Gonsiori, Kompassi, Kesklinna linnaosa, Tallinn, Harju maakond, 10117, Estonia",highway,bus_stop
17,Lasnamäe,Lasnamäe,"['*...It can be seen at Toompea, Lasnamäe, and Astangu....', '*...Whole new city districts were built where the main intent of the then Soviet authorities was to accommodate Russian-speaking immigrants: Mustamäe, Väike-Õismäe, Pelguranna, and most notably, Lasnamäe, which in 1980s became, and is to this day, the most populous district of Tallinn....']","Lasnamäe, Sikupilli, Lasnamäe linnaosa, Tallinn, Harju maakond, 10115, Estonia","{""coordinates"": [24.779407, 59.427115], ""type"": ""Point""}","Lasnamäe, Sikupilli, Lasnamäe linnaosa, Tallinn, Harju maakond, 10115, Estonia",highway,tertiary
