,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Lower Mainland,Lower Mainland,"['*...Vancouver ( van-KOO-vər) is a major city in western Canada, located in the Lower Mainland region of British Columbia....', '...Greater Vancouver, along with the Fraser Valley, comprises the Lower Mainland with a regional population of over 3million....', '...Many plants and trees growing throughout Vancouver and the Lower Mainland were imported from other parts of the continent and from points across the Pacific....', '...The larger Lower Mainland-Southwest economic region (which includes also the Squamish-Lillooet, Fraser Valley, and Sunshine Coast Regional District) has a population of over 3.04million....', '...A number of other local and international papers serve other multicultural groups in the Lower Mainland....']","Lower Mainland Control Centre, 6525, Boundary Road, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 1M2, Canada","{""coordinates"": [-123.024286, 49.223733], ""type"": ""Point""}","Lower Mainland Control Centre, 6525, Boundary Road, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 1M2, Canada",building,yes
1,Fraser Valley,Fraser Valley,"['...Greater Vancouver, along with the Fraser Valley, comprises the Lower Mainland with a regional population of over 3million....', '*...The larger Lower Mainland-Southwest economic region (which includes also the Squamish-Lillooet, Fraser Valley, and Sunshine Coast Regional District) has a population of over 3.04million....']","Fraser Valley Juice, Johnston Street, Granville Island, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6H, Canada","{""coordinates"": [-123.135369, 49.272632], ""type"": ""Point""}","Fraser Valley Juice, Johnston Street, Granville Island, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6H, Canada",amenity,fast_food
2,North America,North America,"['*...Vancouver has the highest population density in Canada, with over 5,700 people per square kilometre, and fourth highest in North America (after New York City, San Francisco, and Mexico City)....', '*...As of 2016[update], the Port of Vancouver is the fourth-largest port by tonnage in the Americas, the busiest and largest in Canada, and the most diversified port in North America....', '*...Major film production studios in Vancouver and nearby Burnaby have turned Greater Vancouver and nearby areas into one of the largest film production centres in North America, earning it the nickname ""Hollywood North""....', '*...Vancouver has one of the largest urban parks in North America, Stanley Park, which covers 404.9\xa0ha (1,001 acres)....', '*...In the 1980s, an influx of immigrants from Hong Kong in anticipation of the transfer of sovereignty from the United Kingdom to China, combined with an increase in immigrants from mainland China and previous immigrants from Taiwan, established in Vancouver one of the highest concentrations of ethnic Chinese residents in North America....', '*...Vancouver hosts approximately 65 movies and 55 TV series annually and is the 3rd largest film & TV production centre in North America, supporting 20,000 jobs....', ""...Subsequently, North America's only legal safe injection site at the time, Insite, was opened for the significant number of intravenous heroin users in the city...."", '*...The Vancouver International Film Festival, which runs for two weeks each September, shows over 350 films and is one of the larger film festivals in North America....', '*...Vancouver currently has the second-largest trolleybus fleet in North America, after San Francisco....', '*...In 2012, Vancouver had the worst traffic congestion in Canada and the second-highest in North America, behind Los Angeles....', '*...As of 2013[update], Vancouver now has the worst traffic congestion in North America....', ""*...Vancouver's airport is Canada's second-busiest airport, and the second-largest gateway on the west coast of North America for international passengers....""]","North America Pet Store, 2255, Kingsway, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5N 2T6, Canada","{""coordinates"": [-123.059449, 49.242696], ""type"": ""Point""}","North America Pet Store, 2255, Kingsway, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5N 2T6, Canada",shop,pet
3,Hastings Mill,Hastings Mill,"['*...The beginnings of the modern city, which was originally named Gastown, grew around the site of a makeshift tavern on the western edges of Hastings Mill that was built on July 1, 1867, and owned by proprietor Gassy Jack....', '...This mill, known as the Hastings Mill, became the nucleus around which Vancouver formed....', '*...The settlement, which came to be called Gastown, grew quickly around the original makeshift tavern established by Gassy Jack in 1867 on the edge of the Hastings Mill property....']","Pat's Pub, 403, East Hastings Street, Japantown, Strathcona, Vancouver, Metro Vancouver Regional District, British Columbia, V6A 1P6, Canada","{""coordinates"": [-123.094993, 49.281417], ""type"": ""Point""}","Pat's Pub, 403, East Hastings Street, Japantown, Strathcona, Vancouver, Metro Vancouver Regional District, British Columbia, V6A 1P6, Canada",amenity,pub
4,Burrard Inlet,Burrard Inlet,"['*...Gastown then formally registered as a townsite dubbed Granville, Burrard Inlet....', '*...The city takes its name from George Vancouver, who explored the inner harbour of Burrard Inlet in 1792 and gave various places British names....', '*...Became acquainted with the area of the future Vancouver when José María Narváez of Spain explored the coast of present-day Point Grey and parts of Burrard Inlet in 1791—although one author contends that Francis Drake may have visited the area in 1579....', '*...Located on the Burrard Peninsula, Vancouver lies between Burrard Inlet to the north and the Fraser River to the south....', '*...Only in Elliott Bay, Seattle, did the size of trees rival those of Burrard Inlet and English Bay....']","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 0A2, Canada","{""coordinates"": [-122.985641, 49.201232], ""type"": ""Point""}","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 0A2, Canada",office,company
6,Asia,Asia,"[""*...The city's large natural seaport on the Pacific Ocean became a vital link in the trade between Asia-Pacific, East Asia, Europe, and Eastern Canada...."", '...Vancouver plays host to special events such as the Asia-Pacific Economic Cooperation conference, the Clinton-Yeltsin Summit, or the Symphony of Fire fireworks show that require significant policing....']","Asia, 5048, 264 Street, Gloucester, Township of Langley, Metro Vancouver Regional District, British Columbia, V4W 2V1, Canada","{""coordinates"": [-122.489447, 49.090852], ""type"": ""Point""}","Asia, 5048, 264 Street, Gloucester, Township of Langley, Metro Vancouver Regional District, British Columbia, V4W 2V1, Canada",tourism,attraction
8,Europe,Europe,"[""*...The city's large natural seaport on the Pacific Ocean became a vital link in the trade between Asia-Pacific, East Asia, Europe, and Eastern Canada...."", '*...Some species imported from harsher climates in Eastern Canada or Europe have grown to immense sizes....', '...Eastern Europeans, including Russians, Czechs, Poles, Romanians and Hungarians began immigrating after the Soviet takeover of Eastern Europe after World War II....']","Hotel Europe, 43, Powell Street, Gastown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 1G7, Canada","{""coordinates"": [-123.103347, 49.283448], ""type"": ""Point""}","Hotel Europe, 43, Powell Street, Gastown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 1G7, Canada",building,yes
10,BC Place,BC Place,"[""*...Vancouver has hosted many international conferences and events, including the 1954 Commonwealth Games, UN Habitat I, Expo 86, APEC Canada 1997, the World Police and Fire Games in 1989 and 2009; several matches of 2015 FIFA Women's World Cup including the finals at BC Place in Downtown Vancouver, and the 2010 Winter Olympics and Paralympics which were held in Vancouver and Whistler, a resort community 125\xa0km (78\xa0mi) north of the city...."", '...Larger musical performances are usually held at venues such as Rogers Arena, Queen Elizabeth Theatre, BC Place Stadium or the Pacific Coliseum, while smaller acts are held at places such as the Commodore Ballroom, the Orpheum Theatre and the Vogue Theatre....']","BC Place, 777, Pacific Boulevard, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 0J5, Canada","{""coordinates"": [-123.112006, 49.276691], ""type"": ""Point""}","BC Place, 777, Pacific Boulevard, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 0J5, Canada",leisure,stadium
11,Port of Vancouver,Port of Vancouver,"['...As of 2016[update], the Port of Vancouver is the fourth-largest port by tonnage in the Americas, the busiest and largest in Canada, and the most diversified port in North America....']","Port of Vancouver, Central Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W2, Canada","{""coordinates"": [-123.080224, 49.090991], ""type"": ""Point""}","Port of Vancouver, Central Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W2, Canada",office,government
13,Hollywood North,Hollywood North,"['*...Major film production studios in Vancouver and nearby Burnaby have turned Greater Vancouver and nearby areas into one of the largest film production centres in North America, earning it the nickname ""Hollywood North""....', '*...Vancouver has become a major film location, known as Hollywood North, as it has stood in for several U.S. cities....', '*...Nicknamed Hollywood North, a distinction it shares with Toronto, the city has been used as a film making location for nearly a century, beginning with the Edison Manufacturing Company....']","Hollywood North, 856, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 3L5, Canada","{""coordinates"": [-123.119671, 49.280017], ""type"": ""Point""}","Hollywood North, 856, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 3L5, Canada",amenity,bar
