,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Ringstraße,Ringstraße,"['*...The historic center of Vienna is rich in architectural ensembles, including Baroque palaces and gardens, and the late-19th-century Ringstraße lined with grand buildings, monuments and parks....', '*...During the latter half of the 19th century, Vienna developed what had previously been the bastions and glacis into the Ringstraße, a new boulevard surrounding the historical town and a major prestige project....', '*...That year, after years of reconstruction and restoration, the State Opera and the Burgtheater, both on the Ringstraße, reopened to the public....', '...In their place, a broad boulevard called the Ringstraße was built, along which imposing public and private buildings, monuments, and parks were created by the start of the 20th century....']","Kärntner Ring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370025, 48.202379], ""type"": ""Point""}","Kärntner Ring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",railway,subway_entrance
3,Danube,Danube,"['...It is the 5th-largest city proper by population in the European Union and the largest of all cities on the Danube river....', '*...Slovene speakers call the city Dunaj, which in other Central European Slavic languages means the river Danube, on which the city stands....', '*...Evidence has been found of continuous habitation in the Vienna area since 500 BC, when Celts settled the site on the Danube....', '*...In 976, Leopold I of Babenberg became count of the Eastern March, a district centered on the Danube on the eastern frontier of Bavaria....', '*...Each succeeding Babenberg ruler expanded the march east along the Danube, eventually encompassing Vienna and the lands immediately east....', '*...On the banks of the Danube, there is a Buddhist Peace Pagoda, built in 1983 by the monks and nuns of Nipponzan Myohoji....', ""*...The earliest settlement, at the location of today's inner city, was south of the meandering Danube while the city now spans both sides of the river...."", '*...From 1850 to 1904, Vienna had expanded only on the right bank of the Danube, following the main branch before the regulation of 1868–1875, i.e., the Old Danube of today....', '*...In 1904, the 21st district was created by integrating Floridsdorf, Kagran, Stadlau, Hirschstetten, Aspern and other villages on the left bank of the Danube into Vienna, in 1910 Strebersdorf followed....', '*...The Innere Stadt is situated away from the main flow of the Danube, but is bounded by the Donaukanal (""Danube canal"")....', ""*...Vienna's second and twentieth districts are located between the Donaukanal and the Danube...."", '*...Across the Danube, where the Vienna International Center is located (districts 21–22), and in the southern areas (district 23) are the newest parts of the city....', '*...In the 1990s, a number of quarters were adapted and extensive building projects were implemented in the areas around Donaustadt (north of the Danube) and Wienerberg (in southern Vienna)....', '*...The 220-meter high DC Tower 1 located on the Northern bank of the Danube, completed in 2013, is the tallest skyscraper in Vienna....', '...Danube International School ;...', ""*...The Donauinsel, part of Vienna's flood defenses, is a 21.1\xa0km (13.1\xa0mi) long artificial island between the Danube and Neue Donau dedicated to leisure activities....""]","Audio Danube, Hafnersteig, Stubenviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.376971, 48.211346], ""type"": ""Point""}","Audio Danube, Hafnersteig, Stubenviertel, Innere Stadt, Vienna, 1010, Austria",shop,hearing_aids
7,Vienna Circle,Vienna Circle,"[""...The city's cultural contributions in the first half of the 20th century included, among many, the Vienna Secession movement in art, psychoanalysis, the Second Viennese School (Schoenberg, Berg, Webern), the architecture of Adolf Loos and the philosophy of Ludwig Wittgenstein and the Vienna Circle....""]","Institute Vienna Circle, 2-4, Tür, Spitalgasse, Alservorstadt, KG Alsergrund, Alsergrund, Vienna, 1090, Austria","{""coordinates"": [16.351503, 48.21509], ""type"": ""Point""}","Institute Vienna Circle, 2-4, Tür, Spitalgasse, Alservorstadt, KG Alsergrund, Alsergrund, Vienna, 1090, Austria",amenity,university
8,Karl Marx-Hof,Karl Marx-Hof,['...In the Austrian Civil War of 1934 Chancellor Engelbert Dollfuss sent the Austrian Army to shell civilian housing such as the Karl Marx-Hof occupied by the socialist militia....'],"Karl-Marx-Hof, Felix-Braun-Gasse, KG Heiligenstadt, Döbling, Vienna, 1190, Austria","{""coordinates"": [16.364539, 48.25016], ""type"": ""Point""}","Karl-Marx-Hof, Felix-Braun-Gasse, KG Heiligenstadt, Döbling, Vienna, 1190, Austria",tourism,attraction
10,Hofburg,Hofburg,"['*...In 1938, after a triumphant entry into Austria, the Austrian-born German Chancellor Adolf Hitler spoke to the Austrian Germans from the balcony of the Neue Burg, a part of the Hofburg at the Heldenplatz....', '*...It is also the location of New Wing of the Hofburg, the former imperial palace, and the Imperial and Royal War Ministry finished in 1913....', '...Since 2012, the city hosts the annual Pioneers Festival, the largest start-up event in Central Europe with 2,500 international participants taking place at Hofburg Palace....', '...Other centers are the Messe Wien Exhibition & Congress Center (up to 3,000 people) and the Hofburg Palace (up to 4,900 people)....', '*...Renato Gligoroski (born 1976), former professional footballer, now coach and engineer\nThe Hofburg is the location of the Imperial Treasury (Schatzkammer), holding the imperial jewels of the Habsburg dynasty....', '*...Directly opposite the Hofburg are the Kunsthistorisches Museum, which houses many paintings by old masters, ancient and classical artifacts, and the Naturhistorisches Museum....', '...Balls are held in the many palaces in Vienna, with the principal venue being the Hofburg Palace in Heldenplatz....', '*...Vienna possesses many parks, including the Stadtpark, the Burggarten, the Volksgarten (part of the Hofburg), the Schlosspark at Schloss Belvedere (home to the Vienna Botanic Gardens), the Donaupark, the Schönbrunner Schlosspark, the Prater, the Augarten, the Rathauspark, the Lainzer Tiergarten, the Dehnepark, the Resselpark, the Votivpark, the Kurpark Oberlaa, the Auer-Welsbach-Park and the Türkenschanzpark....', ""*...Major tourist attractions include the imperial palaces of the Hofburg and Schönbrunn (also home to the world's oldest zoo, Tiergarten Schönbrunn) and the Riesenrad in the Prater....""]","Hofburg Palace, Reitschulgasse, Widmerviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.365626, 48.206329], ""type"": ""Point""}","Hofburg Palace, Reitschulgasse, Widmerviertel, Innere Stadt, Vienna, 1010, Austria",tourism,attraction
11,Heldenplatz,Heldenplatz,"['*...In 1938, after a triumphant entry into Austria, the Austrian-born German Chancellor Adolf Hitler spoke to the Austrian Germans from the balcony of the Neue Burg, a part of the Hofburg at the Heldenplatz....', '*...Balls are held in the many palaces in Vienna, with the principal venue being the Hofburg Palace in Heldenplatz....']","Heldenplatz, Widmerviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.364532, 48.205798], ""type"": ""Point""}","Heldenplatz, Widmerviertel, Innere Stadt, Vienna, 1010, Austria",amenity,parking
12,Palais Rothschild,Palais Rothschild,['*...Adolf Eichmann held office in the expropriated Palais Rothschild and organized the expropriation and persecution of the Jews....'],"Palais Rothschild, Jaurèsgasse, Botschaftsviertel, KG Landstraße, Landstraße, Vienna, 1030, Austria","{""coordinates"": [16.381794, 48.19699], ""type"": ""Point""}","Palais Rothschild, Jaurèsgasse, Botschaftsviertel, KG Landstraße, Landstraße, Vienna, 1030, Austria",historic,castle
15,Burgtheater,Burgtheater,"['*...That year, after years of reconstruction and restoration, the State Opera and the Burgtheater, both on the Ringstraße, reopened to the public....', '*...These buildings include the Rathaus (town hall), the Burgtheater, the University, the Parliament, the twin museums of natural history and fine art, and the Staatsoper....', '*...The Burgtheater is considered one of the best theaters in the German-speaking world alongside its branch, the Akademietheater....', ""*...Cultural highlights include the Burgtheater, the Wiener Staatsoper, the Lipizzaner horses at the spanische Hofreitschule, and the Vienna Boys' Choir, as well as excursions to Vienna's Heurigen district Döbling....""]","Burgtheater, 1, Josef-Meinrad-Platz, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.36157, 48.209517], ""type"": ""Point""}","Burgtheater, 1, Josef-Meinrad-Platz, Innere Stadt, Vienna, 1010, Austria",amenity,charging_station
17,Europe,Europe,"['...Vienna has regained much of its former international stature by hosting international organizations, such as the United Nations (United Nations Industrial Development Organization, United Nations Office at Vienna and United Nations Office on Drugs and Crime), the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization, the International Atomic Energy Agency, the Organization of Petroleum Exporting Countries, and the Organization for Security and Cooperation in Europe....', '*...In 1910, Vienna had more than two million inhabitants, and was the third largest city in Europe after London and Paris....', '*...At that time, Vienna\'s municipal policy was admired by Socialists throughout Europe, who therefore referred to the city as ""Red Vienna"" (Rotes Wien)....', '...Since the fall of the Iron Curtain in 1989, Vienna has expanded its position as gateway to Eastern Europe: 300 international companies have their Eastern European headquarters in Vienna and its environs....', ""...Companies in Vienna have extensive contacts and competences in business with Eastern Europe due to the city's historical role as center of the Habsburg Empire...."", '...Since 2012, the city hosts the annual Pioneers Festival, the largest start-up event in Central Europe with 2,500 international participants taking place at Hofburg Palace....', ""*...The Viennese sector for information and communication technologies is comparable in size with the sector in Helsinki, Milan or Munich and thus among Europe's largest IT locations...."", '*...The US technology corporation Cisco runs its Entrepreneurs in Residence program for Europe in Vienna in cooperation with the Vienna Business Agency....', '*...In the vicinity of the station a new district is emerging with 550,000\xa0m2 (5,920,000\xa0sq\xa0ft) office space and 5,000 apartments until 2020.\nSeestadt Aspern is one of the largest urban expansion projects of Europe....', '*...It is the oldest English-language theater in continental Europe....', ""*...Other important sports clubs include the Raiffeisen Vikings Vienna (American Football), who won the Eurobowl title between 2004 and 2007 4 times in a row and had a perfect season in 2013, the Aon hotVolleys Vienna, one of Europe's premier Volleyball organizations, the Vienna Wanderers (baseball) who won the 2012 and 2013 Championship of the Austrian Baseball League, and the Vienna Capitals (Ice Hockey)...."", '...Vienna is the seat of a number of United Nations offices and various international institutions and companies, including the International Atomic Energy Agency (IAEA), the United Nations Industrial Development Organization (UNIDO), the United Nations Office on Drugs and Crime (UNODC), the Organization of Petroleum Exporting Countries (OPEC), the OPEC Fund for International Development (OFID), the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization (CTBTO), the Organization for Security and Co-operation in Europe (OSCE), the United Nations Office for Outer Space Affairs (UNOOSA) and the European Union Agency for Fundamental Rights (FRA)....', '...Among the more important documents negotiated in Vienna are the 1969 Vienna Convention on the Law of Treaties, as well as the 1990 Treaty on Conventional Armed Forces in Europe....']","Café de l'Europe, 31, Graben, Widmerviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.371127, 48.208271], ""type"": ""Point""}","Café de l'Europe, 31, Graben, Widmerviertel, Innere Stadt, Vienna, 1010, Austria",amenity,cafe
18,St. Stephen's Cathedral,St. Stephen's Cathedral,"[""...Some of Vienna's most significant historical buildings are Catholic churches, including the St. Stephen's Cathedral (Stephansdom), Karlskirche, Peterskirche and the Votivkirche...."", ""*...Vienna's many churches also draw large crowds, famous of which are St. Stephen's Cathedral, the Deutschordenskirche, the Jesuitenkirche, the Karlskirche, the Peterskirche, Maria am Gestade, the Minoritenkirche, the Ruprechtskirche, the Schottenkirche, St. Ulrich and the Votivkirche....""]","Saint Stephen's Cathedral, 3, Stephansplatz, Stubenviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.373127, 48.208492], ""type"": ""Point""}","Saint Stephen's Cathedral, 3, Stephansplatz, Stubenviertel, Innere Stadt, Vienna, 1010, Austria",amenity,place_of_worship
