,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Alster,Alster,"[""*...Amburgo si trova nel punto in cui i fiumi Alster e Bille sfociano nell'Elba, che  più a nord-ovest sfocia a sua volta nel Mare del Nord...."", ""*...Il centro della città circonda due laghi artificiali formati dall'Alster:..."", '...Il lago Binnenalster (la parte di fiume che si trovava dentro le antiche mura della città), e il lago Außenalster (Alster esterno)....', ""*...La fortificazione (Hammaburg) sorgeva sul fondo di una palude fra l'Alster e l'Elba e fungeva da difesa contro le invasioni slave...."", '*...La sede del club era localizzata in un lago formato dal fiume Alster nella parte meridionale della città, adiacente a una spiaggia balneare....', '...Da centinaia di anni i cigni che frequentano la città (detti Alsterschwäne, ""cigni dell\'Alster"") sono particolarmente protetti e tutelati, sia dalla popolazione sia dalle leggi, e il loro speciale accudimento nel periodo invernale è una delle caratteristiche celebri di Amburgo....', '*...Außenalster, un lago artificiale di 164 ettari alimentato dal fiume Alster;...', ""*...Binnenalster, un lago artificiale più piccolo (18 ettari) alimentato anch'esso dal fiume Alster;...""]","Alsterfontäne, Ballindamm, Altstadt, Hamburg-Mitte, Amburgo, 20095, Germania","{""coordinates"": [9.995782, 53.555069], ""type"": ""Point""}","Alsterfontäne, Ballindamm, Altstadt, Hamburg-Mitte, Amburgo, 20095, Germania",tourism,attraction
4,Bille,Bille,"[""*...Amburgo si trova nel punto in cui i fiumi Alster e Bille sfociano nell'Elba, che  più a nord-ovest sfocia a sua volta nel Mare del Nord....""]","Rudervereinigung Bille von 1896, Bei der Grünen Brücke, Rothenburgsort, Hamburg-Mitte, Amburgo, 20539, Germania","{""coordinates"": [10.043016, 53.543539], ""type"": ""Point""}","Rudervereinigung Bille von 1896, Bei der Grünen Brücke, Rothenburgsort, Hamburg-Mitte, Amburgo, 20539, Germania",leisure,sports_centre
8,Außenalster,Außenalster,"['*...Il lago Binnenalster (la parte di fiume che si trovava dentro le antiche mura della città), e il lago Außenalster (Alster esterno)....', '*...La maggior parte di essi attraversa i numerosissimi canali (chiamati Fleete) che si diramano dai laghi artificiali Außenalster e Binnenalster....', '*...Außenalster, un lago artificiale di 164 ettari alimentato dal fiume Alster;...']","Wasserrettungszentrum Außenalster, Harvestehuder Weg, Rotherbaum, Eimsbüttel, Amburgo, 20148, Germania","{""coordinates"": [10.001415, 53.567641], ""type"": ""Point""}","Wasserrettungszentrum Außenalster, Harvestehuder Weg, Rotherbaum, Eimsbüttel, Amburgo, 20148, Germania",emergency,lifeguard
13,Europa,Europa,"[""...La franchigia doganale, unita alla vicinanza alle principali rotte commerciali del Mare del Nord e del Mar Baltico, fecero in breve tempo di Amburgo il maggior porto dell'Europa settentrionale...."", ""*...Amburgo conobbe il suo periodo di maggior crescita durante la seconda metà del XIX secolo, quando la sua popolazione crebbe di oltre quattro volte fino a raggiungere gli 800\xa0000 abitanti e diventando il terzo porto d'Europa grazie alle rotte commerciali sull'Atlantico...."", ""...Dopo la riunificazione tedesca nel 1990 e l'ingresso di alcuni paesi dell'Europa orientale e dei Paesi Baltici all'Unione europea nel 2004, Amburgo e il suo porto cominciarono a coltivare l'ambizione di riconquistare il primato come porto per le navi da container e centro di scambi commerciali...."", ""*...Il più significativo contributo all'economia della città stato è costituito dal porto di Amburgo, secondo solo a quello di Rotterdam in Europa e al nono posto nel mondo con un trasporto di 9,8 milioni di TEU e 134 milioni di tonnellate di merci nel 2007...."", '*...Dopo la riunificazione tedesca Amburgo ha recuperato la parte orientale del proprio hinterland, diventando di gran lunga il porto più in crescita di tutta Europa....', ""*...L'industria pesante include la produzione di acciaio, alluminio e la più grande fabbrica di rame d'Europa e numerosi cantieri navali come quelli di Blohm + Voss...."", ""*...Amburgo ha il più grande porto tedesco, situato lungo l'Elba, e secondo porto in Europa dopo quello di Rotterdam, avendo superato quello di Anversa nel 2012...."", ""*...A livello ferroviario rappresenta un importante nodo, con il più grande scalo di smistamento dell'Europa, quello di Maschen, situato a sud della città...."", '...In precedenza sono esistiti anche gli Hamburg Sea Devils, che militavano in NFL Europa e hanno vinto un World Bowl....']","Europa, Auf dem Sande, Altstadt, Hamburg-Mitte, Amburgo, 20457, Germania","{""coordinates"": [9.989757, 53.544641], ""type"": ""Point""}","Europa, Auf dem Sande, Altstadt, Hamburg-Mitte, Amburgo, 20457, Germania",tourism,artwork
14,Atlantico,Atlantico,"[""*...Amburgo conobbe il suo periodo di maggior crescita durante la seconda metà del XIX secolo, quando la sua popolazione crebbe di oltre quattro volte fino a raggiungere gli 800\xa0000 abitanti e diventando il terzo porto d'Europa grazie alle rotte commerciali sull'Atlantico...."", ""...Amburgo ha un clima oceanico, influenzato dalla sua vicinanza alla costa e dalle influenze marittime che hanno origine nell'Oceano Atlantico....""]","O Atlantico, 26, Veringstraße, Reiherstiegviertel, Wilhelmsburg, Hamburg-Mitte, Amburgo, 21107, Germania","{""coordinates"": [9.987634, 53.516195], ""type"": ""Point""}","O Atlantico, 26, Veringstraße, Reiherstiegviertel, Wilhelmsburg, Hamburg-Mitte, Amburgo, 21107, Germania",amenity,restaurant
17,Africa,Africa,"[""*...Sotto la direzione di Albert Ballin la Hamburg America Line divenne, a cavallo del secolo, la più grande compagnia di trasporti transatlantici, e Amburgo divenne sede di numerose compagnie di trasporti diretti verso il Sud America, l'Africa, l'India e l'Asia orientale...."", ""...L'Afrika-Haus, un Museo dedicato all'Africa;...""]","I.T.E.M.S. AFRICA GmbH & Co. KG, 8b, Forsmannstraße, Jarrestadt, Winterhude, Hamburg-Nord, Amburgo, 22303, Germania","{""coordinates"": [10.015746, 53.582936], ""type"": ""Point""}","I.T.E.M.S. AFRICA GmbH & Co. KG, 8b, Forsmannstraße, Jarrestadt, Winterhude, Hamburg-Nord, Amburgo, 22303, Germania",office,company
19,Est,Est,"['...Le due rive del fiume sono collegate tramite ponti a est e tramite due tunnel....', ""*...Era anche il porto più utilizzato da tedeschi e europei dell'Est per emigrare nel Nuovo Mondo e fu sede di numerose comunità di commercio da tutto il mondo (sorse ad esempio una piccola Chinatown ad Altona)...."", ""...Nel dopoguerra, la Cortina di ferro - a soli  a est di Amburgo - separò la città dalla maggior parte del suo retroterra e ridusse ulteriormente l'attività di commercio globale....""]","EST Lorek - Ekspresowo Solidnie Tanio, Adenauerallee, St. Georg, Hamburg-Mitte, Amburgo, 20097, Germania","{""coordinates"": [10.011388, 53.552065], ""type"": ""Point""}","EST Lorek - Ekspresowo Solidnie Tanio, Adenauerallee, St. Georg, Hamburg-Mitte, Amburgo, 20097, Germania",office,travel_agent
27,Mariendom,Mariendom,"['*...La torre centrale con una croce identifica la cattedrale medievale dedicata alla patrona della città, il Mariendom....']","Am Mariendom, St. Georg, Hamburg-Mitte, Amburgo, 20099, Germania","{""coordinates"": [10.01382, 53.557295], ""type"": ""Point""}","Am Mariendom, St. Georg, Hamburg-Mitte, Amburgo, 20099, Germania",highway,service
28,Rathausmarkt,Rathausmarkt,['*...La grande piazza Rathausmarkt con il municipio (Hamburger Rathaus);...'],"Rathausmarkt, Altstadt, Hamburg-Mitte, Amburgo, 20095, Germania","{""coordinates"": [9.993983, 53.550845], ""type"": ""Point""}","Rathausmarkt, Altstadt, Hamburg-Mitte, Amburgo, 20095, Germania",highway,residential
30,St. Pauli-Landungsbrücken,St. Pauli-Landungsbrücken,"['*...Il porto (Hafen), con i St. Pauli-Landungsbrücken (pontili e imbarcaderi di San Paolo);...']","St. Pauli - Landungsbrücken, Bei den St. Pauli-Landungsbrücken, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.970369, 53.545552], ""type"": ""Point""}","St. Pauli - Landungsbrücken, Bei den St. Pauli-Landungsbrücken, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",tourism,information
31,Speicherstadt,Speicherstadt,"['*...Speicherstadt, la ""città dei magazzini"";...']","Speicherstadt, Kehrwieder, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Amburgo, 20457, Germania","{""coordinates"": [9.986979, 53.544015], ""type"": ""Point""}","Speicherstadt, Kehrwieder, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Amburgo, 20457, Germania",tourism,attraction
32,St. Nikolai Kirche,St. Nikolai Kirche,['*...St. Nikolai Kirche (Chiesa di San Nicola);...'],"St. Nikolai-Kirche, 56, Moorfleeter Kirchenweg, Moorfleet, Bergedorf, Amburgo, 22113, Germania","{""coordinates"": [10.082467, 53.511467], ""type"": ""Point""}","St. Nikolai-Kirche, 56, Moorfleeter Kirchenweg, Moorfleet, Bergedorf, Amburgo, 22113, Germania",amenity,place_of_worship
37,St. Michaelis,St. Michaelis,['*...St. Michaelis (Chiesa di San Michele);...'],"Chiesa di San Michele, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Amburgo, 20459, Germania","{""coordinates"": [9.978889, 53.548428], ""type"": ""Point""}","Chiesa di San Michele, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Amburgo, 20459, Germania",amenity,place_of_worship
38,Chiesa di San Michele,Chiesa di San Michele,['*...St. Michaelis (Chiesa di San Michele);...'],"Chiesa di San Michele, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Amburgo, 20459, Germania","{""coordinates"": [9.978889, 53.548428], ""type"": ""Point""}","Chiesa di San Michele, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Amburgo, 20459, Germania",amenity,place_of_worship
41,Heiligengeistfeld,Heiligengeistfeld,['*...Heiligengeistfeld e la piazza Millerntor;...'],"Heiligengeistfeld, Simon-von-Utrecht-Straße, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.970728, 53.554062], ""type"": ""Point""}","Heiligengeistfeld, Simon-von-Utrecht-Straße, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,events_venue
42,Millerntor,Millerntor,['*...Heiligengeistfeld e la piazza Millerntor;...'],"Millerntor, Millerntorplatz, Neustadt, Hamburg-Mitte, Amburgo, Germania","{""coordinates"": [9.97046, 53.550938], ""type"": ""Point""}","Millerntor, Millerntorplatz, Neustadt, Hamburg-Mitte, Amburgo, Germania",amenity,toilets
43,Spielbudenplatz,Spielbudenplatz,"['*...La piazza Spielbudenplatz, con il St. Pauli-Theater;...']","Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.9668, 53.549713], ""type"": ""Point""}","Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,parking_entrance
44,St. Pauli-Theater,St. Pauli-Theater,"['...La piazza Spielbudenplatz, con il St. Pauli-Theater;...']","St. Pauli Theater, 29-30, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.962988, 53.549101], ""type"": ""Point""}","St. Pauli Theater, 29-30, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,theatre
