,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Europa,Europa,"['*...La città possiede uno dei maggiori centri rinascimentali di tutta Europa....', ""*...Mentre le guerre di religione imperversavano per l'Europa, Amsterdam divenne un rifugio per molte genti perseguitate o timorose di persecuzioni per via della loro religione...."", ""*...Il commercio e l'industria soffrirono comunque le conseguenze di un'Europa devastata...."", ""*...La città di Amsterdam ha 4.630.000 turisti l'anno, il che la rende una delle capitali più visitate d'Europa...."", ""*...Nel 2007 venne rilevata la presenza di ben 171 nazionalità diverse nella città, rendendola uno dei luoghi più multiculturali d'Europa...."", ""*...Amsterdam è conosciuta anche per essere uno dei principali centri museali d'Europa...."", ""...La città ha una squadra di football americano, gli Amsterdam Crusaders (in passato sono esistiti anche gli Amsterdam Admirals che militavano in NFL Europa)\nLa città ha una squadra di hockey su prato, l'Hockey Club Amsterdam...""]","Europa, Vriesseveem, Oostelijk Havengebied, Oost, Amsterdam, Noord-Holland, Paesi Bassi, 1019 GM, Paesi Bassi","{""coordinates"": [4.918916, 52.377164], ""type"": ""Point""}","Europa, Vriesseveem, Oostelijk Havengebied, Oost, Amsterdam, Noord-Holland, Paesi Bassi, 1019 GM, Paesi Bassi",building,yes
5,Concertgebouw,Concertgebouw,"['...La città ospita il Rijksmuseum (Museo statale), il Museo Van Gogh, il Concertgebouw, il Rembrandthuis e la casa di Anna Frank....', ""...La Concertgebouw, sala da concerto famosa nel mondo, è sede dell'Orchestra reale del Concertgebouw....""]","Concertgebouw, Van Baerlestraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1071 BB, Paesi Bassi","{""coordinates"": [4.879671, 52.356701], ""type"": ""Point""}","Concertgebouw, Van Baerlestraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1071 BB, Paesi Bassi",railway,platform
6,Rembrandthuis,Rembrandthuis,"['...La città ospita il Rijksmuseum (Museo statale), il Museo Van Gogh, il Concertgebouw, il Rembrandthuis e la casa di Anna Frank....', ""...Tra le case-Museo, si citano la Rembrandthuis, la casa di Anna Frank, il Museo Van Loon, la casa Museo della potente famiglia di commercianti dei Van Loon, e il Museo Willet-Holthuysen, che offre uno spaccato di vita in una casa signorile della capitale olandese tra il Settecento e l'Ottocento....""]","Rembrandthuis, 4, Jodenbreestraat, Uilenburg, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1011 NK, Paesi Bassi","{""coordinates"": [4.901237, 52.369367], ""type"": ""Point""}","Rembrandthuis, 4, Jodenbreestraat, Uilenburg, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1011 NK, Paesi Bassi",tourism,museum
7,Amstel,Amstel,"['*...Il fiume Amstel termina nel centro cittadino e si collega a un gran numero di canali che sfociano nel lago IJ, precedentemente una baia....', '*...Amsterdam nacque nel XIII secolo da un villaggio di pescatori situato vicino ad una diga (""dam"") sul fiume Amstel (da cui il nome originario ""Amsteldam"")....', ""...Amsterdam ottenne ufficialmente il titolo di città nel 1300 o 1301 dal vescovo di Utrecht Guy van Henegouwen, ma già nel 1275 Amsterdam (sic) aveva ricevuto delle esenzioni da parte di uno dei Signori dell'Amstel...."", ""...Piazza Dam è la storica piazza costruita sulla prima diga dell'Amstel e centro per antonomasia della città, vi si affacciano notevoli monumenti:..."", ""*...Het Muziektheater è un nuovo Teatro lirico del 1986, sito in un edificio chiamato Stopera insieme al municipio di fronte all'Amstel...."", ""*...Un altro Teatro rinomato è il Carré, anch'esso sull'Amstel...."", ""*...Ci sono anche dei Canal Bus chiamati Pizza Cruise e Jazz Cruise a pagamento che effettuano giri lungo l'Amstel....""]","Amstel, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1017 AA, Paesi Bassi","{""coordinates"": [4.895004, 52.367017], ""type"": ""Point""}","Amstel, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1017 AA, Paesi Bassi",highway,secondary
8,IJ,IJ,"['*...Il fiume Amstel termina nel centro cittadino e si collega a un gran numero di canali che sfociano nel lago IJ, precedentemente una baia....', ""...Muziekgebouw aan 't IJ e Bimhuis sono altre famose sale da concerto...."", ""*...Diverse linee di traghetti attraverso l'IJ, uno di essi opera 24 ore al giorno ed è gratuito per pedoni e biciclette;...""]","IJ-tunnel, Java-eiland, Vogelbuurt, Noord, Amsterdam, Noord-Holland, Paesi Bassi, 1021 HR, Paesi Bassi","{""coordinates"": [4.91107, 52.38002], ""type"": ""Point""}","IJ-tunnel, Java-eiland, Vogelbuurt, Noord, Amsterdam, Noord-Holland, Paesi Bassi, 1021 HR, Paesi Bassi",highway,trunk
11,Amsterdamse Bos,Amsterdamse Bos,"[""...A sud-ovest della capitale si estende l'Amsterdamse Bos, uno dei parchi cittadini, insieme ai più centrali Vondelpark e Artis....""]","Amsterdamse Bos, Amsterdamseweg, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1081 JP, Paesi Bassi","{""coordinates"": [4.857364, 52.327009], ""type"": ""Point""}","Amsterdamse Bos, Amsterdamseweg, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1081 JP, Paesi Bassi",highway,platform
12,Vondelpark,Vondelpark,"[""*...A sud-ovest della capitale si estende l'Amsterdamse Bos, uno dei parchi cittadini, insieme ai più centrali Vondelpark e Artis...."", '...Il Vondelpark invece è un Parco all\'inglese, di circa 48 ettari, che si trova nel centro di Amsterdam, in quella che viene chiamata come la ""zona dei musei""....']","Vondelpark, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1071 AB, Paesi Bassi","{""coordinates"": [4.881683, 52.361699], ""type"": ""Point""}","Vondelpark, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1071 AB, Paesi Bassi",highway,pedestrian
13,Artis,Artis,"[""*...A sud-ovest della capitale si estende l'Amsterdamse Bos, uno dei parchi cittadini, insieme ai più centrali Vondelpark e Artis...."", '*...Lo zoo di Amsterdam, chiamato Artis, dal motto latino Natura Artis Magistra, ossia ""Natura maestra d\'arte"", che è il più antico complesso zoologico dei Paesi Bassi....']","Artis, Plantage Middenlaan, Plantage, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1018 DB, Paesi Bassi","{""coordinates"": [4.910955, 52.366719], ""type"": ""Point""}","Artis, Plantage Middenlaan, Plantage, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1018 DB, Paesi Bassi",railway,tram_stop
14,Nord,Nord,"['...Ed è collegata al Mare del Nord attraverso il lungo Canale del Mare del Nord....', '*...Ha un clima oceanico (nella classificazione dei climi di Köppen), fortemente influenzato dalla vicinanza al mare del Nord a ovest, con prevalenza di venti occidentali che soffiano sulla capitale olandese....', ""...Le navi olandesi salpavano per il nord America, l'Indonesia, il Brasile e l'Africa, creando un impero coloniale...."", '...Tra le due guerre gli olandesi costruirono delle dighe che separarono lo Zuiderzee dal Mare del Nord, creando il cosiddetto IJsselmeer (lago IJssel)....', '...Una nuova linea di metropolitana orientata da nord a sud è in via di realizzazione....', '...Grazie a questi Amsterdam si è guadagnata l\'appellativo di ""Venezia del nord""....', ""...Amsterdam Noord è separata dal resto della città dalla via d'acqua, il Canale del Mare del Nord....""]","Vent du Nord, 105-H, Utrechtsestraat, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1017 VK, Paesi Bassi","{""coordinates"": [4.898917, 52.362565], ""type"": ""Point""}","Vent du Nord, 105-H, Utrechtsestraat, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Paesi Bassi, 1017 VK, Paesi Bassi",shop,clothes
16,Africa,Africa,"[""*...Le navi olandesi salpavano per il nord America, l'Indonesia, il Brasile e l'Africa, creando un impero coloniale....""]","Ontwakend Africa, Emmaplein, Willemsparkbuurt, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1075 AT, Paesi Bassi","{""coordinates"": [4.862822, 52.354403], ""type"": ""Point""}","Ontwakend Africa, Emmaplein, Willemsparkbuurt, Zuid, Amsterdam, Noord-Holland, Paesi Bassi, 1075 AT, Paesi Bassi",tourism,artwork
19,Zuiderzee,Zuiderzee,"['*...Questi cingono il vecchio porto, che un tempo era affacciato sullo Zuiderzee, oggi un lago separato dal resto del mare e noto con il nome di IJsselmeer....', '...Tra le due guerre gli olandesi costruirono delle dighe che separarono lo Zuiderzee dal Mare del Nord, creando il cosiddetto IJsselmeer (lago IJssel)....']","Zuiderzeeweg, Noord, Amsterdam, Noord-Holland, Paesi Bassi, 1023 NA, Paesi Bassi","{""coordinates"": [4.954472, 52.386882], ""type"": ""Point""}","Zuiderzeeweg, Noord, Amsterdam, Noord-Holland, Paesi Bassi, 1023 NA, Paesi Bassi",highway,tertiary
