,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Europa,Europa,"[""*...Forte del turismo, del porto e della vicinanza alla Francia (160\xa0km da Le Perthus), la città è il secondo maggior centro industriale e finanziario della Spagna dopo Madrid, nonché il maggior porto commerciale e turistico e uno dei maggiori d'Europa...."", ""...L'estate del 2003, similmente a tutta l'Europa Occidentale, lasciò il mese con la temperatura media più alta da quando si hanno registrazioni (27,8\xa0°C di media ad agosto), mentre il febbraio del 1956 vide la temperatura media mensile più bassa del secolo XX:..."", ""*...La regione di maggior provenienza degli stranieri è l'Europa, con le comunità più importanti provenienti da Italia (26.676 nel 2016 e 36.276 nel 2019) e Francia (13.506 nel 2016 e 16.940 nel 2019)...."", '*...La Catedral de la Santa Creu i Santa Eulàlia, la Basilica di Santa Maria del Mar, caratterizzata dalla sua austerità e armonia nelle dimensioni che la rendono una delle opere più rilevanti del gotico catalano, o anche il Drassanes uno dei pochi esempi di cantiere navale gotico ancora esistente in Europa....', ""*...Negli ultimi anni Barcellona si è trasformata in uno dei centri più importanti d'Europa per la musica, grazie alla qualità e quantità della sua proposta...."", ""*...Questa linea è costruita per permettere un uso misto, sia per treni passeggeri sia per treni merci, permettendo così una connessione ferroviaria rapida ai passeggeri e un traffico mercantile con il resto d'Europa delle merci giunte nel porto...."", ""*...Alcune di queste sono tra le più importanti in Spagna e in Europa, con più di 3,5 milioni di visitatori annuali, che generano un grande giro d'affari per il settore alberghiero e ristoratore...."", ""*...Nella struttura operano le principali compagnie aeree del mondo, con voli diretti a tutte le maggiori città d'Europa e a molte degli altri continenti...."", ""*...L'attuale rete spagnola ha i binari a scartamento largo, incompatibili con lo scartamento ferroviario standard utilizzato in Europa, per questo motivo la nuova rete ferroviaria ad alta velocità utilizzerà lo standard europeo...."", ""*...Una volta uniti i due rami, comuni a entrambe le linee, la linea 9 sarà la linea automatica più lunga d'Europa e attraverserà il territorio di cinque comuni:..."", ""...Il pluri-titolato Futbol Club Barcelona, che gioca nello stadio Camp Nou, situato nel nord-ovest della città, l'Espanyol, il cui stadio è il Cornellà-El Prat (fino al luglio 2009 giocava le partite interne allo Stadio Olimpico Lluís Companys), e le meno note CE Europa e Unió Esportiva Sant Andreu, che gioca al Narcís Sala....""]","Europa, Carrer dels Enamorats, el Camp de l'Arpa del Clot, Sant Martí, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.185135, 41.408553], ""type"": ""Point""}","Europa, Carrer dels Enamorats, el Camp de l'Arpa del Clot, Sant Martí, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",amenity,restaurant
6,Collserola,Collserola,"['*...I monti della Collserola, con il Tibidabo come maggiore cima () a dominare la città con il suo Parco dei divertimenti;...', '...La posizione di Barcellona tra la ""Serra di Collserola"" (la cui quota massima è di 516,2 metri) e il mar Mediterraneo favorisce scarse escursioni termiche giornaliere, in media di circa 7\xa0°C in tutte le stagioni, e un tasso di umidità particolarmente alto in estate e autunno....', ""...Questa stagione diede vita a opere come il Palau Sant Jordi di Arata Isozaki, la Torre de Collserola di Norman Foster, l'Auditori di Rafael Moneo, il Teatre Nacional de Catalunya di Ricardo Bofill e la torre delle comunicazioni di Santiago Calatrava...."", ""...Il Deputazione di Barcellona è il consiglio provinciale di Barcellona, un organismo con minore potere politico in quanto non eletto dai cittadini. Attualmente presiede il patronato che si occupa del mantenimento del Parco del monte di Collserola, e anche di altri parchi ed edifici pubblici in città e nel resto della Provincia di Barcellona. Gestisce anche alcuni musei e un'ampia rete di biblioteche pubbliche gestite assieme ai municipi....""]","Collserola, Carretera Antiga d'Horta a Cerdanyola, Torre Baró, Nou Barris, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.170911, 41.453355], ""type"": ""Point""}","Collserola, Carretera Antiga d'Horta a Cerdanyola, Torre Baró, Nou Barris, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",tourism,information
7,Tibidabo,Tibidabo,"['*...I monti della Collserola, con il Tibidabo come maggiore cima () a dominare la città con il suo Parco dei divertimenti;...', ""*...Un altro luogo dal quale si può godere di una bellissima vista su Barcellona è la montagna del Tibidabo, situata nell'entroterra nella parte più alta della città...."", ""*...Sul Tibidabo si trovano una Chiesa e un Parco divertimenti di antiche origini, e anche qui è presente, a breve distanza, un'antenna delle telecomunicazioni d'autore, disegnata da Norman Foster...."", '...A Barcellona era già attiva sin dal 1901 la piccola linea chiamata Tramvia Blau, che sale lungo la Avinguda Tibidabo....']","Tibidabo, Camí del Cel del Tibidabo, el Tibidabo, Vallvidrera, el Tibidabo i les Planes, Sarrià - Sant Gervasi, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.119344, 41.421563], ""type"": ""Point""}","Tibidabo, Camí del Cel del Tibidabo, el Tibidabo, Vallvidrera, el Tibidabo i les Planes, Sarrià - Sant Gervasi, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",tourism,information
10,Montjuïc,Montjuïc,"['...Altre vette minori emergono dalla piana litoranea, la più conosciuta delle quali è il Montjuïc (184,8\xa0m), collina nei pressi del porto dominata da una fortificazione....', ""*...A pochi passi dal MNAC, alle falde del Montjuïc, si trova il CaixaForum Barcelona, un grande centro culturale che trova sede nell'antica Fàbrica Casaramona...."", ""*...Per godere di un panorama su tutta la città si può salire a Montjuïc, il piccolo monte situato vicino al porto, sulla cima del quale si trova il Castell de Montjuïc, un'antica fortezza militare che serviva per vigilare l'entrata a Barcellona dal mare...."", ""...Oltre al già menzionato Museo nazionale d'arte della Catalogna (MNAC), il Montjuïc ospita anche lo stadio olimpico Lluís Companys, progettato dall'architetto italiano Vittorio Gregotti e sede fino al 2009 delle partite casalinghe della seconda squadra di calcio della città, l'Espanyol, il palazzo dello sport (Palau Sant Jordi, in onore del Santo patrono della Catalogna), disegnato da Arata Isozaki, e le piscine...."", ""*...Sempre al Montjuïc si trova inoltre il Giardino botanico, che dispone di una collezione unica di cactus, e il Teatre Grec costruito in occasione dell'Expo 1929...."", '...I più conosciuti sono il Parco Güell opera di Antoni Gaudí situato nel distretto di Gracia, il Parco di Montjuïc, situato sulla cima della montagna omonima, il Parque de la Ciudadela (Parco della Cittadella), situato nel centro della città e nel cui interno si trova il Parlamento della Catalogna e il Parco zoologico della città, famoso per aver ospitato il gorilla albino Fiocco di Neve....', '*...Molte delle installazioni sportive utilizzate si trovano sulla montagna di Montjuïc:...', '*...Lo Stadio Olimpico Lluís Companys, il Museo Olimpico, il Palacio Sant Jordi, le piscine Picornell e la Piscina municipale di Montjuïc....']","Piscina Municipal de Montjuïc, Avinguda de Miramar, el Poble-sec, Sants-Montjuïc, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.1652, 41.369416], ""type"": ""Point""}","Piscina Municipal de Montjuïc, Avinguda de Miramar, el Poble-sec, Sants-Montjuïc, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",leisure,pitch
14,Vallès,Vallès,"[""...Il comune è delimitato a nord dai comuni di Santa Coloma de Gramenet e Sant Adrià de Besòs, a ovest da Montcada i Reixac e da Sant Cugat del Vallès, a sud dalla zona franca con L'Hospitalet e Esplugues de Llobregat, mentre a est dal Mar Mediterraneo\n...."", ""*...Nella comarca del Vallès le ghiacciate superano i 30 giorni annui e i 25 giorni per le massime superiori ai 30\xa0°C d'estate....""]","Vallès, Carrer d'Aribau, l'Antiga Esquerra de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.162434, 41.386215], ""type"": ""Point""}","Vallès, Carrer d'Aribau, l'Antiga Esquerra de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",shop,copyshop
17,Generalitat de Catalunya,Generalitat de Catalunya,"[""...Successivamente i Romani riorganizzarono la città come un castrum (un campo militare), situato sul monte Tàber, una collina dove oggi sorgono da una parte il municipio e dall'altra la sede della Generalitat de Catalunya (Plaça de Sant Jaume)...."", '*...Questo luogo è noto ai catalani per via della fucilazione da parte della polizia franchista, nel 1940, di Lluís Companys i Jover, presidente della Generalitat de Catalunya, oggi considerato eroe nazionale catalano....', ""...I film d'autore ed europei si trovano soprattutto alla Filmoteca de la Generalitat de Catalunya e Cinema come il Verdi, nel distretto di Gracia...."", ""*...L'altra rete principale ferroviaria cittadina è fornita dalla Ferrocarrils de la Generalitat de Catalunya, un servizio di treni suburbani operato e costruito dal governo della Generalitat de Catalunya...."", ""...La Generalitat (governo Autonomo della Catalogna) e la sede dei suoi organi sono a Barcellona: il Parlamento della Catalogna è situato nel Parco della Cittadella e il Palazzo della Generalitat de Catalunya, sede della Presidenza e dal Governo della Generalitat, è situato nella Plaça de Sant Jaume. La Generalitat viene eletta a suffragio universale in elezioni che si svolgono ogni quattro anni in tutta la Catalogna, e ha grandi competenze sulla gestione della regione autonoma, dall'educazione ai problemi sociali, ai trasporti, alla politica economica, al commercio, ecc. È anche responsabile della costruzione di infrastrutture come ospedali, scuole, Università e residenze per la terza età....""]","Generalitat de Catalunya, 4, Plaça de Sant Jaume, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08002, Spagna","{""coordinates"": [2.176742, 41.38284], ""type"": ""Point""}","Generalitat de Catalunya, 4, Plaça de Sant Jaume, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08002, Spagna",office,government
18,Plaça de Sant Jaume,Plaça de Sant Jaume,"[""*...Successivamente i Romani riorganizzarono la città come un castrum (un campo militare), situato sul monte Tàber, una collina dove oggi sorgono da una parte il municipio e dall'altra la sede della Generalitat de Catalunya (Plaça de Sant Jaume)...."", ""*...La Generalitat (governo Autonomo della Catalogna) e la sede dei suoi organi sono a Barcellona: il Parlamento della Catalogna è situato nel Parco della Cittadella e il Palazzo della Generalitat de Catalunya, sede della Presidenza e dal Governo della Generalitat, è situato nella Plaça de Sant Jaume. La Generalitat viene eletta a suffragio universale in elezioni che si svolgono ogni quattro anni in tutta la Catalogna, e ha grandi competenze sulla gestione della regione autonoma, dall'educazione ai problemi sociali, ai trasporti, alla politica economica, al commercio, ecc. È anche responsabile della costruzione di infrastrutture come ospedali, scuole, Università e residenze per la terza età....""]","Plaça de Sant Jaume, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.176991, 41.38265], ""type"": ""Point""}","Plaça de Sant Jaume, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",highway,pedestrian
21,Rambla,Rambla,"[""...Un furgone guidato da un jihadista si lanciò contro i pedoni su La Rambla, uccidendo 14 persone sul momento e ferendone oltre 100, una dei quali morì in seguito portando così a 15 il totale delle vittime dell'attentato (oltre al terrorista);..."", '...Tra i luoghi di maggior attrazione si ricorda il viale La Rambla, situato tra Plaça de Catalunya, centro della città moderna, e il Porto Antico....', ""...Le vie Portaferrissa, Pelai, La Rambla, Portal de l'Àngel e Plaça de Catalunya, dove piccoli negozi convivono con i grandi magazzini e le grandi catene di distribuzione...."", '...Un poco più a nord di Plaça de Catalunya, lungo Passeig de Gràcia, Rambla de Catalunya e Avinguda Diagonal, si trovano i negozi dei grandi marchi internazionali di moda, di pelletteria e di gioielleria....']","La Rambla, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.173257, 41.381184], ""type"": ""Point""}","La Rambla, el Gòtic, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",highway,pedestrian
22,Quadrat d'Or,Quadrat d'Or,"[""*...Alcuni esempi del modernismo sono gli edifici del Quadrat d'Or nel quartiere dell'Eixample, le opere di Antoni Gaudí e il Palau de la Música Catalana di Lluís Domènech i Montaner, dichiarato nel 1997 patrimonio dell'umanità dall'UNESCO e situato nel quartiere di Sant Pere, accanto a Via Laietana....""]","El Quadrat D'Or, Carrer del Bruc, la Dreta de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna","{""coordinates"": [2.165532, 41.397526], ""type"": ""Point""}","El Quadrat D'Or, Carrer del Bruc, la Dreta de l'Eixample, Eixample, Barcellona, Barcelonès, Barcelona, Catalogna, 08001, Spagna",shop,hairdresser
23,Palau de la Música Catalana,Palau de la Música Catalana,"[""...Alcuni esempi del modernismo sono gli edifici del Quadrat d'Or nel quartiere dell'Eixample, le opere di Antoni Gaudí e il Palau de la Música Catalana di Lluís Domènech i Montaner, dichiarato nel 1997 patrimonio dell'umanità dall'UNESCO e situato nel quartiere di Sant Pere, accanto a Via Laietana...."", ""...Barcellona è conosciuta come capitale del modernismo, per la grande quantità e qualità delle opere architettoniche che conserva, gioielli come l'Hospital de la Santa Creu i Sant Pau o il Palau de la Música Catalana, di Lluís Domènech y Montaner, o il Palau Macaya e la Fàbrica Casaramona di Josep Puig i Cadafalch, ma senza dubbio l'architetto modernista più conosciuto è Antoni Gaudí, la cui opera più importante è la Sagrada Família, che Gaudí ha lasciato incompiuto e che ancora oggi è in fase di completamento grazie alle donazioni dei privati e dei visitatori...."", ""*...Gli spettacoli di musica sinfonica si tengono nel Palau de la Música Catalana, situato a lato della Vía Layetana, e anche nell'Auditorium, sede ufficiale dell'Orquesta Simfònica de Barcelona y Nacional de Catalunya (OBC)....""]","Palau de la Música Catalana, 4-6, Carrer del Palau de la Música, Sant Pere, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08003, Spagna","{""coordinates"": [2.175232, 41.387584], ""type"": ""Point""}","Palau de la Música Catalana, 4-6, Carrer del Palau de la Música, Sant Pere, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, Barcellona, Barcelonès, Barcelona, Catalogna, 08003, Spagna",tourism,attraction
