,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Land,Land,"[""...Città-land e sede del governo tedesco, è uno dei più importanti centri politici, culturali, scientifici, fieristici, economici, commerciali e mediatici del mondo, ed è anche il comune più popoloso dell'Unione europea, con 3\xa0721\xa0459 abitanti...."", ""...L'agglomerazione berlinese  comprendente Berlino e cinquanta comuni limitrofi nel land di Brandeburgo, ha una superficie complessiva di  e una popolazione di 4\xa0666\xa0175 abitanti, mentre la regione metropolitana Berlino/Brandeburgo ha una superficie di  e una popolazione di 6\xa0117\xa0535 abitanti...."", ""*...Berlino è situata nella parte orientale della Germania, a  dal confine polacco, nella regione geografica del Brandeburgo, ma non fa parte dell'omonimo Land, da cui è peraltro interamente circondata...."", '...Oberhavel: Hennigsdorf (città), Hohen Neuendorf (città), Glienicke/Nordbahn, Mühlenbecker Land....', '*...Berlino costituisce uno dei Land (stati federati) della Germania, ed è quindi una città-stato....', '*...Il sindaco della città (Regierender Bürgermeister, ""Sindaco reggente""), la giunta comunale (Senat) e il consiglio comunale (Abgeordnetenhaus, ""Camera dei deputati"") fungono, quindi, al contempo sia da organi della città che del Land....']","Löwenberger Straße, Rosenfelder Ring, Friedrichsfelde, Lichtenberg, Berlino, 10315, Germania","{""coordinates"": [13.507728, 52.510942], ""type"": ""Point""}","Löwenberger Straße, Rosenfelder Ring, Friedrichsfelde, Lichtenberg, Berlino, 10315, Germania",highway,residential
3,Müggelsee,Müggelsee,"['...Nel quartiere periferico di Treptow-Köpenick orientale si trova invece il Müggelsee....', '*...Con Köpenick entrarono nel nuovo territorio berlinese anche le ampie zone verde nel sud-est, il grande lago Müggelsee con le sue foreste e i parchi\xa0– più centrali – Treptower Park e Plänterwald....']","Seglergemeinschaft am Müggelsee, 70, Müggelschlößchenweg, Köpenick, Treptow-Köpenick, Berlino, 12559, Germania","{""coordinates"": [13.62363, 52.442859], ""type"": ""Point""}","Seglergemeinschaft am Müggelsee, 70, Müggelschlößchenweg, Köpenick, Treptow-Köpenick, Berlino, 12559, Germania",leisure,sports_centre
9,Mitte,Mitte,"[""*...La vecchia Berlino corrisponde alle parti centrali dell'odierno quartiere Mitte, con la centrale isola nel fiume Sprea e la corrispondente riva orientale...."", '*...Il Deutsches Theater, nel Mitte, risale al 1849–50....', ""*...Con i suoi 1\xa0895 posti a sedere e un palcoscenico di 2\xa0854 metri quadrati il Friedrichstadt-Palast, nel Mitte, è il più grande palazzo per spettacoli d'Europa...."", ""*...L'Admiralspalast, nel Mitte, ha un programma di varietà....""]","Mitte, Herrnhuter Weg, Böhmisches Dorf, Neukölln, Berlino, 12043, Germania","{""coordinates"": [13.440842, 52.475943], ""type"": ""Point""}","Mitte, Herrnhuter Weg, Böhmisches Dorf, Neukölln, Berlino, 12043, Germania",amenity,pub
13,Humboldt Forum,Humboldt Forum,"['*...Al suo posto è stato costruito a partire dal 2013 il cosiddetto Humboldt Forum, Il nuovo edificio presenta tre delle facciate storiche del Castello di Berlino ed è destinato ad accogliere il Museo Etnologico, il Museo di Arte Asiatica, la Biblioteca Centrale e Regionale di Berlino e la Humboldt Universität....']","Berliner Schloss, B 2;B 5, Friedrichswerder, Mitte, Berlino, 10178, Germania","{""coordinates"": [13.400735, 52.517215], ""type"": ""Point""}","Berliner Schloss, B 2;B 5, Friedrichswerder, Mitte, Berlino, 10178, Germania",tourism,attraction
17,Lustgarten,Lustgarten,['...A nord della piazza si trovano il Lustgarten:...'],"Granitschale im Lustgarten, Am Lustgarten, Friedrichswerder, Mitte, Berlino, 10178, Germania","{""coordinates"": [13.399149, 52.519098], ""type"": ""Point""}","Granitschale im Lustgarten, Am Lustgarten, Friedrichswerder, Mitte, Berlino, 10178, Germania",tourism,artwork
19,Duomo di Berlino,Duomo di Berlino,"[""...Una piazza verde pubblica, un tempo Giardino dello stesso castello e il Duomo di Berlino – presente fin dal 1536, anche se l'aspetto è prevalentemente quello del 1905....""]","Duomo di Berlino, Am Lustgarten, Friedrichswerder, Mitte, Berlino, 10178, Germania","{""coordinates"": [13.401094, 52.519082], ""type"": ""Point""}","Duomo di Berlino, Am Lustgarten, Friedrichswerder, Mitte, Berlino, 10178, Germania",amenity,place_of_worship
20,Fischerinsel,Fischerinsel,"[""*...L'antica e caratteristica architettura della parte meridionale dell'isola, la cosiddetta Fischerinsel (it....""]","Fischerinsel, Gertraudenstraße, Friedrichswerder, Mitte, Berlino, 10178, Germania","{""coordinates"": [13.405061, 52.513773], ""type"": ""Point""}","Fischerinsel, Gertraudenstraße, Friedrichswerder, Mitte, Berlino, 10178, Germania",highway,bus_stop
21,Jungfernbrücke,Jungfernbrücke,"[""*...L'unico elemento antico è il piccolo ponte Jungfernbrücke, collegamento con la terraferma a ovest dell'isola....""]","Jungfernbrücke, Friedrichswerder, Mitte, Berlino, 10178, Germania","{""coordinates"": [13.401265, 52.513718], ""type"": ""Point""}","Jungfernbrücke, Friedrichswerder, Mitte, Berlino, 10178, Germania",highway,footway
22,Nikolaiviertel,Nikolaiviertel,"[""*...Immediatamente a est dell'isola si trova il quartiere ricostruito Nikolaiviertel, con la Nikolaikirche (Chiesa di San Nicola), la più antica Chiesa di Berlino....""]","Nikolaiviertel, Grunerstraße, Mitte, Berlino, 10178, Germania","{""coordinates"": [13.406653, 52.516875], ""type"": ""Point""}","Nikolaiviertel, Grunerstraße, Mitte, Berlino, 10178, Germania",tourism,attraction
23,Chiesa di San Nicola,Chiesa di San Nicola,"[""*...Immediatamente a est dell'isola si trova il quartiere ricostruito Nikolaiviertel, con la Nikolaikirche (Chiesa di San Nicola), la più antica Chiesa di Berlino....""]","Chiesa di San Nicola, Nikolaikirchplatz, Friedrichswerder, Mitte, Berlino, 10178, Germania","{""coordinates"": [13.407512, 52.516827], ""type"": ""Point""}","Chiesa di San Nicola, Nikolaikirchplatz, Friedrichswerder, Mitte, Berlino, 10178, Germania",amenity,place_of_worship
