,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Europa,Europa,"[""*...Nel 1477, quando divenne capitale dei Paesi Bassi austriaci, era ritenuta una delle città più attraenti e ricche d'Europa, grazie soprattutto alle sue attività commerciali, concentrate sul traffico di tessuti...."", '*...Il Municipio di Bruxelles è uno dei più begli esempi di Palazzi pubblici in Europa, e uno dei più alti capolavori dello stile Gotico brabantino, eretto fra il 1402 e il 1455....', ""...Statua dell'Europa ;...""]","Palazzo Europa, 155, Rue de la Loi - Wetstraat, Quartier européen - Europese Wijk, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.380655, 50.842539], ""type"": ""Point""}","Palazzo Europa, 155, Rue de la Loi - Wetstraat, Quartier européen - Europese Wijk, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",office,government
2,Grand Place,Grand Place,"[""*...Questi ultimi si impadronirono infine della città con il trattato di Aquisgrana (1748), e governarono in modo avveduto, promuovendo tra l'altro un programma di rinnovamento urbanistico (che previde la realizzazione della magnifica Grand Place, per opera dell'architetto Guimerd)...."", ""...La Grand Place è la piazza centrale e storica della città. Circondata dai maggiori monumenti cittadini e dalle belle case delle corporazioni, è ritenuta una delle più belle piazze del mondo. La Grand Place di Bruxelles è stata iscritta nel 1998 nella lista del patrimonio dell'umanità dell'UNESCO....""]","Grand-Place - Grote Markt, Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.352418, 50.846811], ""type"": ""Point""}","Grand-Place - Grote Markt, Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",amenity,marketplace
6,Maison du Roi,Maison du Roi,"[""...La Maison du Roi, era l'antico Mercato coperto del pane, costruito nel XVI secolo in stile gotico brabantino e restaurato nel XIX secolo....""]","Maison du Roi - Broodhuis, Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1212, Belgio","{""coordinates"": [4.352826, 50.847005], ""type"": ""Point""}","Maison du Roi - Broodhuis, Grand Place, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1212, Belgio",historic,building
19,Basilica del Sacro Cuore,Basilica del Sacro Cuore,['*...Basilica del Sacro Cuore a Koekelberg ....'],"Basilica del Sacro Cuore, 1, Parvis de la Basilique - Basiliekvoorplein, Ganshoren, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1083, Belgio","{""coordinates"": [4.316944, 50.867078], ""type"": ""Point""}","Basilica del Sacro Cuore, 1, Parvis de la Basilique - Basiliekvoorplein, Ganshoren, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1083, Belgio",amenity,place_of_worship
21,Porta di Halle,Porta di Halle,['*...Porta di Halle ;...'],"Porta di Halle, 150, Boulevard du Midi - Zuidlaan, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.344899, 50.833025], ""type"": ""Point""}","Porta di Halle, 150, Boulevard du Midi - Zuidlaan, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",historic,city_gate
23,Manneken Pis,Manneken Pis,['*...Manneken Pis ;...'],"Manneken-Pis, Rue du Midi - Zuidstraat, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1212, Belgio","{""coordinates"": [4.349329, 50.845812], ""type"": ""Point""}","Manneken-Pis, Rue du Midi - Zuidstraat, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1212, Belgio",highway,bus_stop
24,Atomium,Atomium,"['*...Atomium ;...', ""...L'Atomium, una rappresentazione alta 103 metri di un cristallo di ferro, venne costruita per l'Expo '58, ed è stata mantenuta, diventando una specie di equivalente belga della Torre Eiffel....""]","Atomium, 16, Rue Reper-Vreven - Reper-Vrevenstraat, Heysel - Heizel, Laeken - Laken, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1020, Belgio","{""coordinates"": [4.34238, 50.890472], ""type"": ""Point""}","Atomium, 16, Rue Reper-Vreven - Reper-Vrevenstraat, Heysel - Heizel, Laeken - Laken, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1020, Belgio",amenity,pharmacy
26,Heysel,Heysel,"[""*...Per quanto riguarda la storia contemporanea, Bruxelles è stata tristemente al centro delle cronache per la strage dell'Heysel, avvenuta il 29 maggio 1985...."", '*...Heysel ;...', '...Lo stadio principale, dove si giocano anche le partite della nazionale e gli incontri più importanti a livello internazionale, è lo Stadio Re Baldovino (ex stadio Heysel), capace di ospitare 60.000 spettatori....']","Heysel - Heizel, Avenue Impératrice Charlotte - Keizerin Charlottelaan, Verregat, Laeken - Laken, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1020, Belgio","{""coordinates"": [4.33813, 50.896432], ""type"": ""Point""}","Heysel - Heizel, Avenue Impératrice Charlotte - Keizerin Charlottelaan, Verregat, Laeken - Laken, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1020, Belgio",railway,tram_stop
30,Alma,Alma,"['*...Bruxelles ha diverse Università, quattro di queste sono l\'Université Libre de Bruxelles (ULB), la Vrije Universiteit Brussel (VUB), le Facultés universitaires Saint-Louis (FUSL) e la Katholieke Universiteit Brussel (KUB) nonché le facoltà di medicina dell\'Université catholique de Louvain (UCL), situata nel quartiere Alma presso il grande Ospedale ""Saint Luc""....']","Alma, Rue des Éperonniers - Spoormakersstraat, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.353424, 50.845246], ""type"": ""Point""}","Alma, Rue des Éperonniers - Spoormakersstraat, Quartier Saint-Jacques - Sint-Jacobswijk, Quartier du Centre - Centrumwijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",tourism,hotel
33,Archives générales du Royaume,Archives générales du Royaume,"['...Bibliothèque des Archives générales du Royaume ;...', '...Hanno sede anche gli Archives générales du Royaume (archivio centrale dello stato), la Cinémathèque Royale e la Médiathèque....']","Archives générales du Royaume - Algemeen Rijksarchief, 2, Rue de Ruysbroeck - Ruisbroekstraat, Sablon - Zavel, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.356427, 50.842385], ""type"": ""Point""}","Archives générales du Royaume - Algemeen Rijksarchief, 2, Rue de Ruysbroeck - Ruisbroekstraat, Sablon - Zavel, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",office,government
