,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Danubio,Danubio,"[""*...Budapest nacque ufficialmente nel 1873 dall'unione delle città storiche di Buda e Óbuda, ubicate a ovest del Danubio, con l'abitato di Pest, situato sulla riva opposta del fiume e anch'esso di antiche origini;..."", '*...Sulla riva opposta del Danubio fu fondata Pest....', ""*...I due più bei edifici di architettura romantica di Budapest sono la Grande Sinagoga e la sala concerti Vigadó sulla passeggiata sul Danubio, entrambi progettati dall'architetto Frigyes Feszl (1821-1884)...."", '*...Tabán, Vár (Castello) - I Circoscrizione\nSi trova sulla riva destra del Danubio e conta più di 30\xa0000 abitanti....', '*...Essa è situata sulla riva sinistra del Danubio e, secondo i dati del censimento del 1990, conta 115\xa0000 abitanti....', ""*...Nella circoscrizione si trova l'imbocco in sponda sinistra del ponte Megyeri, inaugurato nel 2008, che collega Újpest con la sponda destra del Danubio...."", ""*...L'area che abbraccia è quella compresa tra il Kiskörút (Piccolo Corso) e il Danubio, vi si trova anche il Mercato coperto di Vásárcsarnok che può considerarsi uno dei più grandi d'Europa...."", '*...Si trova a ovest del Danubio e fa quindi parte di Buda....', '*...I ponti ""Szabadsag"" e ""Lagymanyosi"" collegano il quartiere con la parte al di là del Danubio....', ""*...Il quartiere prende il nome dall'isola Csepel e si trova nel mezzo del Danubio, tra Buda e Pest...."", '...Scarpe sulla sponda del Danubio (Cipők a Duna-parton) ;...', ""*...È un'isola lunga 2\xa0500 metri e larga fino a 500 metri posta in mezzo al Danubio, composta in gran parte da un Parco...."", '*...Possiamo contare sette isole sul Danubio:...', '*...Isola Csepel è la più grande isola del Danubio in Ungheria. E lunga  e larga 6- e la sua area comprende , mentre solo la punta settentrionale è dentro i limiti della città....', '*...Uno dei motivi per cui i Romani colonizzarono la zona a ovest del Danubio e stabilirono qui la loro capitale regionale a Aquincum (ora parte di Óbuda, nel nord di Budapest) è stato per la possibilità di utilizzare e godere delle sorgenti termali....', '*...I bagni Rudas non solo si trovano in una superba posizione centrale, in una stretta striscia di terra compresa tra la collina Gellért e il Danubio, ma sono anche uno straordinario esempio di architettura risalente al periodo turco....', '*...La città è dotata di una rete ferroviaria metropolitana, di un servizio ferroviario suburbano (BHÉV), di una rete tranviaria, oltre che di una rete di autobus, filobus e navette fluviali sul Danubio....', ""*...) corre di direzione est-ovest ed è l'unica linea che si estende nella parte occidentale della città (Buda), attraversando il Danubio...."", ""*...È in fase di progettazione la linea  tra i capolinea di Varga Jenő tér e Pomázi út, con doppio attraversamento del Danubio e dell'isola Margherita....""]","Danubio, 4, Hajóépítő sétány, Marina part, Vizafogó, XIII. kerület, Budapest, Ungheria Centrale, 1138, Ungheria","{""coordinates"": [19.064653, 47.543047], ""type"": ""Point""}","Danubio, 4, Hajóépítő sétány, Marina part, Vizafogó, XIII. kerület, Budapest, Ungheria Centrale, 1138, Ungheria",building,apartments
3,Palazzo Reale,Palazzo Reale,"[""*...Già luogo di una certa importanza, venne ricostruita velocemente dopo la distruzione a opera degli invasori Mongoli nel 1241, ma fu Buda, sede del Palazzo Reale sin dal 1247, a diventare la capitale dell'Ungheria...."", '...Il quartiere del castello è un altro luogo da visitare dove sono stati costruiti il più famoso palazzo reale di Buda e molti altri edifici in stile barocco....', '...Palazzo Reale di Buda detto anche Castello di Buda (Királyi Palota) (Budai vár) ;...']","palazzo reale Duna Palota, 5, Zrínyi utca, Lipótváros, V. kerület, Budapest, Ungheria Centrale, 1051, Ungheria","{""coordinates"": [19.049127, 47.500073], ""type"": ""Point""}","palazzo reale Duna Palota, 5, Zrínyi utca, Lipótváros, V. kerület, Budapest, Ungheria Centrale, 1051, Ungheria",amenity,community_centre
6,Palazzo delle Arti,Palazzo delle Arti,"[""*...Budapest ha edifici architettonicamente degni di nota in un'ampia gamma di stili e di periodi di tempo distinti, dall'antichità come la città romana di Aquincum a Óbuda (Distretto III), che risale intorno all'89 d.C., al più moderno Palazzo delle Arti, il contemporaneo Museo d'arte e sala da concerto...."", ""...Numerosi punti di riferimento sono stati creati nell'ultimo decennio a Budapest, come il Teatro Nazionale, il Palazzo delle Arti, il ponte Rákóczi, il ponte Megyeri, lo Sky Court dell'Aeroporto di Budapest, tra gli altri, e milioni di metri quadrati di nuovi edifici per uffici e appartamenti....""]","palazzo delle arti, 37, Dózsa György út, Városliget, Budapest, XIV. kerület, Ungheria Centrale, 1146, Ungheria","{""coordinates"": [19.078903, 47.513914], ""type"": ""Point""}","palazzo delle arti, 37, Dózsa György út, Városliget, Budapest, XIV. kerület, Ungheria Centrale, 1146, Ungheria",tourism,museum
8,Castello,Castello,"['*...I pochi edifici in questo stile rimasti si trovano nel quartiere del Castello....', '...Il quartiere del castello è un altro luogo da visitare dove sono stati costruiti il più famoso palazzo reale di Buda e molti altri edifici in stile barocco....', '...Tabán, Vár (Castello) - I Circoscrizione\nSi trova sulla riva destra del Danubio e conta più di 30\xa0000 abitanti....', '*...Essa è meglio conosciuta con il nome di ""Castello"" ed è la più visitata dai turisti....', '*...Nella circoscrizione del Castello c\'è anche la cosiddetta ""Cittadella"", un forte arroccato su una collina sovrastante la città....', '...Rózsadomb, Pasarét - II Circoscrizione\nSituato a nord del ""Castello"" in un elegante quartiere tranquillo, è conosciuto come Rózsadomb, cioè ""collina delle rose"", nome derivato dalla presenza del derviscio turco Gül Baba che riempì gli spazi verdi di roseti....', '...Belváros, Lipótváros - V Circoscrizione\nBelváros è il vero e proprio centro di Pest, dallo stile barocco che si estende lungo il fiume davanti alla collina del castello....', '...Il quartiere si trova dietro la collina del castello;...', '...Al di sotto del castello di Buda è presente il Museo Ospedale nella Roccia e Bunker Antiatomico....', '...Palazzo Reale di Buda detto anche Castello di Buda (Királyi Palota) (Budai vár) ;...', '...Castello Vajdahunyad (Vajdahunyad vára) ;...']","Pizza Castello, 3, Darnó utca, Rákospalota, XV. kerület, Budapest, Ungheria Centrale, 1155, Ungheria","{""coordinates"": [19.115096, 47.536154], ""type"": ""Point""}","Pizza Castello, 3, Darnó utca, Rákospalota, XV. kerület, Budapest, Ungheria Centrale, 1155, Ungheria",place,house
15,Rudas,Rudas,"['*...Budapest è infatti uno dei pochi posti al mondo con originali bagni turchi funzionanti risalenti al XVI secolo, come le terme Rudas o le terme Király....', '...Bagni Rudas (Rudas Gyógyfürdő) ;...', '*...I bagni Rudas non solo si trovano in una superba posizione centrale, in una stretta striscia di terra compresa tra la collina Gellért e il Danubio, ma sono anche uno straordinario esempio di architettura risalente al periodo turco....']","Rudas gyógyfürdő és uszoda, 9, Döbrentei tér, Tabán, I. kerület, Budapest, Ungheria Centrale, 1013, Ungheria","{""coordinates"": [19.0478, 47.489066], ""type"": ""Point""}","Rudas gyógyfürdő és uszoda, 9, Döbrentei tér, Tabán, I. kerület, Budapest, Ungheria Centrale, 1013, Ungheria",tourism,attraction
16,Király,Király,"['*...Budapest è infatti uno dei pochi posti al mondo con originali bagni turchi funzionanti risalenti al XVI secolo, come le terme Rudas o le terme Király....', '...Bagni Király (Király Gyógyfürdő) ;...', '*...La costruzione dei bagni Király è iniziata nel 1565 e la maggior parte della struttura attuale appartiene al periodo turco, in particolare la piscina e la cupola che la ricopre....']","Király utca, Terézváros, VI. kerület, Budapest, Ungheria Centrale, 1077, Ungheria","{""coordinates"": [19.068673, 47.505153], ""type"": ""Point""}","Király utca, Terézváros, VI. kerület, Budapest, Ungheria Centrale, 1077, Ungheria",highway,tertiary
23,Chiesa luterana di Buda,Chiesa luterana di Buda,"['...Alcuni dei migliori esempi sono il Museo nazionale ungherese, la Chiesa luterana di Buda (entrambi progettati da Pollack) e la sede del presidente ungherese, il Palazzo Sándor....', '*...Chiesa luterana di Buda ;...']","Chiesa luterana di Buda, 28, Táncsics Mihály utca, Vár, I. kerület, Budapest, Ungheria Centrale, 1014, Ungheria","{""coordinates"": [19.030932, 47.504529], ""type"": ""Point""}","Chiesa luterana di Buda, 28, Táncsics Mihály utca, Vár, I. kerület, Budapest, Ungheria Centrale, 1014, Ungheria",amenity,place_of_worship
25,Grande Sinagoga,Grande Sinagoga,"[""...I due più bei edifici di architettura romantica di Budapest sono la Grande Sinagoga e la sala concerti Vigadó sulla passeggiata sul Danubio, entrambi progettati dall'architetto Frigyes Feszl (1821-1884)...."", '*...Il Museo, che ha sede nella Grande Sinagoga, vuole ricordare la vita quotidiana degli ebrei ungheresi e le persecuzioni durante la seconda guerra mondiale....']","Sinagoga Grande, 2, Dohány utca, Erzsébetváros, VII. kerület, Budapest, Ungheria Centrale, 1074, Ungheria","{""coordinates"": [19.060868, 47.496102], ""type"": ""Point""}","Sinagoga Grande, 2, Dohány utca, Erzsébetváros, VII. kerület, Budapest, Ungheria Centrale, 1074, Ungheria",amenity,place_of_worship
26,Vigadó,Vigadó,"[""*...I due più bei edifici di architettura romantica di Budapest sono la Grande Sinagoga e la sala concerti Vigadó sulla passeggiata sul Danubio, entrambi progettati dall'architetto Frigyes Feszl (1821-1884)...."", '...Vigadó tér ;...']","Pesti Vigadó, 2, Vigadó tér, Lipótváros, V. kerület, Budapest, Ungheria Centrale, 1051, Ungheria","{""coordinates"": [19.049569, 47.49597], ""type"": ""Point""}","Pesti Vigadó, 2, Vigadó tér, Lipótváros, V. kerület, Budapest, Ungheria Centrale, 1051, Ungheria",amenity,arts_centre
29,Ponte delle Catene,Ponte delle Catene,"[""...L'attrazione in stile classicista più iconica e ampiamente conosciuta a Budapest è il Ponte delle catene...."", ""*...Un altro esempio di Art Nouveau a Budapest è il Palazzo Gresham davanti al Ponte delle Catene, l'Hotel Gellért, l'Accademia Musicale Franz Liszt o lo Zoo e Giardino botanico di Budapest...."", '*...Ponte delle Catene (Széchenyi lánchíd) ;...']","Ponte delle Catene, 24498, 14397, 14398, 14400, Clark Ádám tér, Buda, Víziváros, I. kerület, Budapest, Ungheria Centrale, 1013, Ungheria","{""coordinates"": [19.043649, 47.498979], ""type"": ""Point""}","Ponte delle Catene, 24498, 14397, 14398, 14400, Clark Ádám tér, Buda, Víziváros, I. kerület, Budapest, Ungheria Centrale, 1013, Ungheria",tourism,attraction
