,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Castello di Rosenborg,Castello di Rosenborg,"['...I monumenti cittadini come i Giardini di Tivoli, la statua della Sirenetta, i palazzi di Amalienborg e di Christiansborg, il Castello di Rosenborg, la Marmorkirken, Børsen e molti musei, ristoranti e locali notturni sono importanti attrazioni turistiche....', '...Cristiano IV promosse anche una serie di ambiziosi progetti di costruzione tra cui il Castello di Rosenborg e il Rundetårn....', '...Non così alte sono le guglie rinascimentali del castello di Rosenborg e la ""guglia del drago"" dell\'ex borsa valori di Cristiano IV, così chiamato perché ricorda le code intrecciate di quattro draghi....']","Castello di Rosenborg, Husalléen, Nyboder, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1307, Danimarca","{""coordinates"": [12.57742, 55.685693], ""type"": ""Point""}","Castello di Rosenborg, Husalléen, Nyboder, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1307, Danimarca",tourism,attraction
3,Marmorkirken,Marmorkirken,"['...I monumenti cittadini come i Giardini di Tivoli, la statua della Sirenetta, i palazzi di Amalienborg e di Christiansborg, il Castello di Rosenborg, la Marmorkirken, Børsen e molti musei, ristoranti e locali notturni sono importanti attrazioni turistiche....', '*...La parte più antica del centro di Copenaghen viene spesso chiamata Middelalderbyen ossia ""la città medievale"", tuttavia il quartiere più caratteristico della città è Frederiksstaden, sviluppatosi durante il regno di Federico V. Al centro di esso si trova il Palazzo di Amalienborg ed è dominato dalla cupola della Marmorkirken e da diversi eleganti palazzi rococò del XVIII secolo....']","Marmorkirken, Frederiksgade, Nyboder, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1264, Danimarca","{""coordinates"": [12.589031, 55.685126], ""type"": ""Point""}","Marmorkirken, Frederiksgade, Nyboder, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1264, Danimarca",railway,station
5,Atlantico,Atlantico,"[""*...Durante tutto l'anno il meteo è influenzato dalla presenza di sistemi di bassa pressione provenienti dall'Atlantico, che portano a condizioni meteo sempre instabili....""]","Nordatlantens Brygge, Strandgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1428, Danimarca","{""coordinates"": [12.596634, 55.677674], ""type"": ""Point""}","Nordatlantens Brygge, Strandgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1428, Danimarca",tourism,attraction
8,Palazzo di Christiansborg,Palazzo di Christiansborg,"[""...Tradizionalmente, la fondazione di Copenaghen è stata fatta coincidere con l'edificazione da parte del vescovo Absalon di una modesta fortezza sulla piccola isola di Slotsholmen nel 1167 dove oggi si trova il Palazzo di Christiansborg...."", '*...Nel 1733 iniziarono i lavori per la realizzazione della residenza reale del Palazzo di Christiansborg, completato nel 1745, mentre nel 1749 fu avviato lo sviluppo del prestigioso quartiere di Frederiksstaden....', '...Il centro della città comprende anche Slotsholmen, una piccola isola su cui sorge il palazzo di Christiansborg e Christianshavn con i suoi canali....', ""...Altre guglie importanti sono quelle del palazzo di Christiansborg, del municipio e dell'ex Chiesa di San Nicola che oggi ospita un'esposizione di arte moderna....""]","Palazzo di Christiansborg, Børsgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1061, Danimarca","{""coordinates"": [12.580041, 55.675651], ""type"": ""Point""}","Palazzo di Christiansborg, Børsgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1061, Danimarca",tourism,attraction
12,Rundetårn,Rundetårn,['...Cristiano IV promosse anche una serie di ambiziosi progetti di costruzione tra cui il Castello di Rosenborg e il Rundetårn....'],"Rundetårn, Landemærket, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1125, Danimarca","{""coordinates"": [12.575862, 55.681733], ""type"": ""Point""}","Rundetårn, Landemærket, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1125, Danimarca",highway,bus_stop
13,Kastellet,Kastellet,"[""*...Le difese furono ulteriormente potenziate con il completamento della Kastellet nel 1664 e l'ampliamento di Christianshavns Vold con i suoi bastioni nel 1692, portando così alla creazione di una nuova base per la flotta a Nyholm....""]","Kastellet, Ved Kongeporten, Nyboder, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1263, Danimarca","{""coordinates"": [12.593745, 55.691383], ""type"": ""Point""}","Kastellet, Ved Kongeporten, Nyboder, Frederiksstaden, Copenaghen, Københavns Kommune, Region Hovedstaden, 1263, Danimarca",tourism,attraction
18,cattedrale di Nostra Signora,cattedrale di Nostra Signora,"[""...Intorno al 1200, la Cattedrale di Nostra Signora fu costruita su un'altura a nord-est del e un insediamento urbano iniziò a svilupparsi attorno ad essa...."", ""*...La Chiesa più grande, cattedrale di Nostra Signora, fu distrutta dall'artiglieria marina....""]","Cattedrale di Nostra Signora, Dyrkøb, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1166, Danimarca","{""coordinates"": [12.572727, 55.679377], ""type"": ""Point""}","Cattedrale di Nostra Signora, Dyrkøb, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1166, Danimarca",amenity,place_of_worship
20,Strada,Strada,"[""*...Il Ponte sull'Öresund, che permette ai passeggeri su Strada o ferrovia di attraversare lo stretto...."", '*...Per il tempo libero si può passeggiare per Strøget, via pedonale nel centro di Copenaghen, è la più lunga del suo tipo in tutto il mondo, in particolare tra Nytorv e Højbro Plads la sera è possibile assistere alle performance di musicisti, maghi, giocolieri e altri artisti di Strada....', '*...Dal 19 al 25 settembre 2011 ha ospitato i mondiali di ciclismo su Strada....']","Strada Britannico, Holmbladsgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1440, Danimarca","{""coordinates"": [12.605993, 55.665116], ""type"": ""Point""}","Strada Britannico, Holmbladsgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1440, Danimarca",amenity,fast_food
22,Chiesa del Nostro Redentore,Chiesa del Nostro Redentore,"['*...La più caratteristica di tutte è quella barocca della Chiesa del Nostro Redentore con la sua stretta scala a chiocciola esterna che i visitatori possono salire fino in cima....', ""*...I resti di un'antica Chiesa, con tombe risalenti all'XI secolo, sono invece rivenuti vicino al punto in cui Strøget incontra Rådhuspladsen...."", '...In breve tempo furono completati i bastioni difensivi e i fossati mentre nel 1177 fu costruita la Chiesa di San Clemente;...', ""...La Chiesa più grande, cattedrale di Nostra Signora, fu distrutta dall'artiglieria marina...."", ""...Altre guglie importanti sono quelle del palazzo di Christiansborg, del municipio e dell'ex Chiesa di San Nicola che oggi ospita un'esposizione di arte moderna...."", '...La maggioranza degli abitanti di Copenaghen fa parte della Chiesa di Danimarca (cristiana luterana)....']","Chiesa del Nostro Redentore, Dronningensgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1416, Danimarca","{""coordinates"": [12.594252, 55.672908], ""type"": ""Point""}","Chiesa del Nostro Redentore, Dronningensgade, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1416, Danimarca",amenity,place_of_worship
24,Amager Strand,Amager Strand,"['*...La principale di queste è Amager Strand, aperta nel 2005: situata a  dal centro di Copenaghen, ha un totale di  di spiaggia;...', '*...È situata sulle isole Selandia e Amager, ed è separata dalla città svedese di Malmö dall’Øresund....', '*...Tra il 1901 e il 1902, le zone settentrionali di Amager e Valby vennero incorporate nella città....', ""*...La costruzione del ponte ha portato un grande numero di cambiamenti nel sistema del trasporto pubblico e un'estensiva ripianificazione dell'isola di Amager, a sud della città...."", '...Uno di questi, il birrificio Amager Bryghus, situato a Kastrup, è stato insignito del premio per la produzione della miglior birra danese e una delle migliori birre al mondo....']","Amager Strand, Roselillevej, Copenaghen, Københavns Kommune, Region Hovedstaden, 2300, Danimarca","{""coordinates"": [12.631792, 55.656124], ""type"": ""Point""}","Amager Strand, Roselillevej, Copenaghen, Københavns Kommune, Region Hovedstaden, 2300, Danimarca",railway,stop
30,Ny Carlsberg Glyptotek,Ny Carlsberg Glyptotek,"[""...Un altro importante Museo d'arte di Copenaghen è la Ny Carlsberg Glyptotek fondata dal filantropo Carl Jacobsen e costruita attorno alle sue collezioni personali....""]","Ny Carlsberg Glyptotek, Ved Glyptoteket, Postbyen, Vesterbro, Copenaghen, Københavns Kommune, Region Hovedstaden, 1575, Danimarca","{""coordinates"": [12.571766, 55.672534], ""type"": ""Point""}","Ny Carlsberg Glyptotek, Ved Glyptoteket, Postbyen, Vesterbro, Copenaghen, Københavns Kommune, Region Hovedstaden, 1575, Danimarca",tourism,museum
34,Museo Thorvaldsen,Museo Thorvaldsen,"['...Il Museo Thorvaldsen, dedicato ai lavori dello scultore romantico danese Bertel Thorvaldsen;...']","Museo Thorvaldsen, Prins Jørgens Gård, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1212, Danimarca","{""coordinates"": [12.578788, 55.676753], ""type"": ""Point""}","Museo Thorvaldsen, Prins Jørgens Gård, Christianshavn, Copenaghen, Københavns Kommune, Region Hovedstaden, 1212, Danimarca",tourism,museum
42,Kastrup,Kastrup,"['*...Uno di questi, il birrificio Amager Bryghus, situato a Kastrup, è stato insignito del premio per la produzione della miglior birra danese e una delle migliori birre al mondo....', ""*...Copenaghen ha due aeroporti, ll Kastrup (il grande Aeroporto internazionale, con oltre 24 milioni di passeggeri l'anno) e Roskilde Lufthavn (una piccola internazionale di aviazione generale e Aeroporto)...."", '*...Il Kastrup, noto anche Aeroporto di Copenaghen, è situato a soli 8\xa0km a sud del centro di Copenaghen, ed è collegato con la città dalla linea metropolitana M2....']","Kastrup Fort, Amager Strandvej, Copenaghen, Københavns Kommune, Region Hovedstaden, 2300, Danimarca","{""coordinates"": [12.639837, 55.648473], ""type"": ""Point""}","Kastrup Fort, Amager Strandvej, Copenaghen, Københavns Kommune, Region Hovedstaden, 2300, Danimarca",tourism,attraction
43,Terminal 3,Terminal 3,"['...Inoltre possiede una stazione ferroviaria ubicata sotto il Terminal 3, servita da treni con frequenza di fermate elevata, sulla linea che collega Copenaghen a Malmö in Svezia, e da treni a lunga percorrenza quali InterCity e InterCityExpress gestiti da DSB....']","Copenhagen Ocean Cruise Terminal 3, Oceankaj, Copenaghen, Københavns Kommune, Region Hovedstaden, 2150, Danimarca","{""coordinates"": [12.627698, 55.717204], ""type"": ""Point""}","Copenhagen Ocean Cruise Terminal 3, Oceankaj, Copenaghen, Københavns Kommune, Region Hovedstaden, 2150, Danimarca",building,yes
48,Parken,Parken,"['*...Il Copenaghen, fondato nel 1992 dalla fusione di due club storici di Copenaghen (il KB ed il B 1903), che gioca nel Parken, lo stadio nazionale danese. Si è laureato 14 volte campione di Danimarca e ha partecipato varie volte alla Champions League....']","Parken, Brumleby, Indre Østerbro, Østerbro, Copenaghen, Københavns Kommune, Region Hovedstaden, 2100, Danimarca","{""coordinates"": [12.572264, 55.702704], ""type"": ""Point""}","Parken, Brumleby, Indre Østerbro, Østerbro, Copenaghen, Københavns Kommune, Region Hovedstaden, 2100, Danimarca",leisure,stadium
49,Brøndby Stadion,Brøndby Stadion,"[""*...Il Brøndby, nato nel 1964 dall'unione di due squadre del sobborgo di Brøndby, che gioca nel Brøndby Stadion. È stato 11 volte campione di Danimarca....""]","Brøndby Stadion, Brøndbyvester, Brøndby Kommune, Glostrup, Region Hovedstaden, 2605, Danimarca","{""coordinates"": [12.416834, 55.650476], ""type"": ""Point""}","Brøndby Stadion, Brøndbyvester, Brøndby Kommune, Glostrup, Region Hovedstaden, 2605, Danimarca",highway,residential
