,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Liffey,Liffey,"[""*...Fondata dai vichinghi come centro per il commercio di schiavi, la città è situata sulla foce del fiume Liffey, al centro della costa orientale dell'isola e di quella che oggi viene chiamata Dublin Region, affacciata sul mare d'Irlanda...."", '*...Il toponimo è un adattamento dal gaelico Dubh Linn, ""stagno nero"", che fa riferimento a uno stagno che esisteva un tempo alla confluenza tra il fiume Poddle e il Liffey....', '*...Molti coloni lasciarono Inghilterra e Galles insediandosi nella nuova terra conquistata e costringendo i vichinghi a spostarsi al di là del Liffey....', '*...Si cominciò per girare tutte le case verso il Liffey, dando loro una facciata gradevole:...', '*...Tradizionalmente Dublino è caratterizzata dalla rivalità fra le zone separate dal passaggio del Liffey, ovvero quelle settentrionali (il Northside) e quelle meridionali (il Southside)....', '*...Il quartiere di Temple Bar, a sud del Liffey, è il luogo in cui si svolge prevalentemente la vita notturna nella capitale irlandese....']","Liffey Street Upper, North City Ward 1986, Dublino, Dublin 1, Leinster, D01 HW54, Irlanda","{""coordinates"": [-6.264191, 53.348672], ""type"": ""Point""}","Liffey Street Upper, North City Ward 1986, Dublino, Dublin 1, Leinster, D01 HW54, Irlanda",highway,pedestrian
2,Poddle,Poddle,"['*...Il toponimo è un adattamento dal gaelico Dubh Linn, ""stagno nero"", che fa riferimento a uno stagno che esisteva un tempo alla confluenza tra il fiume Poddle e il Liffey....']","Millennium Bridge, North City Ward 1986, Dublino, Dublin 1, Leinster, D02 YK79, Irlanda","{""coordinates"": [-6.26512, 53.346194], ""type"": ""Point""}","Millennium Bridge, North City Ward 1986, Dublino, Dublin 1, Leinster, D02 YK79, Irlanda",highway,footway
3,Baile Átha Cliath,Baile Átha Cliath,"['*...In irlandese Baile Átha Cliath, AFI:...', '*...Il nome in gaelico, invece, è Baile Átha Cliath (a volte contratto in Áth Cliath), che significa ""città del guado degli ostacoli"", ossia un luogo in cui il fiume non era facile da attraversare....']","Trinity College, Dublin Students' Union, Parliament Square, Mansion House A ED, Dublino, County Dublin, Leinster, D02 HR67, Irlanda","{""coordinates"": [-6.258904, 53.344605], ""type"": ""Point""}","Trinity College, Dublin Students' Union, Parliament Square, Mansion House A ED, Dublino, County Dublin, Leinster, D02 HR67, Irlanda",office,yes
7,Cattedrale di San Patrizio,Cattedrale di San Patrizio,"[""*...Il potere andò consolidandosi nel castello di Dublino, mentre furono erette tre importanti chiese (Cattedrale di Christ Church, Cattedrale di San Patrizio e Chiesa di Sant'Audoeno) tutte a breve distanza fra loro, nonché il Parlamento d'Irlanda...."", '*...Cattedrale di San Patrizio ;...']","Cattedrale di San Patrizio, Patrick Street, Wood Quay A ED, Dublino, County Dublin, Leinster, D08 AR29, Irlanda","{""coordinates"": [-6.271484, 53.339505], ""type"": ""Point""}","Cattedrale di San Patrizio, Patrick Street, Wood Quay A ED, Dublino, County Dublin, Leinster, D08 AR29, Irlanda",amenity,place_of_worship
8,Chiesa di Sant'Audoeno,Chiesa di Sant'Audoeno,"[""*...Il potere andò consolidandosi nel castello di Dublino, mentre furono erette tre importanti chiese (Cattedrale di Christ Church, Cattedrale di San Patrizio e Chiesa di Sant'Audoeno) tutte a breve distanza fra loro, nonché il Parlamento d'Irlanda...."", ""*...Chiesa di Sant'Audoeno ;...""]","Chiesa cattolica di Sant'Audoeno, High Street, Merchants Quay A ED, Dublino, County Dublin, Leinster, D08 NRP3, Irlanda","{""coordinates"": [-6.273564, 53.343737], ""type"": ""Point""}","Chiesa cattolica di Sant'Audoeno, High Street, Merchants Quay A ED, Dublino, County Dublin, Leinster, D08 NRP3, Irlanda",amenity,place_of_worship
10,Pale,Pale,"[""...Nel XIV secolo, per frenare l'influenza dei nativi irlandesi, la zona fu fortificata e isolata, divenendo quella che per secoli fu chiamata The Pale...."", '*...Gli abitanti del Pale avevano infatti creato un\'invalicabile ""enclave"" dove vivevano esclusivamente persone di razza normanna, mentre i ""barbari"" irlandesi erano confinati all\'esterno:...']","St. Michael's le Pale Church Yard, Ship Street Great, Royal Exchange A ED, Dublino, County Dublin, Leinster, D08 A5RV, Irlanda","{""coordinates"": [-6.26796, 53.341756], ""type"": ""Point""}","St. Michael's le Pale Church Yard, Ship Street Great, Royal Exchange A ED, Dublino, County Dublin, Leinster, D08 A5RV, Irlanda",historic,memorial
11,Europa,Europa,"[""*...Nel 1348 la città fu colpita pesantemente dalla peste nera, un'epidemia letale che colpì tutta l'Europa, e che fece moltissime vittime, poi seppellite in fosse comuni nell'area tutt'oggi chiamata Blackpits...."", ""*...La sede operativa della Microsoft per l'Europa, l'Africa e il Medio Oriente è situata nella zona meridionale della città, all'interno del Sandyford Industrial Estate, così come le installazioni di Xerox e Google...."", ""*...La Intel e la Hewlett-Packard hanno importanti siti produttivi a Leixlip, a ovest di Dublino, mentre Facebook ha a Dublino il suo quartier generale per l'Europa...."", '...La capitale irlandese è stata così soprannominata ""Silicon Valley d\'Europa""....']","Europa House, Harcourt Centre, Saint Kevin's ED, Dublino, County Dublin, Leinster, D02 NP22, Irlanda","{""coordinates"": [-6.263184, 53.333558], ""type"": ""Point""}","Europa House, Harcourt Centre, Saint Kevin's ED, Dublino, County Dublin, Leinster, D02 NP22, Irlanda",building,office
12,Sackville Street,Sackville Street,"[""*...Sorsero in breve tempo Sackville Street (oggi O'Connell Street), Dame Street, Westmoreland Street, Henrietta Street e D'Olier Street, tutte costruite dopo avere demolito i vecchi quartieri medievali e gli agglomerati seguenti....""]","O'Connell Street Lower, North City Ward 1986, Dublino, Dublin 1, Leinster, D01 F5P2, Irlanda","{""coordinates"": [-6.260088, 53.349086], ""type"": ""Point""}","O'Connell Street Lower, North City Ward 1986, Dublino, Dublin 1, Leinster, D01 F5P2, Irlanda",highway,tertiary
13,O'Connell Street,O'Connell Street,"[""*...Sorsero in breve tempo Sackville Street (oggi O'Connell Street), Dame Street, Westmoreland Street, Henrietta Street e D'Olier Street, tutte costruite dopo avere demolito i vecchi quartieri medievali e gli agglomerati seguenti...."", ""*...Esclusi i bus turistici, tutti i mezzi della Dublin Bus non hanno biglietto fisso, bensì le tariffe giornaliere sono determinate dal numero di tratte attraversate - le tariffe sono pagabili in moneta e solo l'importo esatto è accettato - se un cliente paga di più, ci sono dei change ticket che vanno presentati agli uffici della Dublin Bus a O'Connell Street che vengono ricambiati in denaro....""]","O'Connell Street, O'Connell Street Upper, North City ED, Dublino, County Dublin, Leinster, D01 P5P5, Irlanda","{""coordinates"": [-6.260588, 53.350955], ""type"": ""Point""}","O'Connell Street, O'Connell Street Upper, North City ED, Dublino, County Dublin, Leinster, D01 P5P5, Irlanda",highway,bus_stop
14,Dame Street,Dame Street,"[""*...Sorsero in breve tempo Sackville Street (oggi O'Connell Street), Dame Street, Westmoreland Street, Henrietta Street e D'Olier Street, tutte costruite dopo avere demolito i vecchi quartieri medievali e gli agglomerati seguenti....""]","Dame Street, Royal Exchange A Ward 1986, Dublino, Dublin 2, Leinster, D02 YP66, Irlanda","{""coordinates"": [-6.262606, 53.34424], ""type"": ""Point""}","Dame Street, Royal Exchange A Ward 1986, Dublino, Dublin 2, Leinster, D02 YP66, Irlanda",highway,secondary
