,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Valdarno inferiore,Valdarno inferiore,"[""*...La piana dove sorge la città è attraversata dall'Arno (la città stessa divide il suo corso fra Valdarno superiore e Valdarno inferiore) e da corsi d'acqua minori come il Mugnone, il Terzolle e il fiume Greve....""]","Club Alpino Italiano - Sezione Valdarno Inferiore, Piazza Vittorio Veneto, Fucecchio, Firenze, Toscana, 50054, Italia","{""coordinates"": [10.808327, 43.728989], ""type"": ""Point""}","Club Alpino Italiano - Sezione Valdarno Inferiore, Piazza Vittorio Veneto, Fucecchio, Firenze, Toscana, 50054, Italia",office,association
4,Mugnone,Mugnone,"[""*...La piana dove sorge la città è attraversata dall'Arno (la città stessa divide il suo corso fra Valdarno superiore e Valdarno inferiore) e da corsi d'acqua minori come il Mugnone, il Terzolle e il fiume Greve...."", ""*...Ha inizio dall'attuale piazza Vittorio Veneto per arrivare fino sotto al ponte all'Indiano delimitato naturalmente dal fiume Arno dal torrente Mugnone e dal canale Macinante....""]","Porta Mugnone, Viale Filippo Strozzi, San Iacopino, Quartiere 1, Firenze, Toscana, 50129, Italia","{""coordinates"": [11.248659, 43.783181], ""type"": ""Point""}","Porta Mugnone, Viale Filippo Strozzi, San Iacopino, Quartiere 1, Firenze, Toscana, 50129, Italia",historic,city_gate
5,Terzolle,Terzolle,"[""*...La piana dove sorge la città è attraversata dall'Arno (la città stessa divide il suo corso fra Valdarno superiore e Valdarno inferiore) e da corsi d'acqua minori come il Mugnone, il Terzolle e il fiume Greve....""]","Terzolle, Piazza del Terzolle, Firenze Nova, Quartiere 5, Firenze, Toscana, 50144, Italia","{""coordinates"": [11.234511, 43.794033], ""type"": ""Point""}","Terzolle, Piazza del Terzolle, Firenze Nova, Quartiere 5, Firenze, Toscana, 50144, Italia",amenity,taxi
6,Greve,Greve,"[""*...La piana dove sorge la città è attraversata dall'Arno (la città stessa divide il suo corso fra Valdarno superiore e Valdarno inferiore) e da corsi d'acqua minori come il Mugnone, il Terzolle e il fiume Greve....""]","Via della Greve, Quartiere 3, Scandicci, Firenze, Toscana, 50124, Italia","{""coordinates"": [11.212676, 43.742738], ""type"": ""Point""}","Via della Greve, Quartiere 3, Scandicci, Firenze, Toscana, 50124, Italia",highway,residential
11,Etruria,Etruria,"[""*...Sotto Diocleziano fu innalzata a Corrector Italiae (capitale dell'Etruria e dell'Umbria), per poi passare attraverso periodi di dominazione bizantina, ostrogota, longobarda e franca, durante i quali la popolazione scese talvolta a poche migliaia di persone...."", ""...Il Granducato divenne prima Regno d'Etruria per poi essere inglobato direttamente nel territorio francese....""]","Etruria, Via del Cavallaccio, Carraia, Quartiere 4, Mantignano, Firenze, Toscana, 50142, Italia","{""coordinates"": [11.190277, 43.77229], ""type"": ""Point""}","Etruria, Via del Cavallaccio, Carraia, Quartiere 4, Mantignano, Firenze, Toscana, 50142, Italia",highway,bus_stop
12,Cappella Brancacci,Cappella Brancacci,"['*...La nascita dello stiacciato donatelliano e della pittura senza fronzoli di Masaccio nella Cappella Brancacci;...', '*...Il Carmine\nla Chiesa del Carmine è celebre in tutto il mondo per il capolavoro assoluto della Cappella Brancacci, affrescata da Masaccio e Masolino da Panicale, dove per la prima volta si manifestò in pittura un netto distacco dalla scuola tardo gotica, con un linguaggio interamente nuovo:...']","Cappella Brancacci, Piazza del Carmine, San Frediano, Quartiere 1, Firenze, Toscana, 50123, Italia","{""coordinates"": [11.243658, 43.767752], ""type"": ""Point""}","Cappella Brancacci, Piazza del Carmine, San Frediano, Quartiere 1, Firenze, Toscana, 50123, Italia",tourism,museum
14,Mercato Vecchio,Mercato Vecchio,"['*...Insufficiente per spazi e forma urbana ancora legata al Medioevo, Firenze fu interessata da una serie di ""risanamenti"", che diedero alla città un aspetto più moderno, ma che purtroppo videro la perdita irrimediabile di importantissimi edifici storici e di interi quartieri come quello di Mercato Vecchio....', ""*...Museo di San Marco, nell'antico convento di San Marco il Museo conserva la migliore raccolta al mondo di opere del Beato Angelico, che qui visse e lavorò. Lo stesso convento è un capolavoro dell'architettura del primo Quattrocento, creato da Michelozzo per Cosimo de' Medici. Vi sono esposte altre opere di arte sacra rinascimentale e il lapidario della zona del Mercato Vecchio, distrutto verso il 1895 per far posto a piazza della Repubblica...."", '*...Questa piazza è famosa per il vivace Mercato che vi si tiene tutti giorni, oltre a ospitare la Biblioteca Medicea Laurenziana e la statua di Giovanni delle Bande Nere....']","Vecchio mercato, Piazza del Mercato Centrale, Quartiere 1, Firenze, Toscana, 50100, Italia","{""coordinates"": [11.253899, 43.776904], ""type"": ""Point""}","Vecchio mercato, Piazza del Mercato Centrale, Quartiere 1, Firenze, Toscana, 50100, Italia",amenity,restaurant
15,Pian dei Cerri,Pian dei Cerri,"[""*...Alla fine di luglio e all'inizio di agosto 1944, le truppe dell'esercito neozelandese (2nd New Zealand Division) che liberavano la Toscana colpirono le colline Pian dei Cerri che si affacciano sulla città....""]","Pian dei Cerri, Via di Mosciano, Pian de' Cerri, Scandicci, Firenze, Toscana, 50018, Italia","{""coordinates"": [11.146072, 43.723444], ""type"": ""Point""}","Pian dei Cerri, Via di Mosciano, Pian de' Cerri, Scandicci, Firenze, Toscana, 50018, Italia",highway,bus_stop
16,Loggia dei Lanzi,Loggia dei Lanzi,"[""*...Il cuore civile di Firenze è piazza della Signoria, col maestoso Palazzo Vecchio, con la galleria di capolavori scultorei nella Loggia dei Lanzi e la vicina Galleria degli Uffizi, uno dei musei d'arte più rinomati al mondo...."", ""*...Nella grande piazza troviamo numerose opere d'arte, come le statue nella Loggia dei Lanzi, la statua equestre a Cosimo I de' Medici, le statue poste davanti a Palazzo Vecchio come una copia del David di Michelangelo, il Nettuno, il Marzocco di Donatello, Ercole e Caco e molte altre....""]","Loggia dei Lanzi, Piazza della Signoria, Oltrarno, Quartiere 1, Firenze, Toscana, 50122, Italia","{""coordinates"": [11.255555, 43.769193], ""type"": ""Point""}","Loggia dei Lanzi, Piazza della Signoria, Oltrarno, Quartiere 1, Firenze, Toscana, 50122, Italia",tourism,attraction
17,Galleria degli Uffizi,Galleria degli Uffizi,"[""*...Il cuore civile di Firenze è piazza della Signoria, col maestoso Palazzo Vecchio, con la galleria di capolavori scultorei nella Loggia dei Lanzi e la vicina Galleria degli Uffizi, uno dei musei d'arte più rinomati al mondo...."", '*...Si trova a fianco del piazzale della Galleria degli Uffizi....', ""*...Galleria degli Uffizi, è una delle più famose e importanti pinacoteche al mondo, con un'incomparabile collezione di arte rinascimentale, fiorentina e non solo, comprendente tra l'altro la maggiore collezione di dipinti del Botticelli, ed è divisa in varie sale allestite per scuole e stili in ordine più o meno cronologico. Nata dalle raccolte artistiche accumulate nei secoli dai Medici, ha anche una notevole collezione di sculture antiche ed espone tra le innumerevoli, capolavori di Giotto, Cimabue, Leonardo da Vinci, Michelangelo, Raffaello, Tiziano, Caravaggio, Dürer e moltissimi altri...."", '...Corridoio vasariano, è un percorso sopraelevato che a Firenze collega Palazzo Vecchio con Palazzo Pitti passando per la Galleria degli Uffizi e sopra il Ponte Vecchio; fu costruito per il Granduca Cosimo I....', ""...Basti pensare che la Galleria degli Uffizi, il Museo d'arte italiano più visitato, maggiore Museo cittadino e tra i più famosi del mondo, stacca più di un milione e cinquecentomila biglietti all'anno, a cui si affiancano gli altri importanti musei cittadini...."", '*...Oltre agli Uffizi, Firenze conta altri grandi musei:...', '...Lungarni\ntagliano in due il centro storico, e vi si affacciano numerosi luoghi di interesse come il Corridoio vasariano e gli Uffizi, il Parco delle Cascine, la Biblioteca Nazionale Centrale, il Ponte alle Grazie, la Chiesa di San Frediano in Cestello, Piazza Demidoff, oltre che alle varie torri....', '...Biblioteca degli Uffizi (ex Biblioteca Magliabechiana) ;...']","Galleria degli Uffizi, 6, Piazzale degli Uffizi, Oltrarno, Quartiere 1, Firenze, Toscana, 50122, Italia","{""coordinates"": [11.255801, 43.768313], ""type"": ""Point""}","Galleria degli Uffizi, 6, Piazzale degli Uffizi, Oltrarno, Quartiere 1, Firenze, Toscana, 50122, Italia",tourism,museum
