,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Rhein-Main,Rhein-Main,"[""*...Situata sul fiume Meno, la città, di 759\xa0224 abitanti (2,2 milioni nell'area urbana), è al centro di una vasta area metropolitana di  denominata Rhein-Main, con una popolazione che supera i 5,5 milioni di abitanti...."", '...Il consorzio RMV (Rhein-Main Verkehrsverbund) trasporta ogni anno sulle sue linee S-Bahn e U-Bahn circa 100 milioni di passeggeri....']","DGB Region Frankfurt-Rhein-Main, 69-77, Wilhelm-Leuschner-Straße, Gutleutviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania","{""coordinates"": [8.66698, 50.10359], ""type"": ""Point""}","DGB Region Frankfurt-Rhein-Main, 69-77, Wilhelm-Leuschner-Straße, Gutleutviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania",office,union
4,5,5,"[""...L'Aeroporto di Francoforte sul Meno è uno degli scali più trafficati del mondo, la stazione centrale della città è uno dei terminal più grandi in Europa, con oltre 130 milioni di passeggeri annui, e l'incrocio fra le autostrade A 3 e A 5, che si trova nell'area urbana della città, è il più utilizzato del continente....""]","Frankfurt (Main) Süd, Diesterwegplatz, Sachsenhausen, Sachsenhausen Nord, Süd, Francoforte sul Meno, Assia, 60594, Germania","{""coordinates"": [8.68628, 50.099317], ""type"": ""Point""}","Frankfurt (Main) Süd, Diesterwegplatz, Sachsenhausen, Sachsenhausen Nord, Süd, Francoforte sul Meno, Assia, 60594, Germania",railway,stop
5,Taunus,Taunus,"['*...A pochi chilometri a nord della città sorge la catena montuosa del Taunus....', '*...A causa della vicinanza con le montagne del Taunus in inverno le temperature massime a volte non superano gli ....']","Taunusstraße, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania","{""coordinates"": [8.66878, 50.109906], ""type"": ""Point""}","Taunusstraße, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania",highway,secondary
6,Nidda,Nidda,"['*...Francoforte è bagnata dal fiume Nidda, che confluisce nel Meno a Francoforte-Höchst;...']","Niddastraße, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania","{""coordinates"": [8.665225, 50.110038], ""type"": ""Point""}","Niddastraße, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania",highway,residential
12,Paulskirche,Paulskirche,"['*...Nel 1848 in diversi stati tedeschi esplose la cosiddetta Primavera dei popoli e il primo parlamento democratico tedesco si riunì nella Paulskirche di Francoforte....', '...Tra i pochi edifici ricostruiti ci furono il Römer, la Paulskirche e la casa di Goethe....', '...La Paulskirche è un edificio classicistico di grande importanza nella storia tedesca, essendo stato, dal 1846 al 1849, sede della Nationalversammlung, il primo parlamento democratico tedesco....']","Paulskirche, 11, Paulsplatz, Altstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania","{""coordinates"": [8.680755, 50.111173], ""type"": ""Point""}","Paulskirche, 11, Paulsplatz, Altstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania",tourism,attraction
14,Römer,Römer,"['*...Tra i pochi edifici ricostruiti ci furono il Römer, la Paulskirche e la casa di Goethe....', '*...Il Römerberg è la piazza centrale della città. Tra le diverse case ricostruite si trovano il municipio (Römer) e la  Alte Nikolaikirche (vecchia Chiesa di San Nicola)....']","Römer, 21, Römerberg, Altstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania","{""coordinates"": [8.681659, 50.110468], ""type"": ""Point""}","Römer, 21, Römerberg, Altstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania",tourism,attraction
23,Haus zur Goldenen Waage,Haus zur Goldenen Waage,"['*...La Neue Altstadt (""nuova città-vecchia"") è la ricostruzione di una porzione dell\'antico centro storico distrutto dai bombardamenti del 1944, costruita sull\'area dove sorgeva il Technisches Rathaus del 1974 e inaugurata nel 2018. Tra i vari edifici ricostruiti vi è anche la famosa Haus zur Goldenen Waage....']","Goldene Waage, 5, Markt, Altstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania","{""coordinates"": [8.684391, 50.110688], ""type"": ""Point""}","Goldene Waage, 5, Markt, Altstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania",building,yes
24,Messeturm,Messeturm,"[""*...Conosciuti sono il Messeturm () (torre della fiera), la Commerzbank Tower, la Westendtower e il grattacielo della Dresdner Bank, i più alti grattacieli d'Europa...."", ""...La torre è alta solo due metri in più della concittadina MesseTurm, superata dunque al primo posto nella classifica degli edifici più alti d'Europa....""]","Messeturm, 49, Friedrich-Ebert-Anlage, Westend Süd, Innenstadt 2, Francoforte sul Meno, Assia, 60308, Germania","{""coordinates"": [8.652718, 50.112378], ""type"": ""Point""}","Messeturm, 49, Friedrich-Ebert-Anlage, Westend Süd, Innenstadt 2, Francoforte sul Meno, Assia, 60308, Germania",building,office
25,Commerzbank Tower,Commerzbank Tower,"[""...Conosciuti sono il Messeturm () (torre della fiera), la Commerzbank Tower, la Westendtower e il grattacielo della Dresdner Bank, i più alti grattacieli d'Europa...."", ""*...La torre della Commerzbank, completata nel 1997, è alta  (300 considerando anche l'antenna) e ospita  di uffici della banca, includendo giardini invernali e illuminazione e circolazione dell'aria naturali...."", ""*...La casa farmaceutica Sanofi-Aventis (come successore della Hoechst AG), diverse banche (Deutsche Bank, Dresdner Bank, Commerzbank) e l'Aeroporto....""]","Commerzbank Tower, 16, Kaiserstraße, Innenstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania","{""coordinates"": [8.674363, 50.111238], ""type"": ""Point""}","Commerzbank Tower, 16, Kaiserstraße, Innenstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania",building,commercial
27,Main Tower,Main Tower,"[""...Uno dei pochi grattacieli aperti al pubblico è il Main Tower, con una piattaforma di prospettiva a 200 metri d'altezza...."", ""...Frankfurt am Main ), o semplicemente Francoforte, è una città extracircondariale della Germania sud-occidentale, situata nello Stato federato dell'Assia, la quinta tedesca per numero di abitanti dopo Berlino, Amburgo, Monaco e Colonia...."", '*...Soprannominata anche ""Bankfurt"", ""Mainhattan"" (gioco di parole tra Main, il fiume Meno, e Manhattan, cuore finanziario di New York) o ""Big Äppel"" (altro riferimento a New York, dove l\'Äppelwoi è un tipico prodotto locale), è il centro finanziario della Germania e uno dei principali al mondo essendo sede della Banca centrale europea, della Banca Federale Tedesca e della Borsa di Francoforte (terza al mondo per volume di scambi azionari)....', ""...A Francoforte hanno sede l'Università Goethe di Francoforte, la Frankfurt University of Applied Sciences, la Frankfurt School of Finance and Management e la Pädagogische Akademie Frankfurt am Main....""]","Main Tower, 52-58, Neue Mainzer Straße, Innenstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania","{""coordinates"": [8.67223, 50.112413], ""type"": ""Point""}","Main Tower, 52-58, Neue Mainzer Straße, Innenstadt, Innenstadt 1, Francoforte sul Meno, Assia, 60311, Germania",tourism,viewpoint
