,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Dnepr,Dnepr,"[""*...La città sorge su un ripiano terrazzato sulla riva destra del fiume Dnepr nella parte centro-settentrionale dell'Ucraina, non distante dal confine con la Bielorussia, al margine delle terre nere...."", '*...I ponti sul fiume Dnepr sono un altro problema che limita lo sviluppo del sistema ferroviario cittadino:...', '*...La città è dotata di un porto fluviale, sulla riva destra del fiume Dnepr nel quartiere Podil....']","Дніпро, Autostrada Naberežne, Берестове, Pečers'k, Печерський район, Kiev, 01015, Ucraina","{""coordinates"": [30.558688, 50.441041], ""type"": ""Point""}","Дніпро, Autostrada Naberežne, Берестове, Pečers'k, Печерський район, Kiev, 01015, Ucraina",railway,station
5,Lesia Ukrajinka,Lesia Ukrajinka,['*...La manifestazione era stata organizzata davanti alla Commissione elettorale centrale sulla piazza Lesia Ukrajinka....'],"Леся Українка, площа Лесі Українки, Царське Село, Pečers'k, Печерський район, Kiev, 01011, Ucraina","{""coordinates"": [30.540848, 50.427118], ""type"": ""Point""}","Леся Українка, площа Лесі Українки, Царське Село, Pečers'k, Печерський район, Kiev, 01011, Ucraina",historic,memorial
6,Cattedrale di Santa Sofia,Cattedrale di Santa Sofia,"['*...Cattedrale di Santa Sofia. Edificata nel 1037 venne disegnata per emulare lo splendore delle chiese bizantine, riflettendo la percezione della cristianità dell\'Impero Bizantino. Il tempio, fino al 1240, era per dimensioni il secondo dell\'intera Cristianità. Anche se è dedicato alla ""Santa Sapienza"", come la grande cattedrale di Hagia Sophia a Costantinopoli, l\'edificio ha una forma decisamente differente: invece che una singola cupola semisferica che si innalza dal corpo dell\'edificio, la cattedrale di Santa Sofia a Kiev ha 13 cupole a cipolla montate su tamburi. La ragione è che gli ingegneri bizantini che la costruirono dovettero rinunciare alla pietra e usare esclusivamente mattoni su un terreno che non era abbastanza solido. La cupola centrale è leggermente più grande delle altre e, dal più recente rinnovo, dorata. La cattedrale nel corso del tempo ha perso alcuni dei corpi costruttivi ed è oggi più modesta rispetto alla costruzione originale....']","Cattedrale di Santa Sofia, Via Volodymyrs'ka, Го́род Володимира, Старий Київ, Центр, Шевченківський район, Kiev, 01028, Ucraina","{""coordinates"": [30.514249, 50.452912], ""type"": ""Point""}","Cattedrale di Santa Sofia, Via Volodymyrs'ka, Го́род Володимира, Старий Київ, Центр, Шевченківський район, Kiev, 01028, Ucraina",amenity,place_of_worship
8,Santa Sofia,Santa Sofia,"['*...Cattedrale di Santa Sofia. Edificata nel 1037 venne disegnata per emulare lo splendore delle chiese bizantine, riflettendo la percezione della cristianità dell\'Impero Bizantino. Il tempio, fino al 1240, era per dimensioni il secondo dell\'intera Cristianità. Anche se è dedicato alla ""Santa Sapienza"", come la grande cattedrale di Hagia Sophia a Costantinopoli, l\'edificio ha una forma decisamente differente: invece che una singola cupola semisferica che si innalza dal corpo dell\'edificio, la cattedrale di Santa Sofia a Kiev ha 13 cupole a cipolla montate su tamburi. La ragione è che gli ingegneri bizantini che la costruirono dovettero rinunciare alla pietra e usare esclusivamente mattoni su un terreno che non era abbastanza solido. La cupola centrale è leggermente più grande delle altre e, dal più recente rinnovo, dorata. La cattedrale nel corso del tempo ha perso alcuni dei corpi costruttivi ed è oggi più modesta rispetto alla costruzione originale....']","Cattedrale di Santa Sofia, Via Volodymyrs'ka, Го́род Володимира, Старий Київ, Центр, Шевченківський район, Kiev, 01028, Ucraina","{""coordinates"": [30.514249, 50.452912], ""type"": ""Point""}","Cattedrale di Santa Sofia, Via Volodymyrs'ka, Го́род Володимира, Старий Київ, Центр, Шевченківський район, Kiev, 01028, Ucraina",amenity,place_of_worship
10,Cattedrale di San Vladimiro,Cattedrale di San Vladimiro,['*...Cattedrale di San Vladimiro ;...'],"Cattedrale di San Vladimiro, 20, Viale Taras Ševčenko, Афанасівський яр, Центр, Шевченківський район, Kiev, 01046, Ucraina","{""coordinates"": [30.508827, 50.444941], ""type"": ""Point""}","Cattedrale di San Vladimiro, 20, Viale Taras Ševčenko, Афанасівський яр, Центр, Шевченківський район, Kiev, 01046, Ucraina",amenity,place_of_worship
11,Chiesa del refettorio,Chiesa del refettorio,['*...Chiesa del refettorio ;...'],"Chiesa del refettorio, 9 к29, Лаврська вулиця, Цитадель, Pečers'k, Печерський район, Kiev, 01015, Ucraina","{""coordinates"": [30.557835, 50.434791], ""type"": ""Point""}","Chiesa del refettorio, 9 к29, Лаврська вулиця, Цитадель, Pečers'k, Печерський район, Kiev, 01015, Ucraina",amenity,place_of_worship
20,Chiesa di Sant'Andrea,Chiesa di Sant'Andrea,"[""*...Chiesa di Sant'Andrea. Da qui inizia la Discesa di Sant'Andrea....""]","Chiesa di Sant'Andrea, 23, Андріївський узвіз, Го́род Володимира, Старий Київ, Центр, Шевченківський район, Kiev, 01025, Ucraina","{""coordinates"": [30.517988, 50.458997], ""type"": ""Point""}","Chiesa di Sant'Andrea, 23, Андріївський узвіз, Го́род Володимира, Старий Київ, Центр, Шевченківський район, Kiev, 01025, Ucraina",amenity,place_of_worship
29,Palazzo Mariinskij,Palazzo Mariinskij,['*...Palazzo Mariinskij ;...'],"Palazzo Mariinskij, 5а, вулиця Михайла Грушевського, Урядовий квартал, Липки, Клов, Печерський район, Kiev, 01008, Ucraina","{""coordinates"": [30.537436, 50.448106], ""type"": ""Point""}","Palazzo Mariinskij, 5а, вулиця Михайла Грушевського, Урядовий квартал, Липки, Клов, Печерський район, Kiev, 01008, Ucraina",tourism,attraction
33,Majdan Nezaležnosti,Majdan Nezaležnosti,"['*...Majdan Nezaležnosti, la piazza principale....']","Майдан Незалежності, Via Chreščatyk, Центр, Шевченківський район, Kiev, 01028, Ucraina","{""coordinates"": [30.524443, 50.450117], ""type"": ""Point""}","Майдан Незалежності, Via Chreščatyk, Центр, Шевченківський район, Kiev, 01028, Ucraina",railway,subway_entrance
34,Piazza Kontraktova,Piazza Kontraktova,"['*...Piazza Kontraktova, risalente al XII secolo....']","Piazza Kontraktova, Гончарі, Поділ, Подільський район, Kiev, 01025, Ucraina","{""coordinates"": [30.518101, 50.462585], ""type"": ""Point""}","Piazza Kontraktova, Гончарі, Поділ, Подільський район, Kiev, 01025, Ucraina",highway,pedestrian
