,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Place des terreaux,Place des terreaux,"['...La città sorge alla confluenza del Rodano e della Saona ed è composta da un centro storico (Vieux Lyon, Fourvière, Saint Jean) e da un centro più moderno con la Place des terreaux, la Place Bellecour e la Rue de la République sulla Penisola, quartiere tra Rodano e Saona....', '...Il municipio di Lione sulla place des Terreaux....', '...La place des Terreaux....', '*...Il municipio di Lione sulla place des Terreaux....']","Place des Terreaux, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia","{""coordinates"": [4.833546, 45.767272], ""type"": ""Point""}","Place des Terreaux, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia",highway,tertiary
5,Place Bellecour,Place Bellecour,"['...La città sorge alla confluenza del Rodano e della Saona ed è composta da un centro storico (Vieux Lyon, Fourvière, Saint Jean) e da un centro più moderno con la Place des terreaux, la Place Bellecour e la Rue de la République sulla Penisola, quartiere tra Rodano e Saona....', '...La place Bellecour, quarta piazza più grande di Francia, con una statua equestre di Luigi XIV....']","Place Bellecour, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.831995, 45.757516], ""type"": ""Point""}","Place Bellecour, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",tourism,square
9,Nord,Nord,"[""...Ad ovest l'altopiano cristallino, propaggini orientali del Massiccio Centrale, a nord dalle propaggini meridionali dell'altopiano di Dombes e ad est dagli altipiani del Basso Delfinato...."", ""*...Lione e la sua regione si trovano in uno snodo cruciale dell'Europa occidentale, dove s'intersecano l'asse che unisce il mare del Nord al mar Mediterraneo con quello che connette l'Europa orientale con l'oceano Atlantico...."", '*...Lione è conosciuta per la sua posizione chiave tra Nord e Sud, e per questo si tratta anche di un nodo stradale molto importante:...', '*...Autostrada A6 verso il Nord (Parigi, Digione, Mulhouse) ;...', ""*...Nazionale 6 verso l'Italia (Collegamento del Mont-Cenis, Alpi) e verso Parigi via Bourgogne al Nord...."", ""...Nazionale 7 verso la valle del Rodano e l'Italia (Collegamento della Costa Azzurra) e verso Parigi via Bourbonnais al Nord...."", '*...Dopo il successo della nuova linea verso il Nord e la capitale, e della linea verso il Mar Mediterraneo si è decisa la costruzione della linea TGV tra Lione e Torino, che dovrebbe facilitare il superamento delle Alpi....']","Cour Nord, Monplaisir, Lyon 8e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69008, Francia","{""coordinates"": [4.860685, 45.748451], ""type"": ""Point""}","Cour Nord, Monplaisir, Lyon 8e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69008, Francia",highway,pedestrian
18,rue Pierre-Valdo,rue Pierre-Valdo,"['*...Oggi, esiste una via a Lione che porta il suo nome, nel 5ème arrondissement (rue Pierre-Valdo)....']","Rue Pierre Valdo, Jeunet, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.793379, 45.749813], ""type"": ""Point""}","Rue Pierre Valdo, Jeunet, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",highway,tertiary
19,Hôtel de Ville,Hôtel de Ville,"[""*...Il XVII secolo fu comunque un'epoca tranquilla e di grande fasto: regnava la tolleranza e la città si abbellì con la costruzione del nuovo municipio (Hôtel de Ville)....""]","Hôtel de ville, Place de la Comédie, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69000, Francia","{""coordinates"": [4.834438, 45.76763], ""type"": ""Point""}","Hôtel de ville, Place de la Comédie, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69000, Francia",amenity,townhall
20,Hôtel Dieu,Hôtel Dieu,"['*...Nel XVIII secolo proseguì il periodo di tranquillità e si videro altre importanti costruzioni, come quelle di Soufflot (Hôtel Dieu e Loggia del Cambio)....']","Café Hôtel-Dieu, Place de l'Hôpital, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.83588, 45.759139], ""type"": ""Point""}","Café Hôtel-Dieu, Place de l'Hôpital, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",amenity,pub
24,Hôtel Terminus,Hôtel Terminus,"[""*...Il Museo della Resistenza, collocato nell'Hôtel Terminus, antica sede della Gestapo vicino alla sponda del fiume Rodano e accanto al quartiere universitario, rende conto della cronologia degli eventi della seconda guerra mondiale, della resistenza francese e delle persecuzioni antisemite;..."", '*...La storia dell\'Hôtel Terminus e di quello che fu chiamato ""il Boia di Lione"" è stata raccontata dal documentarista tedesco Marcel Ophüls nel film del 1988 Hôtel Terminus....']","Hôtel Terminus, Cours de Verdun Rambaud, Perrache, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.824725, 45.749386], ""type"": ""Point""}","Hôtel Terminus, Cours de Verdun Rambaud, Perrache, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",building,yes
27,Croix-Rousse,Croix-Rousse,"[""*...Sulle pendici della collina di Croix-Rousse si innalzò il santuario federale delle tre province galliche, dove ogni anno si radunavano i delegati delle tribù galliche per celebrare il culto di Roma e dell'imperatore regnante...."", ""...Il quartiere della Croix-Rousse, sulle cui pendici si trova l'anfiteatro delle Tre Gallie...."", '...Chiesa barocca di Saint-Bruno des Chartreux nel quartiere della Croix-Rousse ;...', '...I arrondissement: Pentes de la Croix-Rousse, Les Terreaux, Saint-Vincent ;...', '...IV arrondissement: La Croix-Rousse, Saint-Clair ;...', '...La Croix-Rousse (attualmente IV arrondissement) ;...']","Croix-Rousse, Boulevard de la Croix-Rousse, Gros Caillou, Lyon 4e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69004, Francia","{""coordinates"": [4.832014, 45.774297], ""type"": ""Point""}","Croix-Rousse, Boulevard de la Croix-Rousse, Gros Caillou, Lyon 4e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69004, Francia",railway,subway_entrance
29,Crédit Lyonnais,Crédit Lyonnais,"['*...La Part-Dieu secondo quartiere affaristico della Francia (e il suo grattacielo del Crédit Lyonnais)....', '*...La torre del Crédit Lyonnais, o torre La Part-Dieu, chiamata ""la matita"" dai lionesi....']","LCL, Rue Marie-Madeleine Fourcade, Les Girondins, Gerland, Lyon 7e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69007, Francia","{""coordinates"": [4.837721, 45.737119], ""type"": ""Point""}","LCL, Rue Marie-Madeleine Fourcade, Les Girondins, Gerland, Lyon 7e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69007, Francia",amenity,bank
32,Philibert Delorme,Philibert Delorme,"[""*...L'Hôtel de Bullioud o Casa d'Henri IV con la galleria Philibert Delorme....""]","Rue Philibert Delorme, Pentes de la Croix-Rousse, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia","{""coordinates"": [4.83662, 45.773995], ""type"": ""Point""}","Rue Philibert Delorme, Pentes de la Croix-Rousse, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia",highway,residential
33,Hôtel-Dieu,Hôtel-Dieu,"[""...L'Hôtel-Dieu, Ospedale che si estende per 400 metri sulle rive del Rodano....""]","Café Hôtel-Dieu, Place de l'Hôpital, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.83588, 45.759139], ""type"": ""Point""}","Café Hôtel-Dieu, Place de l'Hôpital, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",amenity,pub
41,Halle Tony Garnier,Halle Tony Garnier,"['...La Halle Tony Garnier, parte dello stadio Gerland trasformata in sala multiuso....']","Halle Tony Garnier, Avenue Debourg, Le Bon Lait, Gerland, Lyon 7e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69007, Francia","{""coordinates"": [4.826227, 45.731696], ""type"": ""Point""}","Halle Tony Garnier, Avenue Debourg, Le Bon Lait, Gerland, Lyon 7e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69007, Francia",highway,bus_stop
