,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Europa atlantica,Europa atlantica,"[""*...Durante il Neolitico la regione è stata abitata da popolazioni di origine iberica che a quel tempo occupavano anche altre regioni dell'Europa atlantica...."", ""...Situata sull'estremità occidentale della penisola iberica, presso l'estuario del fiume Tago, è geograficamente la capitale (nonché la zona geografica) più occidentale dell'Europa continentale...."", ""...La città è la sesta più visitata dell'Europa meridionale dopo Roma, Barcellona, Madrid, Atene e Milano, con 1\xa0740\xa0000 turisti nel 2009...."", ""*...All'inizio del XVIII secolo, con una popolazione stimata di circa 250\xa0000 abitanti, Lisbona era una delle città più grandi d'Europa...."", ""*...Per l'occasione fu costruito un quartiere completamente nuovo, Parque das Nações, e il ponte Vasco da Gama, il più lungo d'Europa con i suoi 17,2\xa0km....""]","Plantas da Europa Central e Atlântica, Calçada da Ajuda, Ajuda, Lisbona, 1349-021, Portogallo","{""coordinates"": [-9.200836, 38.706809], ""type"": ""Point""}","Plantas da Europa Central e Atlântica, Calçada da Ajuda, Ajuda, Lisbona, 1349-021, Portogallo",leisure,garden
9,Sé de Lisboa,Sé de Lisboa,"[""*...In passato si credeva che Lisbona fosse stata fondata dai Fenici e questo sembrerebbe accreditato dai recenti ritrovamenti di reperti fenici risalenti all'VIII secolo a.C. sotto la medievale Sé de Lisboa, la cattedrale della città moderna....""]","Sé de Lisboa, 29, Cruzes da Sé, Sé, Alfama, Santa Maria Maior, Lisbona, 1100-192, Portogallo","{""coordinates"": [-9.13264, 38.709527], ""type"": ""Point""}","Sé de Lisboa, 29, Cruzes da Sé, Sé, Alfama, Santa Maria Maior, Lisbona, 1100-192, Portogallo",building,apartments
13,Africa,Africa,"[""*...La città divenne il centro del commercio europeo con l'Africa, l'India, l'Estremo Oriente e, più tardi, il Brasile....""]","Guest House Brazil-Africa, 8-2, Travessa das Pedras Negras, Sé, Alfama, Santa Maria Maior, Lisbona, 1100, Portogallo","{""coordinates"": [-9.135117, 38.710547], ""type"": ""Point""}","Guest House Brazil-Africa, 8-2, Travessa das Pedras Negras, Sé, Alfama, Santa Maria Maior, Lisbona, 1100, Portogallo",tourism,guest_house
15,Torre di Belém,Torre di Belém,"[""...La Torre di Belém e il Mosteiro dos Jerónimos, entrambi inseriti tra i siti del patrimonio mondiale dell'umanità dell'UNESCO...."", ""...La Torre di Belém da dove Vasco de Gama partì alla conquista dell'impero;..."", '*...Torre di Belém ;...']","Torre di Belém, Avenida de Brasília, Pedrouços, Belém, Lisbona, 1400-038, Portogallo","{""coordinates"": [-9.215917, 38.691613], ""type"": ""Point""}","Torre di Belém, Avenida de Brasília, Pedrouços, Belém, Lisbona, 1400-038, Portogallo",tourism,attraction
16,Mosteiro dos Jerónimos,Mosteiro dos Jerónimos,"[""...La Torre di Belém e il Mosteiro dos Jerónimos, entrambi inseriti tra i siti del patrimonio mondiale dell'umanità dell'UNESCO...."", ""*...Una tappa imperdibile per i visitatori amanti della gastronomia è senz'altro la famosa ed antichissima Antiga Confeitaria de Belém situata nell'omonimo quartiere, a pochi metri dal Mosteiro dos Jerónimos...."", ""*...Da non trascurare il Planetario Calouste Gulbenkian, situato nell'ambito del Museo Navale, a pochi passi dal famoso Mosteiro dos Jerónimos, nel quartiere di Belém....""]","Mosteiro dos Jerónimos, Rua de Belém, Belém, Lisbona, 1300-085, Portogallo","{""coordinates"": [-9.203485, 38.697351], ""type"": ""Point""}","Mosteiro dos Jerónimos, Rua de Belém, Belém, Lisbona, 1300-085, Portogallo",railway,tram_stop
17,Ribeira,Ribeira,"[""*...L'indipendenza fu proclamata nel 1640, quando la viceregina del Portogallo Margherita di Savoia venne posta agli arresti da un gruppo di congiurati nel palazzo della Ribeira a Lisbona...."", ""*...Tra gli edifici più importanti che andarono distrutti vi furono il palazzo della Ribeira, dimora della famiglia reale (scampata al terremoto in quanto quel giorno fuori città), e l'Hospital Real de Todos os Santos, il più grande edificio pubblico del tempo....""]","Avenida da Ribeira das Naus, São Nicolau, Santa Maria Maior, Lisbona, 1100-038, Portogallo","{""coordinates"": [-9.137305, 38.706604], ""type"": ""Point""}","Avenida da Ribeira das Naus, São Nicolau, Santa Maria Maior, Lisbona, 1100-038, Portogallo",highway,primary
18,Hospital Real de Todos os Santos,Hospital Real de Todos os Santos,"[""...Tra gli edifici più importanti che andarono distrutti vi furono il palazzo della Ribeira, dimora della famiglia reale (scampata al terremoto in quanto quel giorno fuori città), e l'Hospital Real de Todos os Santos, il più grande edificio pubblico del tempo....""]","Hospital de São José, Rua José António Serrano, Pena, Arroios, Lisbona, 1150-199, Portogallo","{""coordinates"": [-9.137947, 38.718199], ""type"": ""Point""}","Hospital de São José, Rua José António Serrano, Pena, Arroios, Lisbona, 1150-199, Portogallo",amenity,hospital
19,Baixa Pombalina,Baixa Pombalina,"['*...Dalla sua iniziativa sorse il quartiere centrale della Baixa, anche chiamato Baixa Pombalina....']","2ª Esquadra - Baixa Pombalina, 38, Rua da Prata, Baixa, Santa Maria Maior, Lisbona, 1100-413, Portogallo","{""coordinates"": [-9.136177, 38.709383], ""type"": ""Point""}","2ª Esquadra - Baixa Pombalina, 38, Rua da Prata, Baixa, Santa Maria Maior, Lisbona, 1100-413, Portogallo",amenity,police
20,Avenida da Liberdade,Avenida da Liberdade,"[""...Nel 1879 fu inaugurata l'Avenida da Liberdade, in sostituzione di un precedente Giardino pubblico, che divenne ben presto il salotto di Lisbona...."", '*...Avenida da Liberdade ;...', '*...Il 13 giugno, per festeggiare S. Antonio si organizza una parata spettacolare lungo Avenida da Liberdade:...', '*...Anche gli sposi sfilano per Avenida da Liberdade....']","Avenida da Liberdade, São José, Santo António, Lisbona, 1250-144, Portogallo","{""coordinates"": [-9.143611, 38.717349], ""type"": ""Point""}","Avenida da Liberdade, São José, Santo António, Lisbona, 1250-144, Portogallo",highway,residential
22,Terreiro do Paço,Terreiro do Paço,"[""...Il 1º febbraio 1908, mentre attraversava il Terreiro do Paço, l'attuale Praça do Comércio, accompagnato dalla sua famiglia, il re Carlo I di Portogallo fu assassinato con due colpi di pistola da due attentatori repubblicani....""]","Terreiro do Paço, Praça do Comércio, Madalena, Santa Maria Maior, Lisbona, 1100-148, Portogallo","{""coordinates"": [-9.13544, 38.707455], ""type"": ""Point""}","Terreiro do Paço, Praça do Comércio, Madalena, Santa Maria Maior, Lisbona, 1100-148, Portogallo",railway,subway_entrance
