,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Palazzo di Westminster,Palazzo di Westminster,"['...Inoltre, presso Buckingham Palace risiede stabilmente il monarca del Regno Unito, ed il Palazzo di Westminster ospita il Parlamento;...', ""*...L'edificio è poi divenuto la base del Palazzo di Westminster...."", ""*...La Chiesa di Santa Margherita è una Chiesa anglicana che si trova nel quartiere di City of Westminster in Parliament Square, accanto all'Abbazia di Westminster e di fronte al Palazzo di Westminster...."", '...A poca distanza il Palazzo di Westminster con la torre del Big Ben è la sede del parlamento del Regno Unito....', '*...La parte più antica conservata del Palazzo di Westminster è stata edificata nel 1097 ed è servito in origine come residenza del re inglese....', '*...Esso si trova a breve distanza dal Palazzo di Westminster, sito sulla riva opposta....']","Palazzo di Westminster, The Landing Place, Westminster, Millbank, Londra, Greater London, Inghilterra, SW1A 0AA, Regno Unito","{""coordinates"": [-0.124481, 51.499389], ""type"": ""Point""}","Palazzo di Westminster, The Landing Place, Westminster, Millbank, Londra, Greater London, Inghilterra, SW1A 0AA, Regno Unito",tourism,attraction
2,Downing Street,Downing Street,['*...Il numero 10 Downing Street è la residenza del Primo ministro e la sede del Governo del Regno Unito....'],"Downing Street, Westminster, Covent Garden, Londra, Greater London, Inghilterra, SW1A 2AG, Regno Unito","{""coordinates"": [-0.127174, 51.503218], ""type"": ""Point""}","Downing Street, Westminster, Covent Garden, Londra, Greater London, Inghilterra, SW1A 2AG, Regno Unito",highway,residential
4,Aeroporto di Heathrow,Aeroporto di Heathrow,"[""*...A ovest si trova la cittadina di Windsor, nota residenza estiva della Corona Inglese, vicino all'Aeroporto di Heathrow...."", ""...Più ad ovest, a White City, vicino Shepherd's Bush, si trova il centro principale della BBC, mentre nel margine più occidentale, nel distretto di Hillingdon, è situato l'Aeroporto di Heathrow...."", ""*...Paddington (collegata all'Aeroporto di Heathrow) ;...""]","Aeroporto di Londra-Heathrow, Eastchurch Road Roundabout, Hillingdon, Londra, Greater London, Inghilterra, TW6 1QB, Regno Unito","{""coordinates"": [-0.45878, 51.467739], ""type"": ""Point""}","Aeroporto di Londra-Heathrow, Eastchurch Road Roundabout, Hillingdon, Londra, Greater London, Inghilterra, TW6 1QB, Regno Unito",aeroway,aerodrome
5,London Bridge,London Bridge,"['...Il London Bridge....', ""...Altre importanti attrazioni turistiche includono la St Paul's Cathedral, la National Gallery, il Bankside di Southwark con il Globe Theatre, la Tate Modern e il London Bridge, il Tower Bridge e la Torre di Londra, Tate Britain, il British Museum a Bloomsbury...."", '*...London Bridge ;...']","London Bridge, Bermondsey Village, The Borough, London Borough of Southwark, Londra, Greater London, Inghilterra, SE1 9QQ, Regno Unito","{""coordinates"": [-0.088385, 51.50632], ""type"": ""Point""}","London Bridge, Bermondsey Village, The Borough, London Borough of Southwark, Londra, Greater London, Inghilterra, SE1 9QQ, Regno Unito",highway,primary
6,Tower Bridge,Tower Bridge,"['*...Quando a partire dal XVIII secolo si costruirono nuovi ponti, di cui il più famoso è il neogotico Tower Bridge, la città prese a espandersi in tutte le direzioni, favorita dal fatto che il suolo cittadino, una pianura alluvionale, non offre ostacoli alla crescita urbana....', ""...Altre importanti attrazioni turistiche includono la St Paul's Cathedral, la National Gallery, il Bankside di Southwark con il Globe Theatre, la Tate Modern e il London Bridge, il Tower Bridge e la Torre di Londra, Tate Britain, il British Museum a Bloomsbury....""]","Tower Bridge, Tower Bridge Road, Butler's Wharf, Bermondsey, London Borough of Southwark, Londra, Greater London, Inghilterra, SE1 2UP, Regno Unito","{""coordinates"": [-0.076717, 51.503641], ""type"": ""Point""}","Tower Bridge, Tower Bridge Road, Butler's Wharf, Bermondsey, London Borough of Southwark, Londra, Greater London, Inghilterra, SE1 2UP, Regno Unito",highway,bus_stop
12,Covent Garden,Covent Garden,"['*...Dal VII secolo, gli Anglosassoni crearono un nuovo insediamento chiamato Lundenwic (""insediamento di Londra"") a più di un miglio () a monte della città romana, intorno a quello che oggi è Covent Garden....', '*...Tuttavia dal secolo successivo si sviluppò un insediamento anglosassone leggermente a ovest della città romana, intorno a quello che oggi sono Covent Garden e lo Strand, arrivando ad una popolazione di circa  abitanti....', ""*...La Royal Opera House (spesso chiamata Covent Garden) che è sede de The Royal Opera e de The Royal Ballet, e il London Coliseum, dove si esibisce l'English National Opera, ENO...."", ""*...Sempre qui vi è ubicato il quartiere di Chinatown della città (a Soho) e un po' più ad est vi è Covent Garden, un edificio che ospita numerosi negozi...."", ""*...Il Royal Ballet, l'English National Ballet si esibiscono presso la Royal Opera House, e la English National Opera è ospitata dal London Coliseum, nei pressi di Covent Garden...."", ""*...Oltre al già citato Covent Garden, altri mercati importanti all'aperto si trovano presso Petticoat Lane Market e Portobello Road....""]","Covent Garden, Seven Dials, Covent Garden, Londra, Greater London, Inghilterra, WC2E 8HB, Regno Unito","{""coordinates"": [-0.123377, 51.511692], ""type"": ""Point""}","Covent Garden, Seven Dials, Covent Garden, Londra, Greater London, Inghilterra, WC2E 8HB, Regno Unito",highway,pedestrian
13,Vauxhall Bridge,Vauxhall Bridge,"[""*...Nel 1999 furono trovati i resti di un ponte dell'età del bronzo sul litorale a nord di Vauxhall Bridge...."", '*...Nel 2010 le fondamenta di una struttura in legno di grandi dimensioni, risalente al 4500 a.C., sono state rinvenute sulla battigia del Tamigi, a sud di Vauxhall Bridge....']","Vauxhall Bridge, Millbank, City of Westminster, Greater London, Inghilterra, SW1P 4RP, Regno Unito","{""coordinates"": [-0.129104, 51.488614], ""type"": ""Point""}","Vauxhall Bridge, Millbank, City of Westminster, Greater London, Inghilterra, SW1P 4RP, Regno Unito",highway,cycleway
14,Strand,Strand,"['...Tuttavia dal secolo successivo si sviluppò un insediamento anglosassone leggermente a ovest della città romana, intorno a quello che oggi sono Covent Garden e lo Strand, arrivando ad una popolazione di circa  abitanti....', ""*...Qualcuna è nella City, ma la maggior parte si trova un po' più ad ovest, a Mayfair, St. James's, sullo Strand, o in altre zone....""]","Strand, Seven Dials, Covent Garden, Londra, Greater London, Inghilterra, WC2N 5EJ, Regno Unito","{""coordinates"": [-0.127225, 51.507515], ""type"": ""Point""}","Strand, Seven Dials, Covent Garden, Londra, Greater London, Inghilterra, WC2N 5EJ, Regno Unito",highway,primary
16,Abbazia di Westminster,Abbazia di Westminster,"[""...Nell'XI secolo re Edoardo il Confessore rifondò e ricostruì l'Abbazia di Westminster e Westminster, posta a breve distanza da Londra, divenne la preferita tra le residenze reali...."", ""*...La Chiesa di Santa Margherita è una Chiesa anglicana che si trova nel quartiere di City of Westminster in Parliament Square, accanto all'Abbazia di Westminster e di fronte al Palazzo di Westminster...."", ""...Alla periferia della City of Westminster vi è l'Abbazia di Westminster, dove, tradizionalmente, i re d'Inghilterra vengono incoronati e sepolti...."", '...Londra si trova nel sud-est della Gran Bretagna, sulle rive del fiume Tamigi a poche ore dal Passo di Calais, che separa il Regno Unito dalla Francia attraverso il canale della Manica....', ""...Il fiume, che l'attraversa scorrendo da ovest a est, ha avuto un'enorme influenza sullo sviluppo della città...."", '...Ad est il porto di Londra fu ampliato a valle....', '...La cattedrale ha una base a croce allineata in direzione est-ovest....', ""*...Negli ultimi anni, l'eccessiva congestione della City ha fatto emergere come distretto finanziario alternativo la zona di Canary Wharf, nella parte Est di Londra (East London)...."", ""...Piccadilly è un'importante ed elegante arteria del cuore che congiunge Piccadilly Circus a est con Hyde Park Corner a ovest...."", ""...Un poco più a est, nel distretto di Newham, sorgono l'Aeroporto di Londra-City e l'ExCeL Exhibition Centre...."", ""...Sempre qui vi è ubicato il quartiere di Chinatown della città (a Soho) e un po' più ad est vi è Covent Garden, un edificio che ospita numerosi negozi...."", '...City - il quinto per traffico, è principalmente dedicato al traffico di jet privati anche se non esclusivo. Questo Aeroporto è il più vicino alla città ed è situato a  ad est del centro della città. Circa 4,5 milioni di passeggeri hanno usato questo Aeroporto nel 2016....', ""...Southend - il sesto per traffico, è il più piccolo e distante da Londra, situato nella contea dell'Essex, vicino alla costa, a  a est dalla capitale. Nato anch'esso come Aeroporto militare, gestisce pochi voli, anche internazionali, senza però raggiungere il milione di passeggeri l'anno. Anche per questo Aeroporto è previsto un progetto di ampliamento che dovrebbe incrementare il flusso di passeggeri fino a raggiungere i 2 milioni di passeggeri l'anno...."", '...La Docklands Light Railway (DLR) è un servizio ferroviario leggero operante nella zona est di Londra....', '...Si estende a nord fino a Stratford, a sud fino a Lewisham, ad est fino a Woolwich Arsenal, in apertura nel 2009, e si collega col centro alle stazioni di Bank (Città di Londra) e Tower Gateway, vicino alla stazione di Tower Hill (Underground)....']","Abbazia di Westminster, 20, Dean's Yard, Westminster, Millbank, Londra, Greater London, Inghilterra, SW1P 3PA, Regno Unito","{""coordinates"": [-0.127391, 51.499399], ""type"": ""Point""}","Abbazia di Westminster, 20, Dean's Yard, Westminster, Millbank, Londra, Greater London, Inghilterra, SW1P 3PA, Regno Unito",amenity,place_of_worship
18,Westminster Hall,Westminster Hall,"[""*...Nel 1097 Guglielmo II iniziò la costruzione della Westminster Hall, vicino all'omonima abbazia....""]","Westminster Hall, Westminster, Millbank, City of Westminster, Greater London, Inghilterra, SW1A 0PW, Regno Unito","{""coordinates"": [-0.125362, 51.49992], ""type"": ""Point""}","Westminster Hall, Westminster, Millbank, City of Westminster, Greater London, Inghilterra, SW1A 0PW, Regno Unito",tourism,attraction
