,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Mediolanum,Mediolanum,"[""*...Fondata intorno al 590 a.C. da una tribù celtica facente parte del gruppo degli Insubri e appartenente alla cultura di Golasecca, fu conquistata dagli antichi Romani nel 222 a.C. Con il passare dei secoli, Mediolanum accrebbe la sua importanza sino a divenire capitale dell'Impero romano d'Occidente;..."", '*...Il nome antico di Milano è attestato come Mediolanum presso le antiche fonti scritte latine e come Mediólanon presso le fonti greche....', '*...Il simbolo trascritto ś è qui usato per rappresentare una /d/ etimologica, come mostrano altri usi di tale simbolo in celtico, oltre al fatto che questo stesso segno ᛞ in runico ha precisamente il valore di /d/.\nIn Mediolanum i linguisti riconoscono, tradizionalmente, un termine composto formato dalle parole medio e (p)lanum, ovvero ""in mezzo alla pianura"" o ""pianura di mezzo"", con *planum divenuto lanum con caduta della p- di inizio di parola, che è tipica delle lingue celtiche....', ""*...Il suono dh, presente nella ricostruzione dell'indeuropeo rappresenta una media aspirata, e le medie aspirate in celtico sono ricadute nelle medie, per cui non stupisce trovare il suono d in Mediolanum, mentre non è chiaro che valore avrebbe dh nella ricostruzione *Medhelan...."", '*...Il nome originario, tramandato dagli autori latini come Mediolanum (Tacito, Plinio il vecchio) o Mediolanium (Tito Livio) e da quelli greci come Μεδιόλανον (Polibio, Plutarco, Cassio Dione) o Μεδιολάνιον (Strabone), compare in un antico graffito celtico nella forma Meśiolano (dove ś rende, molto probabilmente, il suono /d/)....', '...Ecco cosa racconta Ausonio della Mediolanum del 380-390:...', ""*...L'antica Mediolanum era difesa da una cinta muraria provvista di torri e da quattro fortificazioni, il Castrum Vetus, il Castrum Portae Novae, l'Arx Romana e il Castrum Portae Jovis...."", ""*...A Milano è giunta la testimonianza tangibile delle mura romane di Milano (costruite in due fasi, una in epoca repubblicana attorno al 49 a.C. ed una seconda dopo il 291 in epoca imperiale al tempo dell'imperatore Massimiano quando Mediolanum divenne capitale dell'Impero romano d'Occidente), del Teatro romano di Milano (realizzato in età augustea tra la fine del I secolo a.C. e l'inizio del I secolo), del foro romano di Milano (ovvero della piazza principale del centro cittadino fin dalla fondazione della città romana in epoca repubblicana) e dell'anfiteatro romano di Milano, terza struttura di questo tipo per dimensioni in tutto l'impero dopo il Colosseo e l'anfiteatro di Capua...."", ""*...Altri resti romani che si trovano a Milano sono quelli del circo romano di Milano (che ebbe diverse ed importanti funzioni durante l'epoca in cui Mediolanum fu capitale dell'Impero romano d'Occidente), del palazzo imperiale romano di Milano (antica struttura costruita dall'imperatore Massimiano dopo il 291 circa quando Mediolanum divenne capitale imperiale), delle Terme Erculee (erette anch'esse tra la fine del III secolo e l'inizio del IV dall'imperatore Massimiano), dei magazzini annonari romani di Milano (che risalgono all'età flavia e all'epoca tardo imperiale) e del Mausoleo imperiale di San Vittore al Corpo (antica costruzione romana a pianta circolare databile verso la fine del IV secolo che probabilmente accolse le tombe della famiglia dei Valentiniani)...."", ""*...La prima forma di governo locale a Milano risale all'epoca romana quando, nel 49 a.C., l'antica Mediolanum venne elevata da Cesare, nell'ambito della Lex Roscia, allo status di municipium...."", ""*...Al momento della fondazione del suo centro abitato Milano aveva probabilmente un'estensione di 12 ettari, diventati 60 ettari (0,6 km²) durante l'epoca romana repubblicana e 100 ettari (1 km²) nell'epoca imperiale, quando Mediolanum divenne capitale dell'Impero romano d'Occidente....""]","Mediolanum, 11, Via Giacomo Matteotti, Pasquè, Lucernate, Rho, Milano, Lombardia, 20017, Italia","{""coordinates"": [9.042499, 45.529088], ""type"": ""Point""}","Mediolanum, 11, Via Giacomo Matteotti, Pasquè, Lucernate, Rho, Milano, Lombardia, 20017, Italia",amenity,bank
4,Teatro alla Scala,Teatro alla Scala,"[""*...In ambito culturale, Milano è il principale centro italiano dell'editoria ed è ai vertici del circuito musicale mondiale grazie alla stagione lirica del Teatro alla Scala e alla sua lunga tradizione operistica...."", ""...Il Teatro alla Scala, Palazzo Marino, la Rinascente, la sede del Corriere della Sera, gli stabilimenti della Pirelli, dell'Alfa Romeo e della Breda vennero pesantemente bombardati mentre la Galleria Vittorio Emanuele fu scoperchiata...."", '*...A breve distanza si trova il settecentesco Teatro alla Scala, uno dei teatri lirici più famosi al mondo....', ""...All'Accademia Teatro alla Scala si può combinare la scuola dell'obbligo con una scuola di danza classica...."", '...L\'ente lirico di Milano è il Teatro alla Scala, che è uno dei teatri più famosi al mondo e che è conosciuto per essere il ""tempio della lirica""....', '...Il Teatro alla Scala prende il nome dalla Chiesa di Santa Maria alla Scala, in seguito demolita, che derivò a sua volta la denominazione dalla sua fondatrice, Regina della Scala, della dinastia degli Scaligeri di Verona....', ""*...La tradizione operistica milanese, importata da Venezia e sempre sostenuta dalla città, è iniziata nella corte spagnola ai tempi del Salone Margherita, così chiamato in onore di Margherita d'Austria-Stiria, ed esaltata dalla presenza del Regio Ducal Teatro e successivamente del Teatro alla Scala:...""]","Teatro alla Scala, 1, Piazza della Scala, Duomo, Municipio 1, Milano, Lombardia, 20021, Italia","{""coordinates"": [9.18912, 45.467605], ""type"": ""Point""}","Teatro alla Scala, 1, Piazza della Scala, Duomo, Municipio 1, Milano, Lombardia, 20021, Italia",tourism,attraction
5,Ticino,Ticino,"['*...Milano occupa un\'area di 181,67\xa0km² nella parte occidentale della Lombardia, situata a 25\xa0km a est del fiume Ticino, a 25\xa0km a ovest del fiume Adda, a 35\xa0km a nord del fiume Po e a 50\xa0km a sud del lago di Como, lungo la cosiddetta ""fascia delle risorgive"", laddove vi è l\'incontro, nel sottosuolo, tra strati geologici a differente permeabilità, aspetto che permette alle acque profonde di riaffiorare in superficie....', '*...Secondo la tradizione leggendaria riportata da Tito Livio e poi ripresa in epoca medioevale da Bonvesin de la Riva la fondazione di Milano avvenne nel VI secolo a.C. nel luogo dove fu trovata una scrofa semilanuta, per opera della tribù celtica guidata da Belloveso, che sconfisse gli Etruschi, popolazione che fino ad allora aveva dominato la zona, nella battaglia del Ticino....']","Via del Ticino, Forze Armate, Municipio 7, Milano, Lombardia, 20153, Italia","{""coordinates"": [9.121313, 45.47095], ""type"": ""Point""}","Via del Ticino, Forze Armate, Municipio 7, Milano, Lombardia, 20153, Italia",highway,residential
6,Adda,Adda,"['*...Milano occupa un\'area di 181,67\xa0km² nella parte occidentale della Lombardia, situata a 25\xa0km a est del fiume Ticino, a 25\xa0km a ovest del fiume Adda, a 35\xa0km a nord del fiume Po e a 50\xa0km a sud del lago di Como, lungo la cosiddetta ""fascia delle risorgive"", laddove vi è l\'incontro, nel sottosuolo, tra strati geologici a differente permeabilità, aspetto che permette alle acque profonde di riaffiorare in superficie....']","Adda, Via Milano, Maggiore, Bormio, Comunità montana Alta Valtellina, Sondrio, Lombardia, 23032, Italia","{""coordinates"": [10.362278, 46.462374], ""type"": ""Point""}","Adda, Via Milano, Maggiore, Bormio, Comunità montana Alta Valtellina, Sondrio, Lombardia, 23032, Italia",amenity,restaurant
7,Bozzente,Bozzente,"[""*...I corsi d'acqua più importanti che interessano la Milano moderna e la sua area metropolitana sono i fiumi Lambro, Olona e Seveso, i torrenti Bozzente, Garbogera, Lura, Merlata e Pudiga, i navigli della Martesana, Grande, Pavese, di Bereguardo, di Paderno e Vettabbia, e i corsi d'acqua artificiali Ticinello, Vetra, Redefossi, Cavo Ticinello e Lambro Meridionale....""]","Via Bozzente, Lucernate, Rho, Milano, Lombardia, 20017, Italia","{""coordinates"": [9.034082, 45.528438], ""type"": ""Point""}","Via Bozzente, Lucernate, Rho, Milano, Lombardia, 20017, Italia",highway,residential
8,Martesana,Martesana,"[""*...I corsi d'acqua più importanti che interessano la Milano moderna e la sua area metropolitana sono i fiumi Lambro, Olona e Seveso, i torrenti Bozzente, Garbogera, Lura, Merlata e Pudiga, i navigli della Martesana, Grande, Pavese, di Bereguardo, di Paderno e Vettabbia, e i corsi d'acqua artificiali Ticinello, Vetra, Redefossi, Cavo Ticinello e Lambro Meridionale....""]","Martesana, 7, Piazza Sant'Agostino, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia","{""coordinates"": [9.170093, 45.45821], ""type"": ""Point""}","Martesana, 7, Piazza Sant'Agostino, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",shop,pastry
11,Lambro Meridionale,Lambro Meridionale,"[""*...I corsi d'acqua più importanti che interessano la Milano moderna e la sua area metropolitana sono i fiumi Lambro, Olona e Seveso, i torrenti Bozzente, Garbogera, Lura, Merlata e Pudiga, i navigli della Martesana, Grande, Pavese, di Bereguardo, di Paderno e Vettabbia, e i corsi d'acqua artificiali Ticinello, Vetra, Redefossi, Cavo Ticinello e Lambro Meridionale...."", '*...Alcune teorie diffuse in scritti non specialistici, che ignorano l\'esistenza di una sicura attestazione del nome celtico offerta dal graffito sopra ricordato, fanno riferimento ad un ipotetico toponimo celtico Medhelan, che avrebbe il significato di ""in mezzo alla pianura"", vista la sua posizione centrale nella Pianura Padana, oppure di ""luogo fra corsi d\'acqua"" data la presenza dei fiumi Olona, Lambro, Seveso e dei torrenti Nirone e Pudiga;...', '...Il Parco Lambro, il Parco Forlanini, il Parco delle Cave, il Boscoincittà e il Parco di Trenno....']","Alzaia Lambro Meridionale, Pontesesto, Quinto de' Stampi, Rozzano, Milano, Lombardia, 20072, Italia","{""coordinates"": [9.182044, 45.382234], ""type"": ""Point""}","Alzaia Lambro Meridionale, Pontesesto, Quinto de' Stampi, Rozzano, Milano, Lombardia, 20072, Italia",highway,track
14,conca dell'Incoronata,conca dell'Incoronata,"[""...Tra le architetture degne di nota ad essi collegati, si annoverano svariate conche di navigazione (tra cui la conca dell'Incoronata, la conca di Viarenna, la conca Fallata e la conchetta), alcuni mulini ad acqua (tra cui Molino Dorino e Mulino Vettabbia) e il ponte delle Gabelle....""]","Conca dell'Incoronata, Via San Marco, Brera, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.189282, 45.479231], ""type"": ""Point""}","Conca dell'Incoronata, Via San Marco, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",tourism,attraction
16,conca Fallata,conca Fallata,"[""...Tra le architetture degne di nota ad essi collegati, si annoverano svariate conche di navigazione (tra cui la conca dell'Incoronata, la conca di Viarenna, la conca Fallata e la conchetta), alcuni mulini ad acqua (tra cui Molino Dorino e Mulino Vettabbia) e il ponte delle Gabelle....""]","Osteria Della Conca Fallata, Via della Chiesa Rossa, Stadera, Municipio 5, Milano, Lombardia, 20142, Italia","{""coordinates"": [9.169781, 45.42611], ""type"": ""Point""}","Osteria Della Conca Fallata, Via della Chiesa Rossa, Stadera, Municipio 5, Milano, Lombardia, 20142, Italia",amenity,restaurant
17,Molino Dorino,Molino Dorino,"[""*...Tra le architetture degne di nota ad essi collegati, si annoverano svariate conche di navigazione (tra cui la conca dell'Incoronata, la conca di Viarenna, la conca Fallata e la conchetta), alcuni mulini ad acqua (tra cui Molino Dorino e Mulino Vettabbia) e il ponte delle Gabelle....""]","Molino Dorino, Ciclabile Pero - Molino Dorino, Gallaratese, Quartiere Gallaratese, Municipio 8 di Milano, Milano, Lombardia, 20016, Italia","{""coordinates"": [9.093318, 45.505154], ""type"": ""Point""}","Molino Dorino, Ciclabile Pero - Molino Dorino, Gallaratese, Quartiere Gallaratese, Municipio 8 di Milano, Milano, Lombardia, 20016, Italia",railway,station
