,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Isar,Isar,"[""*...Situata sulle rive del fiume Isar, dopo Berlino ed Amburgo è la terza città tedesca per numero di abitanti, con una popolazione di circa 1\xa0488\xa0202 (31-12-2020) residenti nel comune, 1\xa0808\xa0550 se si considera anche il circondario e circa 2,9 milioni nell'area metropolitana...."", ""*...La città viene attraversata dall'Isar e a sud si stendono boschi di conifere con laghi di notevole estensione, tra cui, verso ovest, il lago di Starnberg e l'Ammersee...."", '*...La Chiesa di San Giovanni Battista, costruita tra il 1852 e il 1874, è la più grande Chiesa a est del fiume Isar. Il campanile è alto 97 metri ed è il terzo in quanto altezza a Monaco di Baviera....', ""*...Maximilianstraße, neo-gotica, inizia da Max-Joseph-Platz, dove si trovano la Residenz e il Teatro Nazionale e prosegue da ovest a est. Il viale è contornato da edifici neogotici che ospitano, tra gli altri, il Münchner Kammerspiele, il Museo di etnologia e il Palazzo del governo del distretto dell'Alta Baviera. Dopo aver attraversato il fiume Isar, il viale gira intorno al Maximilianeum, sede del parlamento bavarese. La parte occidentale della Maximilianstraße è conosciuta per i suoi negozi di design, boutique di lusso, negozi di gioielli e uno dei più importanti alberghi a cinque stelle di Monaco, l'Hotel Vier Jahreszeiten...."", ""*...Prinzregentenstraße si estende dalla Maximilianstrasse e comincia a Prinz-Carl-Palais. Molti musei si trovano lungo il viale, come l'Haus der Kunst, il Museo nazionale bavarese e la Schackgalerie. Il viale attraversa il fiume Isar e raggiunge il monumento dell'Angelo della Pace passando da Villa Stuck. Il Prinzregententheater si trova più ad est a Prinzregentenplatz...."", '*...Il fiume Isar è attraversato da molti ponti, tra cui ricordiamo:...', ""*...Lo zoo della città è lo zoo di Hellabrunn, vicino all'isola Flaucher nel Isar, nel sud della città...."", ""*...Il Deutsches Museum, situato su un'isola nel fiume Isar, è uno dei musei scientifici più antichi e prestigiosi del mondo...."", ""*...Un'altra area per le arti, situata nei pressi della Kunstareal, è il quartiere Lehel tra la città vecchia e il fiume Isar...."", ""*...Tre volte l'anno, nel quartiere di Au sulla riva destra dell'Isar si tiene la fiera-Mercato dell'Auer Dult, molto frequentata per le giostre e il grande assortimento di mercanzie in vendita (soprattutto porcellane e oggetti d'antiquariato)....""]","Isar, An der Schloßmauer, Nymphenburg, Neuhausen-Nymphenburg, Pasing-Obermenzing, Monaco, Baviera, Germania","{""coordinates"": [11.485962, 48.157682], ""type"": ""Point""}","Isar, An der Schloßmauer, Nymphenburg, Neuhausen-Nymphenburg, Pasing-Obermenzing, Monaco, Baviera, Germania",tourism,artwork
3,Ammersee,Ammersee,"[""...La città viene attraversata dall'Isar e a sud si stendono boschi di conifere con laghi di notevole estensione, tra cui, verso ovest, il lago di Starnberg e l'Ammersee....""]","Ammerseestraße, Friedenheim, Land in Sonne, Sendling-Westpark, Monaco, Baviera, 80686, Germania","{""coordinates"": [11.507434, 48.125872], ""type"": ""Point""}","Ammerseestraße, Friedenheim, Land in Sonne, Sendling-Westpark, Monaco, Baviera, 80686, Germania",highway,secondary
5,Ruhmeshalle,Ruhmeshalle,"['*...Molti degli edifici e delle piazze più belle di questo periodo sono stati costruiti durante i regni di Ludovico I e Massimiliano II, come la Ruhmeshalle o molti palazzi della Ludwigstraße e del Königsplatz (opere degli architetti Leo von Klenze e Friedrich von Gärtner) e la statua della Baviera di Ludwig Michael von Schwanthaler....']","Ruhmeshalle, Theresienhöhe, Schwanthalerhöhe, Monaco, Baviera, 80339, Germania","{""coordinates"": [11.545646, 48.130719], ""type"": ""Point""}","Ruhmeshalle, Theresienhöhe, Schwanthalerhöhe, Monaco, Baviera, 80339, Germania",tourism,attraction
6,Ludwigstraße,Ludwigstraße,"['*...Molti degli edifici e delle piazze più belle di questo periodo sono stati costruiti durante i regni di Ludovico I e Massimiliano II, come la Ruhmeshalle o molti palazzi della Ludwigstraße e del Königsplatz (opere degli architetti Leo von Klenze e Friedrich von Gärtner) e la statua della Baviera di Ludwig Michael von Schwanthaler....']","Ludwigstraße, Schönfeldvorstadt, Maxvorstadt, Monaco, Baviera, 80539, Germania","{""coordinates"": [11.578618, 48.14483], ""type"": ""Point""}","Ludwigstraße, Schönfeldvorstadt, Maxvorstadt, Monaco, Baviera, 80539, Germania",highway,tertiary
7,Königsplatz,Königsplatz,"['*...Molti degli edifici e delle piazze più belle di questo periodo sono stati costruiti durante i regni di Ludovico I e Massimiliano II, come la Ruhmeshalle o molti palazzi della Ludwigstraße e del Königsplatz (opere degli architetti Leo von Klenze e Friedrich von Gärtner) e la statua della Baviera di Ludwig Michael von Schwanthaler....', '*...Il quartier generale del NSDAP fu stabilito a Monaco e costruito, assieme ad altri edifici connessi al partito, a Königsplatz;...', ""*...Königsplatz, la Piazza del Re, vastissima e quadrangolare, venne aperta per volere di Ludovico I di Baviera. Vi prospettano edifici neoclassici eretti su progetto di Leo von Klenze. A ovest sono i Propyläen, del 1846-62, a colonne d'ordine dorico; a nord è la Gliptoteca, il più bell'edificio neoclassico di Monaco, eretto nel 1816-34 in ordine ionico; e a sud, è la Ausstellungsgebäude, corinzia del 1838-48, che accoglie la Staatliche Antikensammlungen. Sul lato posteriore di quest'ultima sorge l'enorme Abbazia di San Bonifacio, eretta nel 1834-37 sullo stile delle antiche basiliche paleocristiane. La zona intorno a Königsplatz è sede del Kunstareal, il quartiere dei musei di Monaco.  ...."", '...Brienner Straße, neoclassica, parte da Odeonsplatz ai margini settentrionali del centro storico vicino alla Residenz e prosegue da est verso ovest, dove si apre la Königsplatz....']","Königsplatz, Maxvorstadt, Monaco, Baviera, 80333, Germania","{""coordinates"": [11.565813, 48.145718], ""type"": ""Point""}","Königsplatz, Maxvorstadt, Monaco, Baviera, 80333, Germania",highway,path
10,Frauenkirche,Frauenkirche,"['...La Frauenkirche, nota anche come la Cattedrale di Nostra Signora (Dom zu unserer lieben Frau), è una delle costruzioni più famose del centro della città....', '*...Le torri della Frauenkirche (ma non la Chiesa stessa) sopravvissero intatte alla guerra, ed oggi hanno oltre 400 anni....']","Frauenkirche, 1, Frauenplatz, Kreuzviertel, Altstadt-Lehel, Monaco, Baviera, 80331, Germania","{""coordinates"": [11.573592, 48.138582], ""type"": ""Point""}","Frauenkirche, 1, Frauenplatz, Kreuzviertel, Altstadt-Lehel, Monaco, Baviera, 80331, Germania",amenity,place_of_worship
12,Michaelskirche,Michaelskirche,"['...La Michaelskirche, Chiesa di San Michele è la più grande Chiesa rinascimentale a nord delle Alpi. Venne scrupolosamente e mirabilmente ricostruita dopo la guerra....']","Michaelskirche, 21a, Grusonstraße, Grusonsiedlung, Freimann, Schwabing-Freimann, Monaco, Baviera, 80939, Germania","{""coordinates"": [11.593199, 48.203132], ""type"": ""Point""}","Michaelskirche, 21a, Grusonstraße, Grusonsiedlung, Freimann, Schwabing-Freimann, Monaco, Baviera, 80939, Germania",amenity,place_of_worship
15,Theatinerkirche,Theatinerkirche,"[""...La Theatinerkirche, Chiesa di San Gaetano dei Teatini, è una grande basilica in stile barocco italiano, modello che ha influenzato l'architettura barocca tedesca del sud...."", '*...Odeonsplatz, animata piazza monumentale di Monaco, è dominata dalla cupola della Theatinerkirche. Vi prospettano inoltre una parte del lungo fronte rinascimentale della Residenz e la Feldherrnhalle, la Loggia dei Marescialli, costruita nel 1841-44, per volere di Ludovico I di Baviera, su progetto di Friedrich von Gärtner che si ispirò alla Loggia della Signoria di Firenze. La loggia venne costruita per onorare gli eroi della Baviera ;...']","Theatinerkirche Südturm, Theatinerstraße, Graggenauerviertel, Graggenau, Altstadt-Lehel, Monaco, Baviera, 80333, Germania","{""coordinates"": [11.576909, 48.141822], ""type"": ""Point""}","Theatinerkirche Südturm, Theatinerstraße, Graggenauerviertel, Graggenau, Altstadt-Lehel, Monaco, Baviera, 80333, Germania",man_made,tower
22,Bürgersaalkirche,Bürgersaalkirche,"[""...La Bürgersaalkirche è un bell'oratorio barocco sito lungo la centrale Neuhauser Straße. Eretto dal grigionese Giovanni Antonio Viscardi nel 1710, conserva all'interno delicati stucchi del milanese F. Appiani....""]","Bürgersaalkirche, 14, Neuhauser Straße, Kreuzviertel, Altstadt-Lehel, Monaco, Baviera, 80331, Germania","{""coordinates"": [11.568251, 48.139018], ""type"": ""Point""}","Bürgersaalkirche, 14, Neuhauser Straße, Kreuzviertel, Altstadt-Lehel, Monaco, Baviera, 80331, Germania",amenity,place_of_worship
23,Neuhauser Straße,Neuhauser Straße,"[""*...La Bürgersaalkirche è un bell'oratorio barocco sito lungo la centrale Neuhauser Straße. Eretto dal grigionese Giovanni Antonio Viscardi nel 1710, conserva all'interno delicati stucchi del milanese F. Appiani....""]","Neuhauser Straße, Kreuzviertel, Altstadt-Lehel, Monaco, Baviera, 80331, Germania","{""coordinates"": [11.570396, 48.138472], ""type"": ""Point""}","Neuhauser Straße, Kreuzviertel, Altstadt-Lehel, Monaco, Baviera, 80331, Germania",highway,pedestrian
