,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Piazza Rossa,Piazza Rossa,"[""...Il Cremlino e la Piazza Rossa sono uno dei vari siti Patrimonio dell'umanità situati nel territorio dell'oblast' moscovita...."", '*...Progettò spaziose gallerie di negozi, in particolare i grandi magazzini GUM sulla Piazza Rossa....', ""...Alcune delle più famose attrazioni includono la città, patrimonio mondiale dell'UNESCO, il Cremlino di Mosca e la Piazza Rossa, che è stato costruito tra il XIV e XVII secolo...."", ""*...Il 9 settembre 2017 è stato inaugurato il Parco Zarjad'e a poca distanza dal Cremlino e dalla Piazza Rossa...."", ""...Durante il periodo di 1920-1930 un gran numero di chiese della città furono demolite, compreso lo storico Monastero Chudov al Cremlino, risalente al XIV secolo, la Cattedrale di Kazan' sulla Piazza Rossa, la Cattedrale di Cristo Salvatore, costruita nel XIX secolo in memoria della vittoria sull'esercito di Napoleone nel 1812, e molte altre...."", '...Il Museo statale di storia della Russia (Государственный Исторический музей) è un Museo di storia russa situato tra la Piazza Rossa e Piazza del Maneggio....']","Piazza Rossa, 4, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, Russia","{""coordinates"": [37.62138, 55.753628], ""type"": ""Point""}","Piazza Rossa, 4, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, Russia",highway,pedestrian
1,' moscovita,' moscovita,"[""*...Il Cremlino e la Piazza Rossa sono uno dei vari siti Patrimonio dell'umanità situati nel territorio dell'oblast' moscovita....""]","Московский институт теплотехники, Отрадная улица, район Отрадное, Mosca, Distretto Federale Centrale, 127273, Russia","{""coordinates"": [37.604038, 55.855636], ""type"": ""Point""}","Московский институт теплотехники, Отрадная улица, район Отрадное, Mosca, Distretto Federale Centrale, 127273, Russia",amenity,research_institute
3,Terra,Terra,"[""*...Con più di 13 milioni di abitanti (18 milioni considerando l'area metropolitana), è la città più popolosa del Paese, la seconda città d'Europa per popolazione e superficie dopo Istanbul, la decima città più popolosa del mondo, la città con oltre di 10 milioni di persone più settentrionale al mondo nonché, a causa del suo rigido clima continentale, la megalopoli più settentrionale e fredda della Terra....""]","Greca Terra, Таганская улица, Таганский район, Mosca, Distretto Federale Centrale, 109147, Russia","{""coordinates"": [37.658261, 55.741203], ""type"": ""Point""}","Greca Terra, Таганская улица, Таганский район, Mosca, Distretto Federale Centrale, 109147, Russia",shop,wine
4,Cattedrale di San Basilio,Cattedrale di San Basilio,"[""*...Mosca è rinomata per i suoi stili architettonici unici e ammirabili in un gran numero di edifici storici, fra cui la celebre Cattedrale di San Basilio con le sue cupole a cipolla colorate, la Cattedrale di Cristo Salvatore, i magazzini GUM e l'Esposizione delle conquiste dell'economia nazionale...."", '...La città è nota soprattutto per la Cattedrale di San Basilio, con le sue fastose cupole a cipolla, così come la Cattedrale di Cristo Salvatore e le Sette Sorelle....']","Cattedrale di San Basilio, 2, Piazza Rossa, 2, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia","{""coordinates"": [37.623063, 55.752488], ""type"": ""Point""}","Cattedrale di San Basilio, 2, Piazza Rossa, 2, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia",place,house
5,Cattedrale di Cristo Salvatore,Cattedrale di Cristo Salvatore,"[""...Mosca è rinomata per i suoi stili architettonici unici e ammirabili in un gran numero di edifici storici, fra cui la celebre Cattedrale di San Basilio con le sue cupole a cipolla colorate, la Cattedrale di Cristo Salvatore, i magazzini GUM e l'Esposizione delle conquiste dell'economia nazionale...."", '...La città è nota soprattutto per la Cattedrale di San Basilio, con le sue fastose cupole a cipolla, così come la Cattedrale di Cristo Salvatore e le Sette Sorelle....', ""...Alcuni esempi notevoli sono la Cattedrale di Kazan' e la Cattedrale di Cristo Salvatore...."", ""...Il Bul'varnoe Kol'co non è tecnicamente un anello perché non forma un cerchio completo, ma piuttosto un arco simile a un ferro di cavallo che incomincia presso la Cattedrale di Cristo Salvatore e termina al fiume Jauza...."", ""...Durante il periodo di 1920-1930 un gran numero di chiese della città furono demolite, compreso lo storico Monastero Chudov al Cremlino, risalente al XIV secolo, la Cattedrale di Kazan' sulla Piazza Rossa, la Cattedrale di Cristo Salvatore, costruita nel XIX secolo in memoria della vittoria sull'esercito di Napoleone nel 1812, e molte altre...."", ""*...Tra le chiese ricostruite negli anni novanta vi è l'impressionante nuova Cattedrale di Cristo Salvatore, che ancora una volta è diventata un punto di riferimento della città....""]","Cattedrale di Cristo Salvatore, 15, улица Волхонка, 31, район Хамовники, Mosca, Distretto Federale Centrale, 119019, Russia","{""coordinates"": [37.60551, 55.744524], ""type"": ""Point""}","Cattedrale di Cristo Salvatore, 15, улица Волхонка, 31, район Хамовники, Mosca, Distretto Federale Centrale, 119019, Russia",amenity,place_of_worship
12,Volga,Volga,"['*...Mosca si trova nel circondario federale centrale (nella porzione europea del Paese), tra i fiumi Oka e Volga....']","Волга, 2, Докучаев переулок, Красносельский район, Mosca, Distretto Federale Centrale, 107078, Russia","{""coordinates"": [37.640704, 55.774385], ""type"": ""Point""}","Волга, 2, Докучаев переулок, Красносельский район, Mosca, Distretto Federale Centrale, 107078, Russia",tourism,hotel
13,Moscova,Moscova,"[""*...Fu fondata nell'anno 1147 da Jurij Dolgorukij sulle sponde del fiume Moscova...."", '*...Mosca giace sulle rive del fiume Moscova;...', '*...La sua posizione favorevole sulle rive del fiume Moscova contribuì a una rapida espansione....', '*...Affacciata sul fiume Moscova la promenade è immaginata come un luogo di aggregazione con ristoranti, bar e negozi, collegata alla vicina Kutuzovskiy Prospekt tramite un Parco che prevede zone pubbliche, semi-pubbliche, private con diverse tipologie di verde, prati, vegetazione bassa, bosco alberato....', ""*...La parte principale (689\xa0000 metri quadrati) lungo il fiume Moscova contiene attrazioni per bambini (compresi una ruota panoramica, specchi d'acqua con barche e biciclette d'acqua)...."", ""*...Il complesso include otto aree tematiche e un centro commerciale, tutto sotto lo stesso tetto, un'estensione di 30 ettari, all'esterno c'è un Parco ampio 44 ettari, una sala concerti polifunzionale da 3.500 posti, una passeggiata lungo il fiume Moscova di 2 chilometri, una scuola di vela per bambini e un hotel 4 stelle con 410 camere...."", ""*...La galleria Tret'jakov antica, che è la galleria originale e si trova sulla riva sud del fiume Moscova, ed espone lavori della classica tradizione russa...."", '*...Sulla Moscova, che attraversa la città, vi sono i due porti fluviali cittadini, uno a sud e uno a nord del tratto urbano del fiume....', ""*...Molte rotte sulla Moscova e sull'Oka, vengono utilizzate principalmente per crociere di intrattenimento...."", '*...Il 26 novembre 2018 il Sindaco della capitale russa Sobjanin ha ufficialmente inaugurato il sistema di cabinovia operante sopra il fiume Moscova....']","Università statale di Mosca, район Хамовники, Mosca, Distretto Federale Centrale, 119234, Russia","{""coordinates"": [37.531798, 55.702297], ""type"": ""Point""}","Università statale di Mosca, район Хамовники, Mosca, Distretto Federale Centrale, 119234, Russia",amenity,university
14,Parco Izmajlovskij,Parco Izmajlovskij,"[""...La città possiede alcuni tra i più grandi parchi al mondo, come il Parco Izmajlovskij, il Parco Timiriazevskij, il Parco Fili, il Parco Zamoskvoreckij, il Parco Ljublino, il Parco Butovskij, l'orto botanico, il Parco Neskučnyj, il Parco Bitcevskij, il Parco Caricyno, il Parco Kolomenskoe, il Parco Kuz'minki, il Parco Kuskovo, il Parco Sokol'niki e molte altre aree verdi....""]","Parco di Izmajlovo, Московский проспект, район Измайлово, Mosca, Distretto Federale Centrale, 105187, Russia","{""coordinates"": [37.748219, 55.77661], ""type"": ""Point""}","Parco di Izmajlovo, Московский проспект, район Измайлово, Mosca, Distretto Federale Centrale, 105187, Russia",highway,bus_stop
31,Cremlino,Cremlino,"['...Oggi è sede del Governo della Federazione Russa, situato nel Cremlino di Mosca, una cittadella medievale fortificata che funge da sede del Presidente russo....', ""*...Il Cremlino e la Piazza Rossa sono uno dei vari siti Patrimonio dell'umanità situati nel territorio dell'oblast' moscovita...."", '*...Nel 1612 gli abitanti di Nižnij Novgorod e di altre città russe si sollevarono contro gli occupanti polacchi, assediarono il Cremlino e sterminarono gli invasori....', '*...Il primo Cremlino fu costruito a metà del XII secolo....', '*...Il Cremlino è stato ricostruito nel XV secolo....', '*...Forse il contributo più riconoscibile del periodo staliniano sono le cosiddette Sette Sorelle, che comprendono sette grattacieli enormi sparsi in tutta la città, posti a una distanza circa uguale dal Cremlino....', ""...Alcune delle più famose attrazioni includono la città, patrimonio mondiale dell'UNESCO, il Cremlino di Mosca e la Piazza Rossa, che è stato costruito tra il XIV e XVII secolo...."", ""*...Il 9 settembre 2017 è stato inaugurato il Parco Zarjad'e a poca distanza dal Cremlino e dalla Piazza Rossa...."", ""*...Il sistema stradale di Mosca è centrato all'incirca intorno al Cremlino nel cuore della città...."", ""...Durante il periodo di 1920-1930 un gran numero di chiese della città furono demolite, compreso lo storico Monastero Chudov al Cremlino, risalente al XIV secolo, la Cattedrale di Kazan' sulla Piazza Rossa, la Cattedrale di Cristo Salvatore, costruita nel XIX secolo in memoria della vittoria sull'esercito di Napoleone nel 1812, e molte altre...."", ""*...Il Museo di Architettura statale Ščusev, che si trova non lontano dal Cremlino, è il Museo nazionale di architettura russa e prende il nome dell'architetto Aleksej Viktorovič Ščusev...."", ""...Tra gli altri musei cittadini che si possono menzionare vi sono l'Arsenale del Cremlino, il Museo Bulgakov, il Museo centrale della Federazione Russa delle aeronautiche militari e il Museo di arte multimediale...."", '...Al centro della città, che si trova nel Circondario federale centrale, vi è il Cremlino di Mosca, che ospita la residenza ufficiale del Presidente della Russia, così come molte strutture governative nazionali....']","Gran Palazzo del Cremlino, Кремль, Тверской район, Mosca, Distretto Federale Centrale, 103073, Russia","{""coordinates"": [37.616279, 55.750297], ""type"": ""Point""}","Gran Palazzo del Cremlino, Кремль, Тверской район, Mosca, Distretto Federale Centrale, 103073, Russia",historic,castle
34,Mausoleo di Lenin,Mausoleo di Lenin,"['...Particolarmente degni di nota furono gli architetti costruttivisti della Vchutemas, realizzatori di importanti edifici come il Mausoleo di Lenin....']","Mausoleo di Lenin, Piazza Rossa, 4, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia","{""coordinates"": [37.619902, 55.753731], ""type"": ""Point""}","Mausoleo di Lenin, Piazza Rossa, 4, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia",tourism,attraction
