,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Europa,Europa,"[""*...Napule in napoletano, pronuncia ) è un comune italiano di 914\xa0406 abitanti, terzo in Italia per popolazione, capoluogo della Regione Campania, dell'omonima città metropolitana e centro di una delle più popolose e densamente popolate aree metropolitane d'Europa...."", ""*...Nel 1995 il centro storico di Napoli è stato riconosciuto dall'UNESCO come patrimonio dell'umanità per i suoi monumenti, che testimoniano la successione di culture del Mediterraneo e dell'Europa...."", '*...Succede a Carlo d\'Angiò il figlio Carlo II e in seguito il nipote, Roberto d\'Angiò, detto ""il Saggio"", che rende ulteriormente Napoli uno dei più influenti centri culturali dell\'Europa e del Mediterraneo....', ""*...Il 1820 in Europa fu l'anno delle agitazioni contro l'assolutismo monarchico, e a Napoli queste si manifestarono nella rivolta capitanata dal generale Guglielmo Pepe...."", ""*...La città fu colpita, come il resto d'Europa, da epidemie di colera che falcidiarono la popolazione nel 1835-37 e nel 1854-55;..."", ""...Nel 1995, dopo circa dieci anni di cantieri, venne completato il Centro Direzionale di Napoli, il primo cluster di grattacieli dell'Europa meridionale...."", ""*...Il suo centro storico, frutto di storia, arte ed espressione urbanistica lungo un arco di circa tremila anni, ha esercitato una profonda influenza sull'Europa sin dall'Evo Antico...."", ""*...Innumerevoli anche le edicole sacre di Napoli, i chiostri monumentali e le aree cimiteriali, come il Cimitero di Poggioreale, uno dei più vasti d'Europa...."", ""...Dopo il razionalismo italiano, che vide nascere importanti strutture come il nuovo palazzo delle Poste o il Teatro Mediterraneo della Mostra d'Oltremare, negli anni novanta venne inaugurata un'intera cittadella di grattacieli, la prima d'Italia e dell'Europa meridionale, ossia il centro direzionale di Napoli di Kenzō Tange, alla cui realizzazione parteciparono architetti di fama internazionale come Renzo Piano...."", ""*...Nel primo censimento dello Stato unitario (1861), Napoli era il comune più popoloso d'Italia e tra i primi in Europa...."", ""*...Tuttavia, analogamente a quanto accade in altre città europee, come ad esempio Francoforte sul Meno, Napoli oggi conta un comune non particolarmente popolato (diciassettesimo in Europa) ma un'area metropolitana tra le più popolose d'Europa...."", ""...Napoli è sede del comando integrato delle forze NATO per l'Europa meridionale (con l'aggiunta di altre basi minori:..."", ""*...La stazione zoologica Anton Dohrn sita all'interno della Villa comunale, che comprende anche l'acquario più antico d'Italia e secondo più antico d'Europa (primo tra quelli ancora esistenti);..."", ""*...Napoli, dal Medioevo in poi e in maniera particolare dal Cinquecento, è stata in assoluto una delle prime città d'Europa per popolazione...."", ""*...Dopo l'Unità d'Italia, se da un lato Napoli ha smesso di essere tra le primissime città d'Europa per popolazione, dall'altro è riuscita a conservare inalterate le caratteristiche demografiche tipiche di una metropoli europea...."", ""*...Alcuni punti di questa rete, come ad esempio la Stazione Toledo, considerata la più bella d'Europa, hanno conseguito una forte notorietà internazionale, diventando rapidamente una delle attrazioni della città...."", '*...Il 13 giugno 2017 all\'Aeroporto viene conferito il premio ""Aci Europe Award"" come migliore in Europa nella categoria 5-10 mln di passeggeri....', '*...Nel 2018, inoltre, l\'Aeroporto ha vinto il titolo ""fast and furious"", primo nella sua categoria che premia lo scalo con la maggiore crescita in Europa, poiché passa da 6.775.988 passeggeri del 2016 a 8.577.507 passeggeri del 2017, con un incremento del 26,6%....']","Europa, Via Antonio Scialoja, Rione Bognar, Pozzuoli, Napoli, Campania, 80078, Italia","{""coordinates"": [14.119014, 40.823414], ""type"": ""Point""}","Europa, Via Antonio Scialoja, Rione Bognar, Pozzuoli, Napoli, Campania, 80078, Italia",amenity,restaurant
2,Mediterraneo,Mediterraneo,"[""...Sede della Federico II, la più antica Università del mondo a essere nata attraverso un provvedimento statale, ospita, altresì, L'Orientale, la più antica Università di studi sinologici e orientalistici del continente, e la Nunziatella, una delle più antiche accademie militari al mondo, eletta patrimonio storico e culturale dei Paesi del Mediterraneo da parte dell'Assemblea parlamentare del Mediterraneo...."", ""*...Nel 1995 il centro storico di Napoli è stato riconosciuto dall'UNESCO come patrimonio dell'umanità per i suoi monumenti, che testimoniano la successione di culture del Mediterraneo e dell'Europa...."", '...Napoli gode di un clima mediterraneo, con inverni miti e piovosi ed estati calde e secche, ma comunque rinfrescate dalla brezza marina che raramente manca sul suo golfo....', '*...La Nuova Città, infatti, seppe immediatamente sia sostituirsi alla città madre nei commerci marittimi, sia assumere il controllo sul golfo che da Cumano divenne Golfo Neapolitano, mentre con l\'arrivo del navarca ateniese Diotimo inaugurò il suo ruolo sempre più egemone su tutto il litorale campano ed ""internazionale"" nel Mediterraneo....', '*...Succede a Carlo d\'Angiò il figlio Carlo II e in seguito il nipote, Roberto d\'Angiò, detto ""il Saggio"", che rende ulteriormente Napoli uno dei più influenti centri culturali dell\'Europa e del Mediterraneo....', '...Il sovrano Alfonso il Magnanimo, nonostante il conflitto interno fra la monarchia e i baroni, che si manifestò in episodi drammatici come la congiura dei baroni sotto il regno del figlio Ferdinando I di Napoli, privilegiò la città, facendone la capitale del suo Impero mediterraneo....', ""...Chiamata a contrastare tra l'altro l'espansionismo dell'Impero ottomano nel Mediterraneo centro-occidentale e ancor più importante a fungere da retrovia dell'azione spagnola nella valle padana...."", ""...Dopo il razionalismo italiano, che vide nascere importanti strutture come il nuovo palazzo delle Poste o il Teatro Mediterraneo della Mostra d'Oltremare, negli anni novanta venne inaugurata un'intera cittadella di grattacieli, la prima d'Italia e dell'Europa meridionale, ossia il centro direzionale di Napoli di Kenzō Tange, alla cui realizzazione parteciparono architetti di fama internazionale come Renzo Piano...."", ""*...Oltre agli spazi verdi Napoli è caratterizzata anche da aree marine protette, come Nisida, cala Badessa e la Gaiola, quest'ultima un raro esempio nel Mediterraneo di Parco archeologico sommerso a causa del fenomeno del bradisismo...."", ""...Nata nel 1787 ad opera di Ferdinando IV di Borbone sotto la denominazione di Real Accademia Militare, è stata eletta nel 2012 patrimonio culturale dei Paesi del Mediterraneo da parte dell'Assemblea parlamentare del Mediterraneo...."", ""*...Napoli, trovandosi al centro di alcune delle più importanti rotte del Mediterraneo e potendo disporre dell'entroterra fertile di due aree vulcaniche, già dall'età antica poté contare su una robusta economia legata soprattutto all'agricoltura, alle materie prime e all'artigianato...."", ""*...Il porto di Napoli, posto al centro del Mediterraneo e attivo fin dall'età classica, svolge, tra le altre, funzioni commerciali e di collegamento...."", '...Con circa sei milioni e mezzo di traffico passeggeri nel 2022 e con 1\xa0144\xa0000 di passeggeri croceristi nello stesso anno (467 navi toccate), è uno dei più importanti porti sia a livello europeo che mediterraneo....']","Mediterraneo, 378, Corso Giuseppe Garibaldi, Mercato, Municipalità 2, Napoli, Campania, 80142, Italia","{""coordinates"": [14.268658, 40.849865], ""type"": ""Point""}","Mediterraneo, 378, Corso Giuseppe Garibaldi, Mercato, Municipalità 2, Napoli, Campania, 80142, Italia",shop,clothes
4,Miglio d'Oro,Miglio d'Oro,"[""*...Nel 1997 l'apparato vulcanico Somma-Vesuvio è stato eletto dalla stessa agenzia internazionale (con il vicino Miglio d'Oro, in cui ricadono anche i quartieri orientali della città) tra le riserve mondiali della biosfera....""]","Miglio d'Oro, Via Emanuele Gianturco, Portici, Napoli, Campania, 80055, Italia","{""coordinates"": [14.335845, 40.81251], ""type"": ""Point""}","Miglio d'Oro, Via Emanuele Gianturco, Portici, Napoli, Campania, 80055, Italia",amenity,restaurant
5,Vesuvio,Vesuvio,"['*...Napoli sorge quasi al centro dell\'omonimo golfo ""dominato"" dal vulcano Vesuvio e delimitato a est dalla penisola sorrentina con Punta Campanella, a ovest dai Campi Flegrei con Monte di Procida, a nord ovest-est dal versante meridionale della piana campana che si estende dal lago Patria al nolano....', ""*...Delle modifiche furono compiute per accogliere i profughi dall'eruzione del Vesuvio del 79 d.C. e sotto Valentiniano III...."", ""*...Posto a pochissima distanza dalla zona est, si ricorda infine il vulcano Vesuvio, simbolo per eccellenza della città, il cui Parco è stato inserito dall'UNESCO tra le riserve mondiali della biosfera...."", '*...Come il Vesuvio;...', ""*...La sede operativa dell'Osservatorio Vesuviano (quella storica è invece adibita a Museo e si trova nei pressi del Vesuvio), il più antico osservatorio vulcanologico del mondo;..."", '*...La Ferrovia Roma-Napoli (alta velocità), la Ferrovia Roma-Cassino-Napoli, la Ferrovia Roma-Formia-Napoli, la Napoli-Salerno, \nla Napoli-Salerno via a monte del Vesuvio (AV/AC) e la Napoli-Foggia (attualmente in trasformazione in AV/AC Napoli-Bari)....']","Vesuvio, Via Vesuvio, Ercolano, Napoli, Campania, 80056, Italia","{""coordinates"": [14.378764, 40.810791], ""type"": ""Point""}","Vesuvio, Via Vesuvio, Ercolano, Napoli, Campania, 80056, Italia",highway,bus_stop
6,Punta Campanella,Punta Campanella,"['*...Napoli sorge quasi al centro dell\'omonimo golfo ""dominato"" dal vulcano Vesuvio e delimitato a est dalla penisola sorrentina con Punta Campanella, a ovest dai Campi Flegrei con Monte di Procida, a nord ovest-est dal versante meridionale della piana campana che si estende dal lago Patria al nolano....']","Punta Campanella, Sentiero del cuore, Marciano, Massa Lubrense, Napoli, Campania, 80061, Italia","{""coordinates"": [14.324743, 40.56948], ""type"": ""Point""}","Punta Campanella, Sentiero del cuore, Marciano, Massa Lubrense, Napoli, Campania, 80061, Italia",man_made,lighthouse
7,Campi Flegrei,Campi Flegrei,"['*...Napoli sorge quasi al centro dell\'omonimo golfo ""dominato"" dal vulcano Vesuvio e delimitato a est dalla penisola sorrentina con Punta Campanella, a ovest dai Campi Flegrei con Monte di Procida, a nord ovest-est dal versante meridionale della piana campana che si estende dal lago Patria al nolano....', '*...Il territorio urbano, limitato a occidente dal vulcano Campi Flegrei e a oriente dal Somma-Vesuvio, ha una storia geologicamente complessa....', ""...Il Parco di Capodimonte, una vasta distesa di verde che circonda diversi fabbricati settecenteschi e in particolare l'omonima reggia, la Villa Reale (oggi meglio conosciuta come Villa Comunale), un Giardino urbano di circa un chilometro e mezzo opera di Carlo Vanvitelli, il Parco Vergiliano a Piedigrotta, una piccola area verde in cui secondo la tradizione popolare è custodito il sepolcro di Virgilio, o ancora la villa Floridiana, il real orto botanico e il Parco regionale dei Campi Flegrei...."", ""*...Le stazioni principali sono Napoli Campi Flegrei (ovest), Napoli Mergellina (centro) e Napoli Piazza Garibaldi (est) dove c'è uno scambio con la linea 1 dell'ANM e con più di 5 linee di ferrovie suburbane della rete Circumvesuviana....""]","Campi Flegrei, Via San Gennaro Agnano, Rione La Solfatara, Pisciarelli, Pozzuoli, Napoli, Campania, 80078, Italia","{""coordinates"": [14.14023, 40.827458], ""type"": ""Point""}","Campi Flegrei, Via San Gennaro Agnano, Rione La Solfatara, Pisciarelli, Pozzuoli, Napoli, Campania, 80078, Italia",tourism,attraction
8,Monte di Procida,Monte di Procida,"['*...Napoli sorge quasi al centro dell\'omonimo golfo ""dominato"" dal vulcano Vesuvio e delimitato a est dalla penisola sorrentina con Punta Campanella, a ovest dai Campi Flegrei con Monte di Procida, a nord ovest-est dal versante meridionale della piana campana che si estende dal lago Patria al nolano....']","Comune di Monte di Procida, Via Panoramica, Monte di Procida, Napoli, Campania, 80070, Italia","{""coordinates"": [14.055263, 40.794716], ""type"": ""Point""}","Comune di Monte di Procida, Via Panoramica, Monte di Procida, Napoli, Campania, 80070, Italia",amenity,townhall
9,Patria,Patria,"['*...Napoli sorge quasi al centro dell\'omonimo golfo ""dominato"" dal vulcano Vesuvio e delimitato a est dalla penisola sorrentina con Punta Campanella, a ovest dai Campi Flegrei con Monte di Procida, a nord ovest-est dal versante meridionale della piana campana che si estende dal lago Patria al nolano....', ""...Risparmiare a questa Patria carissima gli orrori dei disordini interni e i disastri della guerra civile», e fu tentata una prima difesa con la battaglia del Volturno e quindi con l'assedio di Gaeta...."", ""...Altre biblioteche, archivi o raccolte della città sono quelle dell'Università di Napoli (BUN), del conservatorio di San Pietro a Majella, della raccolta appartenente dell'archivio di Stato, della Fondazione Biblioteca Benedetto Croce, dell'Istituto Italiano per gli Studi Storici, della Società Napoletana di Storia Patria, della biblioteca Tarsia, della biblioteca del MANN, della biblioteca di storia dell'arte Bruno Molajoli e di molte altre ancora....""]","Via Lago Patria, Casoria, Napoli, Campania, 80026, Italia","{""coordinates"": [14.294822, 40.90195], ""type"": ""Point""}","Via Lago Patria, Casoria, Napoli, Campania, 80026, Italia",highway,residential
10,Camaldoli,Camaldoli,"['*...Il territorio di Napoli è composto da molti rilievi collinari (la collina dei Camaldoli, il più alto, raggiunge i ), ma anche da isole e penisole a strapiombo sul Mar Tirreno....', ""*...Sulla collina dei Camaldoli inizia invece il Parco Metropolitano delle colline di Napoli (2215 ettari), il quale occupa un quinto dell'intera superficie comunale fino al Parco del Poggio ai Colli Aminei...."", ""*...Capodichino, Camaldoli e Agnano), dell'Hub di Direzione Strategica per il fronte sud (Nord Africa, il Sahel e il Medio Oriente) dell'Alleanza Atlantica, della Apple Developer Academy, della Cisco Networking Academy e co-innovation Hub, dell'Osservatorio internazionale per l'Economia del mare e della Lazarus Union Italia, un ramo diretto della ONG internazionale....""]","Camaldoli, Tangenziale di Napoli, Rione Alto, Municipalità 5, Napoli, Campania, 80128, Italia","{""coordinates"": [14.218658, 40.853916], ""type"": ""Point""}","Camaldoli, Tangenziale di Napoli, Rione Alto, Municipalità 5, Napoli, Campania, 80128, Italia",highway,motorway_junction
13,Csa,Csa,"['*...Secondo la classificazione Köppen, Napoli, nella sua fascia costiera, appartiene alla zona Cfa e Csa, perché un mese di estate riceve una quantità di precipitazioni superiore a 40 millimetri....']","CSA energy, Via del Consorzio, Fracta Labor - Consorzio d'Imprese, Frattamaggiore, Napoli, Campania, 80028, Italia","{""coordinates"": [14.26728, 40.934197], ""type"": ""Point""}","CSA energy, Via del Consorzio, Fracta Labor - Consorzio d'Imprese, Frattamaggiore, Napoli, Campania, 80028, Italia",office,company
