,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Point du Jour,Point du Jour,"['*...Dai 26\xa0m del Point du Jour ai 148,48\xa0m di rue du Télégraphe 40, nel XX arrondissement)....']","Route du Point du Jour à Bagatelle, Quartier de la Porte-Dauphine, Paris 16e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 92522, Francia","{""coordinates"": [2.268144, 48.872958], ""type"": ""Point""}","Route du Point du Jour à Bagatelle, Quartier de la Porte-Dauphine, Paris 16e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 92522, Francia",highway,track
4,rue du Télégraphe 40,rue du Télégraphe 40,"['*...Dai 26\xa0m del Point du Jour ai 148,48\xa0m di rue du Télégraphe 40, nel XX arrondissement)....']","40, Rue du Télégraphe, Quartier Saint-Fargeau, Paris 20e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75020, Francia","{""coordinates"": [2.399256, 48.874432], ""type"": ""Point""}","40, Rue du Télégraphe, Quartier Saint-Fargeau, Paris 20e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75020, Francia",place,house
5,place des Fêtes,place des Fêtes,"['*...Belleville: 122\xa0m (place des Fêtes, XIX) ;...']","Place des Fêtes, Rue des Fêtes, Quartier d'Amérique, Paris 19e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75019, Francia","{""coordinates"": [2.392521, 48.876911], ""type"": ""Point""}","Place des Fêtes, Rue des Fêtes, Quartier d'Amérique, Paris 19e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75019, Francia",highway,bus_stop
6,Buttes Chaumont,Buttes Chaumont,"['*...Buttes Chaumont: 101\xa0m (rue des Alouettes, XIX) ;...']","Buttes Chaumont, Rue Botzaris, Quartier du Combat, Paris 19e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75019, Francia","{""coordinates"": [2.381319, 48.878129], ""type"": ""Point""}","Buttes Chaumont, Rue Botzaris, Quartier du Combat, Paris 19e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75019, Francia",railway,subway_entrance
7,rue des Alouettes,rue des Alouettes,"['*...Buttes Chaumont: 101\xa0m (rue des Alouettes, XIX) ;...']","Rue des Alouettes, Quartier du Combat, Paris 19e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75019, Francia","{""coordinates"": [2.385576, 48.878098], ""type"": ""Point""}","Rue des Alouettes, Quartier du Combat, Paris 19e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75019, Francia",highway,residential
8,boulevard Jourdan,boulevard Jourdan,"['*...Montsouris: 78\xa0m (boulevard Jourdan, XIV) ;...']","Boulevard Jourdan, Quartier du Parc-de-Montsouris, Paris 14e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75014, Francia","{""coordinates"": [2.334306, 48.821225], ""type"": ""Point""}","Boulevard Jourdan, Quartier du Parc-de-Montsouris, Paris 14e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75014, Francia",highway,primary
9,cimetière de Passy,cimetière de Passy,"['*...Passy: 70\xa0m (cimetière de Passy, XVI) ;...']","Cimetière de Passy, Avenue Paul Doumer, Quartier de la Muette, Paris 16e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75116, Francia","{""coordinates"": [2.286649, 48.862411], ""type"": ""Point""}","Cimetière de Passy, Avenue Paul Doumer, Quartier de la Muette, Paris 16e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75116, Francia",railway,subway_entrance
10,Charonne,Charonne,"['*...Charonne: 69\xa0m (Place de la Réunion, XX) ;...']","Charonne, Boulevard Voltaire, Quartier de la Roquette, Paris 11e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75011, Francia","{""coordinates"": [2.385356, 48.854744], ""type"": ""Point""}","Charonne, Boulevard Voltaire, Quartier de la Roquette, Paris 11e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75011, Francia",railway,station
11,Place de la Réunion,Place de la Réunion,"['*...Charonne: 69\xa0m (Place de la Réunion, XX) ;...']","Place de la Réunion, Saint-Blaise, Quartier de Charonne, Paris 20e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75020, Francia","{""coordinates"": [2.400775, 48.855521], ""type"": ""Point""}","Place de la Réunion, Saint-Blaise, Quartier de Charonne, Paris 20e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75020, Francia",highway,residential
13,Butte-aux-Cailles,Butte-aux-Cailles,"['*...Butte-aux-Cailles: 63\xa0m (rue de la Butte aux Cailles, XIII) ;...']","Ibis Styles - Butte aux Cailles, Rue Barrault, Cité Florale, Quartier de la Maison-Blanche, Paris 13e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75013, Francia","{""coordinates"": [2.347362, 48.828339], ""type"": ""Point""}","Ibis Styles - Butte aux Cailles, Rue Barrault, Cité Florale, Quartier de la Maison-Blanche, Paris 13e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75013, Francia",tourism,hotel
14,rue de la Butte aux Cailles,rue de la Butte aux Cailles,"['*...Butte-aux-Cailles: 63\xa0m (rue de la Butte aux Cailles, XIII) ;...']","Rue de la Butte-aux-Cailles, Cité Florale, Quartier de la Maison-Blanche, Paris 13e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75013, Francia","{""coordinates"": [2.35233, 48.828066], ""type"": ""Point""}","Rue de la Butte-aux-Cailles, Cité Florale, Quartier de la Maison-Blanche, Paris 13e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75013, Francia",highway,living_street
15,place du Panthéon,place du Panthéon,"['*...Montagne Sainte-Geneviève: 61\xa0m (place du Panthéon, V) ;...', ""*...Dalla Senna al Panthéon, all'Odéon e all'Institut de France;..."", '...Fra gli altri musei di proprietà dello Stato francese si possono ricordare il ""Museo nazionale del Medioevo"" all\'Hôtel de Cluny, il Musée du quai Branly (erede del Musée de l\'Homme) dedicato ai popoli extraeuropei, la Cité de l\'Architecture, il Museo Guimet di arte estremorientale, il musée de l\'Armée (nell\'Hôtel des Invalides), il musée de la Marine (al Palais de Chaillot), il Museo nazionale di storia naturale, il Panthéon (dove riposano i grandi francesi come Victor Hugo, Voltaire, Rousseau, Jean Moulin, Jean Jaurès o Marie Curie) o il Museo Jacquemart-André....']","Place du Panthéon, Quartier de la Sorbonne, Paris 5e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75005, Francia","{""coordinates"": [2.344911, 48.846299], ""type"": ""Point""}","Place du Panthéon, Quartier de la Sorbonne, Paris 5e Arrondissement, Parigi, Isola di Francia, Francia metropolitana, 75005, Francia",highway,pedestrian
