,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Daugava,Daugava,"['*...Situata sul Mar Baltico alla foce del fiume Daugava, è la città più grande dei Paesi baltici ed è uno dei principali centri culturali, politici ed economici della regione....']","Daugava, 1, Ausekļa iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia","{""coordinates"": [24.099727, 56.959361], ""type"": ""Point""}","Daugava, 1, Ausekļa iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia",tourism,gallery
4,Vecriga,Vecriga,"[""*...Una distinzione importante va comunque operata fra il centro storico (Vecriga) di stampo medievale, che si sviluppa attorno alla Chiesa di San Pietro, e il cosiddetto Centrs, ovvero la zona edificata fra la fine del XIX e l'inizio del XX secolo....""]","Galerija Centrs, Vecrīga, Mazā Vaļņu iela, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia","{""coordinates"": [24.112859, 56.948487], ""type"": ""Point""}","Galerija Centrs, Vecrīga, Mazā Vaļņu iela, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia",amenity,bicycle_rental
6,Centrs,Centrs,"[""*...Una distinzione importante va comunque operata fra il centro storico (Vecriga) di stampo medievale, che si sviluppa attorno alla Chiesa di San Pietro, e il cosiddetto Centrs, ovvero la zona edificata fra la fine del XIX e l'inizio del XX secolo...."", '*...38. Centrs ;...']","Centrs, Rīdzenes iela, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia","{""coordinates"": [24.113045, 56.947643], ""type"": ""Point""}","Centrs, Rīdzenes iela, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia",club,sport
8,Rīgas Doms,Rīgas Doms,['*...Il Duomo di Riga (in lettone Rīgas Doms) è il principale luogo di culto evangelico luterano della città e la più grande Chiesa medioevale dei Paesi Baltici....'],"Rīgas Doms, 6, Herdera laukums, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia","{""coordinates"": [24.104774, 56.949098], ""type"": ""Point""}","Rīgas Doms, 6, Herdera laukums, Vecrīga, Riga, Vidzeme, LV-1050, Lettonia",amenity,place_of_worship
26,Alberta iela,Alberta iela,"[""*...Edifici Art Nouveau.La città di Riga vanta una notevole quantità di edifici in stile Art Nouveau, che furono eretti nel periodo tra la fine del XIX secolo e il 1914 principalmente per opera del celebre architetto Michail Ėjzenštejn (1867-1921) padre del regista Sergej Ėjzenštejn. Tali edifici, che sono concentrati in un quartiere ben definito della città moderna, sono stati dichiarati nel 1997 - unitamente al centro storico di Riga - Patrimonio Mondiale dell'Umanità da parte dell'UNESCO. L'Art Nouveau s'impose in Lettonia (allora parte dell'Impero russo) con un certo ritardo rispetto alle grandi città europee, ma non per questo con meno vigore. In seguito all'abbattimento della cinta di mura medioevale e dei prospicienti sobborghi costituiti da case di legno, l'intera area a nordest del centro storico divenne il gigantesco cantiere della nuova Riga, in cui dozzine di architetti locali contribuirono a creare un armonioso quanto variato susseguirsi di elaborate facciate. L'Art Nouveau righese presenta i tratti comuni a tutti i movimenti contemporanei dell'epoca, ma in particolare dello Jugendstil tedesco, della Secessione austriaca e dell'architettura finno-baltica, fondendoli armoniosamente con le chiare tonalità cromatiche locali. In particolare domina la combinazione di azzurro e bianco, che è anche quella preferita dal principale esponente dell'Art Nouveau righese, l'architetto Ejzenštejn. Se i primi edifici righesi Art Nouveau risalgono solamente al 1899, già nel 1901, in seguito a una grande fiera modellata sull'Esposizione Universale di Parigi dell'anno precedente, il nuovo stile si era imposto definitivamente in città. La via principale lungo la quale si snodano gli edifici dell'Art Nouveau lettone è Alberta iela (in tedesco Albertstraße), situata al centro di una tranquilla ed elegante zona residenziale creata dal nulla al principio del secolo XX e che oggi ospita molte ambasciate. Tra gli edifici di maggior spicco, il palazzo di Alberta iela 2a è un'efficace fusione di neoclassicismo, Art Nouveau e richiami all'Antico Egitto. Notevoli sono la facciata traforata in cima e le due grosse sfingi che vigilano di fronte all'ingresso. Il palazzo fu realizzato nel 1906 su progetto di Ejzenštejn. Elizabetes iela (in tedesco Elisabethstraße) fiancheggia invece in parte un vasto Parco ed è la via in cui si trova, al numero 10b, il più celebre palazzo Art Nouveau di tutta Riga. Costruito nel 1903 su disegno dell'immancabile Ejzenštejn, raggruppa tutte le caratteristiche del particolare Jugendstil eclettico righese, a cominciare dall'accostamento di colori azzurro-bianco, dalle figure mitologiche (mascheroni con teste di Medusa) e dalla profusione di aquile, ghirlande ed elmi....""]","Alberta iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia","{""coordinates"": [24.109864, 56.959004], ""type"": ""Point""}","Alberta iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia",highway,residential
28,Alberta iela 2a,Alberta iela 2a,"[""*...Edifici Art Nouveau.La città di Riga vanta una notevole quantità di edifici in stile Art Nouveau, che furono eretti nel periodo tra la fine del XIX secolo e il 1914 principalmente per opera del celebre architetto Michail Ėjzenštejn (1867-1921) padre del regista Sergej Ėjzenštejn. Tali edifici, che sono concentrati in un quartiere ben definito della città moderna, sono stati dichiarati nel 1997 - unitamente al centro storico di Riga - Patrimonio Mondiale dell'Umanità da parte dell'UNESCO. L'Art Nouveau s'impose in Lettonia (allora parte dell'Impero russo) con un certo ritardo rispetto alle grandi città europee, ma non per questo con meno vigore. In seguito all'abbattimento della cinta di mura medioevale e dei prospicienti sobborghi costituiti da case di legno, l'intera area a nordest del centro storico divenne il gigantesco cantiere della nuova Riga, in cui dozzine di architetti locali contribuirono a creare un armonioso quanto variato susseguirsi di elaborate facciate. L'Art Nouveau righese presenta i tratti comuni a tutti i movimenti contemporanei dell'epoca, ma in particolare dello Jugendstil tedesco, della Secessione austriaca e dell'architettura finno-baltica, fondendoli armoniosamente con le chiare tonalità cromatiche locali. In particolare domina la combinazione di azzurro e bianco, che è anche quella preferita dal principale esponente dell'Art Nouveau righese, l'architetto Ejzenštejn. Se i primi edifici righesi Art Nouveau risalgono solamente al 1899, già nel 1901, in seguito a una grande fiera modellata sull'Esposizione Universale di Parigi dell'anno precedente, il nuovo stile si era imposto definitivamente in città. La via principale lungo la quale si snodano gli edifici dell'Art Nouveau lettone è Alberta iela (in tedesco Albertstraße), situata al centro di una tranquilla ed elegante zona residenziale creata dal nulla al principio del secolo XX e che oggi ospita molte ambasciate. Tra gli edifici di maggior spicco, il palazzo di Alberta iela 2a è un'efficace fusione di neoclassicismo, Art Nouveau e richiami all'Antico Egitto. Notevoli sono la facciata traforata in cima e le due grosse sfingi che vigilano di fronte all'ingresso. Il palazzo fu realizzato nel 1906 su progetto di Ejzenštejn. Elizabetes iela (in tedesco Elisabethstraße) fiancheggia invece in parte un vasto Parco ed è la via in cui si trova, al numero 10b, il più celebre palazzo Art Nouveau di tutta Riga. Costruito nel 1903 su disegno dell'immancabile Ejzenštejn, raggruppa tutte le caratteristiche del particolare Jugendstil eclettico righese, a cominciare dall'accostamento di colori azzurro-bianco, dalle figure mitologiche (mascheroni con teste di Medusa) e dalla profusione di aquile, ghirlande ed elmi....""]","2A, Alberta iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia","{""coordinates"": [24.111022, 56.958953], ""type"": ""Point""}","2A, Alberta iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia",building,apartments
29,Art Nouveau,Art Nouveau,"[""*...Nel 1997 il centro storico di Riga è stato inserito dall'UNESCO nell'elenco dei Patrimoni dell'umanità, in virtù dei suoi oltre 800 edifici Art Nouveau (lo Jugendstil tedesco) e per l'architettura in legno del XIX secolo...."", '*...Come si legge nella motivazione, il centro storico di Riga, pur mantenendo relativamente intatto il tessuto urbano medievale e delle epoche successive, vanta una tale qualità e quantità di edifici Art Nouveau che non ha paragoni al mondo....', ""*...Edifici Art Nouveau.La città di Riga vanta una notevole quantità di edifici in stile Art Nouveau, che furono eretti nel periodo tra la fine del XIX secolo e il 1914 principalmente per opera del celebre architetto Michail Ėjzenštejn (1867-1921) padre del regista Sergej Ėjzenštejn. Tali edifici, che sono concentrati in un quartiere ben definito della città moderna, sono stati dichiarati nel 1997 - unitamente al centro storico di Riga - Patrimonio Mondiale dell'Umanità da parte dell'UNESCO. L'Art Nouveau s'impose in Lettonia (allora parte dell'Impero russo) con un certo ritardo rispetto alle grandi città europee, ma non per questo con meno vigore. In seguito all'abbattimento della cinta di mura medioevale e dei prospicienti sobborghi costituiti da case di legno, l'intera area a nordest del centro storico divenne il gigantesco cantiere della nuova Riga, in cui dozzine di architetti locali contribuirono a creare un armonioso quanto variato susseguirsi di elaborate facciate. L'Art Nouveau righese presenta i tratti comuni a tutti i movimenti contemporanei dell'epoca, ma in particolare dello Jugendstil tedesco, della Secessione austriaca e dell'architettura finno-baltica, fondendoli armoniosamente con le chiare tonalità cromatiche locali. In particolare domina la combinazione di azzurro e bianco, che è anche quella preferita dal principale esponente dell'Art Nouveau righese, l'architetto Ejzenštejn. Se i primi edifici righesi Art Nouveau risalgono solamente al 1899, già nel 1901, in seguito a una grande fiera modellata sull'Esposizione Universale di Parigi dell'anno precedente, il nuovo stile si era imposto definitivamente in città. La via principale lungo la quale si snodano gli edifici dell'Art Nouveau lettone è Alberta iela (in tedesco Albertstraße), situata al centro di una tranquilla ed elegante zona residenziale creata dal nulla al principio del secolo XX e che oggi ospita molte ambasciate. Tra gli edifici di maggior spicco, il palazzo di Alberta iela 2a è un'efficace fusione di neoclassicismo, Art Nouveau e richiami all'Antico Egitto. Notevoli sono la facciata traforata in cima e le due grosse sfingi che vigilano di fronte all'ingresso. Il palazzo fu realizzato nel 1906 su progetto di Ejzenštejn. Elizabetes iela (in tedesco Elisabethstraße) fiancheggia invece in parte un vasto Parco ed è la via in cui si trova, al numero 10b, il più celebre palazzo Art Nouveau di tutta Riga. Costruito nel 1903 su disegno dell'immancabile Ejzenštejn, raggruppa tutte le caratteristiche del particolare Jugendstil eclettico righese, a cominciare dall'accostamento di colori azzurro-bianco, dalle figure mitologiche (mascheroni con teste di Medusa) e dalla profusione di aquile, ghirlande ed elmi...."", ""*...La Casa del Gatto, un edificio situato nel cuore della città.L'edificio, in stile Art Nouveau, è uno dei più conosciuti della città. Deve il suo nome a un piccolo gatto scolpito situato sulla punta del tetto che sembra essere avvinghiato sulla costruzione cercando di non cadere. Quest'edificio fu fatto costruire da un ricco commerciante, che vedendosi rifiutare il permesso di entrare a far parte della Camera del Commercio Maggiore (e non potendo quindi godere dei relativi benefici), come segno di spregio, fece mettere sui pinnacoli della costruzione dei gatti tutti orientati con la coda alzata verso la Camera di Commercio Maggiore che si trova proprio di fronte....""]","Rīgas Jūgendstila centrs, 12, Alberta iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia","{""coordinates"": [24.108517, 56.95961], ""type"": ""Point""}","Rīgas Jūgendstila centrs, 12, Alberta iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia",tourism,museum
31,Elizabetes iela,Elizabetes iela,"[""*...Edifici Art Nouveau.La città di Riga vanta una notevole quantità di edifici in stile Art Nouveau, che furono eretti nel periodo tra la fine del XIX secolo e il 1914 principalmente per opera del celebre architetto Michail Ėjzenštejn (1867-1921) padre del regista Sergej Ėjzenštejn. Tali edifici, che sono concentrati in un quartiere ben definito della città moderna, sono stati dichiarati nel 1997 - unitamente al centro storico di Riga - Patrimonio Mondiale dell'Umanità da parte dell'UNESCO. L'Art Nouveau s'impose in Lettonia (allora parte dell'Impero russo) con un certo ritardo rispetto alle grandi città europee, ma non per questo con meno vigore. In seguito all'abbattimento della cinta di mura medioevale e dei prospicienti sobborghi costituiti da case di legno, l'intera area a nordest del centro storico divenne il gigantesco cantiere della nuova Riga, in cui dozzine di architetti locali contribuirono a creare un armonioso quanto variato susseguirsi di elaborate facciate. L'Art Nouveau righese presenta i tratti comuni a tutti i movimenti contemporanei dell'epoca, ma in particolare dello Jugendstil tedesco, della Secessione austriaca e dell'architettura finno-baltica, fondendoli armoniosamente con le chiare tonalità cromatiche locali. In particolare domina la combinazione di azzurro e bianco, che è anche quella preferita dal principale esponente dell'Art Nouveau righese, l'architetto Ejzenštejn. Se i primi edifici righesi Art Nouveau risalgono solamente al 1899, già nel 1901, in seguito a una grande fiera modellata sull'Esposizione Universale di Parigi dell'anno precedente, il nuovo stile si era imposto definitivamente in città. La via principale lungo la quale si snodano gli edifici dell'Art Nouveau lettone è Alberta iela (in tedesco Albertstraße), situata al centro di una tranquilla ed elegante zona residenziale creata dal nulla al principio del secolo XX e che oggi ospita molte ambasciate. Tra gli edifici di maggior spicco, il palazzo di Alberta iela 2a è un'efficace fusione di neoclassicismo, Art Nouveau e richiami all'Antico Egitto. Notevoli sono la facciata traforata in cima e le due grosse sfingi che vigilano di fronte all'ingresso. Il palazzo fu realizzato nel 1906 su progetto di Ejzenštejn. Elizabetes iela (in tedesco Elisabethstraße) fiancheggia invece in parte un vasto Parco ed è la via in cui si trova, al numero 10b, il più celebre palazzo Art Nouveau di tutta Riga. Costruito nel 1903 su disegno dell'immancabile Ejzenštejn, raggruppa tutte le caratteristiche del particolare Jugendstil eclettico righese, a cominciare dall'accostamento di colori azzurro-bianco, dalle figure mitologiche (mascheroni con teste di Medusa) e dalla profusione di aquile, ghirlande ed elmi....""]","Elizabetes iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia","{""coordinates"": [24.113855, 56.956406], ""type"": ""Point""}","Elizabetes iela, Centrs, Riga, Vidzeme, LV-1010, Lettonia",highway,residential
36,Agenskalns,Agenskalns,"['*...Kalnciema iela.La via si trova nel quartiere Agenskalns, la via principale che connette Aeroporto con il centro storico della città. Le costruzioni in legno che risalgano al XIX secolo è un patrimonio architettonico unico in tutta Europa....']","Āgenskalns, 29, Mazā Nometņu iela, Āgenskalns, Riga, Vidzeme, LV-1002, Lettonia","{""coordinates"": [24.069704, 56.936013], ""type"": ""Point""}","Āgenskalns, 29, Mazā Nometņu iela, Āgenskalns, Riga, Vidzeme, LV-1002, Lettonia",shop,mall
37,Aeroporto,Aeroporto,"['*...Kalnciema iela.La via si trova nel quartiere Agenskalns, la via principale che connette Aeroporto con il centro storico della città. Le costruzioni in legno che risalgano al XIX secolo è un patrimonio architettonico unico in tutta Europa....', ""...La maggior parte dei turisti arriva a Riga in aereo e atterra all'Aeroporto di Riga (codice IATA RIX), l'Aeroporto più grande di tutti i paesi baltici, ammodernato alla fine del 2001, in occasione dell'800º anniversario della fondazione della città....""]","Starptautiskā lidosta ""Rīga"", Muzeju iela, Mārupes pagasts, Mārupes novads, Vidzeme, LV-1053, Lettonia","{""coordinates"": [23.979113, 56.92316], ""type"": ""Point""}","Starptautiskā lidosta ""Rīga"", Muzeju iela, Mārupes pagasts, Mārupes novads, Vidzeme, LV-1053, Lettonia",aeroway,terminal
