,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Neva,Neva,"[""...Fondata dallo zar Pietro il Grande (1672-1725) sul delta della Neva, dove il fiume sfocia nella baia omonima parte del golfo di Finlandia, fu a lungo capitale dell'Impero russo, funzione che perse il 5 marzo 1918...."", '*...La città sorge alla foce del fiume Neva, sul Mar Baltico, e include nella sua ampia area urbana anche alcune isole....', '*...San Pietroburgo è situata sulla pianura della taiga lungo le rive della baia della Neva del golfo di Finlandia e sulle isole del delta del fiume....', ""*...Le inondazioni a San Pietroburgo sono conseguenti ad un'onda lunga nel Mar Baltico, causata da condizioni meteorologiche, dai venti e dalla superficie della baia della Neva...."", ""*...Oltre alla Neva e ai suoi affluenti, altri importanti fiumi del soggetto federale di San Pietroburgo sono il Sestra, l'Ochta e l'Ižora...."", ""*...Data di fondazione della città è considerato il 27 maggio 1703 (16 maggio nel calendario giuliano allora in vigore in Russia), allorché Pietro il Grande fece iniziare gli scavi della fortezza dei Santi Pietro e Paolo sull'isola delle Lepri, al centro della Neva, in una zona paludosa e selvaggia, praticamente disabitata, dove il fiume sfocia nel golfo di Finlandia...."", ""*...Un ricordo di quest'epoca è anche l'Incrociatore Aurora, che diede il segnale dell'inizio della rivoluzione e che, dopo essere stato auto-affondato durante la seconda guerra mondiale, è stato riportato alla superficie, facendo ancor oggi bella mostra di sé alla fonda nella Neva...."", ""*...Il più antico edificio tutt'oggi esistente è una casa in legno costruita per Pietro I nel 1703 sulla riva del Neva vicino a piazza Troickaja...."", ""*...L'insieme della Fortezza di Pietro e Paolo con la Cattedrale di Pietro e Paolo prendono una posizione dominante sull'isola delle Lepri lungo la riva destra del fiume Neva...."", ""*...La Piazza della Borsa, anche nota come la Punta (Strelka) dell'isola Vasil'evskij, che divide il fiume Neva in due grandi bracci, la Grande Neva (Bol'šaja Neva) e la Piccola Neva (Malaja Neva), è collegata all'Isola di Pietrogrado attraverso il ponte della Borsa (Birževoj most)...."", ""...La costa meridionale dell'isola Vasil'evskij, lungo la Grande Neva, presenta alcuni degli edifici più antichi della città, risalenti al XVIII secolo, tra cui il Kunstkamera, i Dodici collegi, il Palazzo Menšikov e l'Accademia russa di belle arti...."", ""*...Al sud, sulla riva sinistra del Neva, collegata all'isola Vasil'evskij attraverso il Ponte del Palazzo (Dvorcovskij Most), si trovano il palazzo dell'Ammiragliato, il vasto complesso dell'Museo dell'Ermitage che si estende lungo il lungoneva del Palazzo e che comprende il barocco Palazzo d'Inverno, ex residenza ufficiale degli zar, così come il neoclassico Palazzo di Marmo neoclassico...."", ""*...La Prospettiva Nevskij, è anch'essa situata sulla riva sinistra della Neva, ed è il viale principale della città...."", ""*...Sul terreno tra la Neva e la prospettiva Nevskij si trovano la Chiesa del Salvatore sul Sangue Versato, il palazzo Michajlovskij (che ospita il Museo Russo), il Campo di Marte, il castello Michajlovskij, il Giardino d'estate, il Palazzo di Tauride, l'Istituto Smol'nyj e il convento Smol'nyj...."", '*...Vi sono centinaia di piccoli ponti a San Pietroburgo che si estendono sui numerosi canali e affluenti della Neva, dei quali tra i più importanti annoveriamo, i fiumi Mojka, Fontanka, Smolenka e Karpovka, e i canali Griboedov e Obvodnyj....', '*...Si trova sulla riva meridionale del Neva a capo del Fontanka ed è famoso per le sue ringhiere di ghisa e le sculture in marmo....', '*...Il fiume Neva e i numerosi canali sono ben integrati con gli spazi cittadini....', '*...Un complesso sistema di porti fluviali, posti su entrambe le rive del fiume Neva, sono interconnessi con i porti marittimi, rendendo San Pietroburgo il principale collegamento tra il Mar Baltico e il resto della Russia attraverso il canale navigabile Volga-Baltico....', '...La città ha un porto marino (nel golfo di Finlandia del Mar Baltico) e un porto fluviale (nel delta della Neva)....', '*...Vi sono stazioni passeggeri più piccoli su entrambe le rive del fiume Neva....']","Neva, 16, Захарьевская улица, Пески, округ Смольнинское, San Pietroburgo, Северо-Западный федеральный округ, 191123, Russia","{""coordinates"": [30.360038, 59.947891], ""type"": ""Point""}","Neva, 16, Захарьевская улица, Пески, округ Смольнинское, San Pietroburgo, Северо-Западный федеральный округ, 191123, Russia",tourism,hostel
6,Sestra,Sestra,"[""*...Oltre alla Neva e ai suoi affluenti, altri importanti fiumi del soggetto federale di San Pietroburgo sono il Sestra, l'Ochta e l'Ižora....""]","Сестрорецкая рыббаза ООО ""Сестра"", улица Инструментальщиков, Разлив, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia","{""coordinates"": [29.945157, 60.087308], ""type"": ""Point""}","Сестрорецкая рыббаза ООО ""Сестра"", улица Инструментальщиков, Разлив, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia",shop,seafood
8,Ižora,Ižora,"[""...Oltre alla Neva e ai suoi affluenti, altri importanti fiumi del soggetto federale di San Pietroburgo sono il Sestra, l'Ochta e l'Ižora....""]","Ижора, 21 к2А, Садовая улица, Металлострой, San Pietroburgo, Северо-Западный федеральный округ, 196641, Russia","{""coordinates"": [30.57757, 59.81426], ""type"": ""Point""}","Ижора, 21 к2А, Садовая улица, Металлострой, San Pietroburgo, Северо-Западный федеральный округ, 196641, Russia",shop,car_repair
9,Sestroreckij razliv,Sestroreckij razliv,"['...Il lago più grande è il Sestroreckij razliv a nord, seguito dal Laсhtinskij razliv e da altri più piccoli....']","Сестрорецкий разлив, дорога на Глухое озеро, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia","{""coordinates"": [30.052961, 60.100744], ""type"": ""Point""}","Сестрорецкий разлив, дорога на Глухое озеро, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia",tourism,information
13,Europa,Europa,"[""*...Prima di San Pietroburgo la base per il commercio verso il resto dell'Europa era Arcangelo, sul Mar Bianco, che però rimaneva bloccata dai ghiacci per circa cinque mesi...."", ""*...La moschea di San Pietroburgo, è stata la più grande moschea d'Europa, quando è stata aperta nel 1913, è situata sulla riva destra...."", '...I Grandi magazzini Passage (il termine russo Passaž è la traslitterazione dal francese), la Chiesa cattolica di Santa Caterina, la ""casa dei libri"" (ex edificio dell\'azienda Singer in stile Art Nouveau), il Grand Hotel Europa, la Chiesa Luterana di San Pietro e San Paolo, la biblioteca nazionale russa, il Teatro Aleksandrinskij la statua di Caterina la Grande, la Cattedrale di Kazan\', il palazzo Stroganov, il palazzo Aničkov e il palazzo Beloselskij-Belozerskij sono tutti situati lungo quel viale....', ""*...Pavlovsk, con la reggia, caratterizzata da un palazzo a cupola voluta da Paolo I e da uno dei più grandi parchi in stile inglese d'Europa...."", ""*...Per vari motivi (compresa la distruzione su larga scala durante la seconda guerra mondiale e la costruzione di edifici moderni nel dopoguerra nei più grandi centri storici d'Europa), San Pietroburgo è diventata una riserva unica degli stili architettonici europei degli ultimi tre secoli...."", '*...Essa è conosciuta come la ""capitale della birra"" della Russia, a causa dell\'offerta e della qualità delle acque locali, contribuendo per oltre il 30% della produzione nazionale di birra con le sue cinque fabbriche, tra cui la seconda più grande fabbrica di birra d\'Europa, la Baltika....', ""...San Pietroburgo è un importante corridoio di trasporto che collega la Scandinavia alla Russia ed Europa dell'Est...."", ""*...L'Aeroporto vanta dei collegamenti aerei con Europa, Medio Oriente ed Asia....""]","Europa Estate, 11-13, 5-я Советская улица, Пески, округ Смольнинское, San Pietroburgo, Северо-Западный федеральный округ, 193130, Russia","{""coordinates"": [30.369077, 59.934657], ""type"": ""Point""}","Europa Estate, 11-13, 5-я Советская улица, Пески, округ Смольнинское, San Pietroburgo, Северо-Западный федеральный округ, 193130, Russia",office,company
16,Ladoga,Ladoga,"[""*...Durante la seconda guerra mondiale, la città venne inizialmente circondata dal lato terra e fu fatto rimanere libero solo il passaggio attraverso il lago Ladoga e poi venne assediata dall'esercito tedesco dall'8 settembre 1941 fino al 27 gennaio 1944, per un totale di 29 mesi...."", ""*...(del Baltico, di Finlandia, di Ladoga, di Mosca e di Vitebsk), così come decine di stazioni ferroviarie non terminali all'interno del soggetto federale....""]","Ladoga, 1/44, Большая Зеленина улица, Петроградская сторона, Петровский округ, San Pietroburgo, Северо-Западный федеральный округ, 197110, Russia","{""coordinates"": [30.295655, 59.95964], ""type"": ""Point""}","Ladoga, 1/44, Большая Зеленина улица, Петроградская сторона, Петровский округ, San Pietroburgo, Северо-Западный федеральный округ, 197110, Russia",shop,copyshop
20,Nevskij,Nevskij,"['...La ""Torre Leader"" (), L\'""Aleksandr Nevskij"" () e l\'""Atlantic City"" (), tutti e tre sono situati lontano dal centro storico....', ""...La Prospettiva Nevskij, è anch'essa situata sulla riva sinistra della Neva, ed è il viale principale della città...."", ""...La Prospettiva Nevskij attraversa il Moika (ponte verde), il canale Griboedov, la via Sadovaja, il canale Fontanka, incontra la Prospettiva Litejnyj e procede alla piazza dell'Insurrezione vicino alla stazione ferroviaria di Mosca, dove si incrocia con la Prospettiva Ligovskij e si volge verso il Monastero di Aleksandr Nevskij...."", '...Il monastero di Aleksandr Nevskij, destinato ad ospitare le reliquie del santo, è un importante centro di educazione cristiana in Russia....', ""*...Sul terreno tra la Neva e la prospettiva Nevskij si trovano la Chiesa del Salvatore sul Sangue Versato, il palazzo Michajlovskij (che ospita il Museo Russo), il Campo di Marte, il castello Michajlovskij, il Giardino d'estate, il Palazzo di Tauride, l'Istituto Smol'nyj e il convento Smol'nyj...."", ""...Le attrazioni architettoniche del XVIII e XIX secolo comprendono poi la Fortezza di San Pietro e San Paolo, la Cattedrale della Resurrezione, l'Istituto Smol'nyj, la piazza del Palazzo con il Palazzo d'Inverno, la Prospettiva Nevskij, il palazzo della borsa e la sede dell'Università statale, ospitata nel Collegio dei dodici sull'Isola Vasil'evskij (o Isola di Basilio), la Chiesa di Nostra Signora di Misericordia, la piazza dei Decabristi anche detta del Senato, con la celebre statua equestre del Cavaliere di bronzo, il Teatro Mariinskij, la via Rossi, dedicata all'omonimo architetto italiano, la piazza Ostrovskij, la piazza delle Arti, il Castello degli ingegneri, e la Sinagoga grande corale....""]","Невский, 6, 6, Невский проспект, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 190107, Russia","{""coordinates"": [30.314425, 59.93694], ""type"": ""Point""}","Невский, 6, 6, Невский проспект, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 190107, Russia",tourism,hotel
21,City,City,"['...La ""Torre Leader"" (), L\'""Aleksandr Nevskij"" () e l\'""Atlantic City"" (), tutti e tre sono situati lontano dal centro storico....']","City, 16, улица Маяковского, Литейный округ, San Pietroburgo, Северо-Западный федеральный округ, 191000, Russia","{""coordinates"": [30.35468, 59.936067], ""type"": ""Point""}","City, 16, улица Маяковского, Литейный округ, San Pietroburgo, Северо-Западный федеральный округ, 191000, Russia",shop,hairdresser
27,Nord,Nord,"['...Sankt-Peterburg, ) è la seconda città della Russia per dimensioni e popolazione, con più di 5 milioni di abitanti, città federale, il porto più importante del Paese ed inoltre la città con più di un milione di abitanti più a nord del mondo....', ""...L'istmo careliano, nord della città, è una zona rinomata per il turismo...."", '...Il lago più grande è il Sestroreckij razliv a nord, seguito dal Laсhtinskij razliv e da altri più piccoli....', '*...Per questo l’edificio conquisterà anche il titolo di seconda twisting tower più alta del pianeta, dietro solamente alla Shangai Tower, insieme con quello di grattacielo più a Nord del mondo....', '...A causa della intricata rete di canali, San Pietroburgo è spesso chiamata la ""Venezia del Nord""....', '...La città è un nodo delle rotte europee internazionali E18 verso Helsinki, E20 verso Tallinn, E95 verso Pskov, Kiev e Odessa ed E105 verso Petrozavodsk, Murmansk e Kirkenes (a nord) e verso Mosca e Charkiv (sud)....', ""...Tuttavia, poiché si prevede che entro il 2025 l'Aeroporto Pulkovo gestirà circa 17 milioni di passeggeri all'anno, sono stati avanzati dei piani per costruire una nuova estensione direttamente a nord del Terminal 1 (nazionale)...."", '...A 20\xa0km a nord della città, nel territorio di Toksovo, sorge la stazione sciistica di Kavgolovo...']","Du Nord 1834, 26, Кирочная улица, Литейный округ, San Pietroburgo, Северо-Западный федеральный округ, 191123, Russia","{""coordinates"": [30.358758, 59.944074], ""type"": ""Point""}","Du Nord 1834, 26, Кирочная улица, Литейный округ, San Pietroburgo, Северо-Западный федеральный округ, 191123, Russia",amenity,restaurant
29,Fortezza di Pietro e Paolo,Fortezza di Pietro e Paolo,"[""*...L'insieme della Fortezza di Pietro e Paolo con la Cattedrale di Pietro e Paolo prendono una posizione dominante sull'isola delle Lepri lungo la riva destra del fiume Neva....""]","Fortezza di Pietro e Paolo, Кронверкская набережная, Петроградская сторона, округ Кронверкское, San Pietroburgo, Северо-Западный федеральный округ, 197101, Russia","{""coordinates"": [30.316449, 59.950054], ""type"": ""Point""}","Fortezza di Pietro e Paolo, Кронверкская набережная, Петроградская сторона, округ Кронверкское, San Pietroburgo, Северо-Западный федеральный округ, 197101, Russia",tourism,attraction
