,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Castrum Danorum,Castrum Danorum,"['*...I danesi infatti denominarono la città di Tallinn come Castrum Danorum, latinismo significante ""castello dei danesi""....']","Toompea loss, 1a, Lossi plats, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia","{""coordinates"": [24.737375, 59.435744], ""type"": ""Point""}","Toompea loss, 1a, Lossi plats, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia",historic,castle
5,Harku,Harku,"[""*...Il secondo lago per estensione (1,6\xa0km²) è l'Harku....""]","Harku, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond, 11611, Estonia","{""coordinates"": [24.675117, 59.386858], ""type"": ""Point""}","Harku, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond, 11611, Estonia",highway,residential
6,Pirita,Pirita,"[""*...L'unico fiume importante è il Pirita, scorre a nord, nel sobborgo di Pirita, e dal 1957 è zona protetta, stante il pregio naturalistico...."", ""...In quella occasione vennero edificati vari edifici fra i quali l'hotel Olimpia, l'Ufficio Postale, il Pirita yachting centre e l'imponente torre della televisione....""]","Pirita, Merivälja tee, Pirita, Pirita linnaosa, Tallinn, Harju maakond, 11911, Estonia","{""coordinates"": [24.83261, 59.466742], ""type"": ""Point""}","Pirita, Merivälja tee, Pirita, Pirita linnaosa, Tallinn, Harju maakond, 11911, Estonia",highway,bus_stop
19,Chiesa di Sant'Olav,Chiesa di Sant'Olav,"[""*...Chiesa di Sant'Olav. Per quasi un secolo, dal 1549 al 1625 è stato l'edificio più alto del mondo. Alla fine del XV secolo una nuova guglia gotica di 159 m fu costruita per la sua torre. In seguito a diversi incendi e conseguenti restauri, l'altezza totale è oggi 123 m....""]","Chiesa di Sant'Olav, 50, Lai, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10133, Estonia","{""coordinates"": [24.747896, 59.441322], ""type"": ""Point""}","Chiesa di Sant'Olav, 50, Lai, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10133, Estonia",amenity,place_of_worship
28,Chiesa di San Giovanni,Chiesa di San Giovanni,"['*...Chiesa di San Giovanni, è una Chiesa parrocchiale neogotica della Chiesa di Estonia ed è situata in Piazza Vabaduse o della Libertà ;...']","Chiesa di San Giovanni, 1, Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10146, Estonia","{""coordinates"": [24.745392, 59.433721], ""type"": ""Point""}","Chiesa di San Giovanni, 1, Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10146, Estonia",amenity,place_of_worship
30,Piazza Vabaduse,Piazza Vabaduse,"['*...Chiesa di San Giovanni, è una Chiesa parrocchiale neogotica della Chiesa di Estonia ed è situata in Piazza Vabaduse o della Libertà ;...']","Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, Estonia","{""coordinates"": [24.743957, 59.433698], ""type"": ""Point""}","Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, Estonia",highway,pedestrian
33,Piazza della Libertà,Piazza della Libertà,"[""*...Colonna della Vittoria dell'Indipendenza dell'Estonia, in Piazza della Libertà (Tallinn) ;...""]","Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, Estonia","{""coordinates"": [24.743957, 59.433698], ""type"": ""Point""}","Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, Estonia",highway,pedestrian
35,Kiek in de Kök,Kiek in de Kök,['*...Kiek in de Kök ;...'],"Kiek in de Kök, 2, Komandandi tee, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10130, Estonia","{""coordinates"": [24.741267, 59.434703], ""type"": ""Point""}","Kiek in de Kök, 2, Komandandi tee, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10130, Estonia",tourism,attraction
39,Aeroporto,Aeroporto,"[""...Così ad esempio Tallinna Lennujaam è l'Aeroporto di Tallinn...."", ""*...Tallinn è servita da un Aeroporto, l'Aeroporto Lennart Meri, a circa 4\xa0km dal centro cittadino...."", ""*...Una linea di bus (N.2), collega comodamente l'Aeroporto al centro della città...."", ""*...Collega il centro cittadino all'Aeroporto, e che collega buona parte della città, coprendo anche zone periferiche della capitale estone...."", ""*...Attualmente il costo di un biglietto di 1 ora è di 1,50€ ed è valido in tutta la rete urbana (comprese le corse avente origine dall'Aeroporto)....""]","Lennart Meri Tallinna lennujaam, 101, Tartu mnt, Ülemistejärve, Kesklinna linnaosa, Tallinn, Harju maakond, 11101, Estonia","{""coordinates"": [24.801087, 59.41645], ""type"": ""Point""}","Lennart Meri Tallinna lennujaam, 101, Tartu mnt, Ülemistejärve, Kesklinna linnaosa, Tallinn, Harju maakond, 11101, Estonia",aeroway,terminal
40,Aeroporto Lennart Meri,Aeroporto Lennart Meri,"[""...Tallinn è servita da un Aeroporto, l'Aeroporto Lennart Meri, a circa 4\xa0km dal centro cittadino....""]","Lennart Meri Tallinna lennujaam, 101, Tartu mnt, Ülemistejärve, Kesklinna linnaosa, Tallinn, Harju maakond, 11101, Estonia","{""coordinates"": [24.801087, 59.41645], ""type"": ""Point""}","Lennart Meri Tallinna lennujaam, 101, Tartu mnt, Ülemistejärve, Kesklinna linnaosa, Tallinn, Harju maakond, 11101, Estonia",aeroway,terminal
