,entity,to_search,snippet,address,coordinates,name_location,class,type
1,PATH,PATH,"[""*...Nella parte centrale di Toronto (Downtown Toronto) c'è una città sotterranea, chiamata PATH (in inglese:..."", '*...Secondo il Guinness dei primati, con i suoi  di estensione, il PATH è il più esteso centro commerciale sotterraneo del mondo....', '...Ovviamente il traffico automobilistico convenzionale è bandito nella città sotterranea, gli spostamenti sono previsti a piedi o con mezzi per disabili, ma il path ha numerosi punti di contatto con la viabilità esterna (parcheggi) o, molto più frequentemente, con una fitta rete di stazioni del trasporto pubblico di superficie o sotterraneo (subway)....']","PATH, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5X 1C7, Canada","{""coordinates"": [-79.382439, 43.64884], ""type"": ""Point""}","PATH, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5X 1C7, Canada",highway,footway
5,Highway 427,Highway 427,"[""*...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord....""]","Highway 427, West Deane Park, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9C 4R3, Canada","{""coordinates"": [-79.574262, 43.669984], ""type"": ""Point""}","Highway 427, West Deane Park, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9C 4R3, Canada",highway,motorway
6,Etobicoke Creek,Etobicoke Creek,"[""*...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord....""]","Etobicoke Creek Trail, Long Branch, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, L5E 3G2, Canada","{""coordinates"": [-79.547299, 43.589816], ""type"": ""Point""}","Etobicoke Creek Trail, Long Branch, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, L5E 3G2, Canada",highway,path
7,Rouge River,Rouge River,"[""*...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord....""]","Sheppard Ave at Rouge River Dr, Sheppard Avenue East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5S1, Canada","{""coordinates"": [-79.187085, 43.804979], ""type"": ""Point""}","Sheppard Ave at Rouge River Dr, Sheppard Avenue East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5S1, Canada",highway,bus_stop
8,Steeles Avenue,Steeles Avenue,"[""*...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord....""]","Steeles Avenue, Newtonbrook, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, L3T 2A5, Canada","{""coordinates"": [-79.419952, 43.798], ""type"": ""Point""}","Steeles Avenue, Newtonbrook, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, L3T 2A5, Canada",highway,secondary
10,Sole,Sole,"['*...Le estati, considerata la latitudine, sono miti (fresche in rapporto al Sole) e piuttosto variabili, talvolta possono presentare periodi particolarmente caldi....']","O Sole Salon & Spa, Colborne Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1E3, Canada","{""coordinates"": [-79.374918, 43.648975], ""type"": ""Point""}","O Sole Salon & Spa, Colborne Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1E3, Canada",shop,hairdresser
11,Fort Rouillé,Fort Rouillé,"[""*...I commercianti francesi fondarono Fort Rouillé nel 1750 dove ora è posta l'Exhibition Place, ma l'abbandonarono nel 1759....""]","Fort Rouillé, Fraser Avenue, Little Tibet, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1Y7, Canada","{""coordinates"": [-79.423127, 43.635164], ""type"": ""Point""}","Fort Rouillé, Fraser Avenue, Little Tibet, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1Y7, Canada",tourism,information
12,Exhibition Place,Exhibition Place,"[""...I commercianti francesi fondarono Fort Rouillé nel 1750 dove ora è posta l'Exhibition Place, ma l'abbandonarono nel 1759....""]","Exhibition Loop, Manitoba Drive, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1W8, Canada","{""coordinates"": [-79.415229, 43.636372], ""type"": ""Point""}","Exhibition Loop, Manitoba Drive, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1W8, Canada",railway,platform
16,the Ward,the Ward,"['...Come gli irlandesi prima di loro, molti furono costretti a vivere in abitazioni modeste sovraffollate, nel ""the Ward"", posto vicino a Bay Street, ora il cuore finanziario del Paese....']","The Moat, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 1E3, Canada","{""coordinates"": [-79.380958, 43.64541], ""type"": ""Point""}","The Moat, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 1E3, Canada",highway,footway
17,Bay Street,Bay Street,"['*...Come gli irlandesi prima di loro, molti furono costretti a vivere in abitazioni modeste sovraffollate, nel ""the Ward"", posto vicino a Bay Street, ora il cuore finanziario del Paese....']","Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","{""coordinates"": [-79.382823, 43.65347], ""type"": ""Point""}","Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada",highway,secondary
19,CN Tower,CN Tower,"['*...Una delle principali attrazioni turistiche di Toronto è senza dubbio la Canadian National Tower o CN Tower che, con i suoi , è stata la torre più alta del mondo per ben 31 anni, fino al settembre 2007, quando è stata sorpassata dal grattacielo Burj Khalifa (poi completato nel gennaio 2010)....', '...La CN Tower fu costruita tra il 1973 e il 1976 per ordine della più importante compagnia televisiva canadese, la CBC, che necessitava di una nuova torre per le trasmissioni....', '*...Per questo motivo è nota al mondo con il nome di CN Tower....', '*...Esso è posto non lontano dalle sponde del lago Ontario, ai piedi della mastodontica CN Tower....']","CN Tower, Convention centre loading dock, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3B5, Canada","{""coordinates"": [-79.387748, 43.642701], ""type"": ""Point""}","CN Tower, Convention centre loading dock, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3B5, Canada",shop,ticket
23,Rogers Centre,Rogers Centre,"[""*...Un'altra attrazione di Toronto è l'avveniristico stadio originariamente chiamato Sky Dome per la sua copertura apribile e ribattezzato Rogers Centre in seguito all'acquisto dello stesso da parte della Rogers Communications, già proprietaria dei Blue Jays, la squadra di baseball della città...."", '...Il Rogers Centre ha ospitato diversi eventi internazionali fra i quali lo show di punta della World Wrestling Federation/Entertainment, e precisamente la WrestleMania 6 il 1º aprile del 1990 e la diciottesima edizione il 17 marzo 2002 stabilendo in questa occasione il record di spettatori paganti, pari a 68\xa0237 persone, ma anche partite di calcio come Italia-Serbia e Montenegro del giugno 2005....']","Rogers Centre, 1, Blue Jays Way, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1J1, Canada","{""coordinates"": [-79.389198, 43.64166], ""type"": ""Point""}","Rogers Centre, 1, Blue Jays Way, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1J1, Canada",leisure,stadium
24,Casa Loma,Casa Loma,"[""*...Casa Loma: dimora neogotica costruita nel 1911 su progetto dell'architetto canadese Edward James Lennox (1854-1933)....""]","Casa Loma, 1, Austin Terrace, Tarragon Village, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1X9, Canada","{""coordinates"": [-79.409121, 43.678037], ""type"": ""Point""}","Casa Loma, 1, Austin Terrace, Tarragon Village, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1X9, Canada",tourism,viewpoint
25,Union Station,Union Station,"[""...La Union Station (centro intermodale con stazione ferroviaria e metropolitana), la principale stazione ferroviaria della città, la cui costruzione cominciò nel 1913 e si concluse con l'inaugurazione del 6 agosto 1926, e dal 1954 anche della metropolitana. Sul piazzale antistante vi è il Monumento al Multiculturalismo di Francesco Perilli, scultore italiano di Nereto (TE)....""]","Union Station, Bay Street, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 1C4, Canada","{""coordinates"": [-79.379069, 43.645667], ""type"": ""Point""}","Union Station, Bay Street, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 1C4, Canada",railway,platform
27,Toronto City Hall,Toronto City Hall,"['*...Toronto City Hall, il municipio della città di Toronto fu aperto nel 1965. Il complesso, che occupa un\'area di cinque ettari, compresa la Nathan Phillips Square (la grande piazza), fu progettato dall\'architetto finlandese Viljo Revell. Il complesso è composto dalle due torri degli uffici, di diversa altezza e a pianta a forma di ""C"", e dalla sala consiliare a pianta circolare con la copertura a cupola ribassata che le conferisce la forma di un\'ostrica....']","Toronto City Hall, 100, Queen Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","{""coordinates"": [-79.384005, 43.653603], ""type"": ""Point""}","Toronto City Hall, 100, Queen Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada",amenity,townhall
28,Nathan Phillips Square,Nathan Phillips Square,"['...Toronto City Hall, il municipio della città di Toronto fu aperto nel 1965. Il complesso, che occupa un\'area di cinque ettari, compresa la Nathan Phillips Square (la grande piazza), fu progettato dall\'architetto finlandese Viljo Revell. Il complesso è composto dalle due torri degli uffici, di diversa altezza e a pianta a forma di ""C"", e dalla sala consiliare a pianta circolare con la copertura a cupola ribassata che le conferisce la forma di un\'ostrica....']","Nathan Phillips Square, Albert Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2H6, Canada","{""coordinates"": [-79.383842, 43.652708], ""type"": ""Point""}","Nathan Phillips Square, Albert Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2H6, Canada",tourism,attraction
29,First Canadian Place,First Canadian Place,"[""*...First Canadian Place, (1975) opera dello studio Edward Durell Stone and Associates (AON Center di Chicago) in collaborazione con i torontoniani Bregman + Hamann Architects è, con i suoi 72 piani, il grattacielo più alto del Canada (,  compresa l'antenna) ed è anche l'edificio con più marmo di Carrara al mondo grazie ai migliaia pannelli che lo rivestono ( per piano)....""]","First Canadian Place, 100, King Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5X 1C7, Canada","{""coordinates"": [-79.381692, 43.648768], ""type"": ""Point""}","First Canadian Place, 100, King Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5X 1C7, Canada",building,office
30,Brookfield Place,Brookfield Place,"[""*...Brookfield Place (ex BCE Place) (1991) è un complesso di grattacieli, costruito in diversi periodi. Alla realizzazione delle varie torri ed edifici di vario genere ha lavorato, in particolare per la Bay Wellington Tower (grattacielo di 47 piani, ultimato nel 1990), lo studio Bregman + Hamann Architects, mentre gli stessi architetti, in collaborazione con lo studio statunitense Skidmore, Owings and Merrill hanno progettato l'altra torre, la TD Canada Trust Tower. Nel complesso vi è anche la Hockey Hall of Fame (Museo dell'hockey su ghiaccio) e infine la Allen Lambert Galleria progettata dall'architetto spagnolo Santiago Calatrava....""]","Brookfield Place, PATH, Financial District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2T3, Canada","{""coordinates"": [-79.378349, 43.647348], ""type"": ""Point""}","Brookfield Place, PATH, Financial District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2T3, Canada",building,office
31,BCE Place,BCE Place,"[""*...Brookfield Place (ex BCE Place) (1991) è un complesso di grattacieli, costruito in diversi periodi. Alla realizzazione delle varie torri ed edifici di vario genere ha lavorato, in particolare per la Bay Wellington Tower (grattacielo di 47 piani, ultimato nel 1990), lo studio Bregman + Hamann Architects, mentre gli stessi architetti, in collaborazione con lo studio statunitense Skidmore, Owings and Merrill hanno progettato l'altra torre, la TD Canada Trust Tower. Nel complesso vi è anche la Hockey Hall of Fame (Museo dell'hockey su ghiaccio) e infine la Allen Lambert Galleria progettata dall'architetto spagnolo Santiago Calatrava....""]","Brookfield Place, 181, Bay Street, Financial District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2S1, Canada","{""coordinates"": [-79.378298, 43.647176], ""type"": ""Point""}","Brookfield Place, 181, Bay Street, Financial District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2S1, Canada",building,office
33,TD Canada Trust Tower,TD Canada Trust Tower,"[""...Brookfield Place (ex BCE Place) (1991) è un complesso di grattacieli, costruito in diversi periodi. Alla realizzazione delle varie torri ed edifici di vario genere ha lavorato, in particolare per la Bay Wellington Tower (grattacielo di 47 piani, ultimato nel 1990), lo studio Bregman + Hamann Architects, mentre gli stessi architetti, in collaborazione con lo studio statunitense Skidmore, Owings and Merrill hanno progettato l'altra torre, la TD Canada Trust Tower. Nel complesso vi è anche la Hockey Hall of Fame (Museo dell'hockey su ghiaccio) e infine la Allen Lambert Galleria progettata dall'architetto spagnolo Santiago Calatrava....""]","Kingcash, TD Canada Trust Tower, PATH, Financial District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2S1, Canada","{""coordinates"": [-79.378835, 43.646566], ""type"": ""Point""}","Kingcash, TD Canada Trust Tower, PATH, Financial District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2S1, Canada",office,financial
34,Hockey Hall of Fame,Hockey Hall of Fame,"[""...Brookfield Place (ex BCE Place) (1991) è un complesso di grattacieli, costruito in diversi periodi. Alla realizzazione delle varie torri ed edifici di vario genere ha lavorato, in particolare per la Bay Wellington Tower (grattacielo di 47 piani, ultimato nel 1990), lo studio Bregman + Hamann Architects, mentre gli stessi architetti, in collaborazione con lo studio statunitense Skidmore, Owings and Merrill hanno progettato l'altra torre, la TD Canada Trust Tower. Nel complesso vi è anche la Hockey Hall of Fame (Museo dell'hockey su ghiaccio) e infine la Allen Lambert Galleria progettata dall'architetto spagnolo Santiago Calatrava....""]","Hockey Hall of Fame, 30, Yonge Street, Financial District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1X8, Canada","{""coordinates"": [-79.377825, 43.647158], ""type"": ""Point""}","Hockey Hall of Fame, 30, Yonge Street, Financial District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1X8, Canada",tourism,museum
37,Toronto Eaton Centre,Toronto Eaton Centre,"[""*...Toronto Eaton Centre (1976 circa) è un grande centro commerciale nel cuore della Downtown di Toronto, caratterizzato da una lunghissima galleria trasparente, progettata dall'architetto Eberhard Zeidler che si ispirò alla Galleria Vittorio Emanuele II di Milano. È il centro commerciale più vasto del Canada dell'est e ha una media di un milione di visitatori alla settimana; all'interno della galleria ci sono due fermate della metropolitana....""]","CF Toronto Eaton Centre Shipping / Receiving, 483, Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","{""coordinates"": [-79.382766, 43.653815], ""type"": ""Point""}","CF Toronto Eaton Centre Shipping / Receiving, 483, Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada",amenity,loading_dock
38,Downtown,Downtown,"[""...Nella parte centrale di Toronto (Downtown Toronto) c'è una città sotterranea, chiamata PATH (in inglese:..."", ""*...Toronto Eaton Centre (1976 circa) è un grande centro commerciale nel cuore della Downtown di Toronto, caratterizzato da una lunghissima galleria trasparente, progettata dall'architetto Eberhard Zeidler che si ispirò alla Galleria Vittorio Emanuele II di Milano. È il centro commerciale più vasto del Canada dell'est e ha una media di un milione di visitatori alla settimana; all'interno della galleria ci sono due fermate della metropolitana...."", '...Theatre District, (Quartiere dei Teatri di Toronto) è una parte del Toronto Entertainment District in Downtown Toronto, che contiene la più grande concentrazione di teatri con palcoscenico del Canada....']","Downtown Yonge BIA Office, 20, Dundas Street West, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2C3, Canada","{""coordinates"": [-79.38242, 43.656455], ""type"": ""Point""}","Downtown Yonge BIA Office, 20, Dundas Street West, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2C3, Canada",office,company
