,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Potomac,Potomac,"['*...Il 9 luglio 1790, il Congresso approvò una legge (il Residence Act) che approvava la creazione di una capitale nazionale sul fiume Potomac, il luogo esatto è stato scelto dal presidente George Washington, che promosse il disegno di legge in legge il 16 luglio....', '*...La nuova ""città federale"" è stata poi edificata sulla riva nord del Potomac, a est di Georgetown....', '*...La contea di Washington a est del Potomac e la Contea di Alessandria a ovest....', ""...Altre squadre professionistiche e semi-professionistiche a Washington sono: il Washington Kastles (World TeamTennis), Washington D.C. Slayers (American National Rugby League), la Eagles Washington Baltimora (USAFL), la D.C. Divas (Independent Women's Football League) e la Potomac Athletic Club RFC (Rugby Super League)....""]","University of the Potomac, 1401, H Street Northwest, Downtown, Washington, District of Columbia, 20005, Stati Uniti d'America","{""coordinates"": [-77.032215, 38.900517], ""type"": ""Point""}","University of the Potomac, 1401, H Street Northwest, Downtown, Washington, District of Columbia, 20005, Stati Uniti d'America",amenity,university
5,Casa Bianca,Casa Bianca,"[""...Hanno sede a Washington le principali istituzioni di governo degli Stati Uniti d'America (Presidente presso la Casa Bianca, Congresso, Corte Suprema), molti ministeri ed enti federali (F.B.I.), e alcune organizzazioni internazionali, tra cui la Banca Mondiale, il Fondo Monetario Internazionale e l'Organizzazione degli Stati americani...."", ""...Il Campidoglio, la sede del Tesoro e la Casa Bianca furono bruciati durante l'attacco...."", '...Alcune strade sono particolarmente degne di nota, come la Pennsylvania Avenue, che collega la Casa Bianca al Campidoglio degli Stati Uniti e la K Street, che ospita gli uffici di molti gruppi lobbistici....', '...La Casa Bianca, la Washington National Cathedral, il Jefferson Memorial, il Campidoglio degli Stati Uniti, il Lincoln Memorial e il Vietnam Veterans Memorial....', ""*...Il monumento a Washington e il Jefferson Pier sono anch'essi nel Parco, posti a sud della Casa Bianca...."", '*...La Renwick Gallery è ufficialmente parte dello Smithsonian American Art Museum, ma si trova in un edificio separato vicino alla Casa Bianca....']","Casa Bianca, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, Stati Uniti d'America","{""coordinates"": [-77.036553, 38.8977], ""type"": ""Point""}","Casa Bianca, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, Stati Uniti d'America",office,government
6,U Street,U Street,"[""*...Dopo l'assassinio del leader dei diritti civili Martin Luther King, il 4 aprile 1968, scoppiarono violenti disordini nella città, soprattutto in U Street, 14th Street, 7th Street e H Street, nei centri residenziali abitati da afroamericani e nelle aree commerciali...."", '...La U Street, nella parte nord-ovest della città, nota come ""Broadway nera di Washington"", è sede di istituzioni come il Teatro Howard, la Bohemian Caverns e il Teatro Lincoln, che ha ospitato leggende della musica come Duke Ellington, John Coltrane e Miles Davis....']","U Street, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20060, Stati Uniti d'America","{""coordinates"": [-77.026008, 38.916979], ""type"": ""Point""}","U Street, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20060, Stati Uniti d'America",railway,stop
7,14th Street,14th Street,"[""*...Dopo l'assassinio del leader dei diritti civili Martin Luther King, il 4 aprile 1968, scoppiarono violenti disordini nella città, soprattutto in U Street, 14th Street, 7th Street e H Street, nei centri residenziali abitati da afroamericani e nelle aree commerciali....""]","14th Street Northeast, Near Northeast, Washington, District of Columbia, 20002, Stati Uniti d'America","{""coordinates"": [-76.985503, 38.900315], ""type"": ""Point""}","14th Street Northeast, Near Northeast, Washington, District of Columbia, 20002, Stati Uniti d'America",highway,primary
8,7th Street,7th Street,"[""*...Dopo l'assassinio del leader dei diritti civili Martin Luther King, il 4 aprile 1968, scoppiarono violenti disordini nella città, soprattutto in U Street, 14th Street, 7th Street e H Street, nei centri residenziali abitati da afroamericani e nelle aree commerciali....""]","7th Street Northwest, Penn Quarter, Washington, District of Columbia, 20001, Stati Uniti d'America","{""coordinates"": [-77.021918, 38.896264], ""type"": ""Point""}","7th Street Northwest, Penn Quarter, Washington, District of Columbia, 20001, Stati Uniti d'America",highway,secondary
12,Enfant,Enfant,"[""...Nel 1791, il presidente Washington commissionò a Pierre Charles L'Enfant il progetto di una nuova capitale...."", ""...Francese di nascita, architetto e urbanista, L'Enfant arrivò nelle colonie come ingegnere militare durante la guerra d'indipendenza americana...."", ""...Il piano di L'Enfant per Washington presentava ampie strade e viali che si irradiano da rettangoli, fornendo sufficiente spazio aperto...."", '...L\'Enfant progettò anche un grande viale alberato ""Grand Avenue"" di circa 1 miglio () di lunghezza e  di larghezza nella zona che ora è il National Mall....', ""...Nel mese di marzo 1792, il presidente Washington respinse il progetto di L'Enfant a causa di alcune differenze di vedute che avevano portato a contrasti con i tre commissari nominati per supervisionare la costruzione della capitale...."", ""...Andrew Ellicott, che aveva lavorato con L'Enfant, rilevò il progetto...."", ""...Anche se Ellicott fece delle revisioni ai piani originali, L'Enfant è ancora accreditato per aver disegnato l'organizzazione complessiva della città...."", ""...Con l'inizio del XX secolo, il progetto di L'Enfant di una capitale con parchi aperti e grandi monumenti nazionali era andato perso per via di baraccopoli ed edifici costruiti casualmente, tra cui una stazione ferroviaria sul National Mall...."", ""...Gli architetti reclutati dal comitato mantennero gran parte dello schema originale della città e si ritiene che il loro lavoro sia derivato per la maggior parte dalle idee originarie di L'Enfant....""]","L'Enfant Plaza Southwest, Southwest Employment Area, Washington, District of Columbia, 20585, Stati Uniti d'America","{""coordinates"": [-77.026091, 38.884213], ""type"": ""Point""}","L'Enfant Plaza Southwest, Southwest Employment Area, Washington, District of Columbia, 20585, Stati Uniti d'America",highway,tertiary
14,National Mall,National Mall,"['...L\'Enfant progettò anche un grande viale alberato ""Grand Avenue"" di circa 1 miglio () di lunghezza e  di larghezza nella zona che ora è il National Mall....', ""*...Con l'inizio del XX secolo, il progetto di L'Enfant di una capitale con parchi aperti e grandi monumenti nazionali era andato perso per via di baraccopoli ed edifici costruiti casualmente, tra cui una stazione ferroviaria sul National Mall...."", ""...Lungo il National Mall ha sede la National Archives and Records Administration, l'archivio di stato americano, contenente migliaia di documenti di notevole importanza per la storia americana, compresa la Dichiarazione di Indipendenza, la Costituzione degli Stati Uniti e il Bill of Rights...."", '...Il National Mall è un grande Parco situato nel centro di Washington tra il Lincoln Memorial e il Campidoglio....', '*...È stato il National Air and Space Museum situato sul National Mall....', ""*...La National Gallery of Art, sul National Mall vicino al Campidoglio, presenta opere d'arte americana ed europea...."", ""*...L'United States Holocaust Memorial Museum vicino al National Mall contiene documenti e oggetti legati alla Shoah....""]","Headquarters, National Park Service, National Mall and Memorial Parks, Ohio Drive Southwest, Washington, District of Columbia, 20228, Stati Uniti d'America","{""coordinates"": [-77.032802, 38.881334], ""type"": ""Point""}","Headquarters, National Park Service, National Mall and Memorial Parks, Ohio Drive Southwest, Washington, District of Columbia, 20228, Stati Uniti d'America",tourism,information
16,Strada,Strada,"['*...La legge prevede che gli edifici non siano più alti di 6,1 metri rispetto alla larghezza della Strada adiacente....']","Alta Strada, 465, K Street Northwest, Mount Vernon Square, Washington, District of Columbia, 20001, Stati Uniti d'America","{""coordinates"": [-77.018176, 38.902804], ""type"": ""Point""}","Alta Strada, 465, K Street Northwest, Mount Vernon Square, Washington, District of Columbia, 20001, Stati Uniti d'America",amenity,restaurant
17,Campidoglio degli Stati Uniti,Campidoglio degli Stati Uniti,"[""*...Nonostante la credenza popolare, nessuna legge ha mai limitato gli edifici all'altezza del Campidoglio degli Stati Uniti o del Monumento a Washington, che rimane la struttura più alta del distretto...."", '*...Alcune strade sono particolarmente degne di nota, come la Pennsylvania Avenue, che collega la Casa Bianca al Campidoglio degli Stati Uniti e la K Street, che ospita gli uffici di molti gruppi lobbistici....', '...La Casa Bianca, la Washington National Cathedral, il Jefferson Memorial, il Campidoglio degli Stati Uniti, il Lincoln Memorial e il Vietnam Veterans Memorial....', ""*...Il Campidoglio, la sede del Tesoro e la Casa Bianca furono bruciati durante l'attacco...."", '*...Tuttavia, il Campidoglio era ancora per la maggior parte in costruzione, e non è stato completato fino al 1868....', ""...Questi lavori inclusero il Parco del Campidoglio e il centro commerciale, la costruzione di nuovi edifici federali e monumenti, la demolizione delle baraccopoli, e l'istituzione di un sistema di parchi in tutta la città...."", ""*...Gli assi che delimitano i quadranti si incrociano presso l'edificio del Campidoglio...."", ""*...Tutti i nomi delle strade includono l'abbreviazione del quadrante per indicare la loro posizione e i numeri civici sono assegnati in base al numero approssimativo di isolati dal Campidoglio...."", '*...Nei pressi del Campidoglio si trova la Biblioteca del Congresso, la più grande biblioteca del mondo con una collezione di più di 147 milioni di libri, manoscritti e altri materiali....', '*...Il National Mall è un grande Parco situato nel centro di Washington tra il Lincoln Memorial e il Campidoglio....', ""*...Il Palazzo della Corte Suprema degli Stati Uniti d'America è stato realizzato nel 1935, prima di allora la corte si riuniva in alcune stanze del Campidoglio...."", ""*...La National Gallery of Art, sul National Mall vicino al Campidoglio, presenta opere d'arte americana ed europea...."", '*...La sede dei Marine vicino al Campidoglio ospita la United States Marine Band, fondata nel 1798 e che è la più antica del paese....']","Campidoglio degli Stati Uniti d'America, West Terraces and Steps, Washington, District of Columbia, 20534, Stati Uniti d'America","{""coordinates"": [-77.009021, 38.889813], ""type"": ""Point""}","Campidoglio degli Stati Uniti d'America, West Terraces and Steps, Washington, District of Columbia, 20534, Stati Uniti d'America",tourism,attraction
22,C Street SW,C Street SW,"['*...Nella maggior parte delle città, le strade sono stabilite in un modello di griglia con vie est-ovest denominati con le lettere (ad esempio, C Street SW) e nord-sud strade con i numeri (ad esempio, 4th Street NW)....']","C Street Southwest, Washington, District of Columbia, 20228, Stati Uniti d'America","{""coordinates"": [-77.032022, 38.885976], ""type"": ""Point""}","C Street Southwest, Washington, District of Columbia, 20228, Stati Uniti d'America",highway,secondary
