,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Lombardia,Lombardia,"['*...La vivacità dei cantieri portò ad un maggior numero di interpreti di spessore, tra i quali Giovanni Battista Quadrio, Carlo Federico Pietrasanta, Bartolomeo Bolla, Carlo Giuseppe Merlo e Francesco Croce, a cui si aggiunse il romano Giovanni Ruggeri, molto attivo in tutta la Lombardia....', ""...Tra i nomi più importanti a cavallo dei due secoli Andrea Lanzani, in realtà molto attivo in tutta la Lombardia occidentale e a Vienna, può essere citato come il più illustre protagonista della corrente classicista milanese e lombarda assieme al Legnanino che però verrà più influenzato dalla scuola barocca genovese, mentre ad essi si contrappongono con un'esperienza più marcatamente tardo barocca Filippo Abbiati e Paolo Pagani con una pittura influenzata da scuola veneta e lombarda...."", '*...Al pari della pittura di storia, mitologica e allegorica, si afferma così a Milano come in Lombardia una corrente di pittura di genere....']","Lombardia, Via Silvio Pellico, San Giuliano Monzese, Cologno Monzese, Milano, Lombardia, 20093, Italia","{""coordinates"": [9.276237, 45.536386], ""type"": ""Point""}","Lombardia, Via Silvio Pellico, San Giuliano Monzese, Cologno Monzese, Milano, Lombardia, 20093, Italia",amenity,school
2,Piazza San Sepolcro,Piazza San Sepolcro,"[""*...Dopo aver acquistato e demolito un caseggiato nella zona di Piazza San Sepolcro, i progetti del palazzo dell'Ambrosiana furono assegnati all'architetto Lelio Buzzi, che fece partire i lavori direttamente l'anno stesso;...""]","Piazza San Sepolcro, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia","{""coordinates"": [9.185311, 45.46299], ""type"": ""Point""}","Piazza San Sepolcro, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia",tourism,information
3,Ambrosiana,Ambrosiana,"[""...In primo luogo i principali interpreti del movimento scomparvero tra il 1625 (Giulio Cesare Procaccini) e il 1632 (il Cerano), a ciò si aggiunse la morte del cardinale Federico Borromeo, tra le maggiori figure del Seicento lombardo, e soprattutto la grande peste manzoniana, che dimezzò la popolazione della città, colpendo tra le migliaia di vittime la giovane promessa della pittura milanese Daniele Crespi, che tra l'altro porterà alla chiusura dell'Accademia Ambrosiana, fondata nel 1621 da Federico Borromeo per formare giovani artisti per la scuola milanese, in cui assunse i maggiori interpreti del primo barocco, su tutti il Cerano e Fabio Mangone, come insegnanti...."", ""...In questo caso giocarono un ruolo fondamentale sia l'ormai chiusa Accademia Ambrosiana, che diede prima una certa continuità nello stile per poi riaprire alcuni anni, sia l'operato in alcuni cantieri di artisti provenienti dal resto d'Italia di scuola emiliana, genovese e veneta...."", ""...L'ultimo quarto di secolo vide l'apertura della seconda Accademia Ambrosiana riaperta nel 1669 sotto la direzione di Antonio Busca, allievo di Carlo Francesco Nuvolone, e Dionigi Bussola, che assieme alla neonata Accademia milanese di San Luca, legata all'omonima accademia romana, contribuì al ritorno di una corrente classicista legata alla scuola bolognese e romana...."", ""...Dopo aver acquistato e demolito un caseggiato nella zona di Piazza San Sepolcro, i progetti del palazzo dell'Ambrosiana furono assegnati all'architetto Lelio Buzzi, che fece partire i lavori direttamente l'anno stesso;..."", ""*...Questo fu il primo passo per la creazione del vasto polo culturale e museale dell'Ambrosiana...."", ""...La seconda struttura a fare la sua comparsa fu il Museo Ambrosiano, precursore dell'attuale Pinacoteca Ambrosiana, nel 1618, creato a partire dalla collezione privata di quadri, stampe, sculture e disegni di vario tipo del cardinale Borromeo:..."", ""...Terza ed ultima istituzione a fare la sua comparsa fu l'Accademia Ambrosiana nel 1620, una scuola di Belle Arti per la formazione di giovani artisti:..."", ""...Al che il cardinale Borromeo, dopo aver acquistato lo spazio necessario per ampliare il palazzo dell'Ambrosiana, iniziò ad applicarsi per la creazione della nuova accademia, studiando i regolamenti e i programmi delle migliori scuole di belle arti dell'epoca, tra cui l'Accademia dei Carracci a Bologna, l'Accademia del Disegno di Firenze e la romana Accademia di San Luca...."", ""...Gran parte degli artisti di questo periodo furono infatti allievi all'Accademia Ambrosiana o si formarono presso le botteghe dei maestri del primo Seicento lombardo...."", ""...Non a caso fu assegnata in seguito ad Antonio Busca la cattedra dell'Accademia Ambrosiana...."", ""...Con quest'ultimo si delineano due correnti destinate a sopravvivere anche nel Settecento, ovvero una corrente più classicista proprio del Busca, contrapposta ad uno stile più esuberante e fantasioso della maturazione di Giuseppe Nuvolone, trasportando nella città ambrosiana quella stessa controversia tra i due stili dell'ambiente romano....""]","Ambrosiana, 42, Viale Regina Giovanna, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia","{""coordinates"": [9.214272, 45.473032], ""type"": ""Point""}","Ambrosiana, 42, Viale Regina Giovanna, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",amenity,pharmacy
4,Europa,Europa,"[""*...Al momento dell'apertura contava quindicimila manoscritti e trentamila opere a stampa, molti dei quali appartenevano precedentemente alla vasta collezione privata del cardinale Borromeo, che comprendeva pezzi provenienti da Europa e Asia:..."", ""*...Fu una delle prime biblioteche pubbliche in Europa, e all'attività di biblioteca fu affiancata una stamperia e una scuola per lo studio di lingue classiche e di lingue orientali;..."", ""...La Chiesa rappresenta il punto di stacco con l'architettura manierista, e servì peraltro da prototipo per le chiese barocche nell'uso della pianta longitudinale, specialmente nel nord Italia e talvolta in Europa centrale....""]","Corso Europa, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia","{""coordinates"": [9.196179, 45.464042], ""type"": ""Point""}","Corso Europa, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",highway,residential
5,Asia,Asia,"[""*...Al momento dell'apertura contava quindicimila manoscritti e trentamila opere a stampa, molti dei quali appartenevano precedentemente alla vasta collezione privata del cardinale Borromeo, che comprendeva pezzi provenienti da Europa e Asia:...""]","Euro Asia Minimarket, Corso Lodi, Lodi - Corvetto, Municipio 4, Vaiano Valle, Milano, Lombardia, 20139, Italia","{""coordinates"": [9.220693, 45.441527], ""type"": ""Point""}","Euro Asia Minimarket, Corso Lodi, Lodi - Corvetto, Municipio 4, Vaiano Valle, Milano, Lombardia, 20139, Italia",shop,convenience
7,Chiesa di San Giuseppe,Chiesa di San Giuseppe,"['...La Chiesa di San Giuseppe è considerato come uno degli edifici più rappresentativi del primo barocco lombardo, nonché uno dei capolavori del Richini:...']","Chiesa di San Giuseppe, Largo Victor de Sabata, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.188944, 45.468409], ""type"": ""Point""}","Chiesa di San Giuseppe, Largo Victor de Sabata, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",tourism,information
14,Chiesa di Sant'Antonio Abate,Chiesa di Sant'Antonio Abate,"[""...Sempre nel centro storico, sebbene la Chiesa di Sant'Antonio Abate abbia subito il completo rifacimento della facciata in epoca neoclassica, gli interni sono comunque tra i migliori esempi decorativi del barocco lombardo....""]","Chiesa di Sant'Antonio Abate, Via Sant'Antonio, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia","{""coordinates"": [9.193613, 45.46113], ""type"": ""Point""}","Chiesa di Sant'Antonio Abate, Via Sant'Antonio, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",amenity,place_of_worship
15,S. Andrea Avellino,S. Andrea Avellino,"[""*...La cappella di S. Andrea Avellino ospita la pala d'altare dello Svenimento del Beato Andrea Avellino di Francesco Cairo ed è affrescata da Ercole Procaccini il Giovane e Filippo Abbiati;...""]","Via S.Andrea Avellino, Case Bettola, Mettone, Lacchiarella, Milano, Lombardia, 20084, Italia","{""coordinates"": [9.137488, 45.317866], ""type"": ""Point""}","Via S.Andrea Avellino, Case Bettola, Mettone, Lacchiarella, Milano, Lombardia, 20084, Italia",highway,residential
16,Via della Moscova,Via della Moscova,"[""*...In Via della Moscova, si trova la Chiesa di Sant'Angelo, edificata in periodo tardomanierista, ma conclusa nel 1630....""]","Via della Moscova, Brera, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.188097, 45.477053], ""type"": ""Point""}","Via della Moscova, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",highway,residential
17,Chiesa di Sant'Angelo,Chiesa di Sant'Angelo,"[""...In Via della Moscova, si trova la Chiesa di Sant'Angelo, edificata in periodo tardomanierista, ma conclusa nel 1630...."", ""*...A segnare il punto di rottura è Carlo Francesco Nuvolone, maggiore dei due fratelli e allievo del Cerano, che mostra nel suo stile il dinamismo tipico dell'arte barocca, di cui si ricordano gli affreschi nella Chiesa di Sant'Angelo di Milano;...""]","Chiesa di Sant'Angelo, Piazza Sant'Angelo, Brera, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.192833, 45.475886], ""type"": ""Point""}","Chiesa di Sant'Angelo, Piazza Sant'Angelo, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",amenity,place_of_worship
