,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Europa,Europa,"['*...Per tale opera, che nella mente del duca sarebbe stata monumentale e grandiosa, furono chiamati a Milano architetti e artisti da tutta Europa:...', ""*...Una fortissima spinta in chiave mecenatesca verso la realizzazione di una grandiosa fabbrica venne da Gian Galeazzo Visconti, da poco incoronato duca dall'imperatore, che finanziò parte dell'opera e si adoperò per la raccolta di altri fondi tra la popolazione e chiamò architetti da tutta Europa, specialmente da Francia, Germania e Fiandre....""]","Corso Europa, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia","{""coordinates"": [9.196179, 45.464042], ""type"": ""Point""}","Corso Europa, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",highway,residential
2,Chiesa di San Gottardo in Corte,Chiesa di San Gottardo in Corte,"[""...Tra le prime realizzazioni si può citare la Chiesa di San Gottardo in Corte, realizzata come cappella ducale dedicata al santo protettore della gotta che avrebbe colpito Azzone, tuttavia molto rimaneggiata nell'aspetto nel XVIII secolo...."", '*...La chiese presentava inoltre un campanile poligonale simile a quello della Chiesa di San Gottardo in Corte....', '*...A introdurre invece il monumento funerario a baldacchino retto su colonne in area lombarda fu il Monumento funebre di Azzone Visconti di Giovanni di Balduccio, conservato nella Chiesa di San Gottardo in Corte:...']","Chiesa di San Gottardo in Corte, Cortile del Palazzo Reale, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia","{""coordinates"": [9.19197, 45.4628], ""type"": ""Point""}","Chiesa di San Gottardo in Corte, Cortile del Palazzo Reale, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",amenity,place_of_worship
3,Chiesa di San Cristoforo sul Naviglio,Chiesa di San Cristoforo sul Naviglio,"[""...La Chiesa di San Cristoforo sul Naviglio è composta dall'unione di due edifici risalenti rispettivamente alla fine del XII secolo e alla fine dl XIV secolo....""]","Chiesa di San Cristoforo sul Naviglio, Via San Cristoforo, San Cristoforo, Municipio 6, Milano, Lombardia, 20143, Italia","{""coordinates"": [9.154838, 45.447754], ""type"": ""Point""}","Chiesa di San Cristoforo sul Naviglio, Via San Cristoforo, San Cristoforo, Municipio 6, Milano, Lombardia, 20143, Italia",amenity,place_of_worship
5,Chiesa di San Lorenzo,Chiesa di San Lorenzo,"[""...Alla seconda metà del XII secolo risale la Chiesa di San Lorenzo a Monluè, costruita dall'ordine degli Umiliati in uno stile molto semplice probabilmente mutuato dall'architettura cistercense....""]","Chiesa di San Lorenzo, Via Monluè, Parco Monluè - Ponte Lambro, Municipio 4, Monluè, Milano, Lombardia, 20138, Italia","{""coordinates"": [9.254277, 45.455985], ""type"": ""Point""}","Chiesa di San Lorenzo, Via Monluè, Parco Monluè - Ponte Lambro, Municipio 4, Monluè, Milano, Lombardia, 20138, Italia",amenity,place_of_worship
6,Chiesa di San Marco,Chiesa di San Marco,"[""...La Chiesa di San Marco fu fondata nel tardo XII secolo dai monaci agostiniani, tuttavia i pesanti interventi subiti dalla Chiesa a partire dal XVI secolo ne hanno per gran parte sconvolto l'aspetto, recuperato in minima parte nell'esterno con i restauri ottocenteschi di Carlo Maciachini...."", ""*...Altri interessanti monumenti scultorei trecenteschi sono l'Arca di Martino Aliprandi, l'Arca di Salvarino Aliprandi e l'Arca di Rebaldo Aliprandi, conservate nella Chiesa di San Marco, opere scultorie dall'elevata attenzione ai dettagli del naturalismo lombardo attribuita a non meglio specificati Maestri Campionesi....""]","Chiesa di San Marco, Via Fatebenefratelli, Brera, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.188839, 45.473313], ""type"": ""Point""}","Chiesa di San Marco, Via Fatebenefratelli, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",amenity,place_of_worship
9,Chiesa di Santa Maria del Carmine,Chiesa di Santa Maria del Carmine,"[""...La Chiesa di Santa Maria del Carmine, benché fondata alla fine del XIV secolo, non presenta significativi elementi di architettura gotica con l'eccezione della pianta:...""]","Chiesa di Santa Maria del Carmine, Via del Carmine, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.186022, 45.470451], ""type"": ""Point""}","Chiesa di Santa Maria del Carmine, Via del Carmine, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",amenity,place_of_worship
10,Sant'Eustorgio,Sant'Eustorgio,"[""*...Nella basilica di Sant'Eustorgio si trova la cappella Visconti incominciata nel 1297 da Matteo Visconti...."", ""*...Sempre in Sant'Eustorgio si possono trovare nella cappella Torriani degli affreschi tardogotici risalenti al 1440 di Evangelisti e Santi attribuiti alla cerchia degli Zavattari...."", ""*...La maggiore opera di Giovanni di Balduccio e la sua bottega è sicuramente l'Arca di san Pietro martire, conservata nella cappella Portinari nella basilica di Sant'Eustorgio...."", ""...Nella basilica di sant'Eustorgio si trova il Monumento funebre di Stefano e Valentina Visconti, imponente composizione dove il sarcofago è inserito in un'edicola con cuspide retta da colonne tortili, attribuito a Bonino da Campione per la cura dei dettagli e nei motivi decorativi...."", ""...Per quanto riguarda la scultura tardogotica quattrocentesca si possono citare il Monumento funebre a Pietro Torelli di Martino Benzoni e Luchino Cernuschi situato nell'omonima cappella in sant'Eustorgio...."", ""*...Per quanto riguarda la scultura tardogotica quattrocentesca si possono citare il Monumento funebre a Pietro Torelli di Martino Benzoni e Luchino Cernuschi situato nell'omonima cappella in sant'Eustorgio....""]","Sant’Eustorgio, 6, Piazza Sant'Eustorgio, Ticinese, Municipio 1, Milano, Lombardia, 20122, Italia","{""coordinates"": [9.180998, 45.453366], ""type"": ""Point""}","Sant’Eustorgio, 6, Piazza Sant'Eustorgio, Ticinese, Municipio 1, Milano, Lombardia, 20122, Italia",amenity,restaurant
13,Torriani,Torriani,"[""*...Sempre in Sant'Eustorgio si possono trovare nella cappella Torriani degli affreschi tardogotici risalenti al 1440 di Evangelisti e Santi attribuiti alla cerchia degli Zavattari....""]","Torriani La Bottega del Carnevale, 5, Via Mercato, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.183854, 45.471693], ""type"": ""Point""}","Torriani La Bottega del Carnevale, 5, Via Mercato, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",shop,party
15,San Calimero,San Calimero,"[""*...Nella basilica di San Calimero è presente l'affresco della Madonna con Bambino di Leonardo da Besozzo, dipinto eseguito tardogotico quattrocentesco dalle forme dei personaggi ispirate agli affreschi dei Giochi Borromeo nel palazzo Borromeo e al suo stesso lavoro nella Chiesa di San Giovanni a Carbonara a Napoli....""]","Via San Calimero, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia","{""coordinates"": [9.193216, 45.457374], ""type"": ""Point""}","Via San Calimero, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",highway,pedestrian
16,palazzo Borromeo,palazzo Borromeo,"[""*...Nella basilica di San Calimero è presente l'affresco della Madonna con Bambino di Leonardo da Besozzo, dipinto eseguito tardogotico quattrocentesco dalle forme dei personaggi ispirate agli affreschi dei Giochi Borromeo nel palazzo Borromeo e al suo stesso lavoro nella Chiesa di San Giovanni a Carbonara a Napoli...."", '*...Tra i pochi palazzi privati gotici conservati in città si può citare palazzo Borromeo costruito a partire dalla fine del XV secolo....', ""*...Questa attribuzione differente dal Pisanello o da Michelino fu conferita a seguito dell'analisi di un riscoperto San Giovanni dolente, frammento degli affreschi di palazzo Borromeo con richiami stilistici al Cristo in pietà di Masolino pur mostrando influenze di scuola lombarda....""]","Palazzo Borromeo, Piazza Borromeo, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia","{""coordinates"": [9.18169, 45.463347], ""type"": ""Point""}","Palazzo Borromeo, Piazza Borromeo, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia",historic,castle
