,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Europa,Europa,"[""*...Il passaggio dal XIX al XX secolo in Europa fu caratterizzato da un fervente rinnovamento delle espressioni artistiche, fortemente influenzato dal progresso tecnico e dall'entusiastica esaltazione positivista degli importanti traguardi raggiunti dalla scienza....""]","Europa, 302, Corso Orbassano, Mirafiori Nord, Circoscrizione 2, Torino, Piemonte, 10125, Italia","{""coordinates"": [7.626346, 45.036571], ""type"": ""Point""}","Europa, 302, Corso Orbassano, Mirafiori Nord, Circoscrizione 2, Torino, Piemonte, 10125, Italia",amenity,pharmacy
2,Borgo,Borgo,"[""*...Molto diverso,giova ricordarlo, è la nascita del Borgo e Castello Medievale del Parco del Valentino,inizialmente concepito come Padiglione della Regione Piemonte- Valle d'Aosta:..."", '...Monti"" di corso Galileo Ferraris 11 (1900), i primi Bagni Municipali di Via G. Saccarelli (1901), quelli di Via O. Morgari (1905), quelli di borgo Vanchiglia (1910)...', ""...Al ben noto Borgo Medievale del Parco del Valentino, gioiello frutto di un accurato studio delle vestigia medievali locali coordinato dall'architetto portoghese Alfredo d'Andrade, nell'elegante quartiere residenziale Cit Turin si possono notare degli ottimi esempi di architettura civile nelle opere commissionate da Carrera:..."", ""...Sempre nella zona collinare di Borgo Po, all'inizio degli anni duemila, è comparso un eccentrico edificio unifamiliare progettato dell'architetto torinese Alessandro Celli....""]","Borgo, Viale Fabrizio De André, Grugliasco, Torino, Piemonte, 10095, Italia","{""coordinates"": [7.581427, 45.056624], ""type"": ""Point""}","Borgo, Viale Fabrizio De André, Grugliasco, Torino, Piemonte, 10095, Italia",amenity,bicycle_rental
8,Albergo Rocciamelone,Albergo Rocciamelone,"[""...Alcuni esponenti da ricordare sono la Vetreria Albano&Macario che tra le svariate opere realizzò la Terrazza Solferino e il Mobilificio Torinese F. Cesare Gandolfo che produsse anche molti arredi per caffè, ristoranti e alberghi, tra cui l'Albergo Rocciamelone di Usseglio per cui realizzò l'intero arredo....""]","Albergo Rocciamelone, 37, Via Roma, Cascine, Usseglio, Unione Montana Alpi Graie, Torino, Piemonte, 10070, Italia","{""coordinates"": [7.223375, 45.23246], ""type"": ""Point""}","Albergo Rocciamelone, 37, Via Roma, Cascine, Usseglio, Unione Montana Alpi Graie, Torino, Piemonte, 10070, Italia",tourism,hotel
10,corso Francia,corso Francia,"[""...In questa compagine di vivace fermento culturale, Torino vide nascere nel 1884 l'edizione torinese dell'Esposizione generale italiana che portò, sull'onda del tardo romanticismo,alla realizzazione di alcuni edifici di ispirazione neogotica,come la cosiddetta Casa dei Draghi in corso Francia...."", ""*...Egli si dedicò per circa tredici anni alla realizzazione di oltre trecento progetti tra ville e palazzi, alcuni dei quali concentrati nell'area di corso Francia e vie adiacenti, oltre a svariati edifici industriali commissionati dalla nuova classe dirigente torinese;..."", ""...Fondamentale nella scelta del luogo fu anche la presenza di canali irrigui e la vicinanza della nuova ferrovia che, correndo lungo l'asse dell'attuale corso Francia, consentiva un rapido collegamento con Torino, la vicina Rivoli ma anche con la Val di Susa e la Francia, attraverso il nuovo tunnel del Fréjus....""]","Corso Francia, Campidoglio, Circoscrizione 4, Torino, Piemonte, 10139, Italia","{""coordinates"": [7.642953, 45.075541], ""type"": ""Point""}","Corso Francia, Campidoglio, Circoscrizione 4, Torino, Piemonte, 10139, Italia",highway,primary
11,Villino Raby,Villino Raby,"['...Il Villino Raby (1901), la celebre Villa Scott (1902), trionfo di logge, torrette, vetrate, bovindi e, soprattutto, la sua opera più nota e apprezzata:...']","Villino Raby, Corso Francia, Campidoglio, Circoscrizione 4, Torino, Piemonte, 10140, Italia","{""coordinates"": [7.666108, 45.076753], ""type"": ""Point""}","Villino Raby, Corso Francia, Campidoglio, Circoscrizione 4, Torino, Piemonte, 10140, Italia",building,residential
12,Villa Scott,Villa Scott,"['*...Il Villino Raby (1901), la celebre Villa Scott (1902), trionfo di logge, torrette, vetrate, bovindi e, soprattutto, la sua opera più nota e apprezzata:...']","Villa Scott, Corso Giovanni Lanza, Borgo Po, Circoscrizione 8, Torino, Piemonte, 10131, Italia","{""coordinates"": [7.698692, 45.057098], ""type"": ""Point""}","Villa Scott, Corso Giovanni Lanza, Borgo Po, Circoscrizione 8, Torino, Piemonte, 10131, Italia",building,villa
13,Casa Fenoglio-Lafleur,Casa Fenoglio-Lafleur,"['*...Casa Fenoglio-Lafleur (1902), considerata «il più significativo esempio di stile liberty in Italia....', '*...»\nAltri edifici degni di nota che ripropongono elementi decorativi derivanti dal successo di Casa Fenoglio-Lafleur sono la Casa Rossi-Galateri (1903) di Via Passalacqua e la non meno apprezzabile Casa Girardi (1904) di Via Cibrario 54....']","Casa Fenoglio-Lafleur, Corso Francia, Campidoglio, Circoscrizione 4, Torino, Piemonte, 10140, Italia","{""coordinates"": [7.664782, 45.076648], ""type"": ""Point""}","Casa Fenoglio-Lafleur, Corso Francia, Campidoglio, Circoscrizione 4, Torino, Piemonte, 10140, Italia",building,residential
15,Via Passalacqua,Via Passalacqua,['*...»\nAltri edifici degni di nota che ripropongono elementi decorativi derivanti dal successo di Casa Fenoglio-Lafleur sono la Casa Rossi-Galateri (1903) di Via Passalacqua e la non meno apprezzabile Casa Girardi (1904) di Via Cibrario 54....'],"Via Giuseppe Luigi Passalacqua, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10140, Italia","{""coordinates"": [7.670163, 45.074653], ""type"": ""Point""}","Via Giuseppe Luigi Passalacqua, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10140, Italia",highway,residential
16,Casa Girardi,Casa Girardi,['*...»\nAltri edifici degni di nota che ripropongono elementi decorativi derivanti dal successo di Casa Fenoglio-Lafleur sono la Casa Rossi-Galateri (1903) di Via Passalacqua e la non meno apprezzabile Casa Girardi (1904) di Via Cibrario 54....'],"Casa Girardi, Via Goffredo Casalis, San Donato, Circoscrizione 4, Torino, Piemonte, 10143, Italia","{""coordinates"": [7.658955, 45.079938], ""type"": ""Point""}","Casa Girardi, Via Goffredo Casalis, San Donato, Circoscrizione 4, Torino, Piemonte, 10143, Italia",building,residential
17,Via Cibrario 54,Via Cibrario 54,['*...»\nAltri edifici degni di nota che ripropongono elementi decorativi derivanti dal successo di Casa Fenoglio-Lafleur sono la Casa Rossi-Galateri (1903) di Via Passalacqua e la non meno apprezzabile Casa Girardi (1904) di Via Cibrario 54....'],"54, Via Luigi Cibrario, San Donato, Circoscrizione 4, Torino, Piemonte, 10144, Italia","{""coordinates"": [7.659391, 45.080323], ""type"": ""Point""}","54, Via Luigi Cibrario, San Donato, Circoscrizione 4, Torino, Piemonte, 10144, Italia",place,house
